artist,cprog,C_1,C_2,C_3,C_4,song,energy,genres,key,popularity,release_date,tempo,valence,release_year
3 Doors Down,4.5.6.2,4,5 ,6  ,2   ,Kryptonite,0.86,"[u'alternative metal', u'alternative rock', u'heavy christmas', u'nu metal', u'pop punk', u'pop rock', u'post-grunge', u'rap metal', u'rock']",11,69,2000,99.031,0.591,2000
Adventure Club,4.5.6.2,4,5 ,6  ,2   ,Wonder,0.447,"[u'indie folk', u'indie poptimism', u'indie r&b', u'pop']",9,66,2015-09-04,141.742,0.398,2015
Alesso,4.5.6.2,4,5 ,6  ,2   ,Clash,0.844,"[u'album rock', u'alternative rock', u'classic rock', u'dance rock', u'garage rock', u'new wave', u'permanent wave', u'punk', u'rock']",2,67,2013-08-23,113.371,0.847,2013
Alstroemeria Records,4.5.6.2,4,5 ,6  ,2   ,Lovelight - Bad Apple,0.988,[],3,2,2011-08-26,137.973,0.521,2011
Arty,4.5.6.2,4,5 ,6  ,2   ,Stronger,0.726,"[u'pop', u'pop christmas', u'pop rap', u'rap']",10,74,2007-01-01,103.98,0.479,2007
Arty,4.5.6.2,4,5 ,6  ,2   ,Around The World,0.854,"[u'indie rock', u'neo mellow', u'rock']",1,71,2016-10-14,113.075,0.591,2016
Arty and Matisse and Sadko,4.5.6.2,4,5 ,6  ,2   ,Riot,0.948,"[u'alternative metal', u'canadian metal', u'nu metal', u'pop punk', u'post-grunge']",8,67,2006-06-25,196.578,0.331,2006
ATB,4.5.6.2,4,5 ,6  ,2   ,9pm Till I come,0.941,"[u'disco house', u'edm', u'eurodance', u'europop', u'german techno', u'progressive house', u'progressive trance', u'trance', u'uplifting trance', u'vocal house']",9,53,1999-04-26,130.218,0.759,1999
Billy More,4.5.6.2,4,5 ,6  ,2   ,Running in the 90's,0.998,"[u'chiptune', u'deep chiptune', u'nintendocore', u'video game music']",6,33,2008-01-07,180.194,0.695,2008
Calvin Harris,4.5.6.2,4,5 ,6  ,2   ,Drinking From the Bottle,0.886,"[u'edm', u'electro house', u'house', u'pop', u'progressive house']",9,61,2012-10-26,128.062,0.519,2012
Chris Brown,4.5.6.2,4,5 ,6  ,2   ,Beautiful People,0.949,"[u'alternative metal', u'industrial', u'industrial metal', u'industrial rock', u'nu metal', u'post-grunge', u'rap metal', u'rock', u'wrestling']",9,62,2004-01-01,144.025,0.754,2004
dj-Jo,4.5.6.2,4,5 ,6  ,2   ,Leaving Without,0.577,"[u'contemporary country', u'country', u'country christmas', u'country road', u'modern country rock']",10,22,2010-06-21,135.922,0.381,2010
Dung Truong,4.5.6.2,4,5 ,6  ,2   ,Allusion World,NA,NA,NA,NA,NA,NA,NA,NA
Eiffel65,4.5.6.2,4,5 ,6  ,2   ,Hyperlink - Deep Down,NA,NA,NA,NA,NA,NA,NA,NA
Headhunterz and Crystal Lake,4.5.6.2,4,5 ,6  ,2   ,Live Your Life,0.862,"[u'crunk', u'dance pop', u'dirty south rap', u'dwn trap', u'gangster rap', u'hip hop', u'pop', u'pop rap', u'r&b', u'rap', u'southern hip hop', u'trap music']",11,70,2008-09-08,159.841,0.472,2008
Koji Kondo,4.5.6.2,4,5 ,6  ,2   ,Athletic BGM Super Mario Bros 3,NA,NA,NA,NA,NA,NA,NA,NA
Lady Gaga,4.5.6.2,4,5 ,6  ,2   ,GUY,0.131,"[u'dance pop', u'indie r&b', u'neo soul', u'pop', u'pop rap', u'rap']",0,69,2016-08-20,107.614,0.83,2016
Ladytron,4.5.6.2,4,5 ,6  ,2   ,Seventeen,0.728,"[u'indie poptimism', u'indie psych-rock']",7,61,2016-08-05,146.016,0.302,2016
Maan,4.5.6.2,4,5 ,6  ,2   ,Ride It,0.843,"[u'contemporary country', u'country', u'country road', u'modern country rock', u'pop rock']",0,52,2009-02-23,92.357,0.531,2009
Madonna,4.5.6.2,4,5 ,6  ,2   ,Hung Up,0.647,"[u'dance pop', u'europop', u'new wave pop', u'pop', u'pop rock']",9,57,2005-11-11,125.02,0.403,2005
Michiru Yamane,4.5.6.2,4,5 ,6  ,2   ,Castlevania SotN - Dracula's Castle,NA,NA,NA,NA,NA,NA,NA,NA
Mr Death,4.5.6.2,4,5 ,6  ,2   ,Red Velvet,0.903,"[u'dance pop', u'k-pop', u'korean pop']",7,66,2016-09-07,129.986,0.96,2016
Neon Indian,4.5.6.2,4,5 ,6  ,2   ,Annie,0.459,"[u'album rock', u'classic rock', u'dance rock', u'folk rock', u'hard rock', u'heavy christmas', u'mellow gold', u'new wave pop', u'pop rock', u'rock', u'singer-songwriter', u'soft rock', u'southern rock']",9,61,1975,129.878,0.375,1975
Nightwish,4.5.6.2,4,5 ,6  ,2   ,The Poet and the Pendulum,0.74,"[u'finnish metal', u'gothic metal', u'gothic symphonic metal', u'power metal', u'symphonic metal']",7,26,2007-08-15,144.861,0.173,2007
Quintet,4.5.6.2,4,5 ,6  ,2   ,Super Robot Wars - So Close Yet so Far,NA,NA,NA,NA,NA,NA,NA,NA
Rhythm Heaven Fever,4.5.6.2,4,5 ,6  ,2   ,Remix 10,0.583,"[u'crunk', u'deep trap', u'dirty south rap', u'dwn trap', u'gangster rap', u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap music', u'underground hip hop']",2,53,2013-06-11,143.964,0.307,2013
