 "menuid"   "year"   "price"   "avgwordlen"   "numwords"   "numitems"   "adj"   "choice"   "person"   "traditional"   "origin"   "generous"   "useless"   "delicious"   "sensoryadj" 
"786"   "32484"   "1918"   "$"   "6.320513"   "78"   "27.000000"   "0.370370"   "0.074074"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.074074" 
"787"   "24113"   "1907"   "$"   "5.670886"   "158"   "48.000000"   "0.479167"   "0.020833"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.166667" 
"788"   "32486"   "1918"   "$"   "6.156250"   "32"   "12.000000"   "0.666667"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.333333" 
"789"   "32487"   "1918"   "$"   "5.384615"   "13"   "3.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"790"   "32489"   "1918"   "$"   "6.177215"   "158"   "55.000000"   "0.363636"   "0.072727"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.127273" 
"791"   "23491"   "1898"   "$$"   "6.161290"   "31"   "15.000000"   "0.200000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.066667" 
"792"   "23493"   "1898"   "$"   "6.000000"   "99"   "35.000000"   "0.200000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.057143" 
"793"   "34622"   "1912"   "$$"   "6.040000"   "50"   "12.000000"   "0.083333"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.083333" 
"794"   "33947"   "1914"   "$$"   "6.184211"   "114"   "28.000000"   "0.535714"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.035714"   "0.000000"   "0.250000" 
"795"   "34628"   "1912"   "$$"   "5.794118"   "34"   "8.000000"   "1.125000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "1.000000" 
"796"   "32669"   "1917"   "$$"   "6.941781"   "292"   "87.000000"   "0.275862"   "0.000000"   "0.000000"   "0.011494"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.034483" 
"797"   "12736"   "1900"   "$"   "6.360360"   "111"   "37.000000"   "0.351351"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.081081" 
"798"   "12737"   "1900"   "$"   "6.276046"   "1123"   "374.000000"   "0.264706"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.034759" 
"799"   "32322"   "1918"   "$"   "6.051282"   "195"   "51.000000"   "0.470588"   "0.019608"   "0.000000"   "0.156863"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.098039" 
"800"   "24611"   "1900"   "$"   "5.736931"   "593"   "197.000000"   "0.263959"   "0.055838"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.045685" 
"801"   "32002"   "1919"   "$$"   "6.166667"   "114"   "26.000000"   "0.384615"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.076923" 
"802"   "35046"   "1913"   "$"   "6.089965"   "289"   "75.000000"   "0.213333"   "0.000000"   "0.000000"   "0.053333"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"803"   "34063"   "1914"   "$$"   "6.359223"   "206"   "63.000000"   "0.238095"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.015873"   "0.158730" 
"804"   "21134"   "1899"   "$$"   "6.161290"   "62"   "26.000000"   "0.192308"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"805"   "33943"   "1914"   "$$"   "6.558252"   "412"   "80.000000"   "0.575000"   "0.037500"   "0.000000"   "0.075000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.112500" 
"806"   "35043"   "1913"   "$"   "6.256659"   "826"   "274.000000"   "0.321168"   "0.040146"   "0.000000"   "0.021898"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.043796" 
"807"   "22722"   "1907"   "$"   "6.280899"   "267"   "96.000000"   "0.322917"   "0.010417"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.010417"   "0.000000"   "0.031250" 
"808"   "31816"   "1921"   "$$"   "6.462916"   "391"   "66.000000"   "0.742424"   "0.030303"   "0.000000"   "0.015152"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.090909" 
"809"   "33177"   "1917"   "$$"   "6.636364"   "99"   "26.000000"   "0.230769"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.038462" 
"810"   "34538"   "1912"   "$$"   "6.433962"   "53"   "13.000000"   "0.076923"   "0.000000"   "0.000000"   "0.000000"   "0.076923"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"811"   "33940"   "1914"   "$"   "6.117851"   "577"   "135.000000"   "0.548148"   "0.000000"   "0.000000"   "0.022222"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.133333" 
"812"   "33174"   "1917"   "$$"   "6.706667"   "75"   "20.000000"   "0.150000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.050000" 
"813"   "33941"   "1914"   "$$"   "6.274875"   "1397"   "412.000000"   "0.342233"   "0.060680"   "0.000000"   "0.012136"   "0.000000"   "0.000000"   "0.002427"   "0.000000"   "0.038835" 
"814"   "33350"   "1915"   "$"   "6.128959"   "442"   "116.000000"   "0.500000"   "0.043103"   "0.000000"   "0.008621"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.051724" 
"815"   "25090"   "1900"   "$$"   "6.006787"   "442"   "150.000000"   "0.393333"   "0.053333"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.060000" 
"816"   "25097"   "1899"   "$"   "5.871429"   "140"   "36.000000"   "0.416667"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.055556" 
"817"   "25096"   "1900"   "$"   "5.903226"   "93"   "31.000000"   "0.322581"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.032258"   "0.000000"   "0.032258" 
"818"   "32761"   "1917"   "$$"   "6.306122"   "98"   "23.000000"   "0.565217"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.043478"   "0.000000"   "0.130435" 
"819"   "33604"   "1914"   "$"   "5.732143"   "56"   "10.000000"   "1.000000"   "0.300000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.500000" 
"820"   "32785"   "1917"   "$$"   "6.280788"   "203"   "52.000000"   "0.096154"   "0.019231"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"821"   "18201"   "1900"   "$$"   "6.409091"   "44"   "14.000000"   "0.571429"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.071429" 
"822"   "20665"   "1901"   "$"   "5.602410"   "83"   "21.000000"   "0.714286"   "0.095238"   "0.000000"   "0.000000"   "0.095238"   "0.000000"   "0.000000"   "0.000000"   "0.238095" 
"823"   "20664"   "1901"   "$"   "6.212500"   "160"   "65.000000"   "0.430769"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.015385"   "0.000000"   "0.015385" 
"824"   "21390"   "1907"   "$"   "5.635220"   "159"   "51.000000"   "0.333333"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.156863" 
"825"   "21393"   "1900"   "$"   "5.870536"   "224"   "65.000000"   "0.353846"   "0.030769"   "0.000000"   "0.061538"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.030769" 
"826"   "34241"   "1914"   "$$"   "6.117021"   "94"   "31.000000"   "0.161290"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.064516" 
"827"   "33425"   "1915"   "$"   "6.113924"   "474"   "148.000000"   "0.479730"   "0.006757"   "0.000000"   "0.101351"   "0.000000"   "0.000000"   "0.006757"   "0.000000"   "0.216216" 
"828"   "33427"   "1915"   "$"   "6.263488"   "797"   "270.000000"   "0.333333"   "0.007407"   "0.000000"   "0.007407"   "0.000000"   "0.000000"   "0.007407"   "0.000000"   "0.048148" 
"829"   "33426"   "1915"   "$"   "6.295082"   "366"   "105.000000"   "0.580952"   "0.009524"   "0.000000"   "0.019048"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.180952" 
"830"   "33826"   "1914"   "$"   "5.736264"   "91"   "31.000000"   "0.387097"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.096774" 
"831"   "32476"   "1918"   "$$"   "6.523364"   "107"   "31.000000"   "0.193548"   "0.064516"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.032258" 
"832"   "27419"   "1910"   "$"   "6.538462"   "26"   "7.000000"   "0.857143"   "0.000000"   "0.000000"   "0.000000"   "0.142857"   "0.000000"   "0.142857"   "0.000000"   "0.142857" 
"833"   "34871"   "1912"   "$$"   "5.986842"   "76"   "19.000000"   "0.421053"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.052632" 
"834"   "33949"   "1914"   "$"   "6.083102"   "722"   "260.000000"   "0.350000"   "0.000000"   "0.000000"   "0.003846"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.080769" 
"835"   "15923"   "1900"   "$$"   "6.485714"   "35"   "15.000000"   "0.200000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.066667" 
"836"   "24990"   "1906"   "$"   "6.207774"   "2161"   "613.000000"   "0.349103"   "0.029364"   "0.000000"   "0.003263"   "0.001631"   "0.000000"   "0.003263"   "0.000000"   "0.048940" 
"837"   "14696"   "1900"   "$$"   "7.105263"   "19"   "9.000000"   "0.444444"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.111111"   "0.000000"   "0.111111" 
"838"   "14698"   "1900"   "$"   "5.705128"   "78"   "22.000000"   "0.590909"   "0.000000"   "0.000000"   "0.000000"   "0.045455"   "0.000000"   "0.045455"   "0.000000"   "0.090909" 
"839"   "32763"   "1917"   "$"   "6.427770"   "713"   "243.000000"   "0.399177"   "0.032922"   "0.000000"   "0.016461"   "0.000000"   "0.000000"   "0.004115"   "0.000000"   "0.049383" 
"840"   "35265"   "1913"   "$$"   "5.641026"   "39"   "13.000000"   "0.153846"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.076923" 
"841"   "35368"   "1913"   "$"   "6.144516"   "775"   "200.000000"   "0.455000"   "0.020000"   "0.000000"   "0.025000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.090000" 
"842"   "35369"   "1913"   "$"   "5.815412"   "558"   "129.000000"   "0.519380"   "0.046512"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.085271" 
"843"   "23708"   "1900"   "$$"   "6.000000"   "14"   "3.000000"   "1.666667"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.333333"   "0.000000"   "0.333333" 
"844"   "33192"   "1917"   "$"   "6.060345"   "116"   "29.000000"   "0.310345"   "0.000000"   "0.000000"   "0.068966"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.034483" 
"845"   "32765"   "1917"   "$"   "5.333333"   "3"   "1.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"846"   "32764"   "1917"   "$"   "6.196532"   "519"   "176.000000"   "0.357955"   "0.005682"   "0.000000"   "0.017045"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.085227" 
"847"   "32872"   "1917"   "$"   "6.067532"   "385"   "113.000000"   "0.336283"   "0.115044"   "0.000000"   "0.017699"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.035398" 
"848"   "32874"   "1917"   "$$"   "6.119898"   "392"   "94.000000"   "0.648936"   "0.031915"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.010638"   "0.000000"   "0.148936" 
"849"   "32767"   "1917"   "$"   "6.090909"   "33"   "6.000000"   "1.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.333333" 
"850"   "35478"   "1913"   "$$"   "6.543307"   "127"   "39.000000"   "0.205128"   "0.076923"   "0.000000"   "0.000000"   "0.025641"   "0.000000"   "0.000000"   "0.000000"   "0.025641" 
"851"   "34265"   "1914"   "$$"   "6.557692"   "104"   "30.000000"   "0.066667"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"852"   "23808"   "1900"   "$"   "5.543353"   "173"   "68.000000"   "0.205882"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"853"   "25403"   "1907"   "$$"   "6.124260"   "169"   "51.000000"   "0.215686"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.039216" 
"854"   "25156"   "1906"   "$"   "5.908629"   "394"   "137.000000"   "0.270073"   "0.021898"   "0.000000"   "0.007299"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.036496" 
"855"   "35366"   "1913"   "$$"   "6.000000"   "125"   "27.000000"   "0.259259"   "0.370370"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"856"   "16583"   "1900"   "$"   "6.692308"   "13"   "5.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"857"   "12695"   "1900"   "$$"   "5.929752"   "484"   "175.000000"   "0.314286"   "0.022857"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.040000" 
"858"   "21895"   "1907"   "$$"   "6.135371"   "229"   "95.000000"   "0.252632"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.031579" 
"859"   "34027"   "1914"   "$$"   "6.385185"   "270"   "80.000000"   "0.387500"   "0.012500"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.050000" 
"860"   "17189"   "1900"   "$$"   "6.167472"   "621"   "197.000000"   "0.319797"   "0.045685"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.020305" 
"861"   "26262"   "1896"   "$"   "6.585810"   "1043"   "362.000000"   "0.381215"   "0.002762"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.002762"   "0.000000"   "0.060773" 
"862"   "33898"   "1914"   "$"   "5.846774"   "248"   "65.000000"   "0.369231"   "0.015385"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.107692" 
"863"   "21275"   "1906"   "$"   "5.898080"   "1354"   "409.000000"   "0.224939"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.036675" 
"864"   "34146"   "1914"   "$$"   "6.269231"   "52"   "15.000000"   "0.266667"   "0.066667"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"865"   "35178"   "1913"   "$"   "5.944915"   "236"   "60.000000"   "0.433333"   "0.000000"   "0.000000"   "0.133333"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.033333" 
"866"   "34078"   "1914"   "$"   "6.100443"   "677"   "184.000000"   "0.516304"   "0.048913"   "0.000000"   "0.005435"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.125000" 
"867"   "14062"   "1901"   "$"   "6.081301"   "123"   "54.000000"   "0.277778"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.129630" 
"868"   "14060"   "1901"   "$"   "6.112205"   "508"   "116.000000"   "0.456897"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.146552" 
"869"   "13257"   "1900"   "$"   "5.813433"   "134"   "53.000000"   "0.339623"   "0.075472"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.075472" 
"870"   "13250"   "1900"   "$"   "6.550000"   "40"   "14.000000"   "0.571429"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"871"   "14205"   "1901"   "$"   "6.082960"   "446"   "161.000000"   "0.260870"   "0.024845"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.037267" 
"872"   "34045"   "1914"   "$"   "5.838889"   "180"   "50.000000"   "0.380000"   "0.020000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.040000" 
"873"   "18186"   "1900"   "$"   "6.090909"   "209"   "33.000000"   "0.454545"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"874"   "31961"   "1919"   "$"   "5.887755"   "490"   "146.000000"   "0.356164"   "0.000000"   "0.000000"   "0.027397"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.054795" 
"875"   "15551"   "1900"   "$"   "5.798913"   "184"   "62.000000"   "0.241935"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"876"   "25986"   "1905"   "$"   "6.097643"   "594"   "192.000000"   "0.338542"   "0.010417"   "0.000000"   "0.010417"   "0.000000"   "0.000000"   "0.005208"   "0.005208"   "0.098958" 
"877"   "32468"   "1918"   "$$"   "6.751825"   "274"   "104.000000"   "0.278846"   "0.009615"   "0.000000"   "0.009615"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.038462" 
"878"   "32466"   "1918"   "$$"   "6.742857"   "70"   "18.000000"   "0.444444"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.166667" 
"879"   "32467"   "1918"   "$"   "6.324022"   "179"   "57.000000"   "0.140351"   "0.070175"   "0.000000"   "0.000000"   "0.000000"   "0.017544"   "0.000000"   "0.000000"   "0.000000" 
"880"   "32462"   "1918"   "$$"   "6.485714"   "70"   "13.000000"   "0.384615"   "0.000000"   "0.000000"   "0.307692"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"881"   "32460"   "1918"   "$"   "6.279673"   "733"   "223.000000"   "0.417040"   "0.022422"   "0.000000"   "0.008969"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.112108" 
"882"   "32461"   "1918"   "$$"   "6.000000"   "56"   "16.000000"   "0.687500"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.500000" 
"883"   "34608"   "1912"   "$$"   "6.333333"   "96"   "27.000000"   "0.037037"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.037037" 
"884"   "34606"   "1912"   "$$"   "6.256881"   "109"   "34.000000"   "0.147059"   "0.029412"   "0.000000"   "0.000000"   "0.029412"   "0.000000"   "0.000000"   "0.000000"   "0.029412" 
"885"   "22299"   "1900"   "$$"   "6.388889"   "378"   "124.000000"   "0.338710"   "0.016129"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.056452" 
"886"   "22296"   "1901"   "$"   "6.148936"   "47"   "23.000000"   "0.217391"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"887"   "32668"   "1917"   "$$"   "6.329670"   "91"   "34.000000"   "0.411765"   "0.000000"   "0.000000"   "0.000000"   "0.029412"   "0.000000"   "0.000000"   "0.000000"   "0.117647" 
"888"   "33014"   "1917"   "$$"   "6.520325"   "123"   "32.000000"   "0.468750"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.343750" 
"889"   "33466"   "1915"   "$$"   "6.730769"   "52"   "18.000000"   "0.055556"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.055556"   "0.000000" 
"890"   "26184"   "1905"   "$$"   "6.261017"   "295"   "103.000000"   "0.165049"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.038835" 
"891"   "22749"   "1900"   "$$"   "6.198895"   "362"   "104.000000"   "0.173077"   "0.009615"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.009615" 
"892"   "33688"   "1914"   "$$"   "6.219298"   "456"   "154.000000"   "0.220779"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.103896" 
"893"   "31833"   "1921"   "$"   "6.184455"   "862"   "276.000000"   "0.336957"   "0.018116"   "0.000000"   "0.018116"   "0.000000"   "0.000000"   "0.007246"   "0.000000"   "0.079710" 
"894"   "16114"   "1906"   "$"   "5.914591"   "843"   "209.000000"   "0.449761"   "0.019139"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.153110" 
"895"   "16115"   "1906"   "$"   "6.102767"   "253"   "67.000000"   "0.432836"   "0.119403"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.044776" 
"896"   "16116"   "1906"   "$"   "5.882353"   "68"   "17.000000"   "0.470588"   "0.235294"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.176471" 
"897"   "16117"   "1906"   "$"   "5.423529"   "85"   "29.000000"   "0.103448"   "0.034483"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.068966" 
"898"   "16110"   "1906"   "$"   "6.088742"   "755"   "246.000000"   "0.321138"   "0.044715"   "0.000000"   "0.000000"   "0.004065"   "0.000000"   "0.000000"   "0.000000"   "0.040650" 
"899"   "16111"   "1906"   "$"   "5.642857"   "210"   "61.000000"   "0.344262"   "0.065574"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.065574" 
"900"   "16112"   "1906"   "$"   "5.844444"   "90"   "33.000000"   "0.303030"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"901"   "16113"   "1906"   "$"   "5.928144"   "668"   "197.000000"   "0.390863"   "0.005076"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.086294" 
"902"   "13406"   "1900"   "$"   "7.000000"   "7"   "4.000000"   "0.250000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"903"   "32664"   "1917"   "$"   "6.126263"   "198"   "47.000000"   "0.489362"   "0.000000"   "0.000000"   "0.042553"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.127660" 
"904"   "24967"   "1899"   "$"   "6.507143"   "140"   "57.000000"   "0.140351"   "0.035088"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.017544" 
"905"   "19904"   "1900"   "$$"   "6.193662"   "284"   "91.000000"   "0.439560"   "0.021978"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.032967"   "0.000000"   "0.054945" 
"906"   "32665"   "1917"   "$$"   "5.379310"   "29"   "6.000000"   "0.166667"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"907"   "25215"   "1906"   "$"   "6.142346"   "1117"   "390.000000"   "0.289744"   "0.020513"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.051282" 
"908"   "25212"   "1901"   "$$"   "6.305085"   "59"   "20.000000"   "0.200000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.050000" 
"909"   "32351"   "1918"   "$"   "6.044025"   "159"   "49.000000"   "0.326531"   "0.163265"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.040816" 
"910"   "20933"   "1900"   "$"   "6.324930"   "357"   "137.000000"   "0.299270"   "0.007299"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.051095" 
"911"   "12556"   "1900"   "$$"   "6.018382"   "272"   "108.000000"   "0.185185"   "0.046296"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.037037" 
"912"   "23599"   "1906"   "$$"   "6.298611"   "144"   "47.000000"   "0.085106"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"913"   "33278"   "1915"   "$"   "5.702970"   "101"   "27.000000"   "0.111111"   "0.148148"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.037037" 
"914"   "32660"   "1918"   "$"   "6.414201"   "169"   "40.000000"   "0.575000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.225000" 
"915"   "33158"   "1917"   "$$"   "5.901099"   "91"   "25.000000"   "0.160000"   "0.040000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.040000" 
"916"   "33155"   "1917"   "$$"   "6.408333"   "120"   "35.000000"   "0.200000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.028571" 
"917"   "33157"   "1917"   "$"   "5.917127"   "181"   "42.000000"   "0.547619"   "0.047619"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.166667" 
"918"   "33156"   "1917"   "$"   "6.183673"   "98"   "23.000000"   "0.565217"   "0.130435"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"919"   "33151"   "1917"   "$$"   "6.270492"   "122"   "33.000000"   "0.454545"   "0.121212"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.030303"   "0.000000"   "0.030303" 
"920"   "33150"   "1917"   "$$"   "5.949367"   "79"   "19.000000"   "0.421053"   "0.052632"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.052632" 
"921"   "33153"   "1917"   "$$"   "6.315217"   "92"   "24.000000"   "0.291667"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.083333" 
"922"   "33152"   "1917"   "$$"   "6.278689"   "183"   "32.000000"   "0.875000"   "0.031250"   "0.000000"   "0.125000"   "0.000000"   "0.000000"   "0.031250"   "0.000000"   "0.218750" 
"923"   "12919"   "1900"   "$"   "6.046667"   "150"   "60.000000"   "0.500000"   "0.016667"   "0.000000"   "0.000000"   "0.016667"   "0.000000"   "0.016667"   "0.000000"   "0.050000" 
