 "menuid"   "year"   "price"   "avgwordlen"   "numwords"   "numitems"   "adj"   "choice"   "person"   "traditional"   "origin"   "generous"   "useless"   "delicious"   "sensoryadj" 
"32"   "33501"   "1915"   "$"   "5.929577"   "71"   "23.000000"   "0.260870"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"33"   "33858"   "1914"   "$$"   "6.160714"   "56"   "16.000000"   "0.125000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"34"   "33859"   "1914"   "$$"   "6.168539"   "89"   "16.000000"   "0.625000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"35"   "27618"   "1910"   "$"   "6.360215"   "186"   "65.000000"   "0.430769"   "0.000000"   "0.000000"   "0.000000"   "0.015385"   "0.000000"   "0.000000"   "0.000000"   "0.046154" 
"36"   "33111"   "1917"   "$"   "5.285714"   "42"   "10.000000"   "0.100000"   "0.200000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.100000" 
"37"   "21734"   "1901"   "$"   "5.906667"   "75"   "22.000000"   "0.363636"   "0.000000"   "0.000000"   "0.000000"   "0.045455"   "0.000000"   "0.000000"   "0.000000"   "0.181818" 
"38"   "12831"   "1900"   "$$"   "6.272727"   "143"   "52.000000"   "0.153846"   "0.038462"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"39"   "12837"   "1900"   "$$"   "6.446429"   "56"   "19.000000"   "0.263158"   "0.052632"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"40"   "12839"   "1900"   "$$"   "6.137045"   "467"   "145.000000"   "0.358621"   "0.075862"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.055172" 
"41"   "34550"   "1912"   "$$"   "6.055556"   "54"   "15.000000"   "0.133333"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.066667" 
"42"   "34552"   "1912"   "$"   "6.400000"   "95"   "28.000000"   "0.142857"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.035714" 
"43"   "32917"   "1917"   "$$"   "6.136564"   "227"   "86.000000"   "0.325581"   "0.023256"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.081395" 
"44"   "22676"   "1900"   "$$"   "5.972389"   "833"   "273.000000"   "0.406593"   "0.007326"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.010989"   "0.000000"   "0.095238" 
"45"   "15007"   "1900"   "$"   "5.858491"   "106"   "41.000000"   "0.365854"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.097561" 
"46"   "34212"   "1914"   "$$"   "6.592593"   "54"   "16.000000"   "0.312500"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.062500"   "0.000000"   "0.062500" 
"47"   "13619"   "1901"   "$"   "5.916418"   "1340"   "427.000000"   "0.318501"   "0.032787"   "0.000000"   "0.004684"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.042155" 
"48"   "34173"   "1914"   "$"   "6.228637"   "433"   "133.000000"   "0.338346"   "0.015038"   "0.000000"   "0.075188"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.052632" 
"49"   "21288"   "1900"   "$$"   "6.156250"   "32"   "9.000000"   "0.777778"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"50"   "16251"   "1901"   "$"   "6.011696"   "171"   "63.000000"   "0.190476"   "0.015873"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.031746" 
"51"   "34387"   "1913"   "$$"   "6.367758"   "397"   "140.000000"   "0.221429"   "0.000000"   "0.000000"   "0.000000"   "0.007143"   "0.000000"   "0.007143"   "0.000000"   "0.057143" 
"52"   "34329"   "1914"   "$"   "5.802661"   "451"   "140.000000"   "0.421429"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.057143" 
"53"   "32440"   "1918"   "$$"   "5.500000"   "6"   "1.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"54"   "21420"   "1906"   "$$"   "6.238562"   "306"   "97.000000"   "0.164948"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.010309"   "0.000000"   "0.041237" 
"55"   "21421"   "1901"   "$$"   "6.340839"   "1288"   "373.000000"   "0.268097"   "0.005362"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.061662" 
"56"   "32624"   "1918"   "$$"   "6.312977"   "131"   "31.000000"   "0.419355"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.064516" 
"57"   "33028"   "1917"   "$"   "5.893939"   "66"   "11.000000"   "0.545455"   "0.454545"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.090909" 
"58"   "33759"   "1914"   "$$"   "5.929825"   "114"   "43.000000"   "0.395349"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.046512" 
"59"   "33026"   "1917"   "$"   "6.277027"   "148"   "22.000000"   "1.000000"   "0.181818"   "0.000000"   "0.045455"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.227273" 
"60"   "33021"   "1917"   "$"   "6.212014"   "566"   "177.000000"   "0.412429"   "0.067797"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.050847" 
"61"   "33391"   "1915"   "$"   "6.129630"   "54"   "13.000000"   "0.538462"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.076923" 
"62"   "35064"   "1913"   "$"   "5.898305"   "118"   "39.000000"   "0.230769"   "0.000000"   "0.000000"   "0.051282"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.051282" 
"63"   "24551"   "1899"   "$$"   "6.405640"   "461"   "181.000000"   "0.220994"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.055249" 
"64"   "24559"   "1900"   "$$"   "6.164544"   "942"   "293.000000"   "0.276451"   "0.006826"   "0.000000"   "0.000000"   "0.003413"   "0.000000"   "0.003413"   "0.000000"   "0.023891" 
"65"   "33932"   "1914"   "$"   "6.230563"   "746"   "216.000000"   "0.342593"   "0.009259"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.050926" 
"66"   "14477"   "1907"   "$"   "5.757895"   "95"   "27.000000"   "0.592593"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.111111" 
"67"   "34303"   "1914"   "$$"   "6.638889"   "36"   "7.000000"   "1.142857"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.142857"   "0.000000"   "0.142857" 
"68"   "24866"   "1907"   "$"   "6.666667"   "12"   "2.000000"   "0.500000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"69"   "34309"   "1914"   "$$"   "6.107784"   "167"   "50.000000"   "0.040000"   "0.000000"   "0.000000"   "0.000000"   "0.020000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"70"   "34308"   "1914"   "$"   "6.472222"   "36"   "13.000000"   "0.153846"   "0.000000"   "0.000000"   "0.076923"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"71"   "13849"   "1900"   "$"   "6.000000"   "3"   "1.000000"   "1.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"72"   "13848"   "1900"   "$"   "6.410256"   "78"   "28.000000"   "0.285714"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"73"   "32144"   "1916"   "$"   "5.915929"   "226"   "89.000000"   "0.213483"   "0.033708"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.033708" 
"74"   "32864"   "1917"   "$$"   "6.538071"   "197"   "55.000000"   "0.436364"   "0.000000"   "0.000000"   "0.018182"   "0.000000"   "0.000000"   "0.018182"   "0.000000"   "0.054545" 
"75"   "32865"   "1917"   "$$"   "6.351351"   "37"   "11.000000"   "0.181818"   "0.272727"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.090909" 
"76"   "32868"   "1917"   "$$"   "6.017467"   "229"   "65.000000"   "0.076923"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"77"   "32869"   "1917"   "$"   "6.595506"   "89"   "30.000000"   "0.266667"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.033333" 
"78"   "33390"   "1915"   "$"   "5.923077"   "26"   "7.000000"   "0.571429"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"79"   "31712"   "1920"   "$"   "5.816568"   "169"   "55.000000"   "0.290909"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.054545" 
"80"   "23260"   "1905"   "$$"   "5.946372"   "1268"   "396.000000"   "0.409091"   "0.080808"   "0.000000"   "0.007576"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.078283" 
"81"   "23261"   "1900"   "$"   "5.970588"   "68"   "18.000000"   "0.388889"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.055556" 
"82"   "31715"   "1920"   "$"   "6.142480"   "379"   "101.000000"   "0.455446"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.108911" 
"83"   "32449"   "1918"   "$$"   "5.000000"   "5"   "1.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"84"   "22245"   "1901"   "$"   "6.067568"   "74"   "20.000000"   "0.250000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.050000" 
"85"   "34547"   "1912"   "$$"   "6.000000"   "35"   "9.000000"   "0.222222"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"86"   "32626"   "1918"   "$$"   "6.247706"   "109"   "23.000000"   "0.565217"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.043478" 
"87"   "27390"   "1910"   "$"   "6.077320"   "194"   "67.000000"   "0.373134"   "0.000000"   "0.000000"   "0.000000"   "0.014925"   "0.000000"   "0.000000"   "0.000000"   "0.044776" 
