"name"   "category"   "city"   "restdollars"   "numitems"   "origin"   "traditional"   "generous"   "participle"   "useless"   "delicious"   "choice"   "adj"   "sensoryadj"   "length"   "wordlen"
 "1"   "Tiffin Etc."   "indian"   "philadelphia"   "2.0"   "24"   "0.0833"   "0.4167"   "0.0000"   "1.2500"   "0.0000"   "0.0000"   "0.0000"   "2.0417"   "0.5000"   "12.4583"   "6.5806"
 "2"   "City Pie"   "pizza"   "nyc"   "1.0"   "47"   "0.0000"   "0.0000"   "0.0000"   "0.1915"   "0.0426"   "0.0000"   "0.2128"   "1.2766"   "0.2553"   "8.8085"   "6.2053"
 "3"   "Gaetanos"   "other"   "philadelphia"   "2.0"   "316"   "0.0000"   "0.0222"   "0.0063"   "0.1582"   "0.0127"   "0.0000"   "0.0127"   "1.0949"   "0.0981"   "5.9399"   "6.5022"
 "4"   "Wayo"   "sushi bars"   "sf"   "2.0"   "57"   "0.0000"   "0.0000"   "0.0000"   "0.0526"   "0.0000"   "0.0000"   "0.0000"   "0.3509"   "0.0877"   "3.5439"   "5.7928"
 "5"   "Chic's Seafood"   "seafood"   "sf"   "2.0"   "89"   "0.0225"   "0.0000"   "0.0112"   "0.5169"   "0.0337"   "0.0000"   "0.0674"   "1.1685"   "0.2247"   "10.6067"   "6.1186"
 "6"   "Harmony Bakery"   "bakeries"   "philadelphia"   "1.0"   "67"   "0.0000"   "0.0000"   "0.0000"   "0.0896"   "0.0000"   "0.0000"   "0.0448"   "0.3582"   "0.0597"   "5.2537"   "5.0833"
 "7"   "Pasquale's"   "pizza"   "sf"   "2.0"   "67"   "0.0000"   "0.0000"   "0.0000"   "0.1194"   "0.0000"   "0.0000"   "0.1194"   "0.5224"   "0.1194"   "6.2388"   "5.2430"
 "8"   "Braeburn"   "american (new)"   "nyc"   "3.0"   "29"   "0.1379"   "0.0000"   "0.0000"   "0.5172"   "0.0000"   "0.0000"   "0.0000"   "1.3448"   "0.3103"   "7.9310"   "6.9332"
 "9"   "Rock Center Cafe"   "american (new)"   "nyc"   "3.0"   "28"   "0.0357"   "0.0000"   "0.0000"   "0.2857"   "0.0000"   "0.0000"   "0.2500"   "0.8214"   "0.0714"   "5.5000"   "6.5429"
 "10"   "Thai Basil"   "chinese"   "nyc"   "1.0"   "55"   "0.0182"   "0.0364"   "0.0000"   "0.3091"   "0.0182"   "0.0000"   "0.4545"   "1.7818"   "0.6000"   "16.5455"   "6.0054"
 "11"   "Grand Pu Bah"   "thai"   "sf"   "2.0"   "62"   "0.0645"   "0.0484"   "0.0000"   "0.3226"   "0.0000"   "0.0000"   "0.0806"   "1.6452"   "0.6613"   "12.7097"   "6.3172"
 "12"   "Tacomiendo"   "mexican"   "la"   "1.0"   "48"   "0.0000"   "0.0833"   "0.0000"   "0.5000"   "0.0000"   "0.0000"   "0.7292"   "1.7500"   "0.4583"   "14.8958"   "5.8928"
 "13"   "Domino's Pizza"   "pizza"   "boston"   "1.0"   "89"   "0.0562"   "0.0000"   "0.0674"   "0.7528"   "0.0449"   "0.0899"   "0.1685"   "3.0449"   "0.7528"   "18.2472"   "6.4237"
