core,name,power,rating,url,series,brand,corename,rank,productname,l3cache,l2cache,freq,price,socket
2,Pentium E2220,65W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIAAEE4M09790,,Intel,Allendale,207,Intel Pentium E2220 Allendale Dual-Core 2.4 GHz LGA 775 65W BX80557E2220 Processor,,1MB,2.4 GHz,135,LGA 775
2,Celeron E3500,65W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIAAEE4M09745,Celeron,Intel,Wolfdale,219,Intel Celeron E3500 Wolfdale Dual-Core 2.7 GHz LGA 775 65W BX80571E3500 Desktop Processor,,1MB,2.7 GHz,65,LGA 775
2,,65W,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA30R4SB3065,,,Kaveri,226,"AMD A6-7400 Dual-Core APU Kaveri Processor 3.5GHz Socket FM2+, ",,,,95.28,FM2+
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIABEY50G6134,,Lenovo,,232,Lenovo Intel Xeon E7-8850 Deca-core (10 Core) 2 GHz Processor Upgrade - Socket LGA-1567,,,,700,None
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIAAVC49J7787,,DELL,,240,Intel 2.5 GHz Core i5 CPU Processor I5-2520M SR048 Dell Latitude E6420,,,,163,None
4,Core i7-4790S,65W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIA24G3RH6317,Core i7,Intel,Haswell,256,Intel Core i7-4790S Haswell Quad-Core 3.2 GHz LGA 1150 65W BX80646I74790S Desktop Processor Intel HD Graphics 4600,8MB,4 x 256KB,3.2 GHz,328.63,LGA 1150
4,A10-6700T,45W,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA24G4NE1869,A-Series APU,AMD,Richland,255,AMD A10-6700T Richland Quad-Core 2.5GHz (3.5GHz Turbo) Socket FM2 45W AD670TYHHLBOX Desktop Processor AMD Radeon HD 8650D,,2 x 2MB,2.5GHz (3.5GHz Turbo),140.91,FM2
4,Core i7-6700 8M,65W,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA1UH3Z96490,Core i7,Intel,,254,Intel Core i7-6700 8M Quad-Core 3.4 GHz LGA 1151 65W CM8066201920103 Desktop Processor Intel?? HD Graphics 530,,,3.4 GHz,312.65,LGA 1151
4,Core i7-4790S,65W,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA1UH4RM4070,Core i7,Intel,Haswell,252,Intel Core i7-4790S Haswell Quad-Core 3.2 GHz LGA 1150 65W CM8064601561014 Desktop Processor Intel HD Graphics 4600,8MB,,3.2 GHz,314.47,LGA 1150
8,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA75M2XT6653,Opteron,HP,,251,HP Opteron 6136 2.40 GHz Processor Upgrade - Socket G34 LGA-1974,12MB,4MB,2.4 GHz,458.95,G34 LGA-1974
