rating,chipmake,brand,memorysize,rank,boostclock,coreclock,url,memorytype,memoryclock,memoryinterface,gpu,model,productname,price
Rating + 3,AMD,AMD,1GB,430,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA4GH4VE9108,,,,AMD Radeon HD 7570,HD 7570,"Dell AMD Radeon HD 7570 1GB GDDR5 PCIe 2.1 x16 Video Card, NJ0D3",49.00
Rating + 3,NVIDIA,EVGA,1GB,429,,954 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA1N83WM4204,DDR3,1800 MHz,64-Bit,GeForce GT 710,01G-P3-2716-KR,EVGA GeForce GT 710 DirectX 12 01G-P3-2716-KR 1GB 64-Bit DDR3 PCI Express 2.0 Video Card,41.84
Rating + 3,,inno3d,,428,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA30R3Y40473,,,,GeForce GT 730,,INNO3D NVIDIA Geforce 4 GB PCI Express x16 Video Graphics Card HMDI Low profile,140.29
Rating + 3,NVIDIA,PNY,1GB,427,,954 MHz,http://www.newegg.com/Product/Product.aspx?Item=N82E16814133622,DDR3,1600MHz,64-Bit,GeForce GT 710,VCGGT710XPB,PNY GeForce GT 710 DirectX 12 VCGGT710XPB 1GB 64-Bit DDR3 PCI Express 2.0 x 8 Low Profile Video Card,39.99
Rating + 3,NVIDIA,Inno3D,2GB,426,,1178 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA4UB4J62603,GDDR5,7Gbps,128-Bit,GeForce GTX 960,VC-GTX960OC-2GB,"Inno3D NVIDIA Geforce GTX 960 OC Overclocked 2GB Video Graphics Card DirectX 12API SLI,HDMI,DP X3, DVI 4K",294.99
Rating + 3,NVIDIA,ASUS,2GB,425,,810 MHz,http://www.newegg.com/Product/Product.aspx?Item=N82E16814121646,DDR3,1200 MHz,64-Bit,GeForce GT 610,GT610-2GD3-CSM,ASUS GeForce GT 610 DirectX 11 GT610-2GD3-CSM 2GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Video Card,37.99
Rating + 3,NVIDIA,EVGA,4GB,424,1279 MHz,1140 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA73M4T20673,GDDR5,7010 MHz,256-Bit,GeForce GTX 970,04G-P4-1976-KR,"EVGA GeForce GTX 970 04G-P4-1976-KR 4GB HYBRID GAMING, ""All in One"" No Hassle Water Cooling, Just Plug and Play Graphics Card",478.77
Rating + 3,NVIDIA,,4GB,423,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA70F4YP7688,,,,GeForce GT 730,,INNO3D NVIDIA Geforce 4 GB PCI Express x16 Video Graphics Card HMDI Low profile,125.99
Rating + 3,AMD,ASUS,2GB,422,,650 MHz,http://www.newegg.com/Product/Product.aspx?Item=N82E16814121880,DDR3,1200 MHz,64-Bit,R5 230,R5230-SL-2GD3-L,Asus R5230-SL-2GD3-L Radeon R5 230 Graphic Card - 650 MHz Core - 2 GB DDR3 SDRAM - PCI Express 2.1 - Low-profile,55.99
Rating + 3,,MSI,3GB,421,1733 MHz,1544 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA1N84X99251,GDDR5,,192-Bit,NVIDIA GeForce® GTX 1060,GeForce GTX 1060 3GT OC,"MSI GTX1060 3GT OC 3GDR5, DUAL FAN, DP,HDMI, DL-DVI-D, PCIE
(GTX1060 3GT OC 3GDR5) (GEFORCE® GTX 1060 3GT OC)",222.96
Rating + 3,NVIDIA,ASUS,2GB,420,,797MHz,http://www.newegg.com/Product/Product.aspx?Item=N82E16814121895,DDR3,900 MHz,64-Bit,GeForce GT 720,GT720-2GD3-CSM,ASUS GeForce GT 720 DirectX 11 GT720-2GD3-CSM 2GB 64-Bit DDR3 PCI Express 2.0 x 8 HDCP Ready Video Card,55.42
Rating + 3,NVIDIA,EVGA,2GB,419,1190 MHz,1025 MHz,http://www.newegg.com/Product/Product.aspx?Item=N82E16814487238,GDDR5,6610 MHz,128-Bit,GeForce GTX 950,02G-P4-1952-KR,EVGA GeForce GTX 950 02G-P4-1952-KR 2GB 128-Bit GDDR5 PCI Express 3.0 x16 SLI Support GAMING Video Card,152.99
Rating + 3,AMD,PowerColor,2GB,418,,1050 MHz,http://www.newegg.com/Product/Product.aspx?Item=N82E16814131689,GDDR5,1500 MHz x 4 (6.0 Gbps),128-Bit,Radeon R7 360,AXR7 360 2GBD5-DHE,PowerColor Radeon R7 360 DirectX 12 AXR7 360 2GBD5-DHE 2GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready CrossFireX Support ATX Video Card,94.99
Rating + 3,NVIDIA,PNY,4GB,417,1178 MHz,1050 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA5753N86085,GDDR5,7010 MHz,256-Bit,GeForce GTX 970,VCGGTX9704XPB,PNY NVIDIA GeForce GTX 970 4GB GDDR5 DVI/Mini HDMI/3Mini DisplayPort PCI-Express Video Graphics Card,476.77
Rating + 3,AMD,VisionTek,512MB,416,,650 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA24G4994738,DDR3,,,Radeon 7350,900608,VisionTek Radeon 7350 900608 512MB DDR3 PCI ATX Video Card,100.14
Rating + 3,AMD,VisionTek,3GB,415,,,http://www.newegg.com/Product/Product.aspx?Item=N82E16814129293,GDDR5,,384-Bit,Radeon R9 280,900689,VisionTek Radeon R9 280 900689 3GB 384-Bit GDDR5 PCI Express 3.0 Video Card,229.99
Rating + 3,NVIDIA,PNY,2GB,414,,700MHz,http://www.newegg.com/Product/Product.aspx?Item=N82E16814133543,DDR3,1070 MHz,128-Bit,GeForce GT 730,VCGGT7302D3LXPB,PNY GT 700 GeForce GT 730 DirectX 12 (feature 11_0) VCGGT7302D3LXPB 2GB 128-Bit DDR3 PCI Express 2.0 Low Profile Ready Video Card,57.99
Rating + 3,AMD,XFX,2GB,413,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA1N84172623,DDR5,,128-Bit,R7 360,,XFX Radeon R7 360 Graphic Card - 1.05 GHz Core - 2 GB DDR5 SDRAM - PCI Express 3.0 - Dual Slot Space Required,110.19
Rating + 3,,ASUS,,412,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA2F84WP1127,,,,,,ASUS Dual-fan Radeon RX 480 4GB AMD Gaming Graphics Card with DP 1.4 HDMI 2.0 (DUAL-RX480-4G),238.35
Rating + 3,,,,411,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA0FU4YS4899,,,,,,eVGA Video Card 08G-P4-5182-KR GTX 1080 SC 8GB GDDR5X 256Bit DVI-D/3xDisplayPort/HDMI ,680.20
Rating + 3,ATI,XFX,1GB,410,,650 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA1N82KJ3939,DDR3,1066MHz,64-Bit,Radeon HD 5450,HD-545X-ZQH2,XFX HD 5000 Radeon HD 5450 DirectX 11 HD-545X-ZQH2 1GB 64-Bit DDR3 PCI Express 2.1 x16 HDCP Ready Low Profile Ready Video Card,32.50
Rating + 3,NVIDIA,JATON,512MB,409,,,http://www.newegg.com/Product/Product.aspx?Item=9SIAA8S4G51932,DDR2,,64-Bit,GeForce 6200A,3DForce 6200Xe-DVI,JATON GeForce 6200A 3DForce 6200Xe-DVI 512MB 64-Bit DDR2 AGP 4X/8X Low Profile Ready Video Card,34.95
Rating + 3,NVIDIA,EVGA,2GB,408,,902 MHz,http://www.newegg.com/Product/Product.aspx?Item=1FT-001K-00003,DDR3,1800 MHz,64-Bit,GeForce GT 730,02G-P3-1733-KR,EVGA GeForce GT 730 DirectX 12 02G-P3-1733-KR 2GB 64-Bit DDR3 PCI Express 2.0 x 8 Video Card,55.99
Rating + 3,NVIDIA,PNY,,407,1178 MHz,1050 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA70F4TW8668,,7010 MHz,,GeForce GTX 970,,PNY NVIDIA GeForce GTX 970 4GB 256-Bit GDDR5 DVI/Mini HDMI/3Mini DisplayPort PCI-Express Video Graphics Card,476.75
Rating + 3,NVIDIA,MSI,2GB,406,,954 MHz,http://www.newegg.com/Product/Product.aspx?Item=N82E16814127933,DDR3,1600MHz,64-Bit,GeForce GT 710,GT 710 2GD3H LP,MSI GeForce GT 710 DirectX 12 GT 710 2GD3H LP 2GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,42.99
Rating + 3,NVIDIA,MSI,2GB,405,,954 MHz,http://www.newegg.com/Product/Product.aspx?Item=N82E16814127932,DDR3,1600MHz,64-Bit,GeForce GT 710,GT 710 2GD3 LP,MSI GeForce GT 710 DirectX 12 GT 710 2GD3 LP 2GB 64-Bit DDR3 PCI Express 2.0 x 8 HDCP Ready Low Profile Video Card,39.99
Rating + 3,AMD,SAPPHIRE,,404,,1040 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA70F4TW7878,GDDR5,6000 MHz,512-Bit,Radeon R9 390,,Sapphire Nitro AMD Radeon R9 390 8GB 512-Bit GDDR5 DirectX 12 OpenGL 4.5 DVI/HDMI/3DisplayPort PCI-Express Video Graphics Card,537.36
Rating + 3,NVIDIA,EVGA,8GB,403,1733 MHz,1607 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA2F84DW6362,GDDR5X,10000 MHz,256-Bit,GeForce GTX 1080,08G-P4-6284-KR,"EVGA GeForce GTX 1080 FTW DT GAMING ACX 3.0, 8GB GDDR5X, RGB LED, 10CM FAN, 10 Power Phases, DX12, 08G-P4-6284-KR",672.32
Rating + 3,NVIDIA,Colorful,2GB,402,1000MHz,,http://www.newegg.com/Product/Product.aspx?Item=9SIA1NV45S9332,DDR3,,64-Bit,GT610,GT610 GPU,Colorful 2048MB NVIDIA GeForce GT710 GPU 2GB 64bit DVI+VGA+HDMI Port DDR3 PCI-E X16 2.0 Video Graphics Card with Cooling Fan,69.99
Rating + 3,NVIDIA,GIGABYTE,4GB,401,1279 MHz (OC Mode),1216 MHz (OC Mode),http://www.newegg.com/Product/Product.aspx?Item=9SIA85V4RA5982,GDDR5,7010 MHz,128-Bit,GeForce GTX 960,GV-N960OC-4GD (rev. 1.0),GIGABYTE GeForce GTX 960 4GB WINDFORCE 2X OC EDITION,399.89
Rating + 3,AMD,SAPPHIRE,4GB,400,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA0AJ3U43955,GDDR5,,,Radeon R9 380X,100383NTOCL,SAPPHIRE NITRO Radeon R9 380X 100383NTOCL 4GB GDDR5 PCI Express 3.0 Dual-X OC Version w/ backplate (UEFI) Video Card,399.95
Rating + 3,NVIDIA,JATON,512MB,399,,,http://www.newegg.com/Product/Product.aspx?Item=N82E16814139058,DDR2,,128-Bit,GeForce 210,VIDEO-PX210-LX,JATON GeForce 210 DirectX 10 VIDEO-PX210-LX 512MB 128-Bit DDR2 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card,55.99
Rating + 4,,,,397,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA85V4SD7568,,,,,,eVGA Video Cards VCX 08G-P4-6181-KR GTX 1080 ACX 3.0 8GB DDR5 256Bit PCI Express 3.0 DVI-D/HDMI/Display Port ,713.98
Rating + 4,NVIDIA,,2GB,396,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA4F944H3954,DDR5,1333MHz,128-Bit,GeForce GT 730,2090256868,Inno3D Geforce GT 730 2GB DDR5 PCI Expressx16 Video Graphics Card HMDI windows 8/7/10,98.00
Rating + 4,NVIDIA,INNO3D,4GB,395,1228 MHz,,http://www.newegg.com/Product/Product.aspx?Item=9SIA4F941H0096,GDDR5,7.0Gbps,256-Bit,GeForce GTX 970,VC-GTX970OC-4GB,"Inno3D NVIDIA Geforce GTX 970 4GB Overclocked Video Card HD1080,4K,4 monitors",339.00
Rating + 4,,,,394,,,http://www.newegg.com/Product/Product.aspx?Item=9SIAA4T4Z27352,,,,,,Nvidia GeForce GTX 680M 4GB GDDR5 MXM Mobile Graphics Card N13E-GTX-A2 for Alienware M18xR2 M17xR4 Laptops,319.00
Rating + 4,,,,393,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA2F84J52720,,,,,,Sapphire Video Card 11260-01-20G NITRO+ RX480 8GB GDDR5 256Bit OC PCI Express 3.0 HDMI/DVI-D ,291.36
Rating + 4,NVIDIA,EVGA,8GB,392,1733 MHz,1607 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA73M4SV4855,GDDR5X,10000 MHz,256-Bit,GeForce GTX 1080 FE,08G-P4-6180-KR,"EVGA GeForce GTX 1080 Founders Edition, 08G-P4-6180-KR, 8GB GDDR5X, LED, DX12 OSD Support (PXOC) Video Graphics Card","1,022.77"
Rating + 4,NVIDIA,MSI,6GB,391,1190 MHz,1102 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA73M4UH3208,GDDR5,7010 MHz,384-Bit,GeForce GTX 980 Ti,GTX 980Ti 6GD5T OC,MSI GeForce GTX 980TI 6GD5T OC,"1,124.77"
Rating + 4,NVIDIA,ZOTAC,6GB,390,1140 MHz,1051 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA6ZP3Y84754,GDDR5,7010 MHz,384-Bit,GeForce GTX 980 Ti,ZT-90503-10P,ZOTAC GeForce GTX 980 Ti 6GB AMP!,673.34
Rating + 4,NVIDIA,MSI,4GB,389,1241 MHz,1178 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA85V4R42066,GDDR5,7010MHz,128-Bit,GeForce GTX 960,GTX 960 4GD5T OC,MSI GeForce GTX 960 DirectX 12 GTX 960 4GD5T OC 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support ATX Video Card,399.89
Rating + 4,AMD,SAPPHIRE,1GB,388,,625MHz,http://www.newegg.com/Product/Product.aspx?Item=N82E16814102933,DDR3,1334MHz,64-Bit,Radeon HD 6450,100322L,SAPPHIRE Radeon HD 6450 1GB 64-bit DDR3 PCI Express 2.1 x16 HDCP Ready  Video Card    ( 100322L),42.99
Rating + 4,NVIDIA,ZOTAC,1GB,387,,954 MHz,http://www.newegg.com/Product/Product.aspx?Item=N82E16814500395,DDR3,1600MHz,64-Bit,GeForce GT 710,ZT-71304-20L,ZOTAC GeForce GT 710 DirectX 12 ZT-71304-20L 1GB 64-Bit DDR3 PCI Express x1 HDCP Ready Video Card,45.99
Rating + 4,AMD,Laintek,1GB,386,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA4UB1UP5376,GDDR5,,,Radeon R7 250X,09799472,Asus AMD Radeon R7 250X 1GB GDDR5 DVI/HDMI/DisplayPort PCI-Express Video Card,196.68
Rating + 4,NVIDIA,GIGABYTE,1GB,385,,954 MHz,http://www.newegg.com/Product/Product.aspx?Item=N82E16814125900,DDR3,1600MHz,64-Bit,GeForce GT 710,GV-N710D3-1GL REV2.0,GIGABYTE GeForce GT 710 DirectX 12 GV-N710D3-1GL REV2.0 1GB 64-Bit DDR3 PCI Express 2.0 Low Profile Video Card,32.99
Rating + 4,NVIDIA,EVGA,8GB,384,1733 MHz,1607 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA73M4TC1628,GDDR5X,10000 MHz,256-Bit,GeForce GTX 1080 FE,08G-P4-6180-KR,EVGA GeForce GTX 1080 8GB 1.61 GHz Core 1.73 GHz Boost Clock Founders Edition GDDR5X LED DX12 OSD Support (PXOC) 08G-P4-6180-KR Video Graphics Card,"1,023.77"
Rating + 4,NVIDIA,GIGABYTE,2GB,383,1253 MHz in OC Mode,1190 MHz in OC Mode,http://www.newegg.com/Product/Product.aspx?Item=9SIA85V4SC8370,GDDR5,7010 MHz,128-Bit,GeForce GTX 960,GV-N960IXOC-2GD,GIGABYTE GeForce GTX 960 2GB Mini ITX OC EDITION,399.89
Rating + 4,,,2GB,382,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA30R4KR5413,,,128-Bit,,,GIGABYTE NVIDIA GeForce GTX 750 Ti OC 2GB GDDR5 DVI/2HDMI/DisplayPort Low,195.01
Rating + 4,NVIDIA,EVGA,8GB,381,1847 MHz,1708 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA73M4TC1388,GDDR5X,10000 MHz,256-Bit,GeForce GTX 1080,08G-P4-6183-KR,EVGA Nvidia GeForce GTX 1080 SC GAMING ACX 3.0 Superclocked 8GB Edition  GDDR5X LED DX12 OSD Support 08G-P4-6183-KR Video Graphics Card,955.77
Rating + 4,NVIDIA,INNO3D,2GB,380,1241 MHz,1178 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA5753Z11543,GDDR5,,128-Bit,,VC-GTX960OC-2GB,"Inno3D NVIDIA Geforce GTX 960 OC Video Graphics Card SLI,HDMI 2.0,4K,4 monitors",290.77
Rating + 4,AMD,SAPPHIRE,4GB,379,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA24G4W98324,GDDR5,,128-Bit,Graphics Core Next (GCN),32258-00-20G,SAPPHIRE GPRO 6200 Graphics Core Next (GCN) DirectX 12 32258-00-20G 4GB 128-Bit GDDR5 PCI Express 3.0 Low Profile Video Card,203.80
Rating + 4,AMD,VisionTek,2GB,378,,800MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA2F83RC2690,DDR3,800MHz x2 (1600MHz Effective),128-Bit,Radeon HD 7750,900686,"Visiontek Radeon 7750 SFF 2GB DDR3 3M (2 x HDMI, miniDP)",261.85
Rating + 4,NVIDIA,MSI,8GB,377,1797 MHz (OC Mode). 1771 MHz (Gaming Mode).,1607 MHz (OC Mode). 1582 MHz (Gaming Mode).,http://www.newegg.com/Product/Product.aspx?Item=9SIA73M4TK4397,GDDR5,8108 MHz,256-Bit,GeForce GTX 1070,GeForce GTX 1070 SEA HAWK X,MSI GeForce GTX 1070 8GB DirectX 12 GeForce GTX 1070 SEA HAWK X 256-Bit GDDR5 DVI/HDMI/3DisplayPort PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Graphics Card,698.77
Rating + 4,NVIDIA,EVGA,6GB,376,1291 MHz,1190 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA73M4T27186,GDDR5,7010 MHz,384-Bit,GeForce GTX 980 Ti,06G-P4-4996-KR,"EVGA GeForce GTX 980 Ti 6GB 06G-P4-4996-KR FTW GAMING w/ACX 2.0+, Whisper Silent Cooling w/ Free Installed Backplate Video Graphics Card",899.77
Rating + 4,AMD,VisionTek,1GB,375,,650 MHz,http://www.newegg.com/Product/Product.aspx?Item=N82E16814129302,DDR3,,,HD 7350,900607,"Visiontek Radeon 7350 SFF 1GB DDR3 3M DMS59 (2 x DVI-I, DP) w/ 2 x DVI-I to VGA Adapter",104.99
Rating + 4,NVIDIA,EVGA,2GB,374,,810 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA1N83U88414,DDR3,1000 MHz,64-Bit,GeForce GT 610,02G-P3-2619-KR,EVGA GeForce GT 610 DirectX 12 (feature level 11_0) 02G-P3-2619-KR 2GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Video Card,48.07
Rating + 4,NVIDIA,EVGA,1GB,373,,700 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA1N83U90906,DDR3,1600MHz,128-Bit,GeForce GT 730,01G-P3-2731-KR,EVGA GeForce GT 730 DirectX 12 (feature level 11_0) 01G-P3-2731-KR 1GB 128-Bit DDR3 PCI Express 2.0 Video Card,70.35
Rating + 4,NVIDIA,MSI,8GB,372,1733 MHz,1607 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA73M4TF2317,GDDR5X,10000 MHz,256-Bit,GeForce GTX 1080 FE,GEFORCE GTX 1080 Founders Edition,MSI GeForce GTX 1080 Founders Edition 8GB Video Graphics Card,"1,122.77"
Rating + 4,AMD,MSI,1GB,371,,625 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA1N83UF5946,DDR3,1333MHz,64-Bit,Radeon HD 6450,R6450-MD1GD3/LP,MSI Radeon HD 6450 DirectX 11 R6450-MD1GD3/LP 1GB 64-Bit DDR3 PCI Express 2.1 x16 HDCP Ready Low Profile Ready Video Card,36.94
Rating + 4,NVIDIA,EVGA,8GB,370,1733 MHz,1607 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA73M4SV5440,GDDR5X,10000 MHz,256-Bit,GeForce GTX 1080,08G-P4-6284-KR,EVGA GeForce GTX 1080 8GB 08G-P4-6284-KR FTW DT GAMING ACX 3.0 Video Graphics Card,899.77
Rating + 4,,GIGABYTE,,368,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA24G47M8738,,,,,GV-R938XG1GAMING4GD,Gigabyte GV-R938XG1 GAMING-4GD Radeon R9 380 Graphic Card - 970 MHz Core - 4 GB GDDR5 - PCI Express 3.0,252.36
Rating + 4,AMD,SAPPHIRE,4GB,367,,1050 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA8H53RW4465,HBM,1000 MHz,4096-Bit,Radeon R9 Fury X,21246-00-40G,SAPPHIRE Radeon R9 Fury X DirectX 12 21246-00-40G 4GB 4096-Bit HBM PCI Express 3.0 CrossFireX Support Video Card,785.18
Rating + 4,NVIDIA,ZOTAC,1GB,366,,993 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA5752JT2998,GDDR5,5000 MHz,128-Bit,GeForce GT 740,,ZOTAC Video Graphics Card NVIDIA GeForce GT 740 1GB GDDR5 VGA/DVI/HDMI Low Profile PCI-Express,135.77
Rating + 4,NVIDIA,MSI,2GB,365,1137 MHz,1059 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA25V30R9111,GDDR5,5400 MHz,128-Bit,GeForce GTX 750 Ti,N750TI-2GD5/OC,MSI N750TI-2GD5/OC G-SYNC Support GeForce GTX 750 Ti 2GB 128-Bit GDDR5 PCI Express 3.0 Video Card,147.19
Rating + 4,NVIDIA,GIGABYTE,2GB,364,,700 MHz,http://www.newegg.com/Product/Product.aspx?Item=N82E16814125675,DDR3,1600MHz,128-Bit,GeForce GT 730,GV-N730-2GI,GIGABYTE GeForce GT 730 2GB 80mm FAN,59.99
Rating + 4,NVIDIA,MSI,1GB,363,,954 MHz,http://www.newegg.com/Product/Product.aspx?Item=N82E16814127930,DDR3,1600MHz,64-Bit,GeForce GT 710,GT 710 1GD3H LPV1,MSI GeForce GT 710 DirectX 12 GT 710 1GD3H LPV1 1GB 64-Bit DDR3 PCI Express 2.0 x 8 HDCP Ready Low Profile Video Card,34.99
Rating + 4,AMD,SAPPHIRE,2GB,362,1210 MHz,1090 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIAAM14SA2455,GDDR5,7000 MHz,128-Bit,Radeon RX 460,11257-00-20G,SAPPHIRE Radeon RX 460 11257-00-20G 2GB 128-Bit GDDR5 PCI Express 3.0 x16 CrossFireX Support Video Card,149.00
Rating + 4,AMD,,,361,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA2F84KG1933,,,,,,Sapphire Radeon NITRO RX 460 4GB GDDR5 HDMI/DVI-D/DP OC (UEFI) PCI-E Graphics Card (11257-02-20G),148.05
Rating + 4,NVIDIA,GIGABYTE,1GB,360,,520 MHz,http://www.newegg.com/Product/Product.aspx?Item=N82E16814125485,DDR3,1200MHz,64-Bit,GeForce 210,GV-N210D3-1GI REV6.0,GIGABYTE GeForce GT 210 1GB LOW PROFILE,29.99
Rating + 4,,SAPPHIRE,,359,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA2F84K21693,,,,,,Sapphire Radeon NITRO+ RX 470 8GB GDDR5 DUAL HDMI/DVI-D/DUAL DP OC PCI-E Graphics Card (11256-02-20G),253.38
Rating + 4,NVIDIA,MSI,8GB,358,1797 MHz,1657 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA73M4TF2258,GDDR5X,10010 MHz,256-Bit,GeForce GTX 1080,GTX 1080 ARMOR 8G OC,MSI GeForce GTX 1080 8GB DirectX 12 256-Bit GDDR5X PCI Express 3.0 x16 HDCP Ready SLI Support ATX GTX 1080 ARMOR 8G OC Video Graphics Card,998.77
Rating + 4,,SAPPHIRE,4GB,357,,1050 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA70F4TV8583,HBM,,4096-Bit,Radeon R9 Fury X,,SAPPHIRE Radeon R9 Fury X DirectX 12 21246-00-40G 4GB 4096-Bit HBM  4096 Stream Processors PCI Express 3.0 CrossFireX Support Video Card,847.76
Rating + 4,NVIDIA,EVGA,4GB,356,,1085MHz,http://www.newegg.com/Product/Product.aspx?Item=N82E16814487047,GDDR5,5000 MHz,128-Bit,GeForce GT 740 Superclocked,04G-P4-3748-KR,EVGA GeForce GT 740 Superclocked DirectX 12 (feature level 11_0) 04G-P4-3748-KR 4GB 128-Bit GDDR5 PCI Express 3.0 Video Card,109.99
Rating + 4,,ASUS,2GB,355,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA4UG4NS9560,,,,,GTX950-OC-2GD5,ASUS NVIDIA GeForce GTX 950 GTX950-OC-2GD5 graphics card GDDR5 2GB,266.00
Rating + 4,,Inno3D,4GB,354,810MHz,,http://www.newegg.com/Product/Product.aspx?Item=9SIA4UB27V0675,DDR3,1066MHz,128-Bit,GeForce GT 730,,New NVIDIA Geforce 4GB PCI Express x16 PCIE 2.1 Video Graphics Card HMDI Low profile,153.99
Rating + 4,NVIDIA,EVGA,6GB,353,1190 MHz,1000 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA70F5294160,GDDR5,7010 MHz,384-Bit,GeForce GTX 980 Ti,06G-P4-4997-KR,EVGA GeForce GTX 980 Ti DirectX 12 06G-P4-4997-KR 6GB 384-Bit GDDR5 PCI Express 3.0 SLI Support Classified ACX 2.0+ Video Graphics Card,778.77
Rating + 4,NVIDIA,INNO3D,4GB,352,1228 MHz,1088 MHZ,http://www.newegg.com/Product/Product.aspx?Item=9SIA4F944H3942,GDDR5,7.0Gbps,256-Bit,GeForce GTX 970,Geforce GTX 970 OC,"Inno3D NVIDIA Geforce GTX 970 4GB Overclocked Video Card HD1080,4K,4 monitors Gaming",335.00
Rating + 4,,MSI,8GB,351,1771 MHz,1632 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA73M4TF1893,GDDR5X,5005 MHz,256-Bit,GeForce GTX 1080,GTX 1080 AERO 8G OC,MSI GeForce GTX 1080 8GB DirectX 12 256-Bit GDDR5X PCI Express 3.0 x16 HDCP Ready SLI Support ATX GTX 1080 AERO 8G OC Video Graphics Card,998.77
Rating + 4,AMD,GIGABYTE,4GB,350,,1050 MHz,http://www.newegg.com/Product/Product.aspx?Item=N82E16814125797,HBM,1000 MHz,,Radeon R9 Fury X,GV-R9FURYX-4GD-B 1.0,GIGABYTE Radeon R9 Fury X DirectX 12 GV-R9FURYX-4GD-B 1.0 4GB HBM PCI Express 3.0 x16 ATX Video Card,669.99
Rating + 4,NVIDIA,MSI,4GB,349,,700 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA24G4EF5528,DDR3,1000 MHz,128-Bit,GeForce GT 730,N730-4GD3V2,MSI GeForce GT 730 DirectX 12 N730-4GD3V2 4GB 128-Bit DDR3 PCI Express 2.0 x16 HDCP Ready ATX Video Card,86.77
Rating + 4,AMD,VisionTek,4GB,348,,1000 MHz,http://www.newegg.com/Product/Product.aspx?Item=N82E16814129315,HBM,500 MHz,4096-Bit,Radeon R9 Nano,900829,"Visiontek Radeon R9 Nano 4GB HBM 4M (3x DP, HDMI)",469.99
Rating + 4,NVIDIA,EVGA,6GB,347,1708 MHz,1506 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA73M4TB0828,GDDR5,8008 MHz,192-Bit,GeForce GTX 1060,06G-P4-6161-KR,EVGA GeForce GTX 1060 6GB GAMING ACX 2.0 (Single Fan) GDDR5 DX12 OSD Support 06G-P4-6161-KR Video Graphics Card,383.77
