rating,chipmake,brand,memorysize,rank,boostclock,coreclock,url,memorytype,memoryclock,memoryinterface,gpu,model,productname,price
Rating + 5,NVIDIA,EVGA,4GB,306,1178 MHz,1050 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA73M4TE1288,GDDR5,7010 MHz,256-Bit,GeForce GTX 970,04G-P4-3973-KR,EVGA GeForce GTX 970 4GB DirectX 12 256-Bit GDDR5 PCI Express 3.0 x16 SLI Support 04G-P4-3973-KR Video Graphics Card,673.77
Rating + 4,NVIDIA,,6GB,335,1784MHz,1569MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA4F94WW4978,GDDR5,8.2Gbps,192-Bit,GeForce GTX 1060,GeForce GTX 1060,Inno3D Nvidia Geforce GTX 1060 6GB Gaming OC Video Graphics Card,365.00
Rating + 4,,EVGA,,369,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA85V4RA6572,,,,,04G-P4-2977-KR,EVGA Corporation 04G-P4-2977-KR EVGA GeForce GTX 970 Graphic Card - 1.17 GHz Core - 1.32 GHz Boost Clock - 4 GB GDDR5 - PCI Express 3.0 - Dual Slot Space Required - 256 bit Bus Width - SLI - Fan,699.16
Rating + 4,NVIDIA,ASUS,1GB,398,,589MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA1N82855872,DDR3,1200 MHz,64-Bit,GeForce 210,EN210 SILENT/DI/1GD3/V2(LP),ASUS GeForce 210 DirectX 10.1 EN210 SILENT/DI/1GD3/V2(LP) 1GB 64-Bit DDR3 PCI Express 2.0 x16 Low Profile Ready Video Card,37.28
Rating + 3,NVIDIA,ZOTAC,4GB,431,,902 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA4UB4J62237,DDR3,1600MHz,64-Bit,GeForce GT 730,ZT-71115-20L,ZOTAC NVIDIA GeForce GT 730 4GB DDR3 VGA/DVI/HDMI Low Profile PCI-Express Video Card,105.77
Rating + 4,NVIDIA,HP,2GB,463,,902 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA1N83UA1388,DDR3,,,GeForce GT 730 GFX,N3R90AT,HP GeForce GT 730 GFX DirectX 12 N3R90AT 2GB DDR3 PCI Express x8 Low Profile Graphics Card,90.69
Rating + 1,,,2GB,492,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA30R4KR5576,,,64-Bit,,,2GB Dell OptiPlex 780 790 960 980 990 SFF DT Half Height Low Profile Video Card,108.74
Rating + 1,ATI,,2GB,491,,650 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA8TC4142501,DDR3,1000 MHz,64-Bit,Radeon HD 5450,ATI Radeon HD 5450,ATI Radeon HD 5450 2GB PCI Express PCI-E x16 Dual Monitor Display View Video Graphics VGA Card,89.79
Rating + 1,AMD,MSI,2GB,490,,625 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA73M4Z58246,DDR3,1066 MHz,64-Bit,Radeon HD 6450,R6450-2GD3H/LP,MSI Radeon HD 6450 2GB DirectX 11 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Passive Low Profile R6450-2GD3H/LP Video Graphics Card,79.77
Rating + 1,AMD,HP,1GB,489,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA4A04KZ0733,DDR3,875MHz,64-Bit,Radeon HD 8350,E1C63AA,HP Radeon HD 8350 DirectX 11 E1C63AA 1GB 64-Bit DDR3 PCI Express 3.0 x16 HDCP Ready Low Profile Video Card,199.91
Rating + 1,NVIDIA,Inno3D,2GB,488,,810 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA5751XY9722,DDR3,1333MHz,128-Bit,GeForce GT 630,JSHVH05,NVIDIA Geforce GT PCI Express X16 Video Graphics Card HMDI DVI Dual 1080p 2GB,103.75
Rating + 1,NVIDIA,ASUS,1GB,487,,954 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA4M545N9182,DDR3,900 MHz (1800 MHz GDDR3),64-Bit,GeForce GT 710,710-1-SL-BRK,ASUS GeForce GT 710 DirectX 12 710-1-SL-BRK 1GB 64-Bit DDR3 PCI Express 2.0 x 8 HDCP Ready Video Card,39.04
Rating + 1,NVIDIA,EVGA,4GB,486,1317 MHz,1165 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA73M4TB0548,GDDR5,7010 MHz,256-Bit,GeForce GTX 970,04G-P4-2977-KR,"EVGA GeForce Cooling Graphics Card GTX 970 4GB SC+ GAMING ACX 2.0, 4096MB GDDR5",759.77
Rating + 1,NVIDIA,,2GB,485,1178 MHz,,http://www.newegg.com/Product/Product.aspx?Item=9SIA4UB3T94255,GDDR5,7010 MHz,128-Bit,GeForce GTX 960,,EVGA NVIDIA GeForce GTX 960 2GB GDDR5 DVI/HDMI/3DisplayPort pci-e Video Card w  shipping from US,333.88
Rating + 1,NVIDIA,EVGA,8GB,484,1683 MHz,1506 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA73M4SM6796,GDDR5,8008 MHz,256-Bit,GeForce GTX 1070,08G-P4-6274-KR,EVGA GeForce GTX 1070 8GB 08G-P4-6274-KR FTW DT GAMING ACX 3.0 Video Graphics Card,589.77
Rating + 1,NVIDIA,MSI,6GB,483,1291 MHz (OC). 1228 MHz (Gaming). 1076 MHz (Silent).,1190 MHz (OC). 1140 MHz (Gaming). 1000 MHz (Silent).,http://www.newegg.com/Product/Product.aspx?Item=9SIA73M4UU6416,GDDR5,7096 MHz (OC). 7010 MHz (Gaming). 7010 MHz (Silent).,384-Bit,GeForce GTX 980 Ti,GTX 980Ti GAMING 6G GOLDEN EDITION,MSI GeForce GTX 980TI GAMING 6G GOLDEN EDITION 6GB Video Graphics Cards,899.77
Rating + 1,AMD,MSI,2GB,482,1020 MHz,970 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA85V4R41866,GDDR5,5600 MHz,256-Bit,Radeon R7 370,R7 370 2GD5T OC,MSI Radeon R7 370 DirectX 12 R7 370 2GD5T OC 2GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready CrossFireX Support ATX Video Card,499.89
Rating + 1,,Inno3D,2GB,481,1241 MHz,1178 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA5753KG3556,GDDR5,7Gbps,128-Bit,,,Inno3D NVIDIA GeForce GTX 960 OC 2GB DDR5 PCIE 3.0 Video graphics Card 4K HDMI,298.77
Rating + 1,NVIDIA,,4GB,480,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA4F94EF4041,DDR3,1333MHz,128-Bit,GeForce GT 730,2090256868,Inno3D Geforce GT 730 4GB DDR3 PCI Expressx16 Video Graphics Card HMDI windows 8/7/10,121.00
