Reporter,Partner,Product categories,Indicator Type,Indicator,Year,Indicator Value
Antigua and Barbuda,World,Mach and Elec,Export,Export(US$ Mil),2015,5.25
Antigua and Barbuda,World,Metals,Export,Export(US$ Mil),2015,2.69
Antigua and Barbuda,World,Minerals,Export,Export(US$ Mil),2015,0.0
Antigua and Barbuda,World,Miscellaneous,Export,Export(US$ Mil),2015,2.65
Antigua and Barbuda,World,Plastic or Rubber,Export,Export(US$ Mil),2015,0.31
Antigua and Barbuda,World,Raw materials,Export,Export(US$ Mil),2015,1.2
Antigua and Barbuda,World,Stone and Glass,Export,Export(US$ Mil),2015,0.98
Antigua and Barbuda,World,Textiles and Clothing,Export,Export(US$ Mil),2015,7.94
Antigua and Barbuda,World,Transportation,Export,Export(US$ Mil),2015,3.43
Antigua and Barbuda,World,Vegetable,Export,Export(US$ Mil),2015,0.1
Antigua and Barbuda,World,Wood,Export,Export(US$ Mil),2015,0.61
Antigua and Barbuda,World,Capital goods,Import,Import(US$ Mil),2015,58.59
Antigua and Barbuda,World,Consumer goods,Import,Import(US$ Mil),2015,310.53
Antigua and Barbuda,World,Intermediate goods,Import,Import(US$ Mil),2015,50.43
Antigua and Barbuda,World,Raw materials,Import,Import(US$ Mil),2015,40.9
Australia,World,Animal,Export,Export(US$ Mil),2015,14281.1
Australia,World,Capital goods,Export,Export(US$ Mil),2015,11101.21
Australia,World,Chemicals,Export,Export(US$ Mil),2015,9610.96
Australia,World,Consumer goods,Export,Export(US$ Mil),2015,27568.15
Australia,World,Food Products,Export,Export(US$ Mil),2015,4491.13
Australia,World,Footwear,Export,Export(US$ Mil),2015,72.7
Australia,World,Fuels,Export,Export(US$ Mil),2015,47494.44
Australia,World,Hides and Skins,Export,Export(US$ Mil),2015,1027.2
Australia,World,Intermediate goods,Export,Export(US$ Mil),2015,33728.07
Australia,World,Mach and Elec,Export,Export(US$ Mil),2015,7765.03
Australia,World,Metals,Export,Export(US$ Mil),2015,9964.43
Australia,World,Minerals,Export,Export(US$ Mil),2015,46714.28
Australia,World,Miscellaneous,Export,Export(US$ Mil),2015,10664.91
Australia,World,Plastic or Rubber,Export,Export(US$ Mil),2015,1007.81
Australia,World,Raw materials,Export,Export(US$ Mil),2015,108036.67
Australia,World,Stone and Glass,Export,Export(US$ Mil),2015,12294.1
Australia,World,Textiles and Clothing,Export,Export(US$ Mil),2015,3442.37
Australia,World,Transportation,Export,Export(US$ Mil),2015,4329.53
Australia,World,Vegetable,Export,Export(US$ Mil),2015,12226.52
Australia,World,Wood,Export,Export(US$ Mil),2015,2405.65
Australia,World,Capital goods,Import,Import(US$ Mil),2015,62831.33
Australia,World,Consumer goods,Import,Import(US$ Mil),2015,87598.17
Australia,World,Intermediate goods,Import,Import(US$ Mil),2015,30402.33
Australia,World,Raw materials,Import,Import(US$ Mil),2015,11577.41
Belgium,World,Animal,Export,Export(US$ Mil),2015,8051.02
Belgium,World,Capital goods,Export,Export(US$ Mil),2015,62960.8
Belgium,World,Chemicals,Export,Export(US$ Mil),2015,95201.06
Belgium,World,Consumer goods,Export,Export(US$ Mil),2015,164548.56
Belgium,World,Food Products,Export,Export(US$ Mil),2015,21015.86
Belgium,World,Footwear,Export,Export(US$ Mil),2015,5664.44
Belgium,World,Fuels,Export,Export(US$ Mil),2015,33324.4
Belgium,World,Hides and Skins,Export,Export(US$ Mil),2015,1485.7
Belgium,World,Intermediate goods,Export,Export(US$ Mil),2015,126052.58
Belgium,World,Mach and Elec,Export,Export(US$ Mil),2015,42697.0
Belgium,World,Metals,Export,Export(US$ Mil),2015,27984.64
Belgium,World,Minerals,Export,Export(US$ Mil),2015,2604.95
Belgium,World,Miscellaneous,Export,Export(US$ Mil),2015,29179.63
Belgium,World,Plastic or Rubber,Export,Export(US$ Mil),2015,31819.37
Belgium,World,Raw materials,Export,Export(US$ Mil),2015,30972.75
Belgium,World,Stone and Glass,Export,Export(US$ Mil),2015,21342.2
Belgium,World,Textiles and Clothing,Export,Export(US$ Mil),2015,14238.79
Belgium,World,Transportation,Export,Export(US$ Mil),2015,42840.69
Belgium,World,Vegetable,Export,Export(US$ Mil),2015,11145.21
Belgium,World,Wood,Export,Export(US$ Mil),2015,9144.21
Belgium,World,Capital goods,Import,Import(US$ Mil),2015,64089.95
Belgium,World,Consumer goods,Import,Import(US$ Mil),2015,144342.93
Belgium,World,Intermediate goods,Import,Import(US$ Mil),2015,106217.72
Belgium,World,Raw materials,Import,Import(US$ Mil),2015,49914.77
Bulgaria,World,Animal,Export,Export(US$ Mil),2015,424.24
Bulgaria,World,Capital goods,Export,Export(US$ Mil),2015,4406.32
Bulgaria,World,Chemicals,Export,Export(US$ Mil),2015,2082.4
Bulgaria,World,Consumer goods,Export,Export(US$ Mil),2015,9505.65
Bulgaria,World,Food Products,Export,Export(US$ Mil),2015,1489.89
Bulgaria,World,Footwear,Export,Export(US$ Mil),2015,237.66
Bulgaria,World,Fuels,Export,Export(US$ Mil),2015,2736.57
Bulgaria,World,Hides and Skins,Export,Export(US$ Mil),2015,92.74
Bulgaria,World,Intermediate goods,Export,Export(US$ Mil),2015,7545.25
Bulgaria,World,Mach and Elec,Export,Export(US$ Mil),2015,4483.38
Bulgaria,World,Metals,Export,Export(US$ Mil),2015,4037.1
Bulgaria,World,Minerals,Export,Export(US$ Mil),2015,643.57
Bulgaria,World,Miscellaneous,Export,Export(US$ Mil),2015,2132.59
Bulgaria,World,Plastic or Rubber,Export,Export(US$ Mil),2015,986.59
Bulgaria,World,Raw materials,Export,Export(US$ Mil),2015,3161.77
Bulgaria,World,Stone and Glass,Export,Export(US$ Mil),2015,706.89
Bulgaria,World,Textiles and Clothing,Export,Export(US$ Mil),2015,2058.08
Bulgaria,World,Transportation,Export,Export(US$ Mil),2015,798.45
Bulgaria,World,Vegetable,Export,Export(US$ Mil),2015,2180.71
Bulgaria,World,Wood,Export,Export(US$ Mil),2015,687.89
Bulgaria,World,Capital goods,Import,Import(US$ Mil),2015,5865.43
Bulgaria,World,Consumer goods,Import,Import(US$ Mil),2015,8999.31
Bulgaria,World,Intermediate goods,Import,Import(US$ Mil),2015,7057.83
Bulgaria,World,Raw materials,Import,Import(US$ Mil),2015,5554.54
Bosnia and Herzegovina,World,Animal,Export,Export(US$ Mil),2015,100.48
Bosnia and Herzegovina,World,Capital goods,Export,Export(US$ Mil),2015,673.18
Bosnia and Herzegovina,World,Chemicals,Export,Export(US$ Mil),2015,394.09
Bosnia and Herzegovina,World,Consumer goods,Export,Export(US$ Mil),2015,1662.19
Bosnia and Herzegovina,World,Food Products,Export,Export(US$ Mil),2015,160.73
Bosnia and Herzegovina,World,Footwear,Export,Export(US$ Mil),2015,363.01
Bosnia and Herzegovina,World,Fuels,Export,Export(US$ Mil),2015,357.58
Bosnia and Herzegovina,World,Hides and Skins,Export,Export(US$ Mil),2015,91.76
Bosnia and Herzegovina,World,Intermediate goods,Export,Export(US$ Mil),2015,2114.02
Bosnia and Herzegovina,World,Mach and Elec,Export,Export(US$ Mil),2015,573.82
Bosnia and Herzegovina,World,Metals,Export,Export(US$ Mil),2015,900.87
Bosnia and Herzegovina,World,Minerals,Export,Export(US$ Mil),2015,59.11
Bosnia and Herzegovina,World,Miscellaneous,Export,Export(US$ Mil),2015,733.08
Bosnia and Herzegovina,World,Plastic or Rubber,Export,Export(US$ Mil),2015,159.31
Bosnia and Herzegovina,World,Raw materials,Export,Export(US$ Mil),2015,472.68
Bosnia and Herzegovina,World,Stone and Glass,Export,Export(US$ Mil),2015,36.85
Bosnia and Herzegovina,World,Textiles and Clothing,Export,Export(US$ Mil),2015,280.63
Bosnia and Herzegovina,World,Transportation,Export,Export(US$ Mil),2015,179.77
Bosnia and Herzegovina,World,Vegetable,Export,Export(US$ Mil),2015,179.72
Bosnia and Herzegovina,World,Wood,Export,Export(US$ Mil),2015,528.32
Bosnia and Herzegovina,World,Capital goods,Import,Import(US$ Mil),2015,1446.11
Bosnia and Herzegovina,World,Consumer goods,Import,Import(US$ Mil),2015,3826.39
Bosnia and Herzegovina,World,Intermediate goods,Import,Import(US$ Mil),2015,2363.45
Bosnia and Herzegovina,World,Raw materials,Import,Import(US$ Mil),2015,1227.94
Belarus,World,Animal,Export,Export(US$ Mil),2015,2513.32
Belarus,World,Capital goods,Export,Export(US$ Mil),2015,3227.12
Belarus,World,Chemicals,Export,Export(US$ Mil),2015,4226.6
Belarus,World,Consumer goods,Export,Export(US$ Mil),2015,12007.13
Belarus,World,Food Products,Export,Export(US$ Mil),2015,923.92
Belarus,World,Footwear,Export,Export(US$ Mil),2015,48.46
Belarus,World,Fuels,Export,Export(US$ Mil),2015,7942.99
Belarus,World,Hides and Skins,Export,Export(US$ Mil),2015,78.76
Belarus,World,Intermediate goods,Export,Export(US$ Mil),2015,7910.34
Belarus,World,Mach and Elec,Export,Export(US$ Mil),2015,1698.36
Belarus,World,Metals,Export,Export(US$ Mil),2015,1736.19
Belarus,World,Minerals,Export,Export(US$ Mil),2015,166.45
Belarus,World,Miscellaneous,Export,Export(US$ Mil),2015,1759.35
Belarus,World,Plastic or Rubber,Export,Export(US$ Mil),2015,1188.94
Belarus,World,Raw materials,Export,Export(US$ Mil),2015,2296.03
Belarus,World,Stone and Glass,Export,Export(US$ Mil),2015,394.46
Belarus,World,Textiles and Clothing,Export,Export(US$ Mil),2015,912.3
Belarus,World,Transportation,Export,Export(US$ Mil),2015,1608.35
Belarus,World,Vegetable,Export,Export(US$ Mil),2015,683.6
Belarus,World,Wood,Export,Export(US$ Mil),2015,875.82
Belarus,World,Capital goods,Import,Import(US$ Mil),2015,5262.6
Belarus,World,Consumer goods,Import,Import(US$ Mil),2015,8865.69
Belarus,World,Intermediate goods,Import,Import(US$ Mil),2015,5559.58
Belarus,World,Raw materials,Import,Import(US$ Mil),2015,8806.3
Bermuda,World,Animal,Export,Export(US$ Mil),2015,0.17
Bermuda,World,Capital goods,Export,Export(US$ Mil),2015,1.41
Bermuda,World,Chemicals,Export,Export(US$ Mil),2015,0.01
Bermuda,World,Consumer goods,Export,Export(US$ Mil),2015,5.73
Bermuda,World,Food Products,Export,Export(US$ Mil),2015,3.68
Bermuda,World,Footwear,Export,Export(US$ Mil),2015,0.06
Bermuda,World,Fuels,Export,Export(US$ Mil),2015,0.0
Bermuda,World,Hides and Skins,Export,Export(US$ Mil),2015,0.03
Bermuda,World,Intermediate goods,Export,Export(US$ Mil),2015,0.35
Bermuda,World,Mach and Elec,Export,Export(US$ Mil),2015,0.92
Bermuda,World,Metals,Export,Export(US$ Mil),2015,0.24
Bermuda,World,Minerals,Export,Export(US$ Mil),2015,0.0
Bermuda,World,Miscellaneous,Export,Export(US$ Mil),2015,3.09
Bermuda,World,Plastic or Rubber,Export,Export(US$ Mil),2015,0.06
Bermuda,World,Raw materials,Export,Export(US$ Mil),2015,0.16
Bermuda,World,Stone and Glass,Export,Export(US$ Mil),2015,0.01
Bermuda,World,Textiles and Clothing,Export,Export(US$ Mil),2015,0.12
Bermuda,World,Transportation,Export,Export(US$ Mil),2015,0.19
Bermuda,World,Vegetable,Export,Export(US$ Mil),2015,0.01
Bermuda,World,Wood,Export,Export(US$ Mil),2015,0.02
Bermuda,World,Capital goods,Import,Import(US$ Mil),2015,121.29
Bermuda,World,Consumer goods,Import,Import(US$ Mil),2015,570.74
Bermuda,World,Intermediate goods,Import,Import(US$ Mil),2015,48.54
Bermuda,World,Raw materials,Import,Import(US$ Mil),2015,64.77
Bolivia,World,Animal,Export,Export(US$ Mil),2015,43.76
Bolivia,World,Capital goods,Export,Export(US$ Mil),2015,169.92
Bolivia,World,Chemicals,Export,Export(US$ Mil),2015,63.14
Bolivia,World,Consumer goods,Export,Export(US$ Mil),2015,4119.07
Bolivia,World,Food Products,Export,Export(US$ Mil),2015,626.45
Bolivia,World,Footwear,Export,Export(US$ Mil),2015,9.68
Bolivia,World,Fuels,Export,Export(US$ Mil),2015,4032.85
Bolivia,World,Hides and Skins,Export,Export(US$ Mil),2015,47.24
Bolivia,World,Intermediate goods,Export,Export(US$ Mil),2015,2181.82
Bolivia,World,Mach and Elec,Export,Export(US$ Mil),2015,123.89
Bolivia,World,Metals,Export,Export(US$ Mil),2015,294.94
Bolivia,World,Minerals,Export,Export(US$ Mil),2015,1734.63
Bolivia,World,Miscellaneous,Export,Export(US$ Mil),2015,28.29
Bolivia,World,Plastic or Rubber,Export,Export(US$ Mil),2015,5.32
Bolivia,World,Raw materials,Export,Export(US$ Mil),2015,2432.31
Bolivia,World,Stone and Glass,Export,Export(US$ Mil),2015,966.82
Bolivia,World,Textiles and Clothing,Export,Export(US$ Mil),2015,34.3
Bolivia,World,Transportation,Export,Export(US$ Mil),2015,37.3
Bolivia,World,Vegetable,Export,Export(US$ Mil),2015,805.99
Bolivia,World,Wood,Export,Export(US$ Mil),2015,54.06
Bolivia,World,Capital goods,Import,Import(US$ Mil),2015,3365.06
Bolivia,World,Consumer goods,Import,Import(US$ Mil),2015,3818.5
Bolivia,World,Intermediate goods,Import,Import(US$ Mil),2015,2295.19
Bolivia,World,Raw materials,Import,Import(US$ Mil),2015,132.65
Brazil,World,Animal,Export,Export(US$ Mil),2015,14482.62
Brazil,World,Capital goods,Export,Export(US$ Mil),2015,27920.97
Brazil,World,Chemicals,Export,Export(US$ Mil),2015,9914.08
Brazil,World,Consumer goods,Export,Export(US$ Mil),2015,24432.05
Brazil,World,Food Products,Export,Export(US$ Mil),2015,22340.91
Brazil,World,Footwear,Export,Export(US$ Mil),2015,1119.15
Brazil,World,Fuels,Export,Export(US$ Mil),2015,13748.09
Brazil,World,Hides and Skins,Export,Export(US$ Mil),2015,2372.35
Brazil,World,Intermediate goods,Export,Export(US$ Mil),2015,55256.97
Brazil,World,Mach and Elec,Export,Export(US$ Mil),2015,15010.35
Brazil,World,Metals,Export,Export(US$ Mil),2015,15266.1
Brazil,World,Minerals,Export,Export(US$ Mil),2015,17404.51
Brazil,World,Miscellaneous,Export,Export(US$ Mil),2015,5226.16
Brazil,World,Plastic or Rubber,Export,Export(US$ Mil),2015,5127.82
Brazil,World,Raw materials,Export,Export(US$ Mil),2015,80217.86
Brazil,World,Stone and Glass,Export,Export(US$ Mil),2015,4673.99
Brazil,World,Textiles and Clothing,Export,Export(US$ Mil),2015,2378.81
Brazil,World,Transportation,Export,Export(US$ Mil),2015,16243.09
Brazil,World,Vegetable,Export,Export(US$ Mil),2015,35792.02
Brazil,World,Wood,Export,Export(US$ Mil),2015,10026.85
Brazil,World,Capital goods,Import,Import(US$ Mil),2015,58790.91
Brazil,World,Consumer goods,Import,Import(US$ Mil),2015,45618.82
Brazil,World,Intermediate goods,Import,Import(US$ Mil),2015,49885.11
Brazil,World,Raw materials,Import,Import(US$ Mil),2015,16400.64
Barbados,World,Animal,Export,Export(US$ Mil),2015,1.86
Barbados,World,Capital goods,Export,Export(US$ Mil),2015,43.81
Barbados,World,Chemicals,Export,Export(US$ Mil),2015,75.34
Barbados,World,Consumer goods,Export,Export(US$ Mil),2015,350.88
Barbados,World,Food Products,Export,Export(US$ Mil),2015,74.1
Barbados,World,Footwear,Export,Export(US$ Mil),2015,7.7
Barbados,World,Fuels,Export,Export(US$ Mil),2015,90.19
Barbados,World,Hides and Skins,Export,Export(US$ Mil),2015,6.53
Barbados,World,Intermediate goods,Export,Export(US$ Mil),2015,60.87
Barbados,World,Mach and Elec,Export,Export(US$ Mil),2015,21.22
Barbados,World,Metals,Export,Export(US$ Mil),2015,16.2
Barbados,World,Minerals,Export,Export(US$ Mil),2015,18.13
Barbados,World,Miscellaneous,Export,Export(US$ Mil),2015,66.23
Barbados,World,Plastic or Rubber,Export,Export(US$ Mil),2015,5.02
Barbados,World,Raw materials,Export,Export(US$ Mil),2015,22.96
Barbados,World,Stone and Glass,Export,Export(US$ Mil),2015,43.47
Barbados,World,Textiles and Clothing,Export,Export(US$ Mil),2015,12.88
Barbados,World,Transportation,Export,Export(US$ Mil),2015,12.32
Barbados,World,Vegetable,Export,Export(US$ Mil),2015,16.18
Barbados,World,Wood,Export,Export(US$ Mil),2015,15.39
Barbados,World,Capital goods,Import,Import(US$ Mil),2015,295.61
Barbados,World,Consumer goods,Import,Import(US$ Mil),2015,1007.63
Barbados,World,Intermediate goods,Import,Import(US$ Mil),2015,175.04
Barbados,World,Raw materials,Import,Import(US$ Mil),2015,117.74
Canada,World,Animal,Export,Export(US$ Mil),2015,11225.73
Canada,World,Capital goods,Export,Export(US$ Mil),2015,73204.99
Canada,World,Chemicals,Export,Export(US$ Mil),2015,27714.4
Canada,World,Consumer goods,Export,Export(US$ Mil),2015,116959.82
Canada,World,Food Products,Export,Export(US$ Mil),2015,12366.77
Canada,World,Footwear,Export,Export(US$ Mil),2015,406.97
Canada,World,Fuels,Export,Export(US$ Mil),2015,77491.45
Canada,World,Hides and Skins,Export,Export(US$ Mil),2015,1249.15
Canada,World,Intermediate goods,Export,Export(US$ Mil),2015,103566.95
Canada,World,Mach and Elec,Export,Export(US$ Mil),2015,44218.4
Canada,World,Metals,Export,Export(US$ Mil),2015,30027.98
Canada,World,Minerals,Export,Export(US$ Mil),2015,7924.54
Canada,World,Miscellaneous,Export,Export(US$ Mil),2015,31354.79
Canada,World,Plastic or Rubber,Export,Export(US$ Mil),2015,15771.04
Canada,World,Raw materials,Export,Export(US$ Mil),2015,94543.62
Canada,World,Stone and Glass,Export,Export(US$ Mil),2015,19473.05
Canada,World,Textiles and Clothing,Export,Export(US$ Mil),2015,3126.51
Canada,World,Transportation,Export,Export(US$ Mil),2015,73112.04
Canada,World,Vegetable,Export,Export(US$ Mil),2015,24212.21
Canada,World,Wood,Export,Export(US$ Mil),2015,27464.99
Canada,World,Capital goods,Import,Import(US$ Mil),2015,150804.6
Canada,World,Consumer goods,Import,Import(US$ Mil),2015,147567.87
Canada,World,Intermediate goods,Import,Import(US$ Mil),2015,74179.05
Canada,World,Raw materials,Import,Import(US$ Mil),2015,34972.01
Switzerland,World,Animal,Export,Export(US$ Mil),2015,830.19
Switzerland,World,Capital goods,Export,Export(US$ Mil),2015,50402.43
Switzerland,World,Chemicals,Export,Export(US$ Mil),2015,85436.29
Switzerland,World,Consumer goods,Export,Export(US$ Mil),2015,95988.73
Switzerland,World,Food Products,Export,Export(US$ Mil),2015,5763.95
Switzerland,World,Footwear,Export,Export(US$ Mil),2015,526.5
Switzerland,World,Fuels,Export,Export(US$ Mil),2015,2771.97
