releaseDate,publisher,gameName,exclusiveType
2008-06-26,Namco Bandai,Mobile Ops: The One Year War,Yes
2007-12-06,Hudson Soft,Momotaro Dentetsu 16 GOLD,Yes
2010-09-28,505 Games,MorphX,Yes
2010-11-04,Ubisoft,MotionSports,Yes
2011-11-01,Majesco Entertainment,Motion Explosion!,Yes
2006-06-09,THQ,MotoGP '06,Yes
2009-11-26,Cave,Mushihime-sama Futari,Console
2008-11-04,Namco Bandai,Namco Museum Virtual Arcade,Yes
2007-10-30,Ubisoft,Naruto: Rise of a Ninja,Yes
2008-11-18,Ubisoft,Naruto: The Broken Bond,Yes
2010-06-11,505 Games,Naval Assault: The Killing Tide,Yes
,Majesco Games,NBA Baller Beats,Yes
2012-10-30,Microsoft Studios,Nike+ Kinect Training,Yes
2006-04-20,Microsoft Game Studios,Ninety-Nine Nights,Yes
2010-06-29,Microsoft Game Studios,Ninety-Nine Nights II,Yes
2006-12-14,D3 Publisher,Onechanbara: Bikini Samurai Squad,Yes
2007-10-11,Success Corporation,Operation Darkness,Yes
2008-11-20,Konami,Otomedius G,Yes
2006-03-13,THQ,The Outfit,Yes
2006-02-23,Ubisoft,Over G Fighters,Yes
2005-11-18,Microsoft Game Studios,Perfect Dark Zero,Yes
2007-11-15,PopCap Games,PopCap Arcade Volume 1,Yes
2009-03-27,PopCap Games,PopCap Arcade Volume 2,Yes
2011-10-18,Ubisoft,PowerUp Heroes,Yes
2006-07-11,2K Games,Prey,Console
2005-11-22,Microsoft Game Studios,Project Gotham Racing 3,Yes
2007-10-02,Microsoft Game Studios,Project Gotham Racing 4,Yes
2006-09-28,Square Enix,Project Sylpheed,Yes
2009-01-01,Atari,Race Pro,Yes
2011-11-15,Activision,Rapala for Kinect,Yes
2011-11-08,Ubisoft,Raving Rabbids: Alive & Kicking,Yes
2005-11-17,Namco,Ridge Racer 6,Yes
2011-09-06,Sega,Rise of Nightmares,Yes
2009-10-02,Deep Silver,Risen,Console
2006-03-28,Konami,Rumble Roses XX,Yes
2006-08-29,THQ,Saints Row,Yes
2009-12-10,SNK Playmore,Samurai Shodown: Sen,Console
2008-10-28,Microsoft Game Studios,Scene It? Box Office Smash,Yes
2007-11-06,Microsoft Game Studios,"Scene It? Lights, Camera, Action",Yes
2011-11-08,Ubisoft,Self-Defense Training Camp,Yes
2011-11-21,Warner Bros. Interactive,Sesame Street: Once Upon a Monster,Yes
2009-08-19,Microsoft Studios,Shadow Complex,Console
2009-02-19,Triangle Service,"Shooting Love, 200X",Yes
2010-06-02,Microsoft Game Studios,Snoopy Flying Ace,Yes
2010-11-04,Sega,Sonic Free Riders,Yes
2006-08-11,Idea Factory,Spectral Force 3: Innocent Rage,Yes
2009-07-22,Microsoft Game Studios,'Splosion Man,Yes
2013-06-05,Microsoft Studios,State of Decay (video game),Console
2012-06-19,Capcom,Steel Battalion: Heavy Armor,Yes
2006-10-05,From Software,Tenchu Z,Yes
2006-03-23,Hudson Soft,Tengai Makyou Ziria: Haruka naru Jipang,Yes
2005-12-10,AQ Interactive,Tetris: The Grand Master Ace,Yes
2010-11-04,THQ,The Biggest Loser: Ultimate Workout,Yes
2008-08-19,Microsoft Game Studios,Too Human,Yes
2010-03-03,Microsoft Studios,Toy Soldiers,Console
2011-08-17,Microsoft Studios,Toy Soldiers: Cold War,Console
2009-10-12,Microsoft Game Studios,Trials HD,Console
2006-01-26,AQ Interactive,Tsūshin Taisen Mahjong Touryūmon,Yes
2011-11-01,Majesco Entertainment,Twister Mania,Yes
2007-11-21,Chair Entertainment,Undertow,Yes
2006-11-09,Microsoft Game Studios,Viva Piñata,Console
2008-09-02,Microsoft Game Studios,Viva Piñata: Trouble in Paradise,Yes
2011-11-15,D3 Publisher,Victorious: Time to Shine,Yes
2006-07-27,Ubisoft,WarTech: Senko no Ronde,Console
2011-11-01,Ubisoft,Who Wants to Be a Millionaire? 2012 Edition,Yes
2011-06-14,Activision,Wipeout in the Zone,Yes
2012-04-17,Atari,The Witcher 2: Assassins of Kings,Console
2006-09-05,Microsoft Game Studios,Xbox Live Arcade Unplugged Vol. 1,Yes
2008-11-17,Codemasters,You're in the Movies,Yes
2011-11-15,Yoostar Entertainment Group,Yoostar on MTV,Yes
2006-12-07,Namco Bandai,Zegapain NOT,Yes
2006-07-27,Namco Bandai,Zegapain XOR,Yes
2007-10-18,Tomy,Zoids Assault,Yes
2006-03-30,Tomy,Zoids Infinity EX Neo,Yes
