gameName
Update (12/24/16): 
Original Story:
Kingdom Hearts HD 2.8 Final Chapter Prologue
Bulletstorm: Full Clip Edition
The Silver Case
Crash Bandicoot: The N. Sane Trilogy 
Final Fantasy XII: The Zodiac Age
Full Throttle Remastered
Resident Evil 2 Remake
Borderlands: The Handsome Collection
Final Fantasy Type-0 HD
Devil May Cry: Definitive Edition
Saints Row IV: Re-Elected
Grand Theft Auto V
Halo: The Master Chief Collection
The Binding of Isaac Rebirth
Bayonetta
Sleeping Dogs: Definitive Edition
Prototype Biohazard Bundle
Final Fantasy X/X-2 Remaster
Dark Souls II: Scholar of the First Sin
Uncharted: The Nathan Drake Collection
Castle Crashers Remastered
Tearaway Unfolded
Dishonored: Definitive Edition
Gears of War: Ultimate Edition
Ratchet & Clank
Resident Evil 6
Day of the Tentacle Remastered
Shadow Complex Remastered
Twilight Princess HD
Heavy Rain
Gravity Rush Remastered
Resident Evil Zero HD Remaster
Final Fantasy VII
Beyond: Two Souls
Deadpool
Darksiders II: Deathinitive Edition
Resident Evil 4
Marvel: Ultimate Alliance Bundle 
Resident Evil 5
Deadlight: Director’s Cut
Odin Sphere Leifthrasir
Dead Island Definitive Collection
Valkyria Chronicles Remastered 
Assassin’s Creed: The Ezio Collection
Call of Duty: Modern Warfare Remastered
The Elder Scrolls V: Skyrim – Special Edition
Batman: Return to Arkham
Dead Rising Triple Pack
BioShock: The Collection
Metro Redux
Diablo III: Ultimate Evil Edition
The Last of Us Remastered
Oddworld: New N' Tasty
Tomb Raider: Definitive Edition
