releaseDate,publisher,gameName,kinectSupport,kinectRequired
2011-12-06,Ubisoft,The Adventures of Tintin: The Game,TRUE,No
2011-11-15,Majesco Entertainment,Alvin and the Chipmunks: Chipwrecked,TRUE,Yes
2012-10-16,Activision,Angry Birds Trilogy,TRUE,No
2011-11-08,Activision,Big League Sports,TRUE,Yes
2010-11-04,THQ,The Biggest Loser: Ultimate Workout,TRUE,Yes
2012-02-28,Sega,Binary Domain,TRUE,No
2011-11-08,Ubisoft,The Black Eyed Peas Experience,TRUE,Yes
2011-10-25,505 Games,Blackwater,TRUE,No
2011-02-08,Namco Bandai,Body and Brain Connection,TRUE,Yes
2012-06-19,Disney Interactive Studios,Brave: The Video Game,TRUE,No
2011-02-15,Crave Entertainment,Brunswick Pro Bowling,TRUE,Yes
2011-04-05,2K Play,"Carnival Games: Monkey See, Monkey Do",TRUE,Yes
2011-11-08,Tecmo Koei,Champion Jockey: G1 Jockey & Gallop Racer,TRUE,No
2011-06-14,Ubisoft,Child of Eden,TRUE,No
2010-11-04,MTV Games,Dance Central,TRUE,Yes
2011-10-25,MTV Games,Dance Central 2,TRUE,Yes
2012-10-16,MTV Games,Dance Central 3,TRUE,Yes
2010-11-04,Konami,Dance Evolution,TRUE,Yes
2013-02-05,Electronic Arts,Dead Space 3,TRUE,No
2010-11-18,Konami,Deca Sports Freedom,TRUE,Yes
2010-10-05,Konami,Def Jam Rapstar,TRUE,No
2013-04-02,Trion Worlds,Defiance,TRUE,No
2012-10-16,Namco Bandai,Dragon Ball Z for Kinect,TRUE,Yes
2010-11-16,EA Sports,EA Sports Active 2,TRUE,Yes
2011-11-11,Bethesda Softworks,The Elder Scrolls V: Skyrim,TRUE,No
2012-10-09,Microsoft Studios,Fable: The Journey,TRUE,Yes
2014-10-21,Microsoft Studios,Fantasia: Music Evolved,TRUE,Yes
2012-09-25,EA Sports,FIFA Soccer 13,TRUE,No
2010-11-04,Ubisoft,Fighters Uncaged,TRUE,Yes
2011-10-11,Microsoft Studios,Forza Motorsport 4,TRUE,No
2012-10-23,Microsoft Studios,Forza Horizon,TRUE,No
2010-11-18,Warner Bros. Interactive Entertainment,Game Party: In Motion,TRUE,Yes
2010-11-26,Deep Silver,Get Fit With Mel B,TRUE,Yes
2011-10-25,505 Games,Grease Dance,TRUE,Yes
2011-09-13,Microsoft Studios,The Gunstringer,TRUE,Yes
2011-11-15,Microsoft Studios,Halo: Combat Evolved Anniversary,TRUE,No
2012-09-18,Majesco,Harley Pasternak’s Hollywood Workout,TRUE,Yes
2010-11-16,Electronic Arts,Harry Potter and the Deathly Hallows: Part I,TRUE,No
2012-10-09,Warner Bros. Interactive Entertainment,Harry Potter for Kinect,TRUE,Yes
2011-11-01,Electronic Arts,Hasbro Family Game Night 4: The Game Show,TRUE,No
