gameName,BCCompatible
Meet the Robinsons,TRUE
Cars 2: The Video Game,TRUE
Dead Rising 2: Case Zero,TRUE
Dead Rising 2: Case West,TRUE
Gyromancer,TRUE
Moon Diver,TRUE
Space Invaders Infinity Gene,TRUE
The King of Fighters 2002 Unlimited Match,TRUE
Assassin’s Creed Rogue,TRUE
Borderlands 2,TRUE
Hitman: Absolution,TRUE
GTA IV,TRUE
LEGO Indiana Jones,TRUE
Stuntman: Ignition,TRUE
Mad Tracks,TRUE
JUJU,TRUE
Shadows of the Damned,TRUE
Rocket Knight,TRUE
Alice: Madness Returns,TRUE
TEKKEN 6,TRUE
Midway Arcade Origins,TRUE
Mutant Storm Empire,TRUE
MEGA MAN 9,TRUE
MEGA MAN 10,TRUE
Beat’n Groovy,TRUE
Strania,TRUE
The Splatters,TRUE
Scrap Metal,TRUE
Ghostbusters,TRUE
Dragon Age: Origins,TRUE
Battlefield: Bad Co. 2,TRUE
Battlefield 3 (Disc Only),TRUE
Skydive,TRUE
Planets Under Attack,TRUE
CLANNAD (Only available in Japan),TRUE
Bully Scholarship Ed.,TRUE
Catherine,TRUE
Raskulls,TRUE
BioShock,TRUE
BioShock 2,TRUE
BioShock Infinite,TRUE
Shadowrun,TRUE
Space Ark,TRUE
Shotest Shogi,TRUE
Injustice: Gods Among Us,TRUE
Haunted House,TRUE
Oblivion,TRUE
Astropop,TRUE
Trine 2,TRUE
MOH Airborne,TRUE
Burnout Paradise,TRUE
Rayman Legends,TRUE
Pure,TRUE
Omega Five,TRUE
Military Madness,TRUE
Dead Space Ignition,TRUE
Escape Dead Island,TRUE
Skate 3,TRUE
Scarygirl,TRUE
Guardian Heroes,TRUE
OFP: Red River,TRUE
Mass Effect 2,TRUE
Mass Effect 3,TRUE
LIMBO,TRUE
Blue Dragon,TRUE
RAGE,TRUE
Killer Is Dead,TRUE
Shred Nebula,TRUE
The Orange Box,TRUE
Joe Danger 2: The Movie,TRUE
Galaga Legions,TRUE
Silent Hill: Downpour,TRUE
Eat Lead,TRUE
Puzzle Quest,TRUE
Jurassic Park: The Game,TRUE
Battlestations: Midway,TRUE
Dragon’s Lair,TRUE
Tour de France 2011,TRUE
Sonic & All-Stars Racing Transformed,TRUE
Puzzle Quest Galactrix,TRUE
Puzzle Quest 2,TRUE
Lost Odyssey,TRUE
Toy Story 3,TRUE
Guwange,TRUE
E4,TRUE
EnclevermentExperiment,TRUE
FunTown Mahjong,TRUE
Call of Duty: World at War,TRUE
Call of Duty 3,TRUE
Word Puzzle,TRUE
Bound by Flame,TRUE
The Maw,TRUE
Virtua Fighter 5 Final Showdown,TRUE
Bayonetta,TRUE
de Blob 2,TRUE
ARKANOID Live!,TRUE
QIX++,TRUE
Of Orcs and Men,TRUE
Bejeweled 3,TRUE
Deathspank T.O.V.,TRUE
Gatling Gears,TRUE
Forza Horizon,TRUE
Castle of Illusion Starring Mickey Mouse,TRUE
Joust,TRUE
Call of Duty 2,TRUE
