publisher,features,xboxRating,onlineFeatures,gameName,gameUrl,priceGold,dayRecorded,releaseDate,genre,highresboxart,price,developer
,,3.5,,FOR HONOR™ Standard Edition,https://www.microsoft.com/en-us/store/p/for-honor-standard-edition/c3hqkx3b35pd,,03/03/17,,,,$59.99,
,,4.2,,Grand Theft Auto V,https://www.microsoft.com/en-us/store/p/grand-theft-auto-v/bpj686w6s0nh,,03/03/17,,,,$59.99,
,,4.4,,Rocket League®,https://www.microsoft.com/en-us/store/p/rocket-league/c125w9bg2k0v,,03/03/17,,,,$19.99,
,,4.4,,Halo Wars 2: Standard Edition,https://www.microsoft.com/en-us/store/p/halo-wars-2-standard-edition/c42kcjclx6mx,,03/03/17,,,,$59.99,
,,4,,Minecraft: Xbox One Edition,https://www.microsoft.com/en-us/store/p/minecraft-xbox-one-edition/bt6hnjh658c6,,03/03/17,,,,$19.99,
,,4.1,,Deadpool,https://www.microsoft.com/en-us/store/p/deadpool/bw7dlwsnmwpz,,03/03/17,,,,$49.99,
,,3,,NBA 2K17,https://www.microsoft.com/en-us/store/p/nba-2k17/c49tbj4dhfhw,,03/03/17,,,,$59.99,
,,3.7,,Call of Duty®: Infinite Warfare - Launch Edition,https://www.microsoft.com/en-us/store/p/call-of-duty-infinite-warfare-launch-edition/btbxs3m5qqsm,,03/03/17,,,,$59.99,
,,4.8,,The Elder Scrolls V: Skyrim Special Edition,https://www.microsoft.com/en-us/store/p/the-elder-scrolls-v-skyrim-special-edition/bq1w1t1fc14w,,03/03/17,,,,$59.99,
,,3,,Call of Duty®: Infinite Warfare - Digital Legacy Edition,https://www.microsoft.com/en-us/store/p/call-of-duty-infinite-warfare-digital-legacy-edition/btdflrtvjwvp,,03/03/17,,,,$79.99,
,,4.6,,Battlefield™ 1,https://www.microsoft.com/en-us/store/p/battlefield-1/bwttw53m5b98,,03/03/17,,,,,
,,4.6,,Halo Wars 2: Ultimate Edition,https://www.microsoft.com/en-us/store/p/halo-wars-2-ultimate-edition/bwl7xlff1f5w,,03/03/17,,,,$79.99,
,,4.2,,Tom Clancy's Rainbow Six Siege,https://www.microsoft.com/en-us/store/p/tom-clancys-rainbow-six-siege/c12t09dsvp8j,,03/03/17,,,,$49.99,
,,4.2,,Overwatch: Origins Edition,https://www.microsoft.com/en-us/store/p/overwatch-origins-edition/c1c4dzjpbc2v,,03/03/17,,,,$59.99,
,,3.3,,FOR HONOR™ DELUXE EDITION,https://www.microsoft.com/en-us/store/p/for-honor-deluxe-edition/c5h0mxg36n3q,,03/03/17,,,,$69.99,
,,4.4,,Sniper Elite 4,https://www.microsoft.com/en-us/store/p/sniper-elite-4/bz5vlvx84stw,,03/03/17,,,,$59.99,
,,4.5,,RESIDENT EVIL 7 biohazard,https://www.microsoft.com/en-us/store/p/resident-evil-7-biohazard/bvfdtj1xf6cs,,03/03/17,,,,$59.99,
,,3,,NASCAR Heat Evolution,https://www.microsoft.com/en-us/store/p/nascar-heat-evolution/bnjvtp8tgw6q,,03/03/17,,,,,
,,4.1,,Battlefield 4,https://www.microsoft.com/en-us/store/p/battlefield-4/bp15sf17lh13,,03/03/17,,,,,
,,4.6,,Fallout 4,https://www.microsoft.com/en-us/store/p/fallout-4/c3kldkzbhncz,,03/03/17,,,,$59.99,
,,4,,Destiny - The Collection,https://www.microsoft.com/en-us/store/p/destiny-the-collection/c3gdk9qkwlrd,$40.19,03/03/17,,,,,
,,3.4,,Grand Theft Auto V & Whale Shark Cash Card Bundle,https://www.microsoft.com/en-us/store/p/grand-theft-auto-v-whale-shark-cash-card-bundle/c47bs8w7k7fs,,03/03/17,,,,,
,,4.1,,7 Days to Die,https://www.microsoft.com/en-us/store/p/7-days-to-die/brl7gc0gp1bm,,03/03/17,,,,$29.99,
,,2.3,,FOR HONOR™ Gold Edition,https://www.microsoft.com/en-us/store/p/for-honor-gold-edition/c1k748m3xp5d,,03/03/17,,,,$99.99,
,,4.2,,How To Survive 2,https://www.microsoft.com/en-us/store/p/how-to-survive-2/br7h2605l0qq,,03/03/17,,,,$14.99,
,,4.7,,DRAGON BALL XENOVERSE 2,https://www.microsoft.com/en-us/store/p/dragon-ball-xenoverse-2/bx03760d0qgn,,03/03/17,,,,,
,,4.1,,Halo: The Master Chief Collection Digital,https://www.microsoft.com/en-us/store/p/halo-the-master-chief-collection-digital/brnvr30j0sj2,,03/03/17,,,,$29.99,
,,3.3,,Grand Theft Auto V & Megalodon Shark Cash Card Bundle,https://www.microsoft.com/en-us/store/p/grand-theft-auto-v-megalodon-shark-cash-card-bundle/c54tnmrcbh0c,,03/03/17,,,,,
,,3.8,,Forza Horizon 3 Standard Edition,https://www.microsoft.com/en-us/store/p/forza-horizon-3-standard-edition/9nblggh4x6t9,,03/03/17,,,,$59.99,
,,4.3,,ASTRONEER (Game Preview),https://www.microsoft.com/en-us/store/p/astroneer-game-preview/9nblggh43kzb,,03/03/17,,,,$19.99,
,,4.3,,Dying Light: The Following - Enhanced Edition,https://www.microsoft.com/en-us/store/p/dying-light-the-following-enhanced-edition/bz7982mk3fwd,,03/03/17,,,,$29.99,
,,3.5,,Call of Duty®: Black Ops III - Gold Edition,https://www.microsoft.com/en-us/store/p/call-of-duty-black-ops-iii-gold-edition/brgshns8q2z6,,03/03/17,,,,$59.99,
,,4.3,,Mortal Kombat X,https://www.microsoft.com/en-us/store/p/mortal-kombat-x/c01z9j8s9bjp,,03/03/17,,,,$19.99,
,,3.8,,EA SPORTS™ FIFA 17,https://www.microsoft.com/en-us/store/p/ea-sports-fifa-17/btvffddz0tl4,,03/03/17,,,,,
,,4.8,,Titanfall® 2,https://www.microsoft.com/en-us/store/p/titanfall-2/c0x2hnvh08fb,,03/03/17,,,,,
,,4.3,,Terraria,https://www.microsoft.com/en-us/store/p/terraria/btnps60n3114,,03/03/17,,,,$19.99,
,,3.6,,Minecraft: Xbox One Edition Favorites Pack,https://www.microsoft.com/en-us/store/p/minecraft-xbox-one-edition-favorites-pack/bs4qjrbcpnvl,,03/03/17,,,,$29.99,
,,4.5,,Fallout 4 Digital Deluxe Bundle,https://www.microsoft.com/en-us/store/p/fallout-4-digital-deluxe-bundle/bzn57s48x9zm,,03/03/17,,,,$109.99,
,,3.4,,EA SPORTS™ NHL® 17,https://www.microsoft.com/en-us/store/p/ea-sports-nhl-17/bx4rtv7m28vs,,03/03/17,,,,,
,,3.9,,Dovetail Games Euro Fishing,https://www.microsoft.com/en-us/store/p/dovetail-games-euro-fishing/c5828hs8k39d,,03/03/17,,,,$18.49,
,,4.5,,Castle Crashers Remastered,https://www.microsoft.com/en-us/store/p/castle-crashers-remastered/c10gwtnnnbz8,,03/03/17,,,,$14.99,
,,4.5,,Stardew Valley,https://www.microsoft.com/en-us/store/p/stardew-valley/c3d891z6tnqm,,03/03/17,,,,$14.99,
,,4.1,,Halo 5: Guardians,https://www.microsoft.com/en-us/store/p/halo-5-guardians/brrc2bp0g9p0,,03/03/17,,,,$39.99,
,,4.7,,Riptide GP: Renegade,https://www.microsoft.com/en-us/store/p/riptide-gp-renegade/9nblggh68lsx,,03/03/17,,,,$9.99,
,,3.6,,Madden NFL 17,https://www.microsoft.com/en-us/store/p/madden-nfl-17/c2kv821gs8x5,,03/03/17,,,,,
,,3.5,,Call of Duty®: Infinite Warfare - Digital Deluxe Edition,https://www.microsoft.com/en-us/store/p/call-of-duty-infinite-warfare-digital-deluxe-edition/c4qnr5z103qw,,03/03/17,,,,$99.99,
,,4.6,,Attack on Titan,https://www.microsoft.com/en-us/store/p/attack-on-titan/c3qwvtz6htcb,,03/03/17,,,,$59.99,
,,3.9,,The Elder Scrolls Online: Tamriel Unlimited,https://www.microsoft.com/en-us/store/p/the-elder-scrolls-online-tamriel-unlimited/bpwxcl17zzjg,,03/03/17,,,,$29.99,
,,3.9,,Grand Theft Auto V & Great White Shark Cash Card,https://www.microsoft.com/en-us/store/p/grand-theft-auto-v-great-white-shark-cash-card/bnvmk7mlnl1w,,03/03/17,,,,,
,,4.1,,STAR WARS™ Battlefront™,https://www.microsoft.com/en-us/store/p/star-wars-battlefront/brxtm276dlpr,,03/03/17,,,,,
,,4.4,,Middle-earth™: Shadow of Mordor™ - Game of the Year Edition,https://www.microsoft.com/en-us/store/p/middle-earth-shadow-of-mordor-game-of-the-year-edition/bpbktsc16mwt,,03/03/17,,,,$19.99,
,,4.3,,BLAZBLUE CHRONOPHANTASMA EXTEND,https://www.microsoft.com/en-us/store/p/blazblue-chronophantasma-extend/bs41pbv1czsn,,03/03/17,,,,$24.99,
,,4.1,,Mortal Kombat XL,https://www.microsoft.com/en-us/store/p/mortal-kombat-xl/c20209h1d7lz,,03/03/17,,,,$39.99,
,,3.7,,ACA NEOGEO WORLD HEROES,https://www.microsoft.com/en-us/store/p/aca-neogeo-world-heroes/bw33p25lgmjc,,03/03/17,,,,$7.99,
,,3.2,,Doodle God: Ultimate Edition,https://www.microsoft.com/en-us/store/p/doodle-god-ultimate-edition/btg75rr3vhc6,,03/03/17,,,,$9.99,
,,4.3,,Watch Dogs®2,https://www.microsoft.com/en-us/store/p/watch-dogs-2/bsxlfn5qqzsc,,03/03/17,,,,$59.99,
,,4.3,,Farming Simulator 17,https://www.microsoft.com/en-us/store/p/farming-simulator-17/c45kv8q992hv,,03/03/17,,,,$49.99,
,,4.7,,The Walking Dead: A New Frontier - The Complete Season (Episodes 1-5),https://www.microsoft.com/en-us/store/p/the-walking-dead-a-new-frontier-the-complete-season-episodes-1-5/bqr7qs0f8sj3,,03/03/17,,,,$24.99,
,,4.3,,Mirror's Edge™ Catalyst,https://www.microsoft.com/en-us/store/p/mirrors-edge-catalyst/c48lbrjjcp2l,,03/03/17,,,,,
,,4.3,,Plants vs. Zombies™ Garden Warfare 2,https://www.microsoft.com/en-us/store/p/plants-vs-zombies-garden-warfare-2/bnrh7brc1d02,,03/03/17,,,,,
,,4.4,,Batman™: Arkham Knight,https://www.microsoft.com/en-us/store/p/batman-arkham-knight/bslx1rnxr6h7,,03/03/17,,,,$19.99,
,,3.9,,Don't Starve: Giant Edition + Shipwrecked Expansion,https://www.microsoft.com/en-us/store/p/dont-starve-giant-edition-shipwrecked-expansion/bp3j6w71nhmp,,03/03/17,,,,$18.99,
