movie_name,release_date,worldwide_gross,production_budget,num_rows,movie_link,domestic_gross
Avatar,12/18/2009,"$2,783,918,982","$425,000,000",,http://www.the-numbers.com/movie/Avatar#tab=summary,"$760,507,625"
Star Wars Ep. VII: The Force Awakens,12/18/2015,"$2,058,662,225","$306,000,000",,http://www.the-numbers.com/movie/Star-Wars-Ep-VII-The-Force-Awakens#tab=summary,"$936,662,225"
Pirates of the Caribbean: At World's End,5/24/2007,"$963,420,425","$300,000,000",,http://www.the-numbers.com/movie/Pirates-of-the-Caribbean-At-Worlds-End#tab=summary,"$309,420,425"
Spectre,11/6/2015,"$879,620,923","$300,000,000",,http://www.the-numbers.com/movie/Spectre#tab=summary,"$200,074,175"
The Dark Knight Rises,7/20/2012,"$1,084,439,099","$275,000,000",,http://www.the-numbers.com/movie/Dark-Knight-Rises-The#tab=summary,"$448,139,099"
The Lone Ranger,7/2/2013,"$260,002,115","$275,000,000",,http://www.the-numbers.com/movie/Lone-Ranger-The#tab=summary,"$89,302,115"
John Carter,3/9/2012,"$282,778,100","$275,000,000",,http://www.the-numbers.com/movie/John-Carter-of-Mars#tab=summary,"$73,058,679"
Tangled,11/24/2010,"$586,581,936","$260,000,000",,http://www.the-numbers.com/movie/Tangled#tab=summary,"$200,821,936"
Spider-Man 3,5/4/2007,"$890,875,303","$258,000,000",,http://www.the-numbers.com/movie/Spider-Man-3#tab=summary,"$336,530,303"
Avengers: Age of Ultron,5/1/2015,"$1,404,705,868","$250,000,000",,http://www.the-numbers.com/movie/Avengers-Age-of-Ultron#tab=summary,"$459,005,868"
Captain America: Civil War,5/6/2016,"$1,151,684,349","$250,000,000",,http://www.the-numbers.com/movie/Captain-America-Civil-War#tab=summary,"$408,084,349"
Batman v Superman: Dawn of Justice,3/25/2016,"$868,160,194","$250,000,000",,http://www.the-numbers.com/movie/Batman-v-Superman-Dawn-of-Justice#tab=summary,"$330,360,194"
The Hobbit: An Unexpected Journey,12/14/2012,"$1,017,003,568","$250,000,000",,http://www.the-numbers.com/movie/Hobbit-An-Unexpected-Journey-The#tab=summary,"$303,003,568"
Harry Potter and the Half-Blood Prince,7/15/2009,"$935,083,686","$250,000,000",,http://www.the-numbers.com/movie/Harry-Potter-and-the-Half-Blood-Prince#tab=summary,"$301,959,197"
The Hobbit: The Desolation of Smaug,12/13/2013,"$960,366,855","$250,000,000",,http://www.the-numbers.com/movie/Hobbit-The-Desolation-of-Smaug-The#tab=summary,"$258,366,855"
The Hobbit: The Battle of the Five Armies,12/17/2014,"$955,119,788","$250,000,000",,http://www.the-numbers.com/movie/Hobbit-The-Battle-of-the-Five-Armies-The#tab=summary,"$255,119,788"
Pirates of the Caribbean: On Stranger Tides,5/20/2011,"$1,045,663,875","$250,000,000",,http://www.the-numbers.com/movie/Pirates-of-the-Caribbean-On-Stranger-Tides#tab=summary,"$241,063,875"
Superman Returns,6/28/2006,"$374,085,065","$232,000,000",,http://www.the-numbers.com/movie/Superman-Returns#tab=summary,"$200,120,000"
Quantum of Solace,11/14/2008,"$591,692,078","$230,000,000",,http://www.the-numbers.com/movie/Quantum-of-Solace#tab=summary,"$169,368,427"
The Avengers,5/4/2012,"$1,519,479,547","$225,000,000",,http://www.the-numbers.com/movie/Avengers-The-(2011)#tab=summary,"$623,279,547"
Pirates of the Caribbean: Dead Man's Chest,7/7/2006,"$1,066,215,812","$225,000,000",,http://www.the-numbers.com/movie/Pirates-of-the-Caribbean-Dead-Mans-Chest#tab=summary,"$423,315,812"
Man of Steel,6/14/2013,"$667,999,518","$225,000,000",,http://www.the-numbers.com/movie/Man-of-Steel#tab=summary,"$291,045,518"
The Chronicles of Narnia: Prince Caspian,5/16/2008,"$417,341,288","$225,000,000",,http://www.the-numbers.com/movie/Chronicles-of-Narnia-Prince-Caspian-The#tab=summary,"$141,621,490"
Fantastic Beasts and Where to Find Them,11/18/2016,$0,"$225,000,000",,http://www.the-numbers.com/movie/Fantastic-Beasts-and-Where-to-Find-Them#tab=summary,$0
The Amazing Spider-Man,7/3/2012,"$757,890,267","$220,000,000",,http://www.the-numbers.com/movie/Amazing-Spider-Man-The#tab=summary,"$262,030,663"
Jurassic World,6/12/2015,"$1,670,328,025","$215,000,000",,http://www.the-numbers.com/movie/Jurassic-World#tab=summary,"$652,198,010"
Men in Black 3,5/25/2012,"$654,213,485","$215,000,000",,http://www.the-numbers.com/movie/Men-in-Black-3#tab=summary,"$179,020,854"
Transformers: Revenge of the Fallen,6/24/2009,"$836,519,699","$210,000,000",,http://www.the-numbers.com/movie/Transformers-Revenge-of-the-Fallen#tab=summary,"$402,111,870"
Transformers: Age of Extinction,6/27/2014,"$1,104,039,076","$210,000,000",,http://www.the-numbers.com/movie/Transformers-Age-of-Extinction#tab=summary,"$245,439,076"
X-Men: The Last Stand,5/26/2006,"$459,359,555","$210,000,000",,http://www.the-numbers.com/movie/X-Men-The-Last-Stand#tab=summary,"$234,362,462"
Robin Hood,5/14/2010,"$322,241,588","$210,000,000",,http://www.the-numbers.com/movie/Robin-Hood-(2010)#tab=summary,"$105,269,730"
Battleship,5/18/2012,"$305,218,228","$209,000,000",,http://www.the-numbers.com/movie/Battleship#tab=summary,"$65,233,400"
King Kong,12/14/2005,"$550,517,357","$207,000,000",,http://www.the-numbers.com/movie/King-Kong-(2005)#tab=summary,"$218,080,025"
The Golden Compass,12/1/2007,"$367,262,558","$205,000,000",,http://www.the-numbers.com/movie/His-Dark-Materials-The-Golden-Compass#tab=summary,"$70,107,728"
Titanic,12/19/1997,"$2,207,615,668","$200,000,000",,http://www.the-numbers.com/movie/Titanic#tab=summary,"$658,672,302"
Finding Dory,6/17/2016,"$1,021,218,312","$200,000,000",,http://www.the-numbers.com/movie/Finding-Dory#tab=summary,"$485,718,312"
