movie_name,release_date,worldwide_gross,production_budget,num_rows,movie_link,domestic_gross
Toy Story 3,6/18/2010,"$1,069,818,229","$200,000,000",,http://www.the-numbers.com/movie/Toy-Story-3#tab=summary,"$415,004,880"
Iron Man 3,5/3/2013,"$1,215,392,272","$200,000,000",,http://www.the-numbers.com/movie/Iron-Man-3#tab=summary,"$408,992,272"
Spider-Man 2,6/30/2004,"$783,705,001","$200,000,000",,http://www.the-numbers.com/movie/Spider-Man-2#tab=summary,"$373,524,485"
Alice in Wonderland,3/5/2010,"$1,025,491,110","$200,000,000",,http://www.the-numbers.com/movie/Alice-in-Wonderland-(2010)#tab=summary,"$334,191,110"
Skyfall,11/8/2012,"$1,110,526,981","$200,000,000",,http://www.the-numbers.com/movie/Skyfall#tab=summary,"$304,360,277"
Monsters University,6/21/2013,"$743,588,329","$200,000,000",,http://www.the-numbers.com/movie/Monsters-University#tab=summary,"$268,488,329"
Oz the Great and Powerful,3/8/2013,"$490,359,051","$200,000,000",,http://www.the-numbers.com/movie/Oz-The-Great-and-Powerful#tab=summary,"$234,770,996"
X-Men: Days of Future Past,5/23/2014,"$747,862,775","$200,000,000",,http://www.the-numbers.com/movie/X-Men-Days-of-Future-Past#tab=summary,"$233,921,534"
The Amazing Spider-Man 2,5/2/2014,"$708,996,336","$200,000,000",,http://www.the-numbers.com/movie/Amazing-Spider-Man-2-The#tab=summary,"$202,853,933"
Cars 2,6/24/2011,"$560,155,383","$200,000,000",,http://www.the-numbers.com/movie/Cars-2#tab=summary,"$191,450,875"
Tron: Legacy,12/17/2010,"$397,562,763","$200,000,000",,http://www.the-numbers.com/movie/Tron-Legacy#tab=summary,"$172,062,763"
2012,11/13/2009,"$788,408,539","$200,000,000",,http://www.the-numbers.com/movie/2012#tab=summary,"$166,112,167"
Terminator Salvation,5/21/2009,"$365,491,792","$200,000,000",,http://www.the-numbers.com/movie/Terminator-Salvation#tab=summary,"$125,322,469"
Green Lantern,6/17/2011,"$231,201,172","$200,000,000",,http://www.the-numbers.com/movie/Green-Lantern#tab=summary,"$116,601,172"
Prince of Persia: Sands of Time,5/28/2010,"$314,594,597","$200,000,000",,http://www.the-numbers.com/movie/Prince-of-Persia-Sands-of-Time#tab=summary,"$90,759,676"
Transformers: Dark of the Moon,6/29/2011,"$1,123,790,543","$195,000,000",,http://www.the-numbers.com/movie/Transformers-Dark-of-the-Moon#tab=summary,"$352,390,543"
Jack the Giant Slayer,3/1/2013,"$197,687,603","$195,000,000",,http://www.the-numbers.com/movie/Jack-the-Giant-Slayer#tab=summary,"$65,187,603"
Furious 7,4/3/2015,"$1,514,019,071","$190,000,000",,http://www.the-numbers.com/movie/Furious-7#tab=summary,"$351,032,910"
Star Trek Into Darkness,5/15/2013,"$467,381,584","$190,000,000",,http://www.the-numbers.com/movie/Star-Trek-Into-Darkness#tab=summary,"$228,778,661"
World War Z,6/21/2013,"$531,514,650","$190,000,000",,http://www.the-numbers.com/movie/World-War-Z#tab=summary,"$202,359,711"
The Great Gatsby,5/10/2013,"$351,040,419","$190,000,000",,http://www.the-numbers.com/movie/Great-Gatsby-The-(2011)#tab=summary,"$144,840,419"
Disney's A Christmas Carol,11/6/2009,"$315,709,697","$190,000,000",,http://www.the-numbers.com/movie/Disneys-A-Christmas-Carol#tab=summary,"$137,855,863"
Pacific Rim,7/12/2013,"$411,002,906","$190,000,000",,http://www.the-numbers.com/movie/Pacific-Rim#tab=summary,"$101,802,906"
The Good Dinosaur,11/25/2015,"$334,354,269","$187,500,000",,http://www.the-numbers.com/movie/Good-Dinosaur-The#tab=summary,"$123,087,120"
Iron Man,5/2/2008,"$582,443,126","$186,000,000",,http://www.the-numbers.com/movie/Iron-Man#tab=summary,"$318,604,126"
The Dark Knight,7/18/2008,"$1,002,891,358","$185,000,000",,http://www.the-numbers.com/movie/Dark-Knight-The#tab=summary,"$533,345,358"
Indiana Jones and the Kingdom of the Crystal Skull,5/22/2008,"$786,558,145","$185,000,000",,http://www.the-numbers.com/movie/Indiana-Jones-and-the-Kingdom-of-the-Crystal-Skull#tab=summary,"$317,023,851"
Brave,6/22/2012,"$554,606,532","$185,000,000",,http://www.the-numbers.com/movie/Brave#tab=summary,"$237,282,182"
Star Trek Beyond,7/22/2016,"$336,648,340","$185,000,000",,http://www.the-numbers.com/movie/Star-Trek-Beyond#tab=summary,"$158,848,340"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",12/9/2005,"$720,539,572","$180,000,000",,http://www.the-numbers.com/movie/Chronicles-of-Narnia-The-Lion-the-Witch-and-the-Wardrobe-The#tab=summary,"$291,710,957"
Maleficent,5/30/2014,"$758,536,735","$180,000,000",,http://www.the-numbers.com/movie/Maleficent#tab=summary,"$241,407,328"
WALL-E,6/27/2008,"$532,590,994","$180,000,000",,http://www.the-numbers.com/movie/WALL-E#tab=summary,"$223,808,164"
Rush Hour 3,8/10/2007,"$256,585,882","$180,000,000",,http://www.the-numbers.com/movie/Rush-Hour-3#tab=summary,"$140,125,968"
The Legend of Tarzan,7/1/2016,"$349,143,061","$180,000,000",,http://www.the-numbers.com/movie/Legend-of-Tarzan-The#tab=summary,"$126,643,061"
Hugo,11/23/2011,"$180,047,784","$180,000,000",,http://www.the-numbers.com/movie/Hugo#tab=summary,"$73,864,507"
Valerian and the City of a Thousand Planets,7/21/2017,$0,"$180,000,000",,http://www.the-numbers.com/movie/Valerian-and-the-City-of-a-Thousand-Planets#tab=summary,$0
Jupiter Ascending,2/6/2015,"$181,982,519","$179,000,000",,http://www.the-numbers.com/movie/Jupiter-Ascending#tab=summary,"$47,482,519"
X-Men: Apocalypse,5/27/2016,"$542,742,489","$178,000,000",,http://www.the-numbers.com/movie/X-Men-Apocalypse#tab=summary,"$155,442,489"
Edge of Tomorrow,6/6/2014,"$364,406,256","$178,000,000",,http://www.the-numbers.com/movie/Edge-of-Tomorrow#tab=summary,"$100,206,256"
The Jungle Book,4/15/2016,"$963,901,123","$175,000,000",,http://www.the-numbers.com/movie/Jungle-Book-The-(2016)#tab=summary,"$364,001,123"
Inside Out,6/19/2015,"$853,923,085","$175,000,000",,http://www.the-numbers.com/movie/Inside-Out-(2015)#tab=summary,"$356,461,711"
Suicide Squad,8/5/2016,"$744,352,295","$175,000,000",,http://www.the-numbers.com/movie/Suicide-Squad#tab=summary,"$324,752,295"
Up,5/29/2009,"$731,542,621","$175,000,000",,http://www.the-numbers.com/movie/Up#tab=summary,"$293,004,164"
Monsters vs. Aliens,3/27/2009,"$381,687,380","$175,000,000",,http://www.the-numbers.com/movie/Monsters-vs-Aliens#tab=summary,"$198,351,526"
G.I. Joe: The Rise of Cobra,8/7/2009,"$302,469,017","$175,000,000",,http://www.the-numbers.com/movie/G-I-Joe#tab=summary,"$150,201,498"
Wild Wild West,6/30/1999,"$221,229,335","$175,000,000",,http://www.the-numbers.com/movie/Wild-Wild-West#tab=summary,"$113,805,681"
The Mummy: Tomb of the Dragon Emperor,8/1/2008,"$405,760,225","$175,000,000",,http://www.the-numbers.com/movie/Mummy-Tomb-of-the-Dragon-Emperor-The#tab=summary,"$102,491,776"
Evan Almighty,6/22/2007,"$174,131,329","$175,000,000",,http://www.the-numbers.com/movie/Evan-Almighty#tab=summary,"$100,289,690"
Waterworld,7/28/1995,"$264,246,220","$175,000,000",,http://www.the-numbers.com/movie/Waterworld#tab=summary,"$88,246,220"
47 Ronin,12/25/2013,"$151,659,062","$175,000,000",,http://www.the-numbers.com/movie/47-Ronin#tab=summary,"$38,362,475"
Singularity,12/31/2020,$0,"$175,000,000",,http://www.the-numbers.com/movie/Singularity#tab=summary,$0
Guardians of the Galaxy,8/1/2014,"$771,172,112","$170,000,000",,http://www.the-numbers.com/movie/Guardians-of-the-Galaxy#tab=summary,"$333,172,112"
Iron Man 2,5/7/2010,"$623,561,331","$170,000,000",,http://www.the-numbers.com/movie/Iron-Man-2#tab=summary,"$312,433,331"
Captain America: The Winter Soldier,4/4/2014,"$714,401,889","$170,000,000",,http://www.the-numbers.com/movie/Captain-America-The-Winter-Soldier#tab=summary,"$259,746,958"
Dawn of the Planet of the Apes,7/11/2014,"$703,545,589","$170,000,000",,http://www.the-numbers.com/movie/Dawn-of-the-Planet-of-the-Apes#tab=summary,"$208,545,589"
The Polar Express,11/10/2004,"$319,090,241","$170,000,000",,http://www.the-numbers.com/movie/Polar-Express-The#tab=summary,"$194,949,659"
Snow White and the Huntsman,6/1/2012,"$401,016,924","$170,000,000",,http://www.the-numbers.com/movie/Snow-White-and-the-Huntsman#tab=summary,"$155,136,755"
Terminator 3: Rise of the Machines,7/1/2003,"$433,058,296","$170,000,000",,http://www.the-numbers.com/movie/Terminator-3-Rise-of-the-Machines#tab=summary,"$150,358,296"
Van Helsing,5/7/2004,"$300,150,546","$170,000,000",,http://www.the-numbers.com/movie/Van-Helsing#tab=summary,"$120,150,546"
Tomorrowland,5/22/2015,"$205,336,322","$170,000,000",,http://www.the-numbers.com/movie/Tomorrowland#tab=summary,"$93,436,322"
Alice Through the Looking Glass,5/27/2016,"$277,442,381","$170,000,000",,http://www.the-numbers.com/movie/Alice-Through-the-Looking-Glass#tab=summary,"$77,042,381"
Shrek Forever After,5/21/2010,"$756,244,673","$165,000,000",,http://www.the-numbers.com/movie/Shrek-Forever-After#tab=summary,"$238,736,787"
Big Hero 6,11/7/2014,"$652,127,828","$165,000,000",,http://www.the-numbers.com/movie/Big-Hero-6#tab=summary,"$222,527,828"
How to Train Your Dragon,3/26/2010,"$494,870,991","$165,000,000",,http://www.the-numbers.com/movie/How-to-Train-Your-Dragon#tab=summary,"$217,581,231"
Wreck-It Ralph,11/2/2012,"$496,511,521","$165,000,000",,http://www.the-numbers.com/movie/Wreck-It-Ralph#tab=summary,"$189,412,677"
Interstellar,11/5/2014,"$665,417,894","$165,000,000",,http://www.the-numbers.com/movie/Interstellar#tab=summary,"$188,017,894"
Independence Day: Resurgence,6/24/2016,"$387,644,286","$165,000,000",,http://www.the-numbers.com/movie/Independence-Day-Resurgence#tab=summary,"$103,144,286"
Doctor Strange,11/4/2016,"$86,000,000","$165,000,000",,http://www.the-numbers.com/movie/Doctor-Strange-(2016)#tab=summary,$0
Cowboys and Aliens,7/29/2011,"$175,910,315","$163,000,000",,http://www.the-numbers.com/movie/Cowboys-and-Aliens#tab=summary,"$100,240,551"
Shrek the Third,5/17/2007,"$807,330,936","$160,000,000",,http://www.the-numbers.com/movie/Shrek-the-Third#tab=summary,"$322,719,944"
Inception,7/16/2010,"$832,584,416","$160,000,000",,http://www.the-numbers.com/movie/Inception#tab=summary,"$292,576,195"
The Hunger Games: Mockingjay - Part 2,11/20/2015,"$650,523,427","$160,000,000",,http://www.the-numbers.com/movie/Hunger-Games-Mockingjay-Part-2-The#tab=summary,"$281,723,902"
Fast and Furious 6,5/24/2013,"$789,952,811","$160,000,000",,http://www.the-numbers.com/movie/Fast-and-Furious-6#tab=summary,"$238,679,850"
Godzilla,5/16/2014,"$529,076,069","$160,000,000",,http://www.the-numbers.com/movie/Godzilla-(2014)#tab=summary,"$200,676,069"
X-Men: First Class,6/3/2011,"$355,408,305","$160,000,000",,http://www.the-numbers.com/movie/X-Men-First-Class#tab=summary,"$146,408,305"
The Curious Case of Benjamin Button,12/25/2008,"$329,809,326","$160,000,000",,http://www.the-numbers.com/movie/Curious-Case-of-Benjamin-Button-The#tab=summary,"$127,509,326"
The Sorcerer's Apprentice,7/14/2010,"$217,986,320","$160,000,000",,http://www.the-numbers.com/movie/Sorcerers-Apprentice-The#tab=summary,"$63,150,991"
Poseidon,5/12/2006,"$181,674,817","$160,000,000",,http://www.the-numbers.com/movie/Poseidon#tab=summary,"$60,674,817"
Warcraft,6/10/2016,"$433,125,655","$160,000,000",,http://www.the-numbers.com/movie/Warcraft#tab=summary,"$47,225,655"
Deepwater Horizon,9/30/2016,"$91,950,200","$156,000,000",,http://www.the-numbers.com/movie/Deepwater-Horizon#tab=summary,"$59,015,200"
The Chronicles of Narnia: The Voyage of the Dawn Treader,12/10/2010,"$418,186,950","$155,000,000",,http://www.the-numbers.com/movie/Chronicles-of-Narnia-The-Voyage-of-the-Dawn-Treader-The#tab=summary,"$104,386,950"
Terminator: Genisys,7/1/2015,"$440,160,956","$155,000,000",,http://www.the-numbers.com/movie/Terminator-Genisys#tab=summary,"$89,760,956"
Alexander,11/24/2004,"$167,297,191","$155,000,000",,http://www.the-numbers.com/movie/Alexander#tab=summary,"$34,297,191"
Pearl Harbor,5/25/2001,"$449,239,855","$151,500,000",,http://www.the-numbers.com/movie/Pearl-Harbor#tab=summary,"$198,539,855"
Transformers,7/2/2007,"$708,272,592","$151,000,000",,http://www.the-numbers.com/movie/Transformers-The#tab=summary,"$319,246,193"
Frozen,11/22/2013,"$1,274,234,980","$150,000,000",,http://www.the-numbers.com/movie/Frozen-(2013)#tab=summary,"$400,738,009"
Zootopia,3/4/2016,"$1,021,768,248","$150,000,000",,http://www.the-numbers.com/movie/Zootopia#tab=summary,"$341,268,248"
Harry Potter and the Order of the Phoenix,7/11/2007,"$942,943,935","$150,000,000",,http://www.the-numbers.com/movie/Harry-Potter-and-the-Order-of-the-Phoenix#tab=summary,"$292,004,738"
Harry Potter and the Goblet of Fire,11/18/2005,"$896,911,078","$150,000,000",,http://www.the-numbers.com/movie/Harry-Potter-and-the-Goblet-of-Fire#tab=summary,"$290,013,036"
The Matrix Reloaded,5/15/2003,"$738,576,929","$150,000,000",,http://www.the-numbers.com/movie/Matrix-Reloaded-The#tab=summary,"$281,553,689"
I am Legend,12/14/2007,"$585,532,684","$150,000,000",,http://www.the-numbers.com/movie/I-am-Legend#tab=summary,"$256,393,010"
Hancock,7/1/2008,"$624,234,272","$150,000,000",,http://www.the-numbers.com/movie/Hancock#tab=summary,"$227,946,274"
Charlie and the Chocolate Factory,7/15/2005,"$475,825,484","$150,000,000",,http://www.the-numbers.com/movie/Charlie-and-the-Chocolate-Factory#tab=summary,"$206,459,076"
Ratatouille,6/29/2007,"$626,549,695","$150,000,000",,http://www.the-numbers.com/movie/Ratatouille#tab=summary,"$206,445,654"
Thor: The Dark World,11/8/2013,"$644,602,516","$150,000,000",,http://www.the-numbers.com/movie/Thor-The-Dark-World#tab=summary,"$206,362,140"
Batman Begins,6/15/2005,"$359,142,722","$150,000,000",,http://www.the-numbers.com/movie/Batman-Begins#tab=summary,"$205,343,774"
Mission: Impossible - Rogue Nation,7/31/2015,"$700,868,363","$150,000,000",,http://www.the-numbers.com/movie/Mission-Impossible-Rogue-Nation#tab=summary,"$195,042,377"
Thor,5/6/2011,"$449,326,618","$150,000,000",,http://www.the-numbers.com/movie/Thor#tab=summary,"$181,030,624"
Madagascar: Escape 2 Africa,11/7/2008,"$599,516,844","$150,000,000",,http://www.the-numbers.com/movie/Madagascar-Escape-2-Africa#tab=summary,"$180,010,950"
X-Men Origins: Wolverine,5/1/2009,"$374,825,760","$150,000,000",,http://www.the-numbers.com/movie/X-Men-Origins-Wolverine#tab=summary,"$179,883,157"
Night at the Museum: Battle of the Smithsonian,5/22/2009,"$402,231,063","$150,000,000",,http://www.the-numbers.com/movie/Night-at-the-Museum-Battle-of-the-Smithsonian#tab=summary,"$177,243,721"
Kung Fu Panda 2,5/26/2011,"$664,837,547","$150,000,000",,http://www.the-numbers.com/movie/Kung-Fu-Panda-2#tab=summary,"$165,249,063"
Mad Max: Fury Road,5/15/2015,"$373,136,354","$150,000,000",,http://www.the-numbers.com/movie/Mad-Max-Fury-Road#tab=summary,"$153,636,354"
The Matrix Revolutions,11/5/2003,"$427,300,260","$150,000,000",,http://www.the-numbers.com/movie/Matrix-Revolutions-The#tab=summary,"$139,270,910"
Mission: Impossible III,5/5/2006,"$397,501,348","$150,000,000",,http://www.the-numbers.com/movie/Mission-Impossible-III#tab=summary,"$133,501,348"
Angels & Demons,5/15/2009,"$490,875,846","$150,000,000",,http://www.the-numbers.com/movie/Angels-and-Demons#tab=summary,"$133,375,846"
Troy,5/14/2004,"$484,161,265","$150,000,000",,http://www.the-numbers.com/movie/Troy#tab=summary,"$133,298,577"
The Last Airbender,7/1/2010,"$319,713,881","$150,000,000",,http://www.the-numbers.com/movie/Last-Airbender-The#tab=summary,"$131,772,187"
Bee Movie,11/2/2007,"$287,594,577","$150,000,000",,http://www.the-numbers.com/movie/Bee-Movie#tab=summary,"$126,631,277"
G-Force,7/24/2009,"$292,817,841","$150,000,000",,http://www.the-numbers.com/movie/G-Force#tab=summary,"$119,436,770"
Bolt,11/21/2008,"$328,015,209","$150,000,000",,http://www.the-numbers.com/movie/Bolt#tab=summary,"$114,053,759"
Wrath of the Titans,3/30/2012,"$305,270,083","$150,000,000",,http://www.the-numbers.com/movie/Wrath-of-the-Titans#tab=summary,"$83,670,083"
Beowulf,11/16/2007,"$194,995,215","$150,000,000",,http://www.the-numbers.com/movie/Beowulf#tab=summary,"$82,195,215"
Dark Shadows,5/11/2012,"$238,202,668","$150,000,000",,http://www.the-numbers.com/movie/Dark-Shadows#tab=summary,"$79,727,149"
White House Down,6/28/2013,"$205,440,387","$150,000,000",,http://www.the-numbers.com/movie/White-House-Down#tab=summary,"$73,103,784"
The Wolfman,2/12/2010,"$142,634,358","$150,000,000",,http://www.the-numbers.com/movie/Wolf-Man-The#tab=summary,"$62,189,884"
Pan,10/9/2015,"$123,888,320","$150,000,000",,http://www.the-numbers.com/movie/Pan#tab=summary,"$35,088,320"
Mars Needs Moms,3/11/2011,"$39,549,758","$150,000,000",,http://www.the-numbers.com/movie/Mars-Needs-Moms#tab=summary,"$21,392,758"
Passengers,12/21/2016,$0,"$150,000,000",,http://www.the-numbers.com/movie/Passengers-(2016)#tab=summary,$0
Flushed Away,11/3/2006,"$179,357,126","$149,000,000",,http://www.the-numbers.com/movie/Flushed-Away#tab=summary,"$64,665,672"
Madagascar 3: Europe's Most Wanted,6/8/2012,"$746,921,271","$145,000,000",,http://www.the-numbers.com/movie/Madagascar-3#tab=summary,"$216,391,482"
Mission: Impossibleâ€”Ghost Protocol,12/16/2011,"$694,713,230","$145,000,000",,http://www.the-numbers.com/movie/Mission-Impossible-Ghost-Protocol#tab=summary,"$209,397,903"
How to Train Your Dragon 2,6/13/2014,"$616,102,924","$145,000,000",,http://www.the-numbers.com/movie/How-to-Train-Your-Dragon-2#tab=summary,"$177,002,924"
Tarzan,6/16/1999,"$448,191,819","$145,000,000",,http://www.the-numbers.com/movie/Tarzan#tab=summary,"$171,091,819"
Mr. Peabody & Sherman,3/7/2014,"$269,806,430","$145,000,000",,http://www.the-numbers.com/movie/Mr-Peabody-and-Sherman#tab=summary,"$111,506,430"
Rise of the Guardians,11/21/2012,"$306,900,902","$145,000,000",,http://www.the-numbers.com/movie/Rise-of-the-Guardians#tab=summary,"$103,412,758"
Sahara,4/8/2005,"$121,671,925","$145,000,000",,http://www.the-numbers.com/movie/Sahara#tab=summary,"$68,671,925"
Ghostbusters,7/15/2016,"$228,996,239","$144,000,000",,http://www.the-numbers.com/movie/Ghostbusters-(2016)#tab=summary,"$128,312,763"
Die Another Day,11/22/2002,"$431,942,139","$142,000,000",,http://www.the-numbers.com/movie/Die-Another-Day#tab=summary,"$160,942,139"
Star Trek,5/8/2009,"$385,680,446","$140,000,000",,http://www.the-numbers.com/movie/Star-Trek#tab=summary,"$257,730,019"
Armageddon,7/1/1998,"$554,600,000","$140,000,000",,http://www.the-numbers.com/movie/Armageddon#tab=summary,"$201,578,182"
Men in Black 2,7/3/2002,"$441,767,803","$140,000,000",,http://www.the-numbers.com/movie/Men-in-Black-2#tab=summary,"$190,418,803"
Captain America: The First Avenger,7/22/2011,"$370,569,776","$140,000,000",,http://www.the-numbers.com/movie/Captain-America-The-First-Avenger#tab=summary,"$176,654,505"
Kung Fu Panda 3,1/29/2016,"$518,628,619","$140,000,000",,http://www.the-numbers.com/movie/Kung-Fu-Panda-3#tab=summary,"$143,528,619"
Lethal Weapon 4,7/10/1998,"$285,400,000","$140,000,000",,http://www.the-numbers.com/movie/Lethal-Weapon-4#tab=summary,"$130,444,603"
G.I. Joe: Retaliation,3/27/2013,"$375,740,705","$140,000,000",,http://www.the-numbers.com/movie/G-I-Joe-Retaliation#tab=summary,"$122,523,060"
The Last Samurai,12/5/2003,"$456,810,575","$140,000,000",,http://www.the-numbers.com/movie/Last-Samurai-The#tab=summary,"$111,110,575"
Fun With Dick And Jane,12/21/2005,"$203,018,919","$140,000,000",,http://www.the-numbers.com/movie/Fun-With-Dick-And-Jane#tab=summary,"$110,550,000"
Exodus: Gods and Kings,12/12/2014,"$268,314,513","$140,000,000",,http://www.the-numbers.com/movie/Exodus-Gods-and-Kings#tab=summary,"$65,014,513"
The BFG,7/1/2016,"$148,039,134","$140,000,000",,http://www.the-numbers.com/movie/BFG-The#tab=summary,"$55,483,770"
Gods of Egypt,2/26/2016,"$133,553,464","$140,000,000",,http://www.the-numbers.com/movie/Gods-of-Egypt#tab=summary,"$31,153,464"
Spider-Man,5/3/2002,"$821,706,375","$139,000,000",,http://www.the-numbers.com/movie/Spider-Man#tab=summary,"$403,706,375"
Watchmen,3/6/2009,"$184,068,357","$138,000,000",,http://www.the-numbers.com/movie/Watchmen#tab=summary,"$107,509,799"
Stealth,7/29/2005,"$76,416,746","$138,000,000",,http://www.the-numbers.com/movie/Stealth#tab=summary,"$32,116,746"
The Incredible Hulk,6/13/2008,"$263,417,913","$137,500,000",,http://www.the-numbers.com/movie/Incredible-Hulk-The#tab=summary,"$134,806,913"
Hulk,6/20/2003,"$245,229,234","$137,000,000",,http://www.the-numbers.com/movie/Hulk#tab=summary,"$132,177,234"
Final Fantasy: The Spirits Within,7/11/2001,"$85,131,830","$137,000,000",,http://www.the-numbers.com/movie/Final-Fantasy-The-Spirits-Within#tab=summary,"$32,131,830"
"The Twilight Saga: Breaking Dawn, Part 2",11/16/2012,"$829,724,737","$136,200,000",,http://www.the-numbers.com/movie/Twilight-Saga-Breaking-Dawn-Part-2-The#tab=summary,"$292,324,737"
