"year","make","model","carline_class","carline_broad","cyl","disp","air_asp","trans_desc","gears","drive_desc","fuel_type","mpg_city","mpg_hwy","mpg_mix","ann_fuel","condition","lux","trans_broad"
2012,"Chevrolet","corvette","Two seaters","Cars",8,6.2,"Naturally Aspirated","Automated Manual",6,"Rear Wheel Drive","Regular Gasoline",15,25,18,2502,"Used","Family","Automatic"
2012,"Chevrolet","corvette","Two seaters","Cars",8,6.2,"Naturally Aspirated","Manual",6,"Rear Wheel Drive","Regular Gasoline",16,26,19,2367,"Used","Family","Manual"
2012,"Chevrolet","corvette","Two seaters","Cars",8,6.2,"Supercharged","Manual",6,"Rear Wheel Drive","Premium Gasoline",14,21,17,2822,"Used","Family","Manual"
2012,"Chevrolet","corvette","Two seaters","Cars",8,7,"Naturally Aspirated","Manual",6,"Rear Wheel Drive","Premium Gasoline",15,24,18,2669,"Used","Family","Manual"
2012,"Ferrari","ferrari 458 italia","Two seaters","Cars",8,4.5,"Naturally Aspirated","Automated Manual",7,"Rear Wheel Drive","Premium Gasoline",12,17,14,4230,"Used","Super","Automatic"
2012,"Ferrari","ferrari 458 italia","Two seaters","Cars",8,4.5,"Naturally Aspirated","Automated Manual",7,"Rear Wheel Drive","Premium Gasoline",12,18,14,4230,"Used","Super","Automatic"
2012,"Ferrari","ferrari 458 italia","Two seaters","Cars",8,4.5,"Naturally Aspirated","Automated Manual",7,"Rear Wheel Drive","Premium Gasoline",12,17,14,4230,"Used","Super","Automatic"
2012,"Ferrari","ferrari 458 italia","Two seaters","Cars",8,4.5,"Naturally Aspirated","Automated Manual",7,"Rear Wheel Drive","Premium Gasoline",12,18,14,4230,"Used","Super","Automatic"
2012,"Ferrari","ferrari california","Two seaters","Cars",8,4.3,"Naturally Aspirated","Automated Manual",7,"Rear Wheel Drive","Premium Gasoline",13,19,15,3952,"Used","Super","Automatic"
2012,"Ferrari","ferrari california","Two seaters","Cars",8,4.3,"Naturally Aspirated","Automated Manual",7,"Rear Wheel Drive","Premium Gasoline",13,19,15,3952,"Used","Super","Automatic"
2012,"Honda","cr-z","Two seaters","Cars",4,1.5,"Naturally Aspirated","Continuously Variable",7,"Front Wheel Drive","Regular Gasoline",35,39,37,1498,"Used","Family","Automatic"
2012,"Honda","cr-z","Two seaters","Cars",4,1.5,"Naturally Aspirated","Manual",6,"Front Wheel Drive","Regular Gasoline",31,37,34,1632,"Used","Family","Manual"
2012,"Lamborghini","aventador coupe","Two seaters","Cars",12,6.5,"Naturally Aspirated","Automated Manual",7,"All Wheel Drive","Premium Gasoline",11,17,13,3691,"Used","Super","Automatic"
2012,"Lamborghini","gallardo coupe","Two seaters","Cars",10,5.2,"Naturally Aspirated","Automated Manual",6,"All Wheel Drive","Premium Gasoline",13,20,16,3000,"Used","Super","Automatic"
2012,"Lamborghini","gallardo coupe","Two seaters","Cars",10,5.2,"Naturally Aspirated","Manual",6,"All Wheel Drive","Premium Gasoline",12,20,15,3202,"Used","Super","Manual"
2012,"Lamborghini","gallardo spyder","Two seaters","Cars",10,5.2,"Naturally Aspirated","Automated Manual",6,"All Wheel Drive","Premium Gasoline",13,20,16,3000,"Used","Super","Automatic"
2012,"Lamborghini","gallardo spyder","Two seaters","Cars",10,5.2,"Naturally Aspirated","Manual",6,"All Wheel Drive","Premium Gasoline",12,20,14,3427,"Used","Super","Manual"
2012,"LEXUS","lfa","Two seaters","Cars",10,4.8,"Naturally Aspirated","Automated Manual",6,"Rear Wheel Drive","Premium Gasoline",11,16,12,4936,"Used","Luxury","Automatic"
2012,"MAZDA","mx-5","Two seaters","Cars",4,2,"Naturally Aspirated","Automated Manual",6,"Rear Wheel Drive","Premium Gasoline",21,28,23,2577,"Used","Family","Automatic"
2012,"MAZDA","mx-5","Two seaters","Cars",4,2,"Naturally Aspirated","Manual",5,"Rear Wheel Drive","Premium Gasoline",22,28,25,2370,"Used","Family","Manual"
2012,"MAZDA","mx-5","Two seaters","Cars",4,2,"Naturally Aspirated","Manual",6,"Rear Wheel Drive","Premium Gasoline",21,28,24,2471,"Used","Family","Manual"
2012,"McLaren","mp4-12c coupe","Two seaters","Cars",8,3.8,"Turbocharged","Automatic",7,"Rear Wheel Drive","Premium Gasoline",15,22,18,3294,"Used","Super","Automatic"
2012,"Mercedes-Benz","sl 550","Two seaters","Cars",8,5.5,"Naturally Aspirated","Automatic",7,"Rear Wheel Drive","Premium Gasoline",14,22,17,3484,"Used","Luxury","Automatic"
2012,"Mercedes-Benz","sl 63 amg","Two seaters","Cars",8,6.2,"Naturally Aspirated","Automatic",7,"Rear Wheel Drive","Premium Gasoline",12,19,14,4230,"Used","Luxury","Automatic"
2012,"Mercedes-Benz","slk 250","Two seaters","Cars",4,1.8,"Turbocharged","Automatic",7,"Rear Wheel Drive","Premium Gasoline",23,33,26,2281,"Used","Luxury","Automatic"
2012,"Mercedes-Benz","slk 250","Two seaters","Cars",4,1.8,"Turbocharged","Manual",6,"Rear Wheel Drive","Premium Gasoline",22,32,26,2281,"Used","Luxury","Manual"
2012,"Mercedes-Benz","slk 350","Two seaters","Cars",6,3.5,"Naturally Aspirated","Automatic",7,"Rear Wheel Drive","Premium Gasoline",20,29,23,2577,"Used","Luxury","Automatic"
2012,"Mercedes-Benz","slk 55 amg","Two seaters","Cars",8,5.5,"Naturally Aspirated","Automatic",7,"Rear Wheel Drive","Premium Gasoline",19,28,22,2696,"Used","Luxury","Automatic"
2012,"Mercedes-Benz","sls amg","Two seaters","Cars",8,6.2,"Naturally Aspirated","Automated Manual",7,"Rear Wheel Drive","Premium Gasoline",14,20,16,3703,"Used","Luxury","Automatic"
2012,"Mercedes-Benz","sls amg roadster","Two seaters","Cars",8,6.2,"Naturally Aspirated","Automated Manual",7,"Rear Wheel Drive","Premium Gasoline",14,20,16,3703,"Used","Luxury","Automatic"
2012,"Mercedes-Benz","smart fortwo (cabriolet)","Two seaters","Cars",3,1,"Naturally Aspirated","Automated Manual",5,"Rear Wheel Drive","Premium Gasoline",34,38,36,1647,"Used","Luxury","Automatic"
2012,"Mercedes-Benz","smart fortwo (coupe)","Two seaters","Cars",3,1,"Naturally Aspirated","Automated Manual",5,"Rear Wheel Drive","Premium Gasoline",34,38,36,1647,"Used","Luxury","Automatic"
2012,"Mini","mini cooper coupe","Two seaters","Cars",4,1.6,"Naturally Aspirated","Automated Manual",6,"Front Wheel Drive","Premium Gasoline",28,36,31,1914,"Used","Luxury","Automatic"
2012,"Mini","mini cooper coupe","Two seaters","Cars",4,1.6,"Naturally Aspirated","Manual",6,"Front Wheel Drive","Premium Gasoline",29,37,32,1849,"Used","Luxury","Manual"
2012,"Mini","mini cooper roadster","Two seaters","Cars",4,1.6,"Naturally Aspirated","Automated Manual",6,"Front Wheel Drive","Premium Gasoline",27,35,30,1973,"Used","Luxury","Automatic"
2012,"Mini","mini cooper roadster","Two seaters","Cars",4,1.6,"Naturally Aspirated","Manual",6,"Front Wheel Drive","Premium Gasoline",27,35,30,1973,"Used","Luxury","Manual"
2012,"Mini","mini cooper s coupe","Two seaters","Cars",4,1.6,"Turbocharged","Automated Manual",6,"Front Wheel Drive","Premium Gasoline",26,34,29,2044,"Used","Luxury","Automatic"
2012,"Mini","mini cooper s coupe","Two seaters","Cars",4,1.6,"Turbocharged","Manual",6,"Front Wheel Drive","Premium Gasoline",27,35,30,1973,"Used","Luxury","Manual"
2012,"Mini","mini cooper s roadster","Two seaters","Cars",4,1.6,"Turbocharged","Automated Manual",6,"Front Wheel Drive","Premium Gasoline",26,34,29,2044,"Used","Luxury","Automatic"
2012,"Mini","mini cooper s roadster","Two seaters","Cars",4,1.6,"Turbocharged","Manual",6,"Front Wheel Drive","Premium Gasoline",27,35,30,1973,"Used","Luxury","Manual"
2012,"Mini","mini john cooper works coupe","Two seaters","Cars",4,1.6,"Turbocharged","Manual",6,"Front Wheel Drive","Premium Gasoline",25,33,28,2115,"Used","Luxury","Manual"
2012,"Mini","mini john cooper works roadster","Two seaters","Cars",4,1.6,"Turbocharged","Manual",6,"Front Wheel Drive","Premium Gasoline",25,33,28,2115,"Used","Luxury","Manual"
2012,"NISSAN","370z","Two seaters","Cars",6,3.7,"Naturally Aspirated","Automated Manual",7,"Rear Wheel Drive","Premium Gasoline",19,26,22,2696,"Used","Family","Automatic"
2012,"NISSAN","370z","Two seaters","Cars",6,3.7,"Naturally Aspirated","Manual",6,"Rear Wheel Drive","Premium Gasoline",18,26,21,2820,"Used","Family","Manual"
2012,"NISSAN","370z roadster","Two seaters","Cars",6,3.7,"Naturally Aspirated","Automated Manual",7,"Rear Wheel Drive","Premium Gasoline",18,25,21,2820,"Used","Family","Automatic"
2012,"NISSAN","370z roadster","Two seaters","Cars",6,3.7,"Naturally Aspirated","Manual",6,"Rear Wheel Drive","Premium Gasoline",18,25,20,2962,"Used","Family","Manual"
2012,"Porsche","911 speedster","Two seaters","Cars",6,3.8,"Naturally Aspirated","Automatic",7,"Rear Wheel Drive","Premium Gasoline",19,27,21,2820,"Used","Luxury","Automatic"
2012,"Porsche","boxster","Two seaters","Cars",6,2.9,"Naturally Aspirated","Automatic",7,"Rear Wheel Drive","Premium Gasoline",20,29,24,2471,"Used","Luxury","Automatic"
2012,"Porsche","boxster","Two seaters","Cars",6,2.9,"Naturally Aspirated","Manual",6,"Rear Wheel Drive","Premium Gasoline",19,27,22,2696,"Used","Luxury","Manual"
2012,"Porsche","boxster s","Two seaters","Cars",6,3.4,"Naturally Aspirated","Automatic",7,"Rear Wheel Drive","Premium Gasoline",20,29,23,2577,"Used","Luxury","Automatic"
2012,"Porsche","boxster s","Two seaters","Cars",6,3.4,"Naturally Aspirated","Manual",6,"Rear Wheel Drive","Premium Gasoline",19,26,22,2696,"Used","Luxury","Manual"
