City,Year,Total_beds,General_beds,Special_beds,Clinic_patients,Emergency_patients,Surgery_patients,Total_staff,Doctor_staff,Nurse_staff,Gb_ratio,Sb_ratio,Num_hospital
Taipei City,2006,19992,14880,5112,19343307,1028541,377020,26740,5666,16062,75.5,60.6,40
Taichung City,2006,16840,12093,4747,11478705,739422,214397,15527,2682,9889,63.6,64.4,70
Tainan City,2006,9872,7101,2771,6410604,496615,116921,9013,1562,5687,66.8,63.9,47
Kaohsiung City,2006,17356,12858,4498,12981480,784290,204403,16324,2995,10336,64.3,58.2,101
Keelung City,2006,2170,1594,576,1763306,142532,25306,1979,365,1240,66.7,62,8
Hsinchu City,2006,2076,1367,709,1921451,218394,36370,2041,316,1349,63.6,57.6,8
Chiayi City,2006,3260,2247,1013,2413692,162728,41936,3139,435,2115,68.7,58.3,13
New Taipei City,2006,11138,8184,2954,7513702,682494,136304,9698,1621,6332,73.7,62.5,63
Taoyuan City,2006,12549,9333,3216,7724241,634518,149337,11122,2046,7251,67.4,58.7,35
Hsinchu County,2006,2044,1445,599,1015461,110170,12506,1316,171,907,53.1,64.6,9
Yilan County,2006,3701,2854,847,2060258,163698,55715,2616,344,1790,72.6,49.8,12
Miaoli County,2006,2969,2114,855,1784057,124844,27179,1898,254,1249,61.7,57,16
Changhua County,2006,6714,4782,1932,4891929,320129,83691,6244,1008,4123,59.5,55.9,37
Nantou County,2006,2968,2332,636,1660361,129747,30389,1917,262,1295,69.5,55,10
Yunlin County,2006,2649,1872,777,1835231,149262,27791,2023,300,1310,61.1,52.7,19
Chiayi County,2006,3225,2488,737,1758141,127924,33131,2662,421,1788,65.8,56,6
Pingtung County,2006,5397,4089,1308,3070581,273702,46298,4156,535,2895,64.8,56.3,31
Penghu County,2006,452,343,109,285018,36258,2800,318,54,200,57.4,29.4,3
Hualien County,2006,4234,3511,723,1515298,138334,29645,3146,560,2035,84,61.2,10
Taitung County,2006,1223,840,383,795376,84561,12983,1021,132,699,62.7,52.8,7
Kinmen County,2006,285,234,51,167931,16146,1066,152,18,93,35.1,31.3,1
Lienchiang County,2006,38,34,4,64309,4938,56,38,9,17,19.4,0,1
Taipei City,2007,20502,15308,5194,20434565,1062583,366032,27462,5882,16450,74.8,59.5,40
Taichung City,2007,17093,12372,4721,11923649,756126,211111,16409,2832,10372,63.9,65.8,70
Tainan City,2007,9721,7057,2664,6551180,513019,116037,9211,1600,5839,68.1,66.3,40
Kaohsiung City,2007,17271,12710,4561,13253950,817898,217030,16737,3051,10697,67.8,61.3,99
Keelung City,2007,2231,1651,580,1624654,144773,24144,1998,374,1247,67.6,69.8,7
Hsinchu City,2007,2194,1519,675,1942525,225515,37834,2139,330,1430,57.5,62.8,8
Chiayi City,2007,3349,2347,1002,2300008,162443,40419,3238,437,2199,66.6,62.6,12
New Taipei City,2007,11348,8395,2953,7929827,701126,138871,9972,1660,6475,73.9,71.5,60
Taoyuan City,2007,12177,9091,3086,7816197,620773,165340,11556,2051,7511,67.5,62.4,33
Hsinchu County,2007,2005,1410,595,982408,105481,13145,1321,171,903,60.2,63.5,9
Yilan County,2007,3863,2954,909,2031163,173420,51853,2789,364,1918,71.5,48.6,12
Miaoli County,2007,3017,2164,853,1889614,124124,28013,1939,258,1260,61.7,57.7,17
Changhua County,2007,6531,4674,1857,5198760,335073,90323,6623,1049,4368,67.8,64.1,37
Nantou County,2007,2994,2341,653,1734167,129272,22221,1947,254,1313,74.2,57.7,10
Yunlin County,2007,2884,2048,836,1880315,158795,28086,2354,343,1526,57.5,54.1,18
Chiayi County,2007,3123,2423,700,1816399,127641,34972,2670,438,1772,66.8,61.3,6
Pingtung County,2007,5243,3926,1317,2912999,262141,42227,4198,544,2911,66.1,61.1,30
Penghu County,2007,452,343,109,279667,38911,2885,322,53,199,58.9,31.1,3
Hualien County,2007,4173,3427,746,1583887,137207,30010,3136,559,2016,83.6,60.8,10
Taitung County,2007,1279,907,372,798101,91636,11702,1063,136,734,61,51.2,7
Kinmen County,2007,288,234,54,193153,17700,1468,185,23,117,35.5,33.9,1
Lienchiang County,2007,38,34,4,66172,7060,60,36,6,17,21.1,0,1
Taipei City,2008,21053,15689,5364,20252270,1035743,357668,28655,6001,17211,72.5,59.5,40
Taichung City,2008,16873,12241,4632,12249496,754009,218756,16887,2954,10561,67.1,70.5,69
Tainan City,2008,9642,7011,2631,6605717,509503,122562,9338,1645,5866,69.8,67.6,38
Kaohsiung City,2008,17186,12523,4663,13304540,806469,220583,17461,3193,11109,69.2,61.4,95
Keelung City,2008,2215,1623,592,1643106,137036,25471,2062,387,1274,69.1,64.4,7
Hsinchu City,2008,2086,1398,688,1980052,219608,38259,2273,358,1509,63,64.7,8
Chiayi City,2008,3477,2381,1096,2415136,161178,40315,3430,471,2310,68,60.7,11
New Taipei City,2008,12154,8810,3344,8333069,704100,147148,11301,1902,7251,72.5,69,60
Taoyuan City,2008,12163,9084,3079,7388873,618283,158647,11974,2113,7820,68.9,63.4,33
Hsinchu County,2008,2005,1410,595,948823,102328,12295,1276,169,866,63,62.8,9
Yilan County,2008,3773,2904,869,2097345,175017,49938,2889,376,1995,77.5,54,12
Miaoli County,2008,3232,2357,875,1825759,123695,28463,1978,263,1262,61.5,50.7,17
Changhua County,2008,7237,5325,1912,5560332,336449,93301,6974,1142,4540,63,61.1,37
Nantou County,2008,3012,2341,671,1850866,127276,25324,2023,266,1345,77.5,54.7,10
Yunlin County,2008,2997,2127,870,1998594,158236,28664,2558,399,1638,58.7,56.2,15
Chiayi County,2008,2519,1926,593,1635736,113651,34834,2517,435,1647,73,68.7,4
Pingtung County,2008,5125,3845,1280,2843499,251506,42143,4137,532,2861,65,63,28
Penghu County,2008,451,342,109,277341,34042,3117,331,52,209,59.4,27.4,3
Hualien County,2008,4153,3407,746,1581542,132869,30357,3106,523,2001,82.2,59.8,10
Taitung County,2008,1352,955,397,795942,84463,12394,1116,145,759,67.1,48.5,7
Kinmen County,2008,288,234,54,219581,20667,1476,210,29,131,44.4,30.8,1
Lienchiang County,2008,27,25,2,77233,6388,85,37,7,18,34.2,0,1
Taipei City,2009,21210,15788,5422,21346253,1152358,372166,29582,6092,17850,71.9,60.1,39
Taichung City,2009,17232,12490,4742,12505069,814857,224557,17406,3024,10884,64.9,68.1,68
Tainan City,2009,9669,7019,2650,6664909,548047,126892,9603,1724,5996,68.4,68.6,37
Kaohsiung City,2009,17383,12425,4958,13519457,880503,217472,18044,3243,11498,68.5,60.4,94
Keelung City,2009,2204,1603,601,1673632,151653,27041,2151,403,1323,70.4,62.8,7
Hsinchu City,2009,2130,1487,643,2063658,234868,37571,2434,362,1639,58.1,63.8,8
Chiayi City,2009,3530,2401,1129,2541194,179617,42144,3577,477,2414,66.6,59.3,12
New Taipei City,2009,12405,8862,3543,9054375,817167,158669,12346,2023,7949,75.1,70.5,60
Taoyuan City,2009,12094,9059,3035,8129002,642899,166962,12229,2137,7976,67.9,61.4,35
Hsinchu County,2009,2122,1527,595,945339,105956,13332,1329,181,891,57.6,61.5,10
Yilan County,2009,3712,2876,836,2055649,194569,49571,2950,377,2051,78.2,59.2,10
Miaoli County,2009,3244,2370,874,1959948,130229,27632,2052,264,1325,61,51.4,17
Changhua County,2009,7081,5241,1840,4865743,360396,92226,7101,1122,4638,64.7,63.6,36
Nantou County,2009,3043,2361,682,1956723,146511,26147,2131,279,1405,75.2,54.2,11
Yunlin County,2009,3220,2260,960,2074774,170813,29571,2737,415,1773,58,54.3,16
Chiayi County,2009,2956,2327,629,1708396,119953,35272,2878,447,1910,63.6,59.9,4
Pingtung County,2009,5198,3862,1336,3240440,285994,44376,4329,560,2995,67.4,57.8,27
Penghu County,2009,448,337,111,278592,41571,3084,353,51,229,62.9,28.8,3
Hualien County,2009,4170,3432,738,1599978,149465,32209,3217,553,2050,80.7,61.4,11
Taitung County,2009,1393,935,458,816565,94246,9783,1128,151,765,70.4,43.2,7
Kinmen County,2009,245,188,57,242010,25392,2445,236,25,152,56.8,34.2,1
Lienchiang County,2009,27,25,2,81830,7045,80,42,8,19,30.2,0,1
Taipei City,2010,21216,15742,5474,21637451,1131035,383527,30064,6206,18019,73.6,62.5,39
Taichung City,2010,17207,12442,4765,12794833,830766,226455,17979,3117,11190,66.6,69.1,68
Tainan City,2010,9496,6906,2590,6584162,553133,130185,9893,1739,6152,70.2,72,36
Kaohsiung City,2010,17429,12472,4957,13500356,876869,215785,18968,3342,12199,68.7,62.8,94
Keelung City,2010,2152,1542,610,1677968,144310,26725,2187,429,1316,75,65.7,7
Hsinchu City,2010,2193,1499,694,2126793,239768,39817,2541,374,1716,62.8,65.3,8
Chiayi City,2010,3514,2401,1113,2605811,178808,40959,3725,502,2477,67.2,66.4,12
New Taipei City,2010,12457,8838,3619,9054351,768887,162073,12843,2078,8215,77.2,71.7,57
Taoyuan City,2010,12219,9101,3118,8267650,653808,161420,12526,2150,8116,69,58.1,36
Hsinchu County,2010,2123,1523,600,962494,105497,13104,1327,181,874,62.9,61.7,10
Yilan County,2010,3728,2880,848,2137982,193305,32268,2986,384,2049,75.4,55.9,10
Miaoli County,2010,3221,2350,871,1983052,140071,27887,2047,259,1311,61.3,54.1,16
Changhua County,2010,7130,5341,1789,5414663,366145,92482,7309,1143,4706,65.3,64.6,36
Nantou County,2010,3148,2427,721,2008251,157166,26421,2209,279,1447,75.4,56.6,11
Yunlin County,2010,3381,2335,1046,2121099,176210,32093,2967,460,1902,58.4,52.2,15
Chiayi County,2010,3066,2367,699,1745725,118138,34914,2977,456,1963,70.8,60.8,4
Pingtung County,2010,5298,3957,1341,3055533,276106,43659,4380,569,3009,65.2,61.5,26
Penghu County,2010,455,337,118,321759,42072,3645,365,59,231,67.2,29.3,3
Hualien County,2010,4294,3556,738,1634851,150448,32674,3294,558,2085,81.1,61.5,11
Taitung County,2010,1383,935,448,802225,93160,10090,1174,147,804,63.9,56.9,7
Kinmen County,2010,251,188,63,248466,26869,2020,245,29,150,61.8,30.8,1
Lienchiang County,2010,40,38,2,83226,6866,86,39,8,18,17.8,0,1
Taipei City,2011,21082,15673,5409,21727215,1170145,395337,30656,6369,18248,75.8,66,39
Taichung City,2011,17725,12927,4798,13096561,849114,227017,18691,3220,11634,64.9,70,68
Tainan City,2011,9211,6743,2468,6596911,572303,125968,10062,1734,6312,71.3,73.8,35
Kaohsiung City,2011,17287,12244,5043,13607922,887087,222260,19683,3385,12661,71.6,63.9,94
Keelung City,2011,2150,1539,611,1665464,145852,25691,2176,425,1302,77.3,64.6,7
Hsinchu City,2011,2238,1555,683,2209386,253492,41339,2689,426,1787,65.1,72,8
Chiayi City,2011,3599,2442,1157,2679673,183555,41580,3835,521,2526,67.7,68.2,12
New Taipei City,2011,12634,8961,3673,9278396,838716,162593,13126,2139,8298,78.5,74.9,58
Taoyuan City,2011,12187,9098,3089,8329991,663053,163627,12731,2175,8219,69.6,65.3,35
Hsinchu County,2011,2042,1484,558,955499,108209,12999,1374,175,924,65.1,70.8,10
Yilan County,2011,3785,2930,855,2236100,201487,35173,3063,392,2091,75.6,55.7,10
Miaoli County,2011,3179,2334,845,1954100,143680,27554,2103,253,1349,59.8,53.9,16
Changhua County,2011,7090,5282,1808,5464906,375877,92981,7416,1165,4750,66.6,66,35
Nantou County,2011,3093,2377,716,2029208,155678,25372,2299,305,1476,77.3,59.8,11
Yunlin County,2011,3337,2317,1020,2152353,180257,32902,3041,466,1943,58.2,55.1,15
Chiayi County,2011,3055,2367,688,1757661,124651,33536,2929,432,1949,69.7,60.7,4
Pingtung County,2011,5346,4002,1344,3115245,290695,42870,4608,603,3123,65.5,62.2,27
Penghu County,2011,455,337,118,325798,42530,3648,366,57,231,61.7,29.9,3
Hualien County,2011,4239,3520,719,1659235,151405,32371,3298,564,2039,82.8,65,11
Taitung County,2011,1400,946,454,770709,101346,10051,1202,154,808,65.3,54.3,7
Kinmen County,2011,251,188,63,246988,27197,1840,249,28,157,58.3,35.5,1
Lienchiang County,2011,46,40,6,85699,7298,73,35,5,18,20.6,9.9,1
Taipei City,2012,20819,15533,5286,22855610,1150630,416782,31067,6531,18338,75,70.9,39
Taichung City,2012,17646,12959,4687,13540291,864306,241296,19204,3258,12002,66.4,74.3,66
Tainan City,2012,9161,6656,2505,6752981,575557,136255,11215,1835,7165,68.1,73.6,35
Kaohsiung City,2012,17257,12278,4979,13452168,916788,230864,20238,3384,13150,71.3,67.8,92
Keelung City,2012,2235,1623,612,1620828,143329,23209,2236,407,1355,67.1,60.7,8
Hsinchu City,2012,2290,1601,689,2258917,251315,43605,2820,430,1887,63.7,74.1,8
