City,Year,Total_beds,General_beds,Special_beds,Clinic_patients,Emergency_patients,Surgery_patients,Total_staff,Doctor_staff,Nurse_staff,Gb_ratio,Sb_ratio,Num_hospital
Chiayi City,2012,3691,2539,1152,2761541,181351,40511,3917,554,2534,65.5,74.1,12
New Taipei City,2012,12751,9100,3651,9661483,828863,159600,13489,2178,8486,75.4,74,58
Taoyuan City,2012,12085,8973,3112,8790155,651158,167241,13326,2265,8575,71.4,66.5,35
Hsinchu County,2012,2049,1517,532,969741,104928,12970,1346,184,871,61.4,73.5,10
Yilan County,2012,3732,2910,822,2501017,208226,37052,3162,377,2167,73.7,58.9,10
Miaoli County,2012,3090,2253,837,1913624,146030,29202,2160,279,1349,63,55.1,15
Changhua County,2012,6999,5222,1777,5588413,368779,96285,7656,1177,4900,67.5,67.1,34
Nantou County,2012,3123,2407,716,2043212,160586,25261,2353,313,1499,76,60.1,11
Yunlin County,2012,3284,2278,1006,2255173,187965,35179,3000,441,1907,61.4,57.5,15
Chiayi County,2012,3019,2406,613,1838568,127670,34304,3111,482,2052,65.8,64.1,4
Pingtung County,2012,5431,4110,1321,3204388,300104,43773,4527,604,3045,64.6,61.4,27
Penghu County,2012,455,337,118,319838,43980,3367,360,60,224,59.6,24.4,3
Hualien County,2012,4183,3488,695,1693274,150075,33065,3305,570,2041,84.8,65.7,11
Taitung County,2012,1405,972,433,732613,102417,10370,1250,163,843,60.8,58.7,7
Kinmen County,2012,251,188,63,232927,27595,1505,260,37,156,65.3,36.4,1
Lienchiang County,2012,46,40,6,89435,6934,52,36,7,18,13.3,0,1
Taipei City,2013,20660,15051,5609,22860271,1060092,415183,31283,6542,18392,74.6,63.4,39
Taichung City,2013,17768,13053,4715,13728358,825484,246211,19742,3293,12348,64.9,71.1,66
Tainan City,2013,9320,6744,2576,7080493,564567,140684,11909,1913,7650,71.5,69.7,36
Kaohsiung City,2013,16954,12029,4922,13701346,869501,232993,20902,3563,13360,72.4,64.6,89
Keelung City,2013,2296,1685,611,1635321,131012,25981,2338,443,1403,67,54.4,8
Hsinchu City,2013,2363,1682,681,2286163,230909,44646,3019,460,2010,63.2,69.7,8
Chiayi City,2013,3669,2528,1141,2878628,168161,42735,4009,571,2574,66.6,71.8,12
New Taipei City,2013,12610,9017,3593,9969701,781711,168070,13930,2299,8687,74.9,73.5,58
Taoyuan City,2013,12096,8800,3296,8568730,627522,170581,13546,2299,8678,71.9,65.9,34
Hsinchu County,2013,2075,1566,509,1033965,110920,13773,1408,184,902,60.4,71.3,9
Yilan County,2013,3673,2874,799,2429891,196980,35752,3234,402,2196,73.3,58.8,10
Miaoli County,2013,2843,2008,835,1914989,141722,29668,2219,278,1390,68.1,53.9,15
Changhua County,2013,6967,5188,1779,5637300,347047,97903,7795,1213,4942,66,66.7,32
Nantou County,2013,3014,2301,713,2081842,152348,25078,2359,321,1478,76.9,54.3,11
Yunlin County,2013,3259,2241,1018,2344303,177967,36225,3116,442,1995,61.1,56.5,15
Chiayi County,2013,3098,2406,692,1869929,118260,37388,3231,482,2147,68.7,54.1,4
Pingtung County,2013,5272,4017,1255,3235885,286905,45982,4564,612,3058,64.8,61.2,26
Penghu County,2013,471,353,118,344282,41323,3583,386,74,230,57.5,29.3,3
Hualien County,2013,4197,3440,757,1728621,141016,34277,3340,587,2021,84,57.2,11
Taitung County,2013,1295,920,375,727418,94957,10222,1286,160,834,64.4,66.5,7
Kinmen County,2013,251,188,63,245859,25473,1842,254,38,149,66,32,1
Lienchiang County,2013,46,40,6,83755,7450,51,46,11,17,15.1,0,1
Taipei City,2014,20257,14705,5552,22889596,1081832,426123,31906,6626,18706,74.9,67.4,38
Taichung City,2014,17765,13048,4717,14012036,847896,253634,20027,3369,12461,65.5,69.5,68
Tainan City,2014,9401,6667,2734,7520842,587491,150020,12206,1924,7855,73.7,69.9,36
Kaohsiung City,2014,16915,12022,4890,13826131,918061,233682,21346,3668,13587,72.5,65.9,88
Keelung City,2014,2387,1776,611,1710241,133899,27370,2469,466,1495,68.9,55.7,9
Hsinchu City,2014,2385,1678,707,2356481,240319,48973,3139,498,2069,65.6,73.8,8
Chiayi City,2014,3481,2380,1101,2950236,173480,45036,4047,576,2572,66.3,77,12
New Taipei City,2014,12788,9104,3684,10241235,796215,175367,14329,2394,8836,73.3,73,57
Taoyuan City,2014,12063,8766,3297,8877551,645124,176098,13915,2377,8903,73.3,66.8,35
Hsinchu County,2014,2073,1545,528,1056003,109366,14148,1450,200,910,63.3,66.7,9
Yilan County,2014,3453,2677,776,2478329,205430,36846,3364,420,2270,76.8,59.8,10
Miaoli County,2014,2962,2138,824,1928870,145534,33108,2278,286,1438,59.5,54.1,15
Changhua County,2014,6886,5111,1775,5726361,365379,100477,7949,1206,5052,68.5,69.3,33
Nantou County,2014,2980,2279,701,2134983,154583,25661,2323,315,1446,77.5,56.7,11
Yunlin County,2014,3274,2247,1027,2091112,184858,36801,3291,465,2131,61.6,59.9,15
Chiayi County,2014,3042,2344,698,1908027,125258,38879,3384,526,2230,72.7,57.2,4
Pingtung County,2014,5020,3775,1245,3210762,297538,46479,4627,619,3083,69.8,64,26
Penghu County,2014,471,353,118,357024,39994,4057,382,64,227,58.2,32.7,3
Hualien County,2014,4183,3454,729,1794025,144781,34406,3402,591,2080,82.5,57.2,11
Taitung County,2014,1286,898,388,749024,103495,10590,1315,168,844,68.3,63.6,7
Kinmen County,2014,400,335,65,225058,26303,1914,264,39,150,36.9,29.1,1
Lienchiang County,2014,46,40,6,82677,7220,42,42,11,15,10.4,0,1
Taipei City,2015,20104,12965,5492,22616866,1092187,372903,32717,6798,19250,75.6,70.9,37
Taichung City,2015,17899,10710,4741,14288951,861401,257853,20699,3489,12932,65.3,70.2,68
Tainan City,2015,9579,5571,2747,7926271,633856,156566,12770,2004,8205,73.1,71.9,39
Kaohsiung City,2015,17094,10235,4842,13704167,942734,243329,22032,3835,13996,72.2,68.3,90
Keelung City,2015,2397,1281,613,1736051,137760,28096,2511,476,1521,74.3,59.8,9
Hsinchu City,2015,2381,1561,703,2412021,242013,51502,3361,516,2249,64.5,71.7,8
Chiayi City,2015,3404,1970,1101,2991084,175999,46078,4104,577,2622,68.4,73.1,12
New Taipei City,2015,12706,6600,3665,10218125,797964,182892,14795,2434,9198,73.6,73.7,53
Taoyuan City,2015,11965,6955,3365,8875718,663052,171005,14571,2454,9395,73.7,66.9,34
Hsinchu County,2015,2154,857,549,1025775,110976,14433,1513,201,959,62.7,61.1,9
Yilan County,2015,3449,1951,772,2541048,210807,36971,3325,413,2256,75.5,58.9,10
Miaoli County,2015,2935,1432,797,1935066,153570,29544,2306,279,1464,65.1,56.3,15
Changhua County,2015,6892,3728,1823,5793960,374182,104741,8273,1259,5260,67.9,64.9,33
Nantou County,2015,2970,1216,691,2156586,156421,24949,2342,311,1480,77.9,61,11
Yunlin County,2015,3288,1815,1041,2130903,189223,39141,3386,470,2196,63.2,59.3,15
Chiayi County,2015,3026,1760,682,1945168,128103,41112,3342,544,2189,73.1,61.6,4
Pingtung County,2015,4940,2638,1236,3199832,304695,46335,4746,643,3157,71.9,64.2,25
Penghu County,2015,471,237,118,356736,41903,3762,380,58,233,57.6,32,3
Hualien County,2015,4057,1484,691,1799945,148984,34685,3476,601,2127,82.1,62.1,10
Taitung County,2015,1233,621,366,756959,93967,10732,1372,164,912,70.2,63.5,7
Kinmen County,2015,348,169,77,215779,27924,1959,269,33,161,47.1,22.3,1
Lienchiang County,2015,43,26,17,80647,6776,43,42,8,18,21.9,2.3,1
