City,Year,Number_of_Hospital
Taipei City,2006,40
Taichung City,2006,70
Tainan City,2006,47
Kaohsiung City,2006,101
Keelung City,2006,8
Hsinchu City,2006,8
Chiayi City,2006,13
New Taipei City,2006,63
Taoyuan City,2006,35
Hsinchu County,2006,9
Yilan County,2006,12
Miaoli County,2006,16
Changhua County,2006,37
Nantou County,2006,10
Yunlin County,2006,19
Chiayi County,2006,6
Pingtung County,2006,31
Penghu County,2006,3
Hualien County,2006,10
Taitung County,2006,7
Kinmen County,2006,1
Lienchiang County,2006,1
Taipei City,2007,2946
Taichung City,2007,3038
Tainan City,2007,1697
Kaohsiung City,2007,2629
Keelung City,2007,281
Hsinchu City,2007,382
Chiayi City,2007,383
New Taipei City,2007,2788
Taoyuan City,2007,1337
Hsinchu County,2007,317
Yilan County,2007,318
Miaoli County,2007,363
Changhua County,2007,1013
Nantou County,2007,417
Yunlin County,2007,514
Chiayi County,2007,269
Pingtung County,2007,652
Penghu County,2007,83
Hualien County,2007,279
Taitung County,2007,157
Kinmen County,2007,30
Lienchiang County,2007,7
Taipei City,2008,40
Taichung City,2008,69
Tainan City,2008,38
Kaohsiung City,2008,95
Keelung City,2008,7
Hsinchu City,2008,8
Chiayi City,2008,11
New Taipei City,2008,60
Taoyuan City,2008,33
Hsinchu County,2008,9
Yilan County,2008,12
Miaoli County,2008,17
Changhua County,2008,37
Nantou County,2008,10
Yunlin County,2008,15
Chiayi County,2008,4
Pingtung County,2008,28
Penghu County,2008,3
Hualien County,2008,10
Taitung County,2008,7
Kinmen County,2008,1
Lienchiang County,2008,1
Taipei City,2009,39
Taichung City,2009,68
Tainan City,2009,37
Kaohsiung City,2009,94
Keelung City,2009,7
Hsinchu City,2009,8
Chiayi City,2009,12
New Taipei City,2009,60
Taoyuan City,2009,35
Hsinchu County,2009,10
Yilan County,2009,10
Miaoli County,2009,17
Changhua County,2009,36
Nantou County,2009,11
Yunlin County,2009,16
Chiayi County,2009,4
Pingtung County,2009,27
Penghu County,2009,3
Hualien County,2009,11
Taitung County,2009,7
Kinmen County,2009,1
Lienchiang County,2009,1
Taipei City,2010,39
Taichung City,2010,68
Tainan City,2010,36
Kaohsiung City,2010,94
Keelung City,2010,7
Hsinchu City,2010,8
Chiayi City,2010,12
New Taipei City,2010,57
Taoyuan City,2010,36
Hsinchu County,2010,10
Yilan County,2010,10
Miaoli County,2010,16
Changhua County,2010,36
Nantou County,2010,11
Yunlin County,2010,15
Chiayi County,2010,4
Pingtung County,2010,26
Penghu County,2010,3
Hualien County,2010,11
Taitung County,2010,7
Kinmen County,2010,1
Lienchiang County,2010,1
Taipei City,2011,39
Taichung City,2011,68
Tainan City,2011,35
Kaohsiung City,2011,94
Keelung City,2011,7
Hsinchu City,2011,8
Chiayi City,2011,12
New Taipei City,2011,58
Taoyuan City,2011,35
Hsinchu County,2011,10
Yilan County,2011,10
Miaoli County,2011,16
Changhua County,2011,35
Nantou County,2011,11
Yunlin County,2011,15
Chiayi County,2011,4
Pingtung County,2011,27
Penghu County,2011,3
Hualien County,2011,11
Taitung County,2011,7
Kinmen County,2011,1
Lienchiang County,2011,1
Taipei City,2012,39
Taichung City,2012,66
Tainan City,2012,35
Kaohsiung City,2012,92
Keelung City,2012,8
Hsinchu City,2012,8
Chiayi City,2012,12
New Taipei City,2012,58
Taoyuan City,2012,35
Hsinchu County,2012,10
Yilan County,2012,10
Miaoli County,2012,15
Changhua County,2012,34
Nantou County,2012,11
Yunlin County,2012,15
Chiayi County,2012,4
Pingtung County,2012,27
Penghu County,2012,3
Hualien County,2012,11
Taitung County,2012,7
Kinmen County,2012,1
Lienchiang County,2012,1
Taipei City,2013,39
Taichung City,2013,66
Tainan City,2013,36
Kaohsiung City,2013,89
Keelung City,2013,8
Hsinchu City,2013,8
Chiayi City,2013,12
New Taipei City,2013,58
Taoyuan City,2013,34
Hsinchu County,2013,9
Yilan County,2013,10
Miaoli County,2013,15
Changhua County,2013,32
Nantou County,2013,11
Yunlin County,2013,15
Chiayi County,2013,4
Pingtung County,2013,26
Penghu County,2013,3
Hualien County,2013,11
Taitung County,2013,7
Kinmen County,2013,1
Lienchiang County,2013,1
Taipei City,2014,38
Taichung City,2014,68
Tainan City,2014,36
Kaohsiung City,2014,88
Keelung City,2014,9
Hsinchu City,2014,8
Chiayi City,2014,12
New Taipei City,2014,57
Taoyuan City,2014,35
Hsinchu County,2014,9
Yilan County,2014,10
Miaoli County,2014,15
Changhua County,2014,33
Nantou County,2014,11
Yunlin County,2014,15
Chiayi County,2014,4
Pingtung County,2014,26
Penghu County,2014,3
Hualien County,2014,11
Taitung County,2014,7
Kinmen County,2014,1
Lienchiang County,2014,1
Taipei City,2015,37
Taichung City,2015,68
Tainan City,2015,39
Kaohsiung City,2015,90
Keelung City,2015,9
Hsinchu City,2015,8
Chiayi City,2015,12
New Taipei City,2015,53
Taoyuan City,2015,34
Hsinchu County,2015,9
Yilan County,2015,10
Miaoli County,2015,15
Changhua County,2015,33
Nantou County,2015,11
Yunlin County,2015,15
Chiayi County,2015,4
Pingtung County,2015,25
Penghu County,2015,3
Hualien County,2015,10
Taitung County,2015,7
Kinmen County,2015,1
Lienchiang County,2015,1
