"","uri","name","popularity","preview_url","artist","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","track_href","analysis_url","duration_ms","time_signature"
"1","spotify:track:2Uu8IiLkLY0UXhCHka4Dlr","Doo Wop (That Thing)",68,"https://p.scdn.co/mp3-preview/e2d527c9652362bed26e25392e9456966f5eb620","Ms. Lauryn Hill",0.535,0.505,2,-8.926,0,0.245,0.0393,0,0.0923,0.491,99.935,"audio_features","2Uu8IiLkLY0UXhCHka4Dlr","https://api.spotify.com/v1/tracks/2Uu8IiLkLY0UXhCHka4Dlr","https://api.spotify.com/v1/audio-analysis/2Uu8IiLkLY0UXhCHka4Dlr",320267,4
"2","spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ","No Diggity",66,"https://p.scdn.co/mp3-preview/01b14944164023b196586c043f714ee7f32dddb5","Blackstreet",0.866,0.65,1,-4.846,0,0.286,0.326,0,0.203,0.645,88.656,"audio_features","6MdqqkQ8sSC0WB4i8PyRuQ","https://api.spotify.com/v1/tracks/6MdqqkQ8sSC0WB4i8PyRuQ","https://api.spotify.com/v1/audio-analysis/6MdqqkQ8sSC0WB4i8PyRuQ",304600,4
"3","spotify:track:47TqCCnEliDp8NRDyIQoQq","You Make Me Wanna...",66,"https://p.scdn.co/mp3-preview/eb361e93c1d270881719c6911214a03b4be80371","Usher",0.761,0.639,5,-7.577,0,0.0539,0.0359,0,0.0945,0.933,164.088,"audio_features","47TqCCnEliDp8NRDyIQoQq","https://api.spotify.com/v1/tracks/47TqCCnEliDp8NRDyIQoQq","https://api.spotify.com/v1/audio-analysis/47TqCCnEliDp8NRDyIQoQq",219120,4
"4","spotify:track:6mz1fBdKATx6qP4oP1I65G","Pony",70,"https://p.scdn.co/mp3-preview/3ea8fa99dbd05e210739f960065718fb9ca0bdfd","Ginuwine",0.749,0.605,8,-9.359,0,0.086,0.00186,0.0381,0.115,0.966,142.024,"audio_features","6mz1fBdKATx6qP4oP1I65G","https://api.spotify.com/v1/tracks/6mz1fBdKATx6qP4oP1I65G","https://api.spotify.com/v1/audio-analysis/6mz1fBdKATx6qP4oP1I65G",251733,4
"5","spotify:track:6m59VvDUi0UQsB2eZ9wVbH","Poison",54,"https://p.scdn.co/mp3-preview/fe743c1e5a9533c71c10570a6cbe4058ce666897","Bell Biv DeVoe",0.829,0.573,6,-10.316,0,0.224,0.00216,0.00432,0.612,0.793,111.848,"audio_features","6m59VvDUi0UQsB2eZ9wVbH","https://api.spotify.com/v1/tracks/6m59VvDUi0UQsB2eZ9wVbH","https://api.spotify.com/v1/audio-analysis/6m59VvDUi0UQsB2eZ9wVbH",261853,4
"6","spotify:track:5HQwoi47vjLNqaOc329VNM","I Wanna Be Down (feat. Queen Latifah, Yoyo & McLyte) - Remix",53,"https://p.scdn.co/mp3-preview/cfa43091273e55dd3b0c46de7b40a6878142063c","Brandy",0.893,0.433,11,-5.88,0,0.396,0.33,0,0.395,0.676,86.01,"audio_features","5HQwoi47vjLNqaOc329VNM","https://api.spotify.com/v1/tracks/5HQwoi47vjLNqaOc329VNM","https://api.spotify.com/v1/audio-analysis/5HQwoi47vjLNqaOc329VNM",256667,4
"7","spotify:track:1aWV3uY3SIEZVbmv45oFWS","Creep",64,"https://p.scdn.co/mp3-preview/c3ce84cfd8685cd2e64591819f55492332dd3007","TLC",0.811,0.458,5,-9.688,0,0.0402,0.0193,1.41e-06,0.0526,0.799,92.94,"audio_features","1aWV3uY3SIEZVbmv45oFWS","https://api.spotify.com/v1/tracks/1aWV3uY3SIEZVbmv45oFWS","https://api.spotify.com/v1/audio-analysis/1aWV3uY3SIEZVbmv45oFWS",268533,4
"8","spotify:track:0JHwHqPlca9zCnGnQenAEW","Candy Rain - Heavy D & TrakMasterz Mix",49,"https://p.scdn.co/mp3-preview/f36c220efc02e51e221659205569f778bb2e8259","Soul For Real",0.786,0.591,0,-7.71,1,0.0501,0.0132,9.34e-06,0.147,0.708,93.866,"audio_features","0JHwHqPlca9zCnGnQenAEW","https://api.spotify.com/v1/tracks/0JHwHqPlca9zCnGnQenAEW","https://api.spotify.com/v1/audio-analysis/0JHwHqPlca9zCnGnQenAEW",261627,4
"9","spotify:track:1poK64Wt7p7VwrAbFgD5hS","Can't You See",53,"https://p.scdn.co/mp3-preview/d8b84e5245e813b308aa67a6d17cb9d6d43457bc","Total",0.715,0.721,8,-5.622,0,0.0541,0.157,1.75e-06,0.309,0.814,86.26,"audio_features","1poK64Wt7p7VwrAbFgD5hS","https://api.spotify.com/v1/tracks/1poK64Wt7p7VwrAbFgD5hS","https://api.spotify.com/v1/audio-analysis/1poK64Wt7p7VwrAbFgD5hS",277320,4
"10","spotify:track:7jg3Irt0hqnss3HvaPP2D2","Only You (feat. The Notorious B.I.G.) - Radio Mix",54,"https://p.scdn.co/mp3-preview/3c55ab5b141c2f923bbbb5a057b71e5ee30eac5b","112",0.778,0.644,8,-7.6,1,0.0532,0.145,0,0.112,0.845,96.025,"audio_features","7jg3Irt0hqnss3HvaPP2D2","https://api.spotify.com/v1/tracks/7jg3Irt0hqnss3HvaPP2D2","https://api.spotify.com/v1/audio-analysis/7jg3Irt0hqnss3HvaPP2D2",260427,4
