"","Name","appid","Owners_Before","Owners_After","Sales","Increase","Price_Before_Sale","Review_Score_Steam_Users","Sale_Percent","Price_After_Sale","Owners_As_Of_Today","Players_Forever_As_Of_Today","average_forever.x","median_forever.x","owners","owners_variance","players_forever","players_forever_variance","players_2weeks","players_2weeks_variance","average_forever.y","average_2weeks","median_forever.y","median_2weeks","Price_Now","publisher","score","Review_Score_Metacritic_User","Review_Score_IGN","Genre","Release_Date","Review_Score_Metacritic","main_story_length","GameAge"
"1","10000000",NA,96456,111890,15434,16,4.99,89,75,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",67,73,NA,NA,2013-01-15,73,6,1266
"2","12 Labours of Hercules III Girl Power",NA,79419,88633,9214,11.6,2.99,87,83,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2014-12-31,NA,7,551
"3","12 Labours of Hercules V Kids of Hellas",NA,0,13178,13178,0,2.99,87,90,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","20XX",322110,18289,24548,6259,34.22,14.99,95,25,8.99,34209,31031,418,160,35213,4853,32235,4644,4905,1811,544,306,174,152,14.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","35MM",466500,10021,32817,22796,227.48,8.99,73,70,3.89,41312,26731,180,141,32585,4669,23650,3978,2510,2198,169,159,117,139,8.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","3DMark",223850,278846,306471,27625,9.91,29.99,88,80,4.99,315170,283952,365,111,332157,14901,295017,14044,27329,4276,424,153,117,43,27.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","4 Elements",47000,35075,45479,10404,29.66,3.99,85,80,0.79,39256,26545,833,373,40468,5203,28030,4330,807,911,719,145,403,183,3.99,"",NA,75,80,"Puzzle",2008-09-03,75,8.5,2861
"8","60 Seconds",NA,170364,190446,20082,11.79,9.99,78,50,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,64,NA,NA,2015-05-25,64,2,406
"9","7 Days to Die",251570,1429308,1482486,53178,3.72,24.99,80,60,9.99,1604077,1536781,3703,727,1591235,32552,1524488,31865,149786,10009,3616,710,745,184,22.99,"",NA,77,49,"Shooter, Adventure",2013-12-13,77,10,934
"10","8Bit Armies",NA,29062,44963,15901,54.71,14.99,86,15,12.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","911 First Responders",NA,21546,26616,5070,23.53,4.99,85,75,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atari",NA,86,NA,NA,2007-06-22,86,NA,3300
"12","A Bird Story",327410,195668,205951,10283,5.26,3.99,83,70,1.19,221703,138892,133,86,210401,11861,132793,9424,3854,1605,131,108,89,51,3.99,"",66,74,88,"RPG",2014-11-26,74,1.5,586
"13","A Boy and His Blob",281200,83929,90184,6255,7.45,9.99,84,75,2.49,106178,39256,239,180,98281,8108,35914,4901,1927,1135,216,159,127,145,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","A grande bagunÃa espacial The big space mess",NA,127272,146000,18728,14.71,0.99,85,0,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","A New Beginning Final Cut",NA,249784,257116,7332,2.94,9.99,75,90,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",72,65,NA,NA,2012-12-11,65,NA,1301
"16","A Story About My Uncle",278360,323442,345233,21791,6.74,12.99,92,80,2.59,380036,243387,217,166,380859,15955,241585,12709,16818,3354,196,128,159,62,12.99,"",73,75,NA,NA,2014-05-28,75,3,768
"17","A10 VR",NA,1503,6718,5215,346.97,4.99,97,50,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Absolute Drift",320140,91445,105947,14502,15.86,11.99,89,45,6.59,116833,85055,171,83,103887,8336,74280,7049,10511,2652,153,68,74,31,11.99,"",66,88,NA,NA,2015-07-29,88,2,341
"19","Ace of Spades",224540,1057763,1069809,12046,1.14,14.99,68,75,3.74,1049819,977475,810,260,1071802,26737,992091,25726,18745,3541,785,96,246,18,11.99,"",49,51,59,"Shooter",2012-12-12,51,NA,1300
"20","Ace of Words",398680,115747,124035,8288,7.16,4.99,53,40,2.99,124498,88233,336,335,125960,9179,91623,7829,3504,1531,343,126,333,130,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ADR1FT",300060,17788,24807,7019,39.46,19.99,61,50,9.99,29909,24488,117,43,32059,4631,27154,4262,3679,1569,149,29,45,17,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Adventure Chronicles The Search For Lost Treasure",NA,5762,10853,5091,88.35,4.99,64,85,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Agarest Generations of War",NA,199426,212411,12985,6.51,14.99,76,60,5.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",45,69,NA,NA,2013-10-03,69,NA,1005
"24","Agarest Generations of War 2",NA,48353,54007,5654,11.69,19.99,67,60,7.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,78,NA,NA,2015-02-19,78,NA,501
"25","Agarest Zero",260130,67644,75713,8069,11.93,19.99,77,60,7.99,74960,42060,830,168,66572,6673,36965,4973,0,0,498,0,142,0,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Age of Empires II HD Edition",NA,3145982,3508147,362165,11.51,19.99,92,85,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microsoft Game Studios",68,76,NA,NA,2013-07-11,76,25.5,1089
"27","Age of Empires II HD The African Kingdoms",NA,379311,574699,195388,51.51,9.99,84,50,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2015-11-05,NA,NA,242
"28","Age of Empires III Complete Collection",NA,1569107,1727974,158867,10.12,39.99,90,80,7.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,84,NA,NA,2009-09-15,84,16.5,2484
"29","Age of Mythology Extended Edition",NA,766139,877295,111156,14.51,29.99,82,80,5.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",66,65,NA,NA,2014-05-08,65,32,788
"30","Age of Wonders 2",61510,68897,73904,5007,7.27,9.99,73,75,2.49,74026,32713,854,54,77083,7181,32935,4694,1100,1522,755,19,102,36,8.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Age of Wonders III",226840,474515,490716,16201,3.41,29.99,81,75,7.49,499299,460978,2450,597,481943,17945,443577,17217,18395,3508,2611,730,681,164,29.99,"",80,78,71,"Strategy",2014-03-31,78,42,826
"32","Age of Wonders Shadow Magic",NA,94953,101554,6601,6.95,9.99,86,75,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gathering",82,86,85,"Strategy",2003-07-25,86,35,4728
"33","AI Rampage",NA,15533,62017,46484,299.26,1.99,18,75,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Airscape The Fall of Gravity",NA,12777,46255,33478,262.02,4.99,82,90,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",71,56,NA,NA,2015-08-11,56,NA,328
"35","Airstrike HD",453980,67143,73646,6503,9.69,1.99,60,75,0.49,80194,57015,253,273,73929,7032,52732,5939,1226,905,300,169,273,243,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","AKIBAS TRIP Undead Undressed",NA,66642,77780,11138,16.71,29.99,87,50,14.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Alex Hunter Lord of the Mind",NA,16284,23773,7489,45.99,6.99,81,50,3.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2013-12-03,NA,6,944
"38","Alien Isolation",NA,834786,853004,18218,2.18,39.99,92,75,12.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",81,84,59,"Action",2014-10-03,84,18.5,640
"39","Alien Spidy",207000,43092,52456,9364,21.73,9.99,61,0,9.99,50472,12338,40,18,52031,5900,12789,2925,0,0,31,0,18,0,9.99,"Kalypso",NA,67,NA,NA,2013-03-20,67,NA,1202
"40","Aliens vs Predator",NA,1066281,1102368,36087,3.38,14.99,NA,75,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sega",68,74,73,"Action",2010-02-16,74,NA,2330
"41","Aliens vs Predator",NA,1066281,1102368,36087,3.38,14.99,NA,75,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sega",68,74,70,"Action",2010-02-16,74,NA,2330
"42","Alter World",357280,80672,88375,7703,9.55,1.99,72,50,0.99,107674,71409,216,228,98281,8108,61141,6395,2362,1540,691,1515,235,166,1.99,"",NA,68,NA,NA,2015-05-29,68,NA,402
"43","Amazing Adventures Around the World",3530,23299,29200,5901,25.33,4.99,80,75,1.24,29722,14394,1941,483,27329,4276,14015,3062,0,0,1060,0,493,0,4.99,"PopCap",NA,NA,NA,NA,2008-09-17,NA,4.5,2847
"44","Amazing Adventures The Lost Tomb",NA,23049,28424,5375,23.32,4.99,78,75,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2007-11-21,NA,NA,3148
"45","American Truck Simulator",270880,376054,401824,25770,6.85,19.99,92,20,15.99,446958,437985,2458,1039,439723,17142,427810,16908,115274,8781,2497,432,1012,121,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Amnesiaâ Memories",NA,42090,50131,8041,19.1,29.99,96,90,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
