"#","Game","Owners before","Owners after","Sales","Increase","Price","Max discount","Userscore (Metascore)"
"41","LIMBO","2,580,522 ±49,532","3,746,916 ±60,510","1,166,394","45.2%","$9.99","0% ($9.99)","94% (88%)"
"1","Counter-Strike: Global Offensive","22,273,413 ±140,867","22,891,335 ±144,941","617,922","2.77%","$14.99","50% ($7.49)","92% (83%)"
"15","PAYDAY 2","6,352,593 ±77,246","6,896,394 ±81,680","543,801","8.56%","$19.99","75% ($4.99)","78% (79%)"
"5","Garry's Mod","11,501,361 ±103,069","11,914,420 ±106,492","413,059","3.59%","$9.99","75% ($2.49)","95% (N/A)"
"3","Left 4 Dead 2","14,125,477 ±113,729","14,518,139 ±117,053","392,662","2.78%","$19.99","80% ($3.99)","96% (89%)"
"45","Age of Empires II: HD Edition","3,145,982 ±54,641","3,508,147 ±58,573","362,165","11.51%","$19.99","85% ($2.99)","92% (68%)"
"318","Dead by Daylight","263,814 ±15,896","566,688 ±23,651","302,874","114.81%","$19.99","10% ($17.99)","N/A (71%)"
"10","Portal 2","7,946,504 ±86,172","8,230,038 ±89,038","283,534","3.57%","$19.99","75% ($4.99)","98% (95%)"
"210","DOOM","645,882 ±24,857","889,698 ±29,619","243,816","37.75%","$59.99","40% ($35.99)","89% (85%)"
"43","Rocket League","3,497,233 ±57,578","3,738,647 ±60,444","241,414","6.9%","$19.99","40% ($11.99)","93% (86%)"
"9","Sid Meier's Civilization V","8,745,715 ±90,284","8,981,488 ±92,901","235,773","2.7%","$29.99","75% ($7.49)","96% (90%)"
"27","Grand Theft Auto V","4,583,808 ±65,804","4,814,658 ±68,476","230,850","5.04%","$59.99","40% ($35.99)","82% (96%)"
"100","The Witcher 3: Wild Hunt","1,707,654 ±40,350","1,935,993 ±43,620","228,339","13.37%","$39.99","50% ($24.99)","96% (93%)"
"46","ARK: Survival Evolved","3,217,384 ±55,251","3,434,243 ±57,959","216,859","6.74%","$29.99","45% ($16.49)","69% (N/A)"
