count,from,to,lat1,lon1,lat2,lon2
1,Afghanistan,Azerbaijan,33.93911,67.709953,40.143105,47.576927
7,Afghanistan,India,33.93911,67.709953,20.593684,78.96288
5,Afghanistan,Iran,33.93911,67.709953,32.427908,53.688046
1,Afghanistan,Kuwait,33.93911,67.709953,29.31166,47.481766
4,Afghanistan,Pakistan,33.93911,67.709953,30.375321,69.345116
1,Afghanistan,Tajikistan,33.93911,67.709953,38.861034,71.276093
3,Afghanistan,Turkey,33.93911,67.709953,38.963745,35.243322
7,Afghanistan,United Arab Emirates,33.93911,67.709953,23.424076,53.847818
1,Albania,Austria,41.153332,20.168331,47.516231,14.550072
2,Albania,Germany,41.153332,20.168331,51.165691,10.451526
2,Albania,Greece,41.153332,20.168331,39.074208,21.824312
27,Albania,Italy,41.153332,20.168331,41.87194,12.56738
1,Albania,Slovenia,41.153332,20.168331,46.151241,14.995463
2,Albania,Turkey,41.153332,20.168331,38.963745,35.243322
1,Albania,United Kingdom,41.153332,20.168331,55.378051,-3.435973
1,Algeria,Austria,28.033886,1.659626,47.516231,14.550072
1,Algeria,Belgium,28.033886,1.659626,50.503887,4.469936
1,Algeria,Burkina Faso,28.033886,1.659626,12.238333,-1.561593
1,Algeria,Canada,28.033886,1.659626,56.130366,-106.346771
1,Algeria,China,28.033886,1.659626,35.86166,104.195397
1,Algeria,Cote d'Ivoire,28.033886,1.659626,7.539989,-5.54708
2,Algeria,Egypt,28.033886,1.659626,26.820553,30.802498
72,Algeria,France,28.033886,1.659626,46.227638,2.213749
3,Algeria,Germany,28.033886,1.659626,51.165691,10.451526
4,Algeria,Italy,28.033886,1.659626,41.87194,12.56738
2,Algeria,Jordan,28.033886,1.659626,30.585164,36.238414
1,Algeria,Lebanon,28.033886,1.659626,33.854721,35.862285
2,Algeria,Libya,28.033886,1.659626,26.3351,17.228331
1,Algeria,Mali,28.033886,1.659626,17.570692,-3.996166
1,Algeria,Malta,28.033886,1.659626,35.937496,14.375416
3,Algeria,Morocco,28.033886,1.659626,31.791702,-7.09262
1,Algeria,Niger,28.033886,1.659626,17.607789,8.081666
2,Algeria,Portugal,28.033886,1.659626,39.399872,-8.224454
1,Algeria,Qatar,28.033886,1.659626,25.354826,51.183884
1,Algeria,Russia,28.033886,1.659626,61.52401,105.318756
2,Algeria,Saudi Arabia,28.033886,1.659626,23.885942,45.079162
1,Algeria,Senegal,28.033886,1.659626,14.497401,-14.452362
14,Algeria,Spain,28.033886,1.659626,40.463667,-3.74922
1,Algeria,Switzerland,28.033886,1.659626,46.818188,8.227512
3,Algeria,Tunisia,28.033886,1.659626,33.886917,9.537499
6,Algeria,Turkey,28.033886,1.659626,38.963745,35.243322
2,Algeria,United Arab Emirates,28.033886,1.659626,23.424076,53.847818
3,Algeria,United Kingdom,28.033886,1.659626,55.378051,-3.435973
1,American Samoa,United States,-14.306407,-170.6961909,37.09024,-95.712891
2,Angola,Brazil,-11.202692,17.873887,-14.235004,-51.92528
1,Angola,China,-11.202692,17.873887,35.86166,104.195397
1,Angola,Congo (Brazzaville),-11.202692,17.873887,-4.267778,15.291944
