"","isbn","title","authors","publishedDate","publisher","categories","pageCount","averageRating","ratingsCount","maturityRating","imageThumbnail","infoLink","textSnippet"
"1","0891090665","Becoming a Woman of Excellence","Cynthia Heald","1986-01-01","NavPress Publishing Group","Religion",114,4.5,43,"NOT_MATURE","http://books.google.com/books/content?id=4t0tyriF-tUC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=4t0tyriF-tUC&dq=isbn:0891090665&hl=&source=gbs_api","If you&#39;re hungry for God&#39;s perspective on success, this Bible study for women will show you how to experience the joy of becoming God&#39;s woman of excellence."
"2","1855856905","Lillian Too's Easy-to-use Feng Shui","Lillian Too","1999","Sterling Publishing Company, Inc.","Body, Mind & Spirit",168,3.5,2,"NOT_MATURE","http://books.google.com/books/content?id=zOhA-tcaZToC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=zOhA-tcaZToC&dq=isbn:1855856905&hl=&source=gbs_api","The feng shui expert presents 168 of her favorite tips for improving the flow of positive energy in one&#39;s home and garden"
"3","0399137661","Close combat","W. E. B. Griffin","1993-01-01","Putnam Pub Group","Fiction",383,3,2,"NOT_MATURE","http://books.google.com/books/content?id=gEGldm3c108C&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=gEGldm3c108C&dq=isbn:0399137661&hl=&source=gbs_api","On an island in the Pacific during World War II, Major Jack Dillon struggles to succeed as a combat correspondent and Sergeant McCoy is shocked by the brutality of battle."
"4","0783801408","The Investigators","W. E. B. Griffin","1999-03-01","G K Hall & Company","Fiction",733,4,3,"NOT_MATURE","http://books.google.com/books/content?id=qP_TGgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=qP_TGgAACAAJ&dq=isbn:0783801408&hl=&source=gbs_api","Special operations detective Matt Payne and his colleagues find themselves drawn into two dangerous cases as an ongoing investigation into a squad of dirty cops turns deadly and an encounter at a party leads Payne to a woman who may hold ..."
"5","0061041017","The Things I Know Best","Lynne Hinton","2002-03-01","HarperTorch","Fiction",304,3,2,"NOT_MATURE","http://books.google.com/books/content?id=0r_H_6R_IGgC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=0r_H_6R_IGgC&dq=isbn:0061041017&hl=&source=gbs_api","A group of strong-willed, brash, and spiritually gifted women living in a small Southern town predicts the future as they share their special knowledge with their neighbors. By the author of Friendship Cake. Reprint."
"6","0671726900","Going Home","Danielle Steel","1990-04-15","Pocket","Man-woman relationships",274,5,2,"NOT_MATURE","http://books.google.com/books/content?id=oyxZrgznELEC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=oyxZrgznELEC&dq=isbn:0671726900&hl=&source=gbs_api","Now Steel&#39;s fans can once again cherish her very first novel in this new keepsake edition."
"7","0446524972","The Pledge","Rob Kean","1999-08-01","Grand Central Publishing","Fiction",528,5,1,"NOT_MATURE","http://books.google.com/books/content?id=xgQ2YgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=xgQ2YgEACAAJ&dq=isbn:0446524972&hl=&source=gbs_api","Simsbury College lacrosse star Mark Jessey looks on the members of the Sigma fraternity as his only true family. But when a Sigma freshman turns up dead, Mark is forced to question his deepest loyalties."
"8","0553299476","Dark Rider","Iris Johansen","1995","Bantam","Fiction",422,1,1,"NOT_MATURE","http://books.google.com/books/content?id=IroiSKTF-_EC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=IroiSKTF-_EC&dq=isbn:0553299476&hl=&source=gbs_api","Bold, passionate Jared Danemount is pitted against Cassandra Deville, a woman determined to use his passion for her to betray him"
"9","0345325222","Ride the Wind","Lucia St. Clair Robson","1985","Ballantine Books","Fiction",608,4,5,"NOT_MATURE","http://books.google.com/books/content?id=MM7n8P7Ss2gC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=MM7n8P7Ss2gC&dq=isbn:0345325222&hl=&source=gbs_api","A Comanche family adopts Cynthia Parker after kidnapping her in 1836, and she gradually becomes one of them, marrying her captor."
"10","0552140600","Mersey Blues","Lyn Andrews","1995","Transworld Pub","Fiction",347,3,1,"NOT_MATURE","http://books.google.com/books/content?id=Si0rAAAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=Si0rAAAACAAJ&dq=isbn:0552140600&hl=&source=gbs_api","The Great War had ended and Scotland Road was left to count the cost."
