"isbn","title","authors","publishedDate","publisher","categories","pageCount","averageRating","ratingsCount","maturityRating","imageThumbnail","infoLink","textSnippet"
"0452282829","We Were the Mulvaneys","Joyce Carol Oates","1996","Penguin","Fiction",454,4,5,"NOT_MATURE","http://books.google.com/books/content?id=FBtVGkViY7cC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=FBtVGkViY7cC&dq=isbn:0452282829&hl=&source=gbs_api","The Mulvaneys, at first a close and very lucky family, drift apart over the years, until the youngest son, Judd, discovers the secret of their downfall and sets out to help reunite the family"
"0375707972","The reader","Bernhard Schlink","1998","Vintage","Fiction",218,3.5,16,"NOT_MATURE","http://books.google.com/books/content?id=xSJcAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=xSJcAAAAMAAJ&dq=isbn:0375707972&hl=&source=gbs_api","At the age of fifteen, Michael Berg falls in love with a woman who disappears, and while observing a trial as a law student years later, he is shocked to discover the same woman as the defendant in a horrible crime"
"0385335482","Confessions of a Shopaholic","Sophie Kinsella","2001","Dial Press","Fiction",310,3,2946,"NOT_MATURE","http://books.google.com/books/content?id=IoPZCwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=IoPZCwAAQBAJ&dq=isbn:0385335482&hl=&source=gbs_api","Financial journalist Rebecca Bloomwood seeks solace from the boredom and pressures in life with her shopping, a solution that brings her close to financial disaster, until she encounters a story that will change her life."
"0060934417","Bel Canto","Ann Patchett","2002-04-01","Perennial","Fiction",336,4.5,3,"NOT_MATURE","http://books.google.com/books/content?id=1oi9PHYjLocC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=1oi9PHYjLocC&dq=isbn:0060934417&hl=&source=gbs_api","A novel that is as lyrical and profound as it is unforgettable, &quot;Bel Canto&quot; engenders in the reader the very passion for art and the language of music that its characters discover. A virtuoso performance by an important writer."
"0671510053","The Shipping News","Annie Proulx","1994-06-01","Scribner","Fiction",352,3.5,22,"NOT_MATURE","http://books.google.com/books/content?id=FlIFerZLBLUC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=FlIFerZLBLUC&dq=isbn:0671510053&hl=&source=gbs_api","Winner of the Pulitzer Prize, Anne Proulx’s The Shipping News is a vigorous, darkly comic, and at times magical portrait of the contemporary North American family."
"0440224764","The Partner","John Grisham","1998","Dell","Fiction",468,3.5,23,"NOT_MATURE","http://books.google.com/books/content?id=07KIj2s9GzYC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=07KIj2s9GzYC&dq=isbn:0440224764&hl=&source=gbs_api","Thought killed in a car accident four years earlier, Patrick Lanigan is discovered living in Brazil under the name of Danilo Silva and presumably in possession of millions of dollars missing from his former firm&#39;s offshore account For the ..."
"0452282829","We Were the Mulvaneys","Joyce Carol Oates","1996","Penguin","Fiction",454,4,5,"NOT_MATURE","http://books.google.com/books/content?id=FBtVGkViY7cC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=FBtVGkViY7cC&dq=isbn:0452282829&hl=&source=gbs_api","The Mulvaneys, at first a close and very lucky family, drift apart over the years, until the youngest son, Judd, discovers the secret of their downfall and sets out to help reunite the family"
"068484477X","Stones from the river","Ursula Hegi","1994","Touchstone","Fiction",525,4,2,"NOT_MATURE","http://books.google.com/books/content?id=A6xqAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=A6xqAAAAMAAJ&dq=isbn:068484477X&hl=&source=gbs_api","Follows Trudi Montag, a dwarf who serves as her town&#39;s librarian, unofficial historian, and recorder of the secret stories of her people, in a novel that charts the course of German history in the first half of the twentieth century"
"0316776963","Me Talk Pretty One Day","David Sedaris","2001-06-05","Back Bay Books","Humor",288,3.5,3432,"NOT_MATURE","http://books.google.com/books/content?id=oD5mv6NTB8IC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=oD5mv6NTB8IC&dq=isbn:0316776963&hl=&source=gbs_api","A recent transplant to Paris, humorist David Sedaris, bestselling author of &quot;Naked&quot;, presents a collection of his strongest work yet, including the title story about his hilarious attempt to learn French."
"068484477X","Stones from the river","Ursula Hegi","1994","Touchstone","Fiction",525,4,2,"NOT_MATURE","http://books.google.com/books/content?id=A6xqAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=A6xqAAAAMAAJ&dq=isbn:068484477X&hl=&source=gbs_api","Follows Trudi Montag, a dwarf who serves as her town&#39;s librarian, unofficial historian, and recorder of the secret stories of her people, in a novel that charts the course of German history in the first half of the twentieth century"
"0316776963","Me Talk Pretty One Day","David Sedaris","2001-06-05","Back Bay Books","Humor",288,3.5,3432,"NOT_MATURE","http://books.google.com/books/content?id=oD5mv6NTB8IC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=oD5mv6NTB8IC&dq=isbn:0316776963&hl=&source=gbs_api","A recent transplant to Paris, humorist David Sedaris, bestselling author of &quot;Naked&quot;, presents a collection of his strongest work yet, including the title story about his hilarious attempt to learn French."
"043935806X","Harry Potter and the Order of the Phoenix","J. K. Rowling","2003","Scholastic","Juvenile Fiction",870,4,768,"NOT_MATURE","http://books.google.com/books/content?id=z4OV_nPmO7MC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=z4OV_nPmO7MC&dq=isbn:043935806X&hl=&source=gbs_api","When the government of the magic world and authorities at Hogwarts School of Witchcraft and Wizardry refuse to believe in the growing threat of a freshly revived Lord Voldemort, fifteen-year-old Harry Potter finds support from his loyal ..."
