"isbn","title","authors","publishedDate","publisher","categories","pageCount","averageRating","ratingsCount","maturityRating","imageThumbnail","infoLink","textSnippet"
"0743418174","Good in Bed","Jennifer Weiner","2002-04-02","Simon and Schuster","Fiction",400,3.5,3900,"NOT_MATURE","http://books.google.com/books/content?id=ZptbCgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=ZptbCgAAQBAJ&dq=isbn:0743418174&hl=&source=gbs_api","Humiliated to discover that her ex-boyfriend has been chronicling their former sex life in a series of articles called &quot;Loving a Larger Woman&quot; in a popular women&#39;s magazine, pop-culture journalist Cannie Shapiro embarks on an adventure ..."
"0671021001","She's Come Undone","Wally Lamb","1998-06-01","Pocket Books","Fiction",480,3.5,118,"NOT_MATURE","http://books.google.com/books/content?id=EVOSm3P6AWIC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=EVOSm3P6AWIC&dq=isbn:0671021001&hl=&source=gbs_api","In this extraordinary coming-of-age odyssey, Wally Lamb invites us to hitch a wild ride on a journey of love, pain, and renewal with the most heartbreakingly comical heroine to come along in years."
"0345370775","Jurassic Park : [novel]","Michael Crichton","1991-01","Random House Digital, Inc.","Fiction",399,4,1701,"NOT_MATURE","http://books.google.com/books/content?id=I79dV_HQvykC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=I79dV_HQvykC&dq=isbn:0345370775&hl=&source=gbs_api","Until something goes wrong.... In JURASSIC PARK Michael Crichton taps all his mesmerizing talent and scientific brilliance to create his most electrifying techno-thriller."
"0446605239","The Notebook","Nicholas Sparks","1998-02-01","Vision","Fiction",256,4.5,31,"NOT_MATURE","http://books.google.com/books/content?id=Der7pwlzhNwC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=Der7pwlzhNwC&dq=isbn:0446605239&hl=&source=gbs_api","Thus begins the story of a love so enduring and deep it can turn tragedy into triumph, and may even have the power to create a miracle."
"0440241073","The Summons","John Grisham","2003-01","Dell Publishing Company","Fiction",373,4,4,"NOT_MATURE","http://books.google.com/books/content?id=RyeKDFJfP9MC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=RyeKDFJfP9MC&dq=isbn:0440241073&hl=&source=gbs_api","Ray and his brother, Forrest, receive a letter from their father, a reclusive, retired judge, instructing them to return home to discuss his estate, but the judge dies before they arrive, leaving behind a secret known only to Ray."
"0671003755","She's Come Undone","Wally Lamb","1996-12-01","Simon and Schuster","Fiction",465,4,141,"NOT_MATURE","http://books.google.com/books/content?id=1P0aOAugUHkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=1P0aOAugUHkC&dq=isbn:0671003755&hl=&source=gbs_api","Overweight and sensitive Dolores Price grows from painful childhood, through excruciating adolescence, to lonely adulthood, experiencing the heartache of being a misfit in a confusing world"
"0060976845","Little Altars Everywhere","Rebecca Wells","1996","Harper Paperbacks","Fiction",224,5,2,"NOT_MATURE","http://books.google.com/books/content?id=MkFz80I81eoC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=MkFz80I81eoC&dq=isbn:0060976845&hl=&source=gbs_api","Don&#39;t miss Little Altars Everywhere, the New York Times bestselling companion novel that introduces the Ya-Yas and is also a basis for the film."
"1400034779","The No. 1 Ladies' Detective Agency","Alexander McCall Smith","1998","Anchor","Fiction",235,3.5,3274,"NOT_MATURE","http://books.google.com/books/content?id=txT0r2tlSV8C&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=txT0r2tlSV8C&dq=isbn:1400034779&hl=&source=gbs_api","Working in Gaborone, Botswana, Precious Ramotswe investigates several local mysteries, including a search for a missing boy and the case of the clinic doctor with different personalities for different days of the week."
"0786868716","The Five People You Meet in Heaven","Mitch Albom","2003-09-23","Hyperion","Fiction",196,4,135,"NOT_MATURE","http://books.google.com/books/content?id=TqYT-c4DRrYC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=TqYT-c4DRrYC&dq=isbn:0786868716&hl=&source=gbs_api","Killed in a tragic accident, Eddie, an elderly man who believes that he had an uninspired life, awakens in the afterlife, where he discovers that heaven consists of having five people explain the meaning of one&#39;s life."
"0440234743","The Testament","John Grisham","1999","Dell","Fiction",533,5,1,"NOT_MATURE","http://books.google.com/books/content?id=yVjncdO2AYQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=yVjncdO2AYQC&dq=isbn:0440234743&hl=&source=gbs_api","A suicidal billionaire, a burnt-out Washington litigator, and a woman who has forsaken technology to work in the wilds of Brazil are all brought together by an astounding mystery of the testament"
"0440222656","The Horse Whisperer","Nicholas Evans","1995","Dell","Fiction",451,5,5,"NOT_MATURE","http://books.google.com/books/content?id=NFf40Hnvv0IC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=NFf40Hnvv0IC&dq=isbn:0440222656&hl=&source=gbs_api","After her teenage daughter and the girl&#39;s horse are injured in a tragic accident, Annie Graves journeys across the continent in search of Tom Booker, the Horse Whisperer, in the hope that he can use his ancient gift to help both the horse ..."
