"gameName","votes","isListedOnMSSite","isOnXboxOne","isBCCompatible","isExclusive","isKinectSupported","isConsoleExclusive","isKinectRequired","gameUrl","releaseDate","numberOfReviews","DLthemes","developer","DLgameVideos","DLsmartglass","DLgamerPictures","highresboxart","DLavatarItems","ESRBRating","DLgameAddons","gamesOnDemandorArcade","price","genre","publisher","xbox360Rating","hasDemoAvailable","isAvailableToPurchaseDigitally","comments","isInProgress","reviewScorePro","reviewScoreUser","usesRequiredPeripheral","predicted_isBCCompatible"
"Tecmo Bowl Throwback",493,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/Tecmo-Bowl-Throwback/66acd000-77fe-1000-9115-d80258410a60?PageSize=60&Page=1&SortBy=BestSelling",281,8931,0,"Southend Interactive",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d80258410a60/1033/boxartlg.jpg",0,"E (Everyone)",0,"Games on Demand",9.99,"Sports & Recreation","Tecmo Koei",3.75,"TRUE","TRUE",9,"FALSE",67,7.3,"FALSE","FALSE"
"Teenage Mutant Ninja Turtles: Danger of the Ooze",3025.4110337728,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/TMNT-DotO/66acd000-77fe-1000-9115-d8024156090c?PageSize=60&Page=1&SortBy=BestSelling",859,12622,0,"Wayforward",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d8024156090c/1033/boxartlg.jpg",0,"E10 (Everyone 10+)",0,"Games on Demand",29.99,"Action & Adventure","Activision Blizzard",3.75,"FALSE","TRUE",65,"FALSE",62,6.4,"FALSE","FALSE"
"Teenage Mutant Ninja Turtles: Mutants in Manhattan",1877.765231977,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/TMNT-MiM/66acd000-77fe-1000-9115-d8024156091e?PageSize=60&Page=1&SortBy=BestSelling",930,453,0,"Platinumgames",2,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d8024156091e/1033/boxartlg.jpg",0,"T (Teen)",0,"Games on Demand",39.99,"Action & Adventure","Activision Blizzard",3.75,"FALSE","TRUE",41,"FALSE",61,6.3,"FALSE","FALSE"
"Teenage Mutant Ninja Turtles: Out of the Shadows",2303,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/TMNT-OOTS/66acd000-77fe-1000-9115-d802584113c2?PageSize=60&Page=1&SortBy=BestSelling",755,32424,0,"Red Fly",7,0,1,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802584113c2/1033/boxartlg.jpg",10,"T (Teen)",0,"Games on Demand",14.99,"Action & Adventure","Activision Blizzard",4.5,"TRUE","TRUE",64,"FALSE",38,5.3,"FALSE","FALSE"
"TEKKEN 6",7703,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/TEKKEN-6/66acd000-77fe-1000-9115-d8024e4d07fc?PageSize=60&Page=1&SortBy=BestSelling",206,32237,1,"Bandai Namco Entertainment",6,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d8024e4d07fc/1033/boxartlg.jpg",0,"T (Teen)",0,"Games on Demand",14.99,"Fighting","Bandai Namco Entertainment",4.5,"FALSE","TRUE",131,"FALSE",80,7,"FALSE","FALSE"
"Tempest",344,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/Tempest/66acd000-77fe-1000-9115-d8025841084f?PageSize=60&Page=1&SortBy=BestSelling",221,1792,0,"Stainless Games",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d8025841084f/1033/boxartlg.jpg",0,"E (Everyone)",0,"Games on Demand",2.99,"Classics","Unkown",3.25,"TRUE","TRUE",4,"FALSE",47,4.5,"FALSE","FALSE"
"Tenchu Z",2536,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/Tenchu-Z/66acd000-77fe-1000-9115-d802465307d7?PageSize=60&Page=1&SortBy=BestSelling",47,11634,1,"K2",2,0,1,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802465307d7/1033/boxartlg.jpg",0,"M (Mature)",0,"Retail Only",20.56,"Action & Adventure","Microsoft",4.25,"TRUE","FALSE",200,"FALSE",56,7.2,"FALSE","FALSE"
"Tengai Makyou Ziria: Haruka naru Jipang",1602.7146276283,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product",9,14200.3740743464,0,"Unkown",0,0,0,"No Boxart",0,"T (Teen)",0,"Retail Only",19.89,"Unkown","Unkown",3.78,"FALSE","FALSE",40,"FALSE",63,6.7,"FALSE","FALSE"
"Terraria  Xbox 360 Edition",7689,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/Terraria-Xbox-360-Edition/66acd000-77fe-1000-9115-d802464f0802?PageSize=60&Page=1&SortBy=BestSelling",740,3054,0,"Engine Software Bv",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802464f0802/1033/boxartlg.jpg",0,"T (Teen)",0,"Retail Only",21.37,"Action & Adventure","505 Games",4.5,"FALSE","FALSE",173,"FALSE",69,6.9,"FALSE","FALSE"
"Terraria – Xbox 360 Edition",7689,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/Terraria-Xbox-360-Edition/66acd000-77fe-1000-9115-d8025841128f?PageSize=60&Page=1&SortBy=BestSelling",705,149451,1,"Engine Software Bv",3,0,3,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d8025841128f/1033/boxartlg.jpg",0,"T (Teen)",0,"Games on Demand",14.99,"Action & Adventure","505 Games",4.5,"TRUE","TRUE",173,"FALSE",70,6.9,"FALSE","FALSE"
"Test Drive Unlimited",3021,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/Test-Drive-Unlimited/66acd000-77fe-1000-9115-d802494707d4?PageSize=60&Page=1&SortBy=BestSelling",327,24048,1,"Eden Games",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802494707d4/1033/boxartlg.jpg",0,"E10 (Everyone 10+)",0,"Retail Only",19.83,"Racing & Flying","Atari",4.25,"FALSE","FALSE",83,"FALSE",82,8,"FALSE","FALSE"
"Test Drive Unlimited 2",4219,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/Test-Drive-Unlimited-2/66acd000-77fe-1000-9115-d80249470804?PageSize=60&Page=1&SortBy=BestSelling",417,60688,0,"Eden Games",4,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d80249470804/1033/boxartlg.jpg",0,"T (Teen)",32,"Games on Demand",19.99,"Racing & Flying","Atari",4,"FALSE","TRUE",259,"FALSE",68,6.4,"FALSE","FALSE"
