"id","isBCCompatible"
"Avatar: The Last Airbender -- The Burning Earth","TRUE"
"Awesomenauts","TRUE"
"Axel & Pixel","TRUE"
"Babel Rising","TRUE"
"Back to the Future: The Game  30th Anniversary Edition","TRUE"
"BACKBREAKER","TRUE"
"Backbreaker Vengeance","TRUE"
"Backyard Football '10","TRUE"
"Baja 1000","TRUE"
"BAJA: Edge of Control","TRUE"
"Bakugan Battle Brawlers","TRUE"
"Bakugan: Defenders of the Core","TRUE"
"Band of Bugs","TRUE"
"BandFuse: Rock Legends","TRUE"
"Bang Bang Racing","TRUE"
"BangaiO HD","TRUE"
"BangaiO HD: Missile Fury","TRUE"
"Bankshot Billiards 2","TRUE"
"Barbie and Her Sisters Puppy Rescue","TRUE"
"Bass Pro Shops: The Strike","TRUE"
"Bastion","TRUE"
"Batman: Arkham Asylum","TRUE"
"Batman: Arkham City","TRUE"
"Batman: Arkham Origins","TRUE"
"Batman: Arkham Origins Blackgate  Deluxe Edition","TRUE"
"Batman: The Telltale Series","TRUE"
"Battle Academy","TRUE"
"Battle Fantasia","TRUE"
"Battle Stuff","TRUE"
"Battle: Los Angeles","TRUE"
"Battlefield 1943","TRUE"
"Battlefield 2: Modern Combat","TRUE"
"Battlefield 3","TRUE"
"Battlefield 4","TRUE"
"Battlefield Hardline","TRUE"
"Battlefield: Bad Company","TRUE"
"Battlefield: Bad Company 2","TRUE"
"Battleship","TRUE"
"Battlestations Pacific","TRUE"
"Battlezone","TRUE"
"BCFxDoug Williams Ed.","TRUE"
"Beat'n Groovy","TRUE"
"Beautiful Katamari","TRUE"
"Bee Movie Game","TRUE"
"Beijing 2008 - The Official Video Game of the Olympic Games","TRUE"
"Bejeweled Blitz LIVE","TRUE"
"Ben 10 Galactic Racing","TRUE"
"Ben 10 Omniverse","TRUE"
"Ben 10 Omniverse 2","TRUE"
"Ben 10 Ultimate Alien: Cosmic Destruction","TRUE"
"BEN 10: VILGAX ATTACKS","TRUE"
"Beowulf: The Game","TRUE"
"Big Game Hunter","FALSE"
"Binary Domain","TRUE"
"Bionic Commando","TRUE"
"Bionic Commando: Rearmed","TRUE"
"Bionicle Heroes","TRUE"
"BioShock","TRUE"
"BioShock 2","TRUE"
"BioShock Infinite","TRUE"
"Birds of Steel","TRUE"
"Black Knight Sword","TRUE"
"Blacklight: Tango Down","TRUE"
"Blacksite: Area 51","TRUE"
"Blackwater","TRUE"
"Blade Kitten","TRUE"
"Blades of Time","TRUE"
"Bladestorm: The Hundred Years' War","TRUE"
"BLAZBLUE CONTINUUM SHIFT EXTEND","TRUE"
"BlazBlue: Calamity Trigger","TRUE"
"BlazBlue: Continuum Shift","TRUE"
"Blazing Angels 2: Secret Missions of WWII","TRUE"
"Blazing Angels: Squadrons of WWII","TRUE"
"Blazing Birds","TRUE"
"Bliss Island","TRUE"
"Blitz: The League","TRUE"
"Blitz: The League II","TRUE"
"Block Party","TRUE"
"Blood Bowl","TRUE"
"Blood Drive","TRUE"
"Bloody Good Time","TRUE"
"Blur","TRUE"
"Bodycount","TRUE"
"Bomberman Live: Battlefest","TRUE"
"Bomberman: Act Zero","TRUE"
"Boogie Bunnies","TRUE"
"Borderlands 2","TRUE"
"Borderlands: The PreSequel","TRUE"
"Brave: The Video Game","TRUE"
"Brink","TRUE"
"Brothers in Arms: Hell's Highway","TRUE"
"Brothers: a Tale of Two Sons","TRUE"
"Brutal Legend","FALSE"
"BUBBLE BOBBLE Neo!","TRUE"
"Buku Sudoku","TRUE"
"Bullet Soul","TRUE"
"Bullet Soul Infinite Burst","TRUE"
"Bullet Witch","TRUE"
"Bulletstorm","TRUE"
"Bully: Scholarship Edition","TRUE"
"Burnout Crash!","TRUE"
"Burnout Paradise","TRUE"
"Burnout Revenge","TRUE"
"Cabela's Adventure Camp","TRUE"
"Cabela's African Safari","TRUE"
"Cabela's Alaskan Adventures","TRUE"
"Cabela's Big Game Hunter  Pro Hunts","TRUE"
"Cabela's Big Game Hunter 2010","TRUE"
"Cabela's Big Game Hunter 2012","TRUE"
"Cabela's Big Game Hunter: Hunting Party","TRUE"
"Cabela's Dangerous Hunts 2009","TRUE"
"Cabela's Dangerous Hunts 2011","TRUE"
"Cabela's Dangerous Hunts 2013","TRUE"
"Cabela's Hunting Expeditions","TRUE"
"Cabela's North American Adventure","TRUE"
"Cabela's Survival: Shadows of Katmai","TRUE"
"Cabela's Trophy Bucks","TRUE"
"Cabela’s African Adventures","TRUE"
"Caladrius","TRUE"
"Call of Duty 4: Modern Warfare","TRUE"
"Call of Duty Classic","TRUE"
"Call of Duty: Advanced Warfare","TRUE"
"Call of Duty: Black Ops II","TRUE"
"Call of Duty: Black Ops III","TRUE"
"Call of Duty: Modern Warfare 2","TRUE"
"Call of Duty: Modern Warfare 3","TRUE"
"Call of Juarez","TRUE"
"Call Of Juarez : The Cartel","TRUE"
"CAPSIZED","TRUE"
"Captain America: Super Soldier","TRUE"
"Carrier Command: Gaea Mission","TRUE"
"Cars","TRUE"
"Cars 2: The Video Game","TRUE"
"Cars: MaterNational","TRUE"
"Cars: RaceORama","TRUE"
"Cartoon Network Punch Time Explosion XL","TRUE"
"Castlevania Harmony of Despair","TRUE"
"Castlevania: Lords of Shadow","TRUE"
"Castlevania: Lords of Shadow  Mirror of Fate HD","TRUE"
"Castlevania: Lords Of Shadow 2","TRUE"
"Catherine","TRUE"
"CellFactor: Psychokinetic Wars","TRUE"
"Champion Jockey: G1 Jockey & Gallop Racer","TRUE"
"Charlie Murder","TRUE"
"Check vs Mate","TRUE"
"Chessmaster Live","TRUE"
"Child of Eden","TRUE"
"Child of Light","TRUE"
"Chime","TRUE"
"Chivalry: Medieval Warfare","TRUE"
"Choplifter HD","TRUE"
"Chromehounds","TRUE"
"Chronicles of Riddick: Assault on Dark Athena","TRUE"
"Civil War: Secret Missions","TRUE"
"Clan of Champions","TRUE"
"CLASH OF THE TITANS","TRUE"
"Clive Barker's Jericho","TRUE"
"Cloning Clyde","TRUE"
"Cloudberry Kingdom","TRUE"
"Cloudy With a Chance of Meatballs","TRUE"
"Cobalt","TRUE"
"Coffeetime Crosswords","TRUE"
"College Hoops 2K6","TRUE"
"College Hoops 2K7","TRUE"
"College Hoops 2K8","TRUE"
"Command & Conquer 3: Kane's Wrath","TRUE"
"Command & Conquer Read Alert 3: Commander's Challenge","TRUE"
"Command & Conquer Red Alert 3","TRUE"
"Command & Conquer Red Alert 3 Commander’s Challenge","TRUE"
"Commanders: Attack of the Genos","TRUE"
"Conan","TRUE"
"Condemned 2: Bloodshot","TRUE"
"Conflict: Denied Ops","TRUE"
"Constant C","TRUE"
"Contra","TRUE"
"Contrast","TRUE"
"Costume Quest","TRUE"
"Costume Quest 2","TRUE"
"Country Dance All Stars","TRUE"
"Crackdown","TRUE"
