DATE,PCE
1959-01-01,306.5
1959-02-01,310.0
1959-03-01,313.1
1959-04-01,312.6
1959-05-01,316.5
1959-06-01,318.6
1959-07-01,318.1
1959-08-01,320.5
1959-09-01,324.6
1959-10-01,323.1
1959-11-01,323.2
1959-12-01,323.2
1960-01-01,324.0
1960-02-01,325.7
1960-03-01,330.5
1960-04-01,336.9
1960-05-01,330.4
1960-06-01,330.5
1960-07-01,331.8
1960-08-01,332.0
1960-09-01,333.8
1960-10-01,335.8
1960-11-01,335.8
1960-12-01,331.7
1961-01-01,332.6
1961-02-01,334.2
1961-03-01,338.1
1961-04-01,338.1
1961-05-01,340.4
1961-06-01,341.3
1961-07-01,341.1
1961-08-01,342.6
1961-09-01,344.9
1961-10-01,347.0
1961-11-01,350.4
1961-12-01,352.9
1962-01-01,353.7
1962-02-01,354.5
1962-03-01,357.9
1962-04-01,359.6
1962-05-01,362.5
1962-06-01,360.9
1962-07-01,361.9
1962-08-01,363.4
1962-09-01,369.3
1962-10-01,367.1
1962-11-01,372.2
1962-12-01,374.1
1963-01-01,374.9
1963-02-01,373.8
1963-03-01,375.4
1963-04-01,376.8
1963-05-01,377.6
1963-06-01,382.1
1963-07-01,384.9
1963-08-01,386.7
1963-09-01,385.9
1963-10-01,386.5
1963-11-01,389.9
1963-12-01,395.2
1964-01-01,397.3
1964-02-01,400.7
1964-03-01,402.4
1964-04-01,403.4
1964-05-01,409.0
1964-06-01,411.9
1964-07-01,415.5
1964-08-01,418.3
1964-09-01,417.2
1964-10-01,420.2
1964-11-01,416.9
1964-12-01,421.6
1965-01-01,425.0
1965-02-01,432.0
1965-03-01,433.9
1965-04-01,437.6
1965-05-01,438.2
1965-06-01,435.8
1965-07-01,441.6
1965-08-01,445.0
1965-09-01,452.6
1965-10-01,459.1
1965-11-01,459.7
1965-12-01,462.3
1966-01-01,465.8
1966-02-01,470.9
1966-03-01,475.7
1966-04-01,477.6
1966-05-01,473.8
1966-06-01,476.2
1966-07-01,481.2
1966-08-01,483.8
1966-09-01,489.9
1966-10-01,489.0
1966-11-01,490.7
1966-12-01,492.6
1967-01-01,494.9
1967-02-01,493.7
1967-03-01,496.6
1967-04-01,502.1
1967-05-01,503.0
1967-06-01,507.5
1967-07-01,507.4
1967-08-01,510.5
1967-09-01,516.3
1967-10-01,512.9
1967-11-01,518.1
1967-12-01,525.8
1968-01-01,531.5
1968-02-01,534.2
1968-03-01,544.9
1968-04-01,544.6
1968-05-01,550.4
1968-06-01,556.8
1968-07-01,563.8
1968-08-01,567.6
1968-09-01,568.8
1968-10-01,572.3
1968-11-01,577.4
1968-12-01,577.2
1969-01-01,584.2
1969-02-01,589.5
1969-03-01,589.7
1969-04-01,594.7
1969-05-01,601.1
1969-06-01,601.7
1969-07-01,603.5
1969-08-01,610.8
1969-09-01,614.1
1969-10-01,619.4
1969-11-01,621.4
1969-12-01,623.7
1970-01-01,629.6
1970-02-01,634.9
1970-03-01,633.2
1970-04-01,637.0
1970-05-01,643.4
1970-06-01,647.2
1970-07-01,649.5
1970-08-01,653.9
1970-09-01,660.1
1970-10-01,659.3
1970-11-01,657.6
1970-12-01,666.6
1971-01-01,677.2
1971-02-01,680.4
1971-03-01,683.0
1971-04-01,689.8
1971-05-01,692.2
1971-06-01,700.8
1971-07-01,699.9
1971-08-01,706.0
1971-09-01,714.1
1971-10-01,716.9
1971-11-01,722.1
1971-12-01,729.6
1972-01-01,732.6
1972-02-01,737.3
1972-03-01,750.4
1972-04-01,753.8
1972-05-01,759.2
1972-06-01,762.9
1972-07-01,771.2
1972-08-01,777.7
1972-09-01,782.5
1972-10-01,796.3
1972-11-01,801.8
1972-12-01,807.5
1973-01-01,817.9
1973-02-01,827.2
1973-03-01,834.2
1973-04-01,837.2
1973-05-01,843.1
1973-06-01,845.8
1973-07-01,855.7
1973-08-01,854.9
1973-09-01,870.9
1973-10-01,869.8
1973-11-01,878.6
1973-12-01,878.4
1974-01-01,886.4
1974-02-01,891.6
1974-03-01,903.3
1974-04-01,912.7
1974-05-01,924.3
1974-06-01,929.9
1974-07-01,939.8
1974-08-01,956.6
1974-09-01,956.8
1974-10-01,961.0
1974-11-01,958.0
1974-12-01,963.6
1975-01-01,977.4
1975-02-01,991.3
1975-03-01,992.6
1975-04-01,997.2
1975-05-01,1021.2
1975-06-01,1029.1
1975-07-01,1042.2
1975-08-01,1049.4
1975-09-01,1057.2
1975-10-01,1063.2
1975-11-01,1078.0
1975-12-01,1094.4
1976-01-01,1109.5
1976-02-01,1110.1
1976-03-01,1117.3
1976-04-01,1127.8
1976-05-01,1125.1
1976-06-01,1142.9
1976-07-01,1152.1
1976-08-01,1160.5
1976-09-01,1171.4
1976-10-01,1179.5
1976-11-01,1191.7
1976-12-01,1214.1
1977-01-01,1217.4
1977-02-01,1233.7
1977-03-01,1240.7
1977-04-01,1249.7
1977-05-01,1259.6
1977-06-01,1266.3
1977-07-01,1283.2
1977-08-01,1288.5
1977-09-01,1297.4
1977-10-01,1314.3
1977-11-01,1330.0
1977-12-01,1339.3
1978-01-01,1333.0
1978-02-01,1358.9
1978-03-01,1381.4
1978-04-01,1400.2
1978-05-01,1415.9
1978-06-01,1429.8
1978-07-01,1430.8
1978-08-01,1451.0
1978-09-01,1456.9
1978-10-01,1471.0
1978-11-01,1484.7
1978-12-01,1500.5
1979-01-01,1506.3
1979-02-01,1521.6
1979-03-01,1535.0
1979-04-01,1542.3
1979-05-01,1562.7
1979-06-01,1579.6
1979-07-01,1590.1
1979-08-01,1619.7
1979-09-01,1638.1
1979-10-01,1646.0
1979-11-01,1661.7
1979-12-01,1670.7
1980-01-01,1701.6
1980-02-01,1705.6
1980-03-01,1712.4
1980-04-01,1699.5
1980-05-01,1704.3
1980-06-01,1723.0
1980-07-01,1751.2
1980-08-01,1767.7
1980-09-01,1784.1
1980-10-01,1820.4
1980-11-01,1830.2
1980-12-01,1855.5
1981-01-01,1874.7
1981-02-01,1889.4
1981-03-01,1908.1
1981-04-01,1909.1
1981-05-01,1918.2
1981-06-01,1938.5
1981-07-01,1945.7
1981-08-01,1969.8
1981-09-01,1968.2
1981-10-01,1966.2
1981-11-01,1972.4
1981-12-01,1989.9
1982-01-01,1997.4
1982-02-01,2021.4
1982-03-01,2024.4
1982-04-01,2027.2
1982-05-01,2045.9
1982-06-01,2050.2
1982-07-01,2075.1
1982-08-01,2083.7
1982-09-01,2108.9
1982-10-01,2130.7
1982-11-01,2154.7
1982-12-01,2167.4
1983-01-01,2180.1
1983-02-01,2183.1
1983-03-01,2208.6
1983-04-01,2231.8
1983-05-01,2251.0
1983-06-01,2280.8
1983-07-01,2309.0
1983-08-01,2324.8
1983-09-01,2339.1
1983-10-01,2361.8
1983-11-01,2370.4
1983-12-01,2397.9
1984-01-01,2423.8
1984-02-01,2408.1
1984-03-01,2436.4
1984-04-01,2462.6
1984-05-01,2479.8
1984-06-01,2501.2
1984-07-01,2500.5
1984-08-01,2518.4
1984-09-01,2540.3
1984-10-01,2538.2
1984-11-01,2578.6
1984-12-01,2590.0
1985-01-01,2626.3
1985-02-01,2648.6
1985-03-01,2656.8
1985-04-01,2668.4
1985-05-01,2705.9
1985-06-01,2699.3
1985-07-01,2725.9
1985-08-01,2762.7
1985-09-01,2805.6
1985-10-01,2767.1
1985-11-01,2782.7
1985-12-01,2822.8
1986-01-01,2838.3
1986-02-01,2831.2
1986-03-01,2834.7
1986-04-01,2846.5
1986-05-01,2869.0
1986-06-01,2873.5
1986-07-01,2893.4
1986-08-01,2911.1
1986-09-01,2984.6
1986-10-01,2945.9
1986-11-01,2941.7
1986-12-01,3010.8
1987-01-01,2949.9
1987-02-01,3016.5
1987-03-01,3028.4
1987-04-01,3054.1
1987-05-01,3063.9
1987-06-01,3088.4
1987-07-01,3110.7
1987-08-01,3147.0
1987-09-01,3142.9
1987-10-01,3151.1
1987-11-01,3160.9
1987-12-01,3190.9
1988-01-01,3230.7
1988-02-01,3238.5
1988-03-01,3277.8
1988-04-01,3280.4
1988-05-01,3311.0
1988-06-01,3335.6
1988-07-01,3359.3
1988-08-01,3384.3
1988-09-01,3391.4
1988-10-01,3430.4
1988-11-01,3447.0
1988-12-01,3476.3
1989-01-01,3499.9
1989-02-01,3503.9
1989-03-01,3514.5
1989-04-01,3558.6
1989-05-01,3567.5
1989-06-01,3582.4
1989-07-01,3601.7
1989-08-01,3636.8
1989-09-01,3638.1
1989-10-01,3650.0
1989-11-01,3659.7
1989-12-01,3700.7
1990-01-01,3747.2
1990-02-01,3744.8
1990-03-01,3771.5
1990-04-01,3786.7
1990-05-01,3792.5
1990-06-01,3821.3
1990-07-01,3838.5
1990-08-01,3865.0
1990-09-01,3886.7
1990-10-01,3887.1
1990-11-01,3888.4
1990-12-01,3877.8
1991-01-01,3857.6
1991-02-01,3883.3
1991-03-01,3929.7
1991-04-01,3923.9
1991-05-01,3950.0
1991-06-01,3957.1
1991-07-01,3982.4
1991-08-01,3985.4
1991-09-01,4001.2
1991-10-01,3992.9
1991-11-01,4020.6
1991-12-01,4037.7
1992-01-01,4101.9
1992-02-01,4116.8
1992-03-01,4134.3
1992-04-01,4149.0
1992-05-01,4176.1
1992-06-01,4195.0
1992-07-01,4223.0
1992-08-01,4239.3
1992-09-01,4273.9
1992-10-01,4303.5
1992-11-01,4319.5
1992-12-01,4355.6
1993-01-01,4359.7
1993-02-01,4374.3
1993-03-01,4371.4
1993-04-01,4412.4
1993-05-01,4441.3
1993-06-01,4458.8
1993-07-01,4487.7
1993-08-01,4499.9
1993-09-01,4530.5
1993-10-01,4552.0
1993-11-01,4573.4
1993-12-01,4590.7
1994-01-01,4604.8
1994-02-01,4652.3
1994-03-01,4665.4
1994-04-01,4690.7
1994-05-01,4689.2
1994-06-01,4728.8
1994-07-01,4740.8
1994-08-01,4783.0
1994-09-01,4795.5
1994-10-01,4833.3
1994-11-01,4846.0
1994-12-01,4862.3
1995-01-01,4871.9
