instant_book,rating_checkin,person_capacity,rating_cleanliness,tax,lon,amenities,response_time,cancel_policy,price,service_fee,lat,host_id,review_score_a,rev_count,bed_type,accuracy_rating,rating_communication,satisfaction_guest,hosting_id,url,cleaning_fee,nightly_price,room_type
False,10,2,10,3,-81.30700355927934,"[1, 3, 4, 5, 7, 8, 9, 15, 30, 33, 34, 35, 36, 39, 40, 41, 49, 50]",225.0,5,31.0,0,28.490629309190055,72270248,5,39,Real Bed,10,10,98,13688113,https://www.airbnb.com/rooms/13688113,0,$31,Private room
False,10,2,9,4,-81.28588367981476,"[1, 3, 4, 5, 8, 9, 25, 30, 31, 33, 35, 37, 39, 40, 41, 42, 44, 46, 47]",24704.0,3,32.0,0,28.461994966434894,49689801,4.5,17,Real Bed,10,10,89,9601546,https://www.airbnb.com/rooms/9601546,5,$32,Private room
False,9,6,9,13,-81.45808850417576,"[1, 3, 4, 5, 6, 7, 8, 9, 30, 31, 33, 34, 35, 39, 40, 43, 44, 46]",3341.5,5,50.0,0,28.499571041653546,47279527,4,32,Real Bed,9,9,81,11849341,https://www.airbnb.com/rooms/11849341,60,$50,Entire home/apt
False,10,2,10,7,-81.49149759101134,"[1, 3, 4, 5, 7, 8, 9, 17, 18, 30, 33, 34, 35, 37, 40, 41, 42, 44, 45, 46, 47, 49, 50]",232.5,4,47.0,0,28.4215577967323,3746935,5,61,Real Bed,10,10,98,4931328,https://www.airbnb.com/rooms/4931328,15,$47,Private room
False,9,2,10,6,-81.48671003717416,"[1, 2, 3, 4, 5, 7, 8, 9, 27, 30, 31, 33, 34, 35, 37, 38, 40, 41, 42, 44, 45, 50]",6550.0,5,25.0,0,28.542270302711113,66658840,4.5,30,Real Bed,10,10,93,12409300,https://www.airbnb.com/rooms/12409300,25,$25,Private room
False,10,2,10,8,-81.35260413195248,"[1, 3, 4, 5, 7, 8, 9, 17, 19, 30, 33, 34, 35, 36, 39, 40, 41, 44, 45, 46, 47, 49, 50]",377.5,3,69.0,0,28.563588328703997,17564428,5,28,Real Bed,10,10,99,3488242,https://www.airbnb.com/rooms/3488242,0,$69,Entire home/apt
False,10,4,10,15,-81.4449368045096,"[1, 4, 5, 8, 9, 30, 31, 33, 34, 35, 37, 39, 40, 41, 44, 45]",313.0,4,90.0,0,28.395804550216937,41422975,5,19,Real Bed,10,10,100,13149490,https://www.airbnb.com/rooms/13149490,35,$90,Entire home/apt
False,10,4,10,7,-81.45516694283495,"[1, 3, 4, 5, 7, 8, 9, 15, 30, 33, 34, 35, 36, 41, 45, 46, 47]",13349.0,4,50.0,0,28.519329853960883,21984423,5,5,Real Bed,10,10,100,14077330,https://www.airbnb.com/rooms/14077330,10,$50,Private room
True,10,5,10,8,-81.45735033374602,"[1, 3, 4, 5, 8, 9, 31, 35, 40, 41, 42, 43, 44, 45, 46]",12.0,5,56.0,0,28.553684376564682,100397613,5,8,Real Bed,10,10,100,15582387,https://www.airbnb.com/rooms/15582387,12,$56,Entire home/apt
True,10,2,10,6,-81.37118577711335,"[1, 4, 5, 8, 9, 16, 27, 30, 35, 36, 37, 39, 40, 41, 49, 50]",2.0,3,49.0,0,28.5198580950852,23127710,5,178,Real Bed,10,10,99,4700802,https://www.airbnb.com/rooms/4700802,0,$49,Private room
