"","Region","Ownership","sum(Q3.FY16)"
"1","Americas","Co-operated",8875
"2","Americas","Licensed",6425
"3","CAP","Co-operated",2675
"4","CAP","Licensed",3452
"5","EMEA","Co-operated",541
"6","EMEA","Licensed",2024
"7","Others","Co-operated",365
"8","Others","Licensed",38
