"","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender"
"280",655,"6/1/2016 00:48:54","6/1/2016 00:59:50",496,"E 16 St & 5 Ave",40.73726186,-73.99238967,536,"1 Ave & E 30 St",40.74144387,-73.97536082,17409,"Subscriber",1991,1
"367",571,"6/1/2016 01:14:33","6/1/2016 01:24:04",428,"E 3 St & 1 Ave",40.72467721,-73.98783413,284,"Greenwich Ave & 8 Ave",40.7390169121,-74.0026376103,16068,"Subscriber",1983,1
"994",396,"6/1/2016 06:01:09","6/1/2016 06:07:46",3141,"1 Ave & E 68 St",40.76500525,-73.95818491,3147,"E 85 St & 3 Ave",40.77801203,-73.95407149,15680,"Subscriber",1985,1
"237",697,"6/1/2016 00:39:34","6/1/2016 00:51:12",492,"W 33 St & 7 Ave",40.75019995,-73.99093085,545,"E 23 St & 1 Ave",40.736502,-73.97809472,20939,"Subscriber",1990,1
"8",773,"6/1/2016 00:01:24","6/1/2016 00:14:18",492,"W 33 St & 7 Ave",40.75019995,-73.99093085,483,"E 12 St & 3 Ave",40.73223272,-73.98889957,17101,"Subscriber",1986,1
"373",345,"6/1/2016 01:12:28","6/1/2016 01:18:14",388,"W 26 St & 10 Ave",40.749717753,-74.002950346,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,14943,"Subscriber",1988,1
"425",383,"6/1/2016 01:39:11","6/1/2016 01:45:34",3079,"Leonard St & Grand St",40.71103537,-73.94714303,3087,"Metropolitan Ave & Meeker Ave",40.71413311,-73.95234386,23014,"Subscriber",1992,1
"904",261,"6/1/2016 05:52:03","6/1/2016 05:56:25",368,"Carmine St & 6 Ave",40.73038599,-74.00214988,435,"W 21 St & 6 Ave",40.74173969,-73.99415556,15675,"Subscriber",1983,1
"921",1452,"6/1/2016 05:53:40","6/1/2016 06:17:53",461,"E 20 St & 2 Ave",40.73587678,-73.98205027,422,"W 59 St & 10 Ave",40.770513,-73.988038,15620,"Subscriber",1987,1
"109",693,"6/1/2016 00:14:29","6/1/2016 00:26:02",494,"W 26 St & 8 Ave",40.74734825,-73.99723551,3224,"W 13 St & Hudson St",40.7399735410341,-74.0051387250423,19558,"Subscriber",NA,0
"787",669,"6/1/2016 05:39:59","6/1/2016 05:51:08",514,"12 Ave & W 40 St",40.76087502,-74.00277668,168,"W 18 St & 6 Ave",40.73971301,-73.99456405,19558,"Subscriber",1977,1
"422",411,"6/1/2016 01:38:25","6/1/2016 01:45:16",439,"E 4 St & 2 Ave",40.7262807,-73.98978041,358,"Christopher St & Greenwich St",40.73291553,-74.00711384,21002,"Subscriber",1985,1
"555",274,"6/1/2016 03:01:19","6/1/2016 03:05:54",407,"Henry St & Poplar St",40.700469,-73.991454,406,"Hicks St & Montague St",40.69512845,-73.99595065,16978,"Subscriber",1971,1
"311",446,"6/1/2016 00:57:02","6/1/2016 01:04:29",511,"E 14 St & Avenue B",40.72938685,-73.97772429,174,"E 25 St & 1 Ave",40.7381765,-73.97738662,15218,"Subscriber",1993,1
"603",596,"6/1/2016 04:04:07","6/1/2016 04:14:03",3164,"Columbus Ave & W 72 St",40.7770575,-73.97898475,359,"E 47 St & Park Ave",40.75510267,-73.97498696,25247,"Subscriber",1977,1
"471",1369,"6/1/2016 01:58:59","6/1/2016 02:21:48",173,"Broadway & W 49 St",40.7606832709659,-73.9845272898674,405,"Washington St & Gansevoort St",40.739323,-74.008119,20075,"Subscriber",NA,0
"384",245,"6/1/2016 01:19:08","6/1/2016 01:23:14",361,"Allen St & Hester St",40.71605866,-73.99190759,268,"Howard St & Centre St",40.71910537,-73.99973337,21469,"Subscriber",1990,1
"544",525,"6/1/2016 02:53:07","6/1/2016 03:01:52",471,"Grand St & Havemeyer St",40.71286844,-73.95698119,3106,"Driggs Ave & N Henry St",40.72325,-73.94308,23858,"Subscriber",1963,1
"664",479,"6/1/2016 05:03:51","6/1/2016 05:11:51",478,"11 Ave & W 41 St",40.76030096,-73.99884222,490,"8 Ave & W 33 St",40.751551,-73.993934,18685,"Subscriber",1964,1
"722",221,"6/1/2016 05:26:42","6/1/2016 05:30:23",509,"9 Ave & W 22 St",40.7454973,-74.00197139,435,"W 21 St & 6 Ave",40.74173969,-73.99415556,19089,"Subscriber",1965,1
"612",688,"6/1/2016 04:18:50","6/1/2016 04:30:18",428,"E 3 St & 1 Ave",40.72467721,-73.98783413,329,"Greenwich St & N Moore St",40.72043411,-74.01020609,22975,"Subscriber",1986,1
"819",2699,"6/1/2016 05:43:37","6/1/2016 06:28:36",3147,"E 85 St & 3 Ave",40.77801203,-73.95407149,327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,15758,"Subscriber",1982,1
"321",1135,"6/1/2016 01:01:55","6/1/2016 01:20:51",167,"E 39 St & 3 Ave",40.7489006,-73.97604882,433,"E 13 St & Avenue A",40.72955361,-73.98057249,19032,"Subscriber",1981,1
"461",360,"6/1/2016 01:55:01","6/1/2016 02:01:02",291,"Madison St & Montgomery St",40.713126,-73.984844,401,"Allen St & Rivington St",40.72019576,-73.98997825,22657,"Subscriber",1996,1
"71",907,"6/1/2016 00:09:19","6/1/2016 00:24:26",368,"Carmine St & 6 Ave",40.73038599,-74.00214988,369,"Washington Pl & 6 Ave",40.73224119,-74.00026394,15929,"Subscriber",NA,0
"472",1905,"6/1/2016 01:59:27","6/1/2016 02:31:12",445,"E 10 St & Avenue A",40.72740794,-73.98142006,2006,"Central Park S & 6 Ave",40.76590936,-73.97634151,18502,"Customer",NA,0
"194",351,"6/1/2016 00:32:46","6/1/2016 00:38:37",439,"E 4 St & 2 Ave",40.7262807,-73.98978041,504,"1 Ave & E 15 St",40.73221853,-73.98165557,17855,"Subscriber",1991,1
"354",1869,"6/1/2016 01:10:09","6/1/2016 01:41:19",3162,"W 78 St & Broadway",40.78339981,-73.98093133,494,"W 26 St & 8 Ave",40.74734825,-73.99723551,25389,"Customer",NA,0
"226",1274,"6/1/2016 00:37:25","6/1/2016 00:58:39",254,"W 11 St & 6 Ave",40.73532427,-73.99800419,278,"Concord St & Bridge St",40.69766564,-73.98476437,21283,"Subscriber",1988,1
"473",1116,"6/1/2016 02:00:47","6/1/2016 02:19:23",236,"St Marks Pl & 2 Ave",40.7284186,-73.98713956,302,"Avenue D & E 3 St",40.72082834,-73.97793172,22048,"Subscriber",1993,1
"138",2142,"6/1/2016 00:22:26","6/1/2016 00:58:08",445,"E 10 St & Avenue A",40.72740794,-73.98142006,281,"Grand Army Plaza & Central Park S",40.7643971,-73.97371465,19305,"Subscriber",NA,0
"272",474,"6/1/2016 00:46:03","6/1/2016 00:53:58",453,"W 22 St & 8 Ave",40.74475148,-73.99915362,285,"Broadway & E 14 St",40.73454567,-73.99074142,16457,"Subscriber",1978,1
