,psraid,state,density,igender,irace,sex,qp2,age,q5,q29a,q29b,q29c,educ2,race3m1,income,party,ideo
18,100088,Texas,2,Male,Black or African-American,Female,"Mitt Romney, the Republican",60,Middle class,More likely,More likely,Less likely,High school graduate (Grade 12 with diploma or GED certificate),"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","30 to under $40,000",Independent,Conservative
19,100093,Louisiana,4,Female,Don't know/Refused (VOL.),Male,"Barack Obama, the Democrat [OR]",74,Upper-middle class,Less likely,More likely,More likely,"Four year college or university degree/Bachelor’s degree (e.g., BS, BA, AB)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","$150,000 or more",Democrat,"Liberal, OR"
20,100098,Georgia,1,Female,Hispanic,Female,"Mitt Romney, the Republican",69,Upper-middle class,Refused (VOL.),Refused (VOL.),More likely,"Four year college or university degree/Bachelor’s degree (e.g., BS, BA, AB)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",(VOL. DO NOT READ) Don't know/Refused,Republican,Conservative
21,100100,Pennsylvania,4,Male,Hispanic,Female,"Mitt Romney, the Republican",57,Upper-middle class,No opinion/Don't know enough to say,No opinion/Don't know enough to say,Less likely,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","100 to under $150,000",Republican,Moderate
22,100101,Texas,4,Female,Black or African-American,Male,"Mitt Romney, the Republican",73,Middle class,More likely,More likely,More likely,Two year associate degree from a college or university,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",(VOL. DO NOT READ) Don't know/Refused,Republican,Very conservative
23,100111,North Carolina,3,Male,Black or African-American,Male,"Mitt Romney, the Republican",81,Middle class,No opinion/Don't know enough to say,More likely,No opinion/Don't know enough to say,Two year associate degree from a college or university,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","75 to under $100,000",Republican,Conservative
24,100116,Pennsylvania,2,Male,Black or African-American,Female,"Mitt Romney, the Republican",58,Middle class,Less likely,More likely,More likely,"Four year college or university degree/Bachelor’s degree (e.g., BS, BA, AB)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","20 to under $30,000",Democrat,"Liberal, OR"
25,100119,Texas,2,Female,Black or African-American,Male,"Mitt Romney, the Republican",32,Upper-middle class,Less likely,More likely,Less likely,"Four year college or university degree/Bachelor’s degree (e.g., BS, BA, AB)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","50 to under $75,000",Republican,Conservative
26,100124,North Carolina,2,Male,Black or African-American,Female,"Barack Obama, the Democrat [OR]",30,Lower-middle class,Less likely,Less likely,More likely,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),"Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)","Less than $10,000",Democrat,"Liberal, OR"
27,100134,Georgia,4,Female,Hispanic,Female,"Mitt Romney, the Republican",31,Upper-middle class,More likely,More likely,More likely,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","100 to under $150,000",Republican,Conservative
28,100138,Mississippi,2,Female,Black or African-American,Male,"Barack Obama, the Democrat [OR]",60,Middle class,Less likely,More likely,More likely,"Four year college or university degree/Bachelor’s degree (e.g., BS, BA, AB)","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)","$150,000 or more",Democrat,Conservative
29,100143,North Carolina,2,Female,Black or African-American,Female,"Barack Obama, the Democrat [OR]",57,Lower class,Less likely,Refused (VOL.),More likely,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),Native American/American Indian/Alaska Native (VOL.),"Less than $10,000",Democrat,(VOL. DO NOT READ) Don't know/Refused
30,100155,Texas,1,Female,Black or African-American,Female,[VOL. DO NOT READ] Don't know/Refused,70,Middle class,No opinion/Don't know enough to say,More likely,Less likely,Less than high school (Grades 1-8 or no formal schooling),"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",(VOL. DO NOT READ) Don't know/Refused,Independent,"Liberal, OR"
31,100158,Kentucky,2,Female,Don't know/Refused (VOL.),Female,"Mitt Romney, the Republican",67,Middle class,Less likely,No opinion/Don't know enough to say,More likely,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",(VOL. DO NOT READ) Don't know/Refused,Republican,Moderate
32,100161,Florida,3,Female,White,Female,"Barack Obama, the Democrat [OR]",61,Lower-middle class,Less likely,More likely,More likely,High school graduate (Grade 12 with diploma or GED certificate),"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","Less than $10,000",Democrat,Moderate
33,100164,Alabama,1,Female,Black or African-American,Male,"Mitt Romney, the Republican",46,Middle class,Less likely,More likely,More likely,"Four year college or university degree/Bachelor’s degree (e.g., BS, BA, AB)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","75 to under $100,000",Independent,Conservative
34,100166,Mississippi,1,Female,Black or African-American,Female,"Mitt Romney, the Republican",81,Upper class,Less likely,More likely,More likely,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","10 to under $20,000",Democrat,Moderate
35,100170,Tennessee,3,Female,Some other race,Female,[VOL. DO NOT READ] Don't know/Refused,84,Middle class,Less likely,More likely,More likely,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","Less than $10,000",Don't know/Refused (VOL.),Conservative
36,100172,Kentucky,2,Male,White,Male,"Mitt Romney, the Republican",84,Middle class,No opinion/Don't know enough to say,More likely,No opinion/Don't know enough to say,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","Refused (e.g., non-race answers like American, Human, purple) (VOL.)",(VOL. DO NOT READ) Don't know/Refused,Democrat,Very conservative
37,100183,Florida,4,Female,White,Male,"Mitt Romney, the Republican",63,Upper-middle class,More likely,More likely,Less likely,"Four year college or university degree/Bachelor’s degree (e.g., BS, BA, AB)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","75 to under $100,000",Republican,Moderate
38,100190,Pennsylvania,4,Female,White,Male,"Barack Obama, the Democrat [OR]",25,Middle class,Refused (VOL.),More likely,More likely,Two year associate degree from a college or university,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","50 to under $75,000",Independent,Conservative
39,100191,Kentucky,1,Female,White,Female,"Barack Obama, the Democrat [OR]",83,Middle class,No opinion/Don't know enough to say,No opinion/Don't know enough to say,More likely,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","30 to under $40,000",Independent,Moderate
40,100193,Pennsylvania,3,Female,White,Female,"Barack Obama, the Democrat [OR]",65,Middle class,Less likely,Less likely,More likely,"Some college, no degree (includes community college)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","20 to under $30,000",Independent,Moderate
41,100205,Georgia,1,Female,Black or African-American,Male,"Barack Obama, the Democrat [OR]",21,Middle class,Less likely,More likely,Less likely,"Some college, no degree (includes community college)","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)","20 to under $30,000",Democrat,Moderate
42,100209,Florida,4,Female,Black or African-American,Female,"Mitt Romney, the Republican",56,Middle class,Refused (VOL.),More likely,The Same/No difference (VOL.),"Some college, no degree (includes community college)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",(VOL. DO NOT READ) Don't know/Refused,Republican,Conservative
43,100213,Florida,1,Female,White,Female,"Barack Obama, the Democrat [OR]",89,Middle class,No opinion/Don't know enough to say,No opinion/Don't know enough to say,No opinion/Don't know enough to say,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","30 to under $40,000",Democrat,"Liberal, OR"
44,100214,Virginia,4,Female,Black or African-American,Male,[VOL. DO NOT READ] Other candidate,45,Upper class,More likely,Less likely,More likely,High school graduate (Grade 12 with diploma or GED certificate),"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","$150,000 or more",Independent,Moderate
45,100218,North Carolina,3,Male,Black or African-American,Female,"Mitt Romney, the Republican",40,Middle class,No opinion/Don't know enough to say,No opinion/Don't know enough to say,No opinion/Don't know enough to say,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)","75 to under $100,000",Independent,Very conservative
46,100220,New York,5,Female,Some other race,Female,"Barack Obama, the Democrat [OR]",48,Middle class,Less likely,More likely,More likely,"Four year college or university degree/Bachelor’s degree (e.g., BS, BA, AB)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","75 to under $100,000",Democrat,"Liberal, OR"
47,100224,Georgia,3,Female,Black or African-American,Male,"Barack Obama, the Democrat [OR]",87,Middle class,No opinion/Don't know enough to say,More likely,No opinion/Don't know enough to say,High school graduate (Grade 12 with diploma or GED certificate),"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","10 to under $20,000",Republican,Moderate
48,100228,South Carolina,2,Female,Hispanic,Female,"Mitt Romney, the Republican",40,Upper class,No opinion/Don't know enough to say,The Same/No difference (VOL.),No opinion/Don't know enough to say,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","$150,000 or more",Republican,Very conservative
49,100235,Virginia,4,Female,Hispanic,Female,"Barack Obama, the Democrat [OR]",47,Middle class,Less likely,More likely,More likely,Two year associate degree from a college or university,"Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)","75 to under $100,000",Democrat,Moderate
50,100242,Missouri,2,Male,White,Female,"Mitt Romney, the Republican",44,Middle class,Less likely,More likely,More likely,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","$150,000 or more",Independent,Conservative
51,100245,Florida,2,Female,Black or African-American,Male,"Barack Obama, the Democrat [OR]",49,Middle class,Less likely,More likely,More likely,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","50 to under $75,000",Democrat,Very liberal?
52,100248,Massachusetts,4,Female,Hispanic,Male,"Mitt Romney, the Republican",74,Middle class,More likely,More likely,Less likely,High school graduate (Grade 12 with diploma or GED certificate),"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","30 to under $40,000",Democrat,Moderate
