review_count,style_score,brewer,wgt_avg,beer_img,state,beer_rank,overall_score,beer_style,beer_name,abv,est_cal,mean,ibu,beer_desc
28,71,Fairhope Brewing Company,3.46,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_222591.jpg",ALABAMA,25,85,India Pale Ale (IPA),Fairhope (Take The) Causeway IPA,8.2%,246,3.54/5.0,69,Previously 6.5% abv and 75 IBUs
246,87,Anchorage Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_155354.jpg",ALASKA,25,97,Sour/Wild Ale,Anchorage Anadromous Belgian Black Bier ,8.5%,255,/,30,"Ale brewed with summit hops. Triple fermented. First in French Oak Foudres, second in pinot noir and whiskey barrels with brett and other critters. Finally in the bottle for natural carbonation."
9,,McFate Brewing Company,3.89,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_251790.jpg",ARIZONA,25,99,Imperial Stout,McFate Imperial Candy Bar Stout - Barrel Aged,9.5%,285,4.29/5.0,,
15,48,Core Brewing and Distilling,3.13,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_269369.jpg",ARKANSAS,25,46,Brown Ale,Core Toasted Coconut Ale,6%,180,3.19/5.0,27,
1130,100,Port Brewing Co / The Lost Abbey,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_66624.jpg",CALIFORNIA,25,100,American Strong Ale,Port Brewing Older Viscosity,12%,360,/,,100% Bourbon Barrel Aged Strong Ale.  This is the oak aging beer which makes up the oak aged portion found in our Old Viscosity.  This is aged in Heaven Hill Bourbon Barrels for 6 months.
124,98,Crooked Stave,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_258145.jpg",COLORADO,25,99,Sour Red/Brown,Crooked Stave Raspberry Origins,,,/,210,Burgundy Sour Ale aged in Oak Barrels with Raspberries.
14,92,B. United International Inc. (Zymatore Project),3.66,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_183749.jpg",CONNECTICUT,25,96,Berliner Weisse,1809 Berliner Style Weisse Zymatore - Gin & Pinot Noir Barrels,,,3.86/5.0,150,"Barrel Source: Ransom Spirits
Barrel: Gin / Pinot Noir #1

http://www.bunitedint.com/zymatore/barrel_filling/10/"
52,87,Iron Hill Wilmington,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_54378.jpg",DELAWARE,25,97,Barley Wine,Iron Hill Sasquatch,9.6%,288,/,,This American barleywine has a dominant malty sweetness that is balanced by a huge presence of American hops.  The hops give this beer a citrus-like hop flavor.  Further dry-hopped for added hop aroma.
285,100,Funky Buddha Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_132397.jpg",FLORIDA,25,100,Porter,Funky Buddha Maple Bacon Coffee Porter,,35,/,,Coffee Porter.
46,98,5 Seasons Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_95769.jpg",GEORGIA,25,98,India Pale Ale (IPA),5 Seasons Hopgasm,,,/,210,"HopGasm is Brewmaster Kevin McNerney’s innaugural release at 5 Seasons. HopGasm is a west coast India Pale Ale, bold in every sense. It invites you with a nose far more intruiging than most IPAs. We use 5 different hops, including Simcoe and Amarillo, which gives an incredibly rich bouquet and a pleasurable mouthfeel. It’s a bit over 7% ABV, but a solid malt backbone and a sumptuous aftertaste will make you want multiple HopGasms."
12,49,Big Island Brewhaus,3.45,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_152793.jpg",HAWAII,25,85,American Strong Ale,Big Island Red Giant Ale,6.5%,195,3.61/5.0,45,"Our sun will be a Red Giant in 5 billion years, this beer is a Red Giant now.  Brewed with rich, light and dark caramel malts and a full dose of American hops, it finishes with dry hop and toffee flavors."
10,64,Sockeye Brewing,3.58,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_292048.jpg",IDAHO,25,93,Imperial IPA,Sockeye Double Dagger IIPA (Fresh Hop),9%,270,3.82/5.0,,Fresh hop version of the Double Dagger DIPA
24,91,Three Floyds Brewing Company,3.9,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_413931.jpg",INDIANA,25,99,Imperial Stout,Three Floyds Ronaldo (2016 Dark Lord Variant),15%,450,4.05/5.0,,Dark Lord aged in Madeira Barrels with Tart Michigan cherries.
69,95,Flossmoor Station Restaurant & Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_86732.jpg",ILLINOIS,25,99,Imperial IPA,Flossmoor Station Pretty Big IPA,,,/,255,"Yeah, it's Pretty Big. The bottles are topped by Gold Wax."
88,83,Peace Tree Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_154494.jpg",IOWA,25,96,Imperial IPA,Peace Tree Hop Sutra,9%,270,/,,"This brew is for hop huggers. We’ve added over 2-1/2 times the hops of our Hop Wrangler IPA with four varieties of hops in six massive hop additions. With over 1-1/2 times the barley of our normal beers, our grist hopper was nearly overflowing. Fermentation with the same Belgian yeast as our Hop Wrangler IPA rounds out this bold beer."
22,83,Blind Tiger,3.52,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_89084.jpg",KANSAS,25,90,India Pale Ale (IPA),Blind Tiger Top Gun IPA,,60,3.62/5.0,,"San Diego style IPA.  On our recent trip to San Diego for the World Beer Cup we had several opportunities to soak up the local beer scene.  San Diego area brewers and their aggressively hopped beers have made the west coast style of brewing famous.  This IPA employs an indecent amount of Amarillo & Simcoe hops.  We named the brew after the Top Gun fighter pilot school in Miramar, CA.  The color is reminiscent of a San Diego Sunset and the body s lighter and dryer than our Tiger Bite IPA.  By the time you finish this beer you’ll know you’ve been in a hop fight."
