state,beer_rank,beer_name,beer_style,brewer,review_count,overall_score,style_score,wgt_avg,abv,est_cal,mean,ibu,beer_desc,beer_img
ALABAMA,1,Good People El Gordo Imperial Stout,Imperial Stout,Good People Brewing Company,15,99.0,90.0,3.89,13.9,417.0,4.13,65.0,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_125885.jpg"
ALABAMA,2,Straight To Ale Laika Russian Imperial Stout - Bourbon Barrel Aged,Imperial Stout,Straight To Ale,53,98.0,72.0,,11.7,351.0,,,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_174363.jpg"
ALABAMA,3,Straight To Ale Laika Russian Imperial Stout,Imperial Stout,Straight To Ale,55,97.0,71.0,,,74.0,,,"Second offering from the ""Right to Brew"" series and was crafted by John Tipton. Draft only.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_135434.jpg"
ALABAMA,4,Avondale Barrel Aged Brett Saison,Saison,Avondale Brewing Company,10,97.0,95.0,3.69,7.5,225.0,4.01,,This brew is our regular Saison aged in french oak red wine barrels for 8 months with brettanomyces and lactobaccilus. The end result? A mixed flavor of tart/sour and fruit.,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_216819.jpg"
ALABAMA,5,Straight To Ale Laika Russian Imperial Stout - Cabernet Barrel Aged,Imperial Stout,Straight To Ale,48,96.0,58.0,,11.8,354.0,,,Straight To Ale Barrel Aged Laika Russian Imperial Stout which has been aged in Cabernet Wine Barrels for about 9 months.,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_234632.jpg"
ALABAMA,6,Good People Snake Handler,Imperial IPA,Good People Brewing Company,119,96.0,84.0,,9.3,279.0,,103.0,"A big, joyous celebration of all things hoppy (5 different varities). Large flavors and aroma of pine, citrus, flowers, spice, pineapple, and grassiness complimented with a touch of biscuit and caramel backbone. Our most requested beer.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_105873.jpg"
ALABAMA,7,Straight To Ale Gorillanaut Imperial IPA,Imperial IPA,Straight To Ale,29,96.0,82.0,3.66,9,270.0,3.76,275.0,"The bigger, badder brother to our flagship Monkeynaut IPA, this beer definitely shoots for the moon. A supernova of citrusy hop aroma and flavor up front and a sweet malty backbone make this an aggressive yet well-balanced beer. It finishes with a smooth, lingering hop bitterness. If you've ever wondered what an 800-lb. gorilla in a spacesuit drinks, well, the answer is Tang, of course ... but when he's back on Earth and in the mood for a big beer, he reaches for this.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_122303.jpg"
ALABAMA,8,Straight To Ale Velvet Evil,Old Ale,Straight To Ale,25,95.0,91.0,3.65,13,390.0,3.76,,"A variant of the same old ale used as the base beer for Unobtanium and Illudium, it has been spiked with subtle hints of coffee and raspberry and a full-on dose of rich chocolate. It is deceptively smooth, sweet and delicious.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_276091.jpg"
ALABAMA,9,Good People Fatso Imperial Stout,Imperial Stout,Good People Brewing Company,36,95.0,47.0,3.61,8.5,255.0,3.69,,"First debuted at the 2009 Magic City Brewfest as the first Imperial Stout legally brewed in Alabama. This bottle conditioned version was brewed especially for the County Line Series.  A huge, viscous, full-bodied, dark as night, imperial stout yet somehow amazingly drinkable. Big aromas and flavors, including cherries and raspberries, roasted malts, dark chocolate, and spiced rum.  It's recommeded to serve in the low to mid 50s as the flavors really explode when allowed to come up in temperature.  ABV 8.5%, 72 bottles.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_107439.jpg"
ALABAMA,10,Straight To Ale Monkeys Uncle IIPA,Imperial IPA,Straight To Ale,21,94.0,73.0,3.62,7.75,232.0,3.74,,"This Imperial IPA is packed with hoppy goodness from huge additions of Columbus, Chinook, Centennial, and Simcoe hops during the brewing and conditioning processes. The hops are balanced with generous amounts of American two row and Crystal malts. If you like hops, this one is for you!","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_137575.jpg"
