Variable,Factor,coef,std err,t,p,sig,Keep
,id,2.25E-08,2.49E-08,0.905,0.365236,,0
(Intercep,(Intercept),7.52E+00,1.54E+00,4.892,1.01E-06,***,1
cat1,cat1B,-8.76E-02,1.15E-02,-7.604,3.01E-14,***,1
cat10,cat10B,1.08E+00,9.96E-01,1.08,0.280244,,0
cat100,cat100B,1.55E-01,3.05E-02,5.065,4.12E-07,***,1
cat100,cat100C,3.33E-01,7.09E-02,4.701,2.60E-06,***,1
cat100,cat100D,-1.19E-01,8.42E-02,-1.416,0.156818,,0
cat100,cat100E,NA,NA,NA,NA,,0
cat100,cat100F,2.07E-01,3.22E-02,6.407,1.52E-10,***,1
cat100,cat100G,2.91E-01,2.66E-02,10.951,< 2e-16,***,1
cat100,cat100H,2.41E-01,2.71E-02,8.911,< 2e-16,***,1
cat100,cat100I,-1.64E-03,2.35E-02,-0.07,0.944319,,0
cat100,cat100J,3.72E-02,2.56E-02,1.454,0.146057,,0
cat100,cat100K,1.68E-01,2.61E-02,6.417,1.43E-10,***,1
cat100,cat100L,2.85E-01,2.55E-02,11.171,< 2e-16,***,1
cat100,cat100M,2.23E-01,4.38E-02,5.089,3.64E-07,***,1
cat100,cat100N,1.50E-01,2.95E-02,5.1,3.43E-07,***,1
cat100,cat100O,1.49E-01,3.11E-02,4.772,1.84E-06,***,1
cat101,cat101B,5.40E+00,5.03E+00,1.073,0.283254,,0
cat101,cat101C,5.02E+00,5.00E+00,1.004,0.315517,,0
cat101,cat101D,5.05E+00,5.00E+00,1.01,0.312454,,0
cat101,cat101E,1.09E+01,6.52E+00,1.674,0.09422,.,0
cat101,cat101F,4.16E+00,4.00E+00,1.038,0.29906,,0
cat101,cat101G,4.17E+00,4.00E+00,1.041,0.297722,,0
cat101,cat101I,3.21E+00,3.01E+00,1.066,0.286281,,0
cat101,cat101J,3.20E+00,3.01E+00,1.062,0.288039,,0
cat101,cat101L,2.17E+00,2.02E+00,1.078,0.281173,,0
cat101,cat101M,2.18E+00,2.02E+00,1.083,0.278862,,0
cat101,cat101O,1.12E+00,1.03E+00,1.093,0.27433,,0
cat101,cat101Q,1.11E+00,1.03E+00,1.085,0.277743,,0
cat101,cat101R,-8.09E-02,2.30E-01,-0.352,0.72477,,0
cat101,cat101S,NA,NA,NA,NA,,0
cat101,cat101U,NA,NA,NA,NA,,0
cat102,cat102B,-1.00E-01,4.59E-01,-0.218,0.827381,,0
cat102,cat102C,-9.23E-02,4.59E-01,-0.201,0.840701,,0
cat102,cat102D,-1.30E-01,4.36E-01,-0.298,0.765477,,0
cat102,cat102E,-2.01E-01,4.35E-01,-0.462,0.643862,,0
cat102,cat102F,-2.63E-01,5.98E-01,-0.439,0.660793,,0
cat102,cat102G,NA,NA,NA,NA,,0
cat103,cat103B,-2.96E+00,3.78E+00,-0.785,0.432391,,0
cat103,cat103C,-2.58E+00,3.42E+00,-0.752,0.451822,,0
cat103,cat103D,-2.19E+00,3.07E+00,-0.711,0.476856,,0
cat103,cat103E,-1.96E+00,2.72E+00,-0.722,0.470479,,0
cat103,cat103F,-1.59E+00,2.37E+00,-0.671,0.502214,,0
