"","uri","name","popularity","preview_url","artist","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","track_href","analysis_url","duration_ms","time_signature"
"1","spotify:track:4gmmRb6bZJffOOiww1JGTO","No Heart",77,"https://p.scdn.co/mp3-preview/9d8a25c6bfc33e641cdd5aa420beedbb41b08fc7","21 Savage",0.906,0.444,4,-8.692,0,0.384,0.136,6.44e-05,0.173,0.68,140.063,"audio_features","4gmmRb6bZJffOOiww1JGTO","https://api.spotify.com/v1/tracks/4gmmRb6bZJffOOiww1JGTO","https://api.spotify.com/v1/audio-analysis/4gmmRb6bZJffOOiww1JGTO",235040,4
"2","spotify:track:4ckuS4Nj4FZ7i3Def3Br8W","Sneakin’",74,"https://p.scdn.co/mp3-preview/4fa89ace286252c33a1ca0d36e7555d6a451a2db","Drake",0.804,0.56,8,-6.682,1,0.185,0.00479,0,0.164,0.264,85.023,"audio_features","4ckuS4Nj4FZ7i3Def3Br8W","https://api.spotify.com/v1/tracks/4ckuS4Nj4FZ7i3Def3Br8W","https://api.spotify.com/v1/audio-analysis/4ckuS4Nj4FZ7i3Def3Br8W",251333,4
"3","spotify:track:75as7OijlnyrGWEoYhhWbE","Offended (feat. Young Thug & 21 Savage)",0,"https://p.scdn.co/mp3-preview/d71a94c2bfc313a60fe773994327b170057611f9","Meek Mill",0.932,0.542,4,-7.366,0,0.303,0.161,0,0.105,0.398,124.024,"audio_features","75as7OijlnyrGWEoYhhWbE","https://api.spotify.com/v1/tracks/75as7OijlnyrGWEoYhhWbE","https://api.spotify.com/v1/audio-analysis/75as7OijlnyrGWEoYhhWbE",255483,4
"4","spotify:track:6fwdbPMwP1zVStm8FybmkO","X (feat. Future)",83,"https://p.scdn.co/mp3-preview/378ccd78be223f579b885d1f1195d29948514f9f","21 Savage",0.835,0.413,1,-9.81,1,0.395,0.373,0.00133,0.101,0.114,149.004,"audio_features","6fwdbPMwP1zVStm8FybmkO","https://api.spotify.com/v1/tracks/6fwdbPMwP1zVStm8FybmkO","https://api.spotify.com/v1/audio-analysis/6fwdbPMwP1zVStm8FybmkO",258880,4
"5","spotify:track:6aa21an1SIMA8QJkq2qLiH","Black Beatles",64,"https://p.scdn.co/mp3-preview/2a4aaf170254cd809e071c2f37c04fd73bfed47d","Rae Sremmurd",0.793,0.645,0,-6.234,1,0.064,0.153,0,0.14,0.338,145.945,"audio_features","6aa21an1SIMA8QJkq2qLiH","https://api.spotify.com/v1/tracks/6aa21an1SIMA8QJkq2qLiH","https://api.spotify.com/v1/audio-analysis/6aa21an1SIMA8QJkq2qLiH",291893,4
"6","spotify:track:4uhvMW7ly7tJil31YYscAN","Erase Your Social",77,"https://p.scdn.co/mp3-preview/e03ee047e0c8df9c576a5f543781d864eb9b83c2","Lil Uzi Vert",0.705,0.609,3,-5.728,1,0.0729,0.694,0,0.234,0.718,140.058,"audio_features","4uhvMW7ly7tJil31YYscAN","https://api.spotify.com/v1/tracks/4uhvMW7ly7tJil31YYscAN","https://api.spotify.com/v1/audio-analysis/4uhvMW7ly7tJil31YYscAN",199993,4
"7","spotify:track:5GFDrUTLGJix84sNhjCG0g","Caroline",83,"https://p.scdn.co/mp3-preview/93b33b49f41d5de40aad14bf3a3219e79651e6fd","Aminé",0.945,0.394,10,-8.571,1,0.492,0.303,0,0.131,0.718,120.058,"audio_features","5GFDrUTLGJix84sNhjCG0g","https://api.spotify.com/v1/tracks/5GFDrUTLGJix84sNhjCG0g","https://api.spotify.com/v1/audio-analysis/5GFDrUTLGJix84sNhjCG0g",209747,4
"8","spotify:track:2IY7eOUDjw2ArKYxKa2jXc","Starboy",91,"https://p.scdn.co/mp3-preview/8bc809d4e17a94526ff189e89dde0decc774a639","The Weeknd",0.682,0.592,7,-7.033,1,0.281,0.169,5.49e-06,0.136,0.477,186.041,"audio_features","2IY7eOUDjw2ArKYxKa2jXc","https://api.spotify.com/v1/tracks/2IY7eOUDjw2ArKYxKa2jXc","https://api.spotify.com/v1/audio-analysis/2IY7eOUDjw2ArKYxKa2jXc",230467,4
"9","spotify:track:1lItf5ZXJc1by9SbPeljFd","Juju On That Beat (TZ Anthem)",85,"https://p.scdn.co/mp3-preview/39043ce6ba5d74b260f6b90f33a3a9779086ca38","Zay Hilfigerrr",0.807,0.887,1,-3.892,1,0.275,0.00381,0,0.391,0.794,160.517,"audio_features","1lItf5ZXJc1by9SbPeljFd","https://api.spotify.com/v1/tracks/1lItf5ZXJc1by9SbPeljFd","https://api.spotify.com/v1/audio-analysis/1lItf5ZXJc1by9SbPeljFd",144244,4
"10","spotify:track:0D21XvHcVsIvJM6FcGY2BT","OOOUUU",83,"https://p.scdn.co/mp3-preview/0852b011bb11c251d0e9f90c6a010997013e0f09","Young M.a.",0.64,0.819,7,-4.108,1,0.455,0.533,0,0.156,0.624,166.012,"audio_features","0D21XvHcVsIvJM6FcGY2BT","https://api.spotify.com/v1/tracks/0D21XvHcVsIvJM6FcGY2BT","https://api.spotify.com/v1/audio-analysis/0D21XvHcVsIvJM6FcGY2BT",234526,4
"11","spotify:track:5F6dydXRZ7EfukbfbrbZrS","On The Regular",0,"https://p.scdn.co/mp3-preview/ca98be667d80f4e001eaddf66dfba78b75f45f0c","Meek Mill",0.786,0.739,2,-3.34,1,0.163,0.0125,0,0.0857,0.38,145.998,"audio_features","5F6dydXRZ7EfukbfbrbZrS","https://api.spotify.com/v1/tracks/5F6dydXRZ7EfukbfbrbZrS","https://api.spotify.com/v1/audio-analysis/5F6dydXRZ7EfukbfbrbZrS",184110,4
"12","spotify:track:6j0teRL3WdExzqmy334sh5","Seven Million (feat. Future)",79,"https://p.scdn.co/mp3-preview/f8725f4b523e38cb7a7fcf59fcea14de3dcd9557","Lil Uzi Vert",0.886,0.629,1,-4.404,0,0.306,0.051,7.66e-06,0.121,0.49,158.002,"audio_features","6j0teRL3WdExzqmy334sh5","https://api.spotify.com/v1/tracks/6j0teRL3WdExzqmy334sh5","https://api.spotify.com/v1/audio-analysis/6j0teRL3WdExzqmy334sh5",182491,4
"13","spotify:track:7v4IH24PwiatPXhrH5e4Qd","Crazy Brazy",65,"https://p.scdn.co/mp3-preview/90d4b6e163ac5442356a2fef8fdb4578aa6a0952","A$AP Mob",0.77,0.618,0,-8.593,1,0.298,0.259,0,0.0939,0.614,142.962,"audio_features","7v4IH24PwiatPXhrH5e4Qd","https://api.spotify.com/v1/tracks/7v4IH24PwiatPXhrH5e4Qd","https://api.spotify.com/v1/audio-analysis/7v4IH24PwiatPXhrH5e4Qd",187136,4
"14","spotify:track:2vwvGMStv1nEuoOTd4xgMu","Tiimmy Turner - Remix",70,"https://p.scdn.co/mp3-preview/4884be8d700059ae3b1d9ad8f0116aaa3b114796","Desiigner",0.793,0.46,1,-6.503,1,0.0913,0.273,0,0.122,0.386,122.973,"audio_features","2vwvGMStv1nEuoOTd4xgMu","https://api.spotify.com/v1/tracks/2vwvGMStv1nEuoOTd4xgMu","https://api.spotify.com/v1/audio-analysis/2vwvGMStv1nEuoOTd4xgMu",141613,4
"15",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","spotify:track:5uDASfU19gDxSjW8cnCaBp","Chill Bill",86,"https://p.scdn.co/mp3-preview/aeb15a42574fb5888f02e6dbd3ee65a9848ed3c4","Rob $tone",0.886,0.427,6,-10.028,1,0.145,0.0312,0.00099,0.0906,0.236,108.034,"audio_features","5uDASfU19gDxSjW8cnCaBp","https://api.spotify.com/v1/tracks/5uDASfU19gDxSjW8cnCaBp","https://api.spotify.com/v1/audio-analysis/5uDASfU19gDxSjW8cnCaBp",177184,4
"17","spotify:track:40yJGQyEaBbIkXpwMFkXip","One Night",79,"https://p.scdn.co/mp3-preview/5f0e6aa0ac5d9dfdaa15764b0d9d698119031a31","Lil Yachty",0.762,0.476,0,-12.686,1,0.114,0.366,0,0.103,0.367,130.007,"audio_features","40yJGQyEaBbIkXpwMFkXip","https://api.spotify.com/v1/tracks/40yJGQyEaBbIkXpwMFkXip","https://api.spotify.com/v1/audio-analysis/40yJGQyEaBbIkXpwMFkXip",243270,4
"18","spotify:track:55OdqrG8WLmsYyY1jijD9b","Wyclef Jean",77,"https://p.scdn.co/mp3-preview/d3eb12d7e4bb7b9d8f150abcd214c10d345b62ee","Young Thug",0.863,0.576,5,-5.687,0,0.239,0.124,0,0.143,0.839,132.054,"audio_features","55OdqrG8WLmsYyY1jijD9b","https://api.spotify.com/v1/tracks/55OdqrG8WLmsYyY1jijD9b","https://api.spotify.com/v1/audio-analysis/55OdqrG8WLmsYyY1jijD9b",236293,4
"19","spotify:track:5oyUurs28XRagLa8lgm6V3","Too Much Sauce",76,"https://p.scdn.co/mp3-preview/e498b3c5b1908d806622d1be4cc278b49a42819f","DJ Esco",0.96,0.547,6,-6.992,0,0.0786,0.0496,0,0.216,0.18,121.01,"audio_features","5oyUurs28XRagLa8lgm6V3","https://api.spotify.com/v1/tracks/5oyUurs28XRagLa8lgm6V3","https://api.spotify.com/v1/audio-analysis/5oyUurs28XRagLa8lgm6V3",223093,4
"20","spotify:track:0AjrdcjDF0nrsoTzOFdXUv","What They Want",51,NA,"Russ",0.827,0.419,1,-10.114,0,0.332,0.448,1.25e-06,0.0964,0.457,140.062,"audio_features","0AjrdcjDF0nrsoTzOFdXUv","https://api.spotify.com/v1/tracks/0AjrdcjDF0nrsoTzOFdXUv","https://api.spotify.com/v1/audio-analysis/0AjrdcjDF0nrsoTzOFdXUv",165930,4
"21","spotify:track:4qdgv45EPcQqpQ08tF34f8","Skateboard P",74,"https://p.scdn.co/mp3-preview/d1b550bddb53c95aee0eb2f348f76934471d7f2e","Madeintyo",0.842,0.498,1,-6.838,0,0.505,0.0747,0,0.123,0.337,150.933,"audio_features","4qdgv45EPcQqpQ08tF34f8","https://api.spotify.com/v1/tracks/4qdgv45EPcQqpQ08tF34f8","https://api.spotify.com/v1/audio-analysis/4qdgv45EPcQqpQ08tF34f8",179507,4
"22","spotify:track:3rZhRBdVQ2fTEM2ULOAwUL","Broccoli",64,"https://p.scdn.co/mp3-preview/4858b2a71d5c356c88960cef3e09923e01365631","D.R.A.M.",0.886,0.525,8,-7.39,1,0.132,0.236,0,0.057,0.711,145.99,"audio_features","3rZhRBdVQ2fTEM2ULOAwUL","https://api.spotify.com/v1/tracks/3rZhRBdVQ2fTEM2ULOAwUL","https://api.spotify.com/v1/audio-analysis/3rZhRBdVQ2fTEM2ULOAwUL",225205,4
"23","spotify:track:5slEM8khwqRaQgvY66nv1x","My Shit",66,"https://p.scdn.co/mp3-preview/d34b573c08d186aabf06f5e02b1fcb82d586c7e5","A Boogie Wit da Hoodie",0.822,0.631,5,-8.305,1,0.0552,0.237,0,0.0922,0.836,77.994,"audio_features","5slEM8khwqRaQgvY66nv1x","https://api.spotify.com/v1/tracks/5slEM8khwqRaQgvY66nv1x","https://api.spotify.com/v1/audio-analysis/5slEM8khwqRaQgvY66nv1x",128085,4
"24","spotify:track:0Di26AbdtizzHkFstPyt7A","No Shopping",75,"https://p.scdn.co/mp3-preview/d08882ee2a49e5895ab813088e30e5b3273537ec","French Montana",0.895,0.491,10,-10.261,0,0.246,0.0144,0.000988,0.143,0.258,83.505,"audio_features","0Di26AbdtizzHkFstPyt7A","https://api.spotify.com/v1/tracks/0Di26AbdtizzHkFstPyt7A","https://api.spotify.com/v1/audio-analysis/0Di26AbdtizzHkFstPyt7A",227727,4
"25","spotify:track:0v9Wz8o0BT8DU38R4ddjeH","No Problem (feat. Lil Wayne & 2 Chainz)",83,"https://p.scdn.co/mp3-preview/01adf736fae9dcac5dc1320daf12d8f58a273f4e","Chance The Rapper",0.652,0.795,11,-5.192,0,0.174,0.156,0,0.123,0.788,135.018,"audio_features","0v9Wz8o0BT8DU38R4ddjeH","https://api.spotify.com/v1/tracks/0v9Wz8o0BT8DU38R4ddjeH","https://api.spotify.com/v1/audio-analysis/0v9Wz8o0BT8DU38R4ddjeH",304607,4
"26","spotify:track:2Vr6FETnu1h4ZoeU0f5XOS","Fake Love",74,"https://p.scdn.co/mp3-preview/66056cfafa3db846b8e4fc86d786029d3d379003","Drake",0.923,0.535,9,-7.353,0,0.301,0.161,0,0.103,0.73,133.942,"audio_features","2Vr6FETnu1h4ZoeU0f5XOS","https://api.spotify.com/v1/tracks/2Vr6FETnu1h4ZoeU0f5XOS","https://api.spotify.com/v1/audio-analysis/2Vr6FETnu1h4ZoeU0f5XOS",207813,4
"27","spotify:track:0sHxp844QRmAnmTRObE2qM","Key to the Streets",70,"https://p.scdn.co/mp3-preview/f040c09fecd4c449a9b63e0876332318ea4652a9","YFN Lucci",0.77,0.691,6,-5.448,0,0.111,0.122,0,0.113,0.274,140.052,"audio_features","0sHxp844QRmAnmTRObE2qM","https://api.spotify.com/v1/tracks/0sHxp844QRmAnmTRObE2qM","https://api.spotify.com/v1/audio-analysis/0sHxp844QRmAnmTRObE2qM",281987,4
"28","spotify:track:4ACaGzqoBvpw3sDAFSStCj","You Know (feat. YFN Lucci)",0,"https://p.scdn.co/mp3-preview/fa5091d24a33c6871b00a6766306a3092e3c3445","Meek Mill",0.376,0.46,0,-6.97,0,0.0653,0.094,0,0.111,0.0393,173.939,"audio_features","4ACaGzqoBvpw3sDAFSStCj","https://api.spotify.com/v1/tracks/4ACaGzqoBvpw3sDAFSStCj","https://api.spotify.com/v1/audio-analysis/4ACaGzqoBvpw3sDAFSStCj",264828,4
"29","spotify:track:0BU7nIcCZxYSE0hYcc5oZz","Too Many Years",75,"https://p.scdn.co/mp3-preview/a874aab078c11f84435100b70f41b090a59fe166","Kodak Black",0.665,0.706,8,-6.859,0,0.0958,0.0237,0,0.112,0.645,147.067,"audio_features","0BU7nIcCZxYSE0hYcc5oZz","https://api.spotify.com/v1/tracks/0BU7nIcCZxYSE0hYcc5oZz","https://api.spotify.com/v1/audio-analysis/0BU7nIcCZxYSE0hYcc5oZz",196336,4
"30","spotify:track:4HUIsMWVGNHsxlhbc3YQ5y","Selfish",70,"https://p.scdn.co/mp3-preview/5c33b7fbb2ca5ee02a7ee3b2278c7c8b46ac16af","PnB Rock",0.638,0.6,1,-5.84,0,0.0438,0.114,0,0.187,0.04,101.981,"audio_features","4HUIsMWVGNHsxlhbc3YQ5y","https://api.spotify.com/v1/tracks/4HUIsMWVGNHsxlhbc3YQ5y","https://api.spotify.com/v1/audio-analysis/4HUIsMWVGNHsxlhbc3YQ5y",245604,4
"31","spotify:track:6w2VaBGWcColW05nZROWvS","To D.R.E.A.M.",71,"https://p.scdn.co/mp3-preview/44fa77dcd373e8bb6575974a1b77503e3c59439c","Tory Lanez",0.617,0.53,7,-8.296,1,0.0703,0.00942,0,0.133,0.096,107.851,"audio_features","6w2VaBGWcColW05nZROWvS","https://api.spotify.com/v1/tracks/6w2VaBGWcColW05nZROWvS","https://api.spotify.com/v1/audio-analysis/6w2VaBGWcColW05nZROWvS",339520,4
"32","spotify:track:5NAMZI9lVhxNa6AZp3iQVH","Pick Up The Phone (feat. Quavo)",17,NA,"Young Thug",0.706,0.716,7,-4.263,0,0.0768,0.115,0,0.316,0.46,136.904,"audio_features","5NAMZI9lVhxNa6AZp3iQVH","https://api.spotify.com/v1/tracks/5NAMZI9lVhxNa6AZp3iQVH","https://api.spotify.com/v1/audio-analysis/5NAMZI9lVhxNa6AZp3iQVH",252263,4
"33","spotify:track:04QJWGv98RZSE4lBOttx5A","Last Time (feat. Travis Scott)",70,"https://p.scdn.co/mp3-preview/deafc0226231f7230408d0e70263ae35462a4f83","Gucci Mane",0.772,0.626,5,-6.354,0,0.0403,0.0534,0,0.204,0.299,137.82,"audio_features","04QJWGv98RZSE4lBOttx5A","https://api.spotify.com/v1/tracks/04QJWGv98RZSE4lBOttx5A","https://api.spotify.com/v1/audio-analysis/04QJWGv98RZSE4lBOttx5A",251060,4
"34","spotify:track:2L92bpT2vGWnvsFvnJMvM8","Spend It",69,"https://p.scdn.co/mp3-preview/e48750af0cfeb8c7551afc1b2fe790bfee809f76","Dae Dae",0.829,0.641,2,-4.433,1,0.0552,0.119,0,0.176,0.0942,139.988,"audio_features","2L92bpT2vGWnvsFvnJMvM8","https://api.spotify.com/v1/tracks/2L92bpT2vGWnvsFvnJMvM8","https://api.spotify.com/v1/audio-analysis/2L92bpT2vGWnvsFvnJMvM8",207991,4
"35","spotify:track:6JvHYmanlC8FdbeiCztcrR","Campaign (feat. Future)",72,"https://p.scdn.co/mp3-preview/5dcfbd3173efdef42a1da1e90ea9d617e94f29d3","Ty Dolla $ign",0.865,0.718,8,-3.882,1,0.204,0.0023,7.62e-05,0.264,0.457,153.548,"audio_features","6JvHYmanlC8FdbeiCztcrR","https://api.spotify.com/v1/tracks/6JvHYmanlC8FdbeiCztcrR","https://api.spotify.com/v1/audio-analysis/6JvHYmanlC8FdbeiCztcrR",237655,4
"36","spotify:track:57wUi9MWkuv5pmVU954OJe","One Hunnid Racks",43,"https://p.scdn.co/mp3-preview/59e93957c7427a77c5ee584e2870b3cd5bfc7035","Future",0.822,0.597,10,-9.846,0,0.174,0.213,0.0528,0.16,0.369,137.018,"audio_features","57wUi9MWkuv5pmVU954OJe","https://api.spotify.com/v1/tracks/57wUi9MWkuv5pmVU954OJe","https://api.spotify.com/v1/audio-analysis/57wUi9MWkuv5pmVU954OJe",265326,4
