"","id","name","genres","group","n_edges","bio","top_track_id","top_track_name","top_track_preview_url","image"
"90","7kFfY4UjNdNyaeUgLIEbIF","Dej Loaf","detroit hip hop, rap, trap music","related",3,"Dej Loaf (stylized as DeJ Loaf), is an American rapper and singer. Born in Detroit, Michigan, she began her music career in 2011 with Ajure Harding and released her debut mixtape Just Do It the following year. In October 2014, her second mixtape, Sell Sole, came out. DeJ Loaf rose to greater popularity in 2014 with her single ""Try Me"", which initially attained viral internet popularity and has since peaked at number 46 on the Billboard Hot 100.

DeJ Loaf was born in Detroit <a href=""https://www.last.fm/music/Dej+Loaf"">Read more on Last.fm</a>","5zBqPjh3vfttJScml99szD","Back Up","https://p.scdn.co/mp3-preview/8181ac7435bd1db23317c87b8941649c29ebb026","https://i.scdn.co/image/ebb2da3d53a7d6320d77e38eaabb17cdaedef435"
"91","7c0XG5cIJTrrAgEC3ULPiq","Ty Dolla $ign","pop rap, rap, trap music","related",4,"Tyrone Griffin (born April 13, 1985), better known by his stage name Ty Dolla Sign (stylized as Ty Dolla $ign or Ty$), is an American singer, rapper and producer from Los Angeles, California. He is currently signed to Wiz Khalifa's Taylor Gang Records and Atlantic Records.

The son of a musician from Lakeside, Ty Dolla $ign originally began his career in music by learning the bass guitar. Since then, he has learned several instruments, from the drums, guitars, and keyboard to the MPC. <a href=""https://www.last.fm/music/Ty+Dolla+$ign"">Read more on Last.fm</a>","7t2bFihaDvhIrd2gn2CWJO","Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) - Remix","https://p.scdn.co/mp3-preview/70f126c139847335bc03c756c55b80c99892268e","https://i.scdn.co/image/ca73ab6ed22ed12fc8136ca41b2270963177cf13"
"92","5dHt1vcEm9qb8fCyLcB3HL","A$AP Ferg","hip hop, pop rap, rap, southern hip hop, trap music","related",7,"Darold Ferguson, Jr. (born October 20, 1988), better known by his stage name ASAP Ferg (stylized as A$AP Ferg), is an American hip hop recording artist from New York City's Harlem neighborhood. He is a member of the hip hop collective A$AP Mob, from which he adopted his moniker. In January 2013, Ferg signed a solo record deal with Polo Grounds and RCA, the same labels that helped launch A$AP Worldwide, when Ferg's A$AP Mob cohorts ASAP Rocky and ASAP Yams, negotiated their own respective deal in 2011. <a href=""https://www.last.fm/music/A$AP+Ferg"">Read more on Last.fm</a>","7xVLFuuYdAvcTfcP3IG3dS","Work REMIX","https://p.scdn.co/mp3-preview/0255172e91edc745416b611a7d77966c6fc9c6eb","https://i.scdn.co/image/cc444207f4302d499b5cf05fac8b8637069c9a23"
"93","6PXS4YHDkKvl1wkIl4V8DL","Fetty Wap","pop rap, rap, trap music","related",3,"Willie Maxwell II (born June 7, 1991), better known by his stage name Fetty Wap, is an American hip hop recording artist from Paterson, New Jersey. He began taking interest in music in 2013. Initially starting off as only a rapper, he later decided to start singing as well because he ""wanted to do something different"". He was nicknamed ""Fetty"" (slang for money) as he was known for making money. ""Wap"" was added to the end of the name to perform under in tribute to Gucci Mane's alias, GuWop. <a href=""https://www.last.fm/music/Fetty+Wap"">Read more on Last.fm</a>","5NQbUaeTEOGdD6hHcre0dZ","679 (feat. Remy Boyz)","https://p.scdn.co/mp3-preview/80fad54c551fb6e366ce5523ca4028361365fcd8","https://i.scdn.co/image/c9da9c8aeee9487838cd997bbc264266ae3d8123"
"94","0bdJZl7TDeiymDYzMJnVh2","P Reign","pop rap, rap, southern hip hop, trap music","related",2," <a href=""https://www.last.fm/music/+noredirect/P+Reign"">Read more on Last.fm</a>","5EMKS6mLi4JprJxy8IGdhT","DnF","https://p.scdn.co/mp3-preview/6379b9c5bbccccf6df861624d129f9a3aa38849e","https://i.scdn.co/image/d0373d714e413602ff733b50bf3dcf3e23dada76"
"95","7Kp7SzuRuNiPFCy7JIwnLx","Ca$h Out","crunk, deep trap, gangster rap, pop rap, rap, southern hip hop, trap music","related",3,"Here is some background information on Ca$h Out from the Cashin Out Songfacts: 
Fulton County, Georgia Native John “Ca$h Out” Gibson started hustling in the streets at the age of 13 and within a few years he’d accumulated enough money to be able to pay for his own apartment. However, that home turned into a drug haven where narcotics were sold and at 18-years-old, Gibson found himself facing a variety of charges and a decade in jail if convicted. <a href=""https://www.last.fm/music/Ca$h+Out"">Read more on Last.fm</a>","1POAx4NMLOBPVKZUSsBh92","Cashin' Out","https://p.scdn.co/mp3-preview/fd02a31e9bfe913ccba49eed94067c5db3aeed2e","https://i.scdn.co/image/3dbf7b0c4ce10796a0476c339b84b3f847a09033"
"96","0T5OJgMVjKIX3b3W3ekqOl","Rocko","crunk, deep trap, dirty south rap, gangster rap, pop rap, rap, southern hip hop, trap music","related",3,"2 Different Rocko's
Rocko is a Rap Artist.
Rocko is a Pop Artist.



Rocko (born Rodney Hill, Jr.) is an American rapper from Atlanta, Georgia. Signed to So So Def/Island Urban Music through his own Rocky Road Records imprint, Rocko's first single, ""Umma Do Me"", was released in late 2007. His album, Self-Made, was released on March 18, 2008.

Outside of his music career, Rocko is the former fiance' of R&B singer Monica, with whom he has two children. <a href=""https://www.last.fm/music/Rocko"">Read more on Last.fm</a>","0HFrCOmhCYXlv4NdEwRAuj","U.O.E.N.O. (feat. Rick Ross, Future)","https://p.scdn.co/mp3-preview/22e168936fab981fc32b9cbbd09201a982090d50","https://i.scdn.co/image/44eeadbc6dad06ed97e94d983c6402a134bfac63"
"97","4TsHKU8l8Wq7n7OPVikirn","Jidenna","rap","related",2,"Jidenna Theodore Mobisson, known synonymously as Jidenna, (born April 5, 1985 in Wisconsin Rapids, Wisconsin)[1] is an American musical artist and performer. He is signed to Wondaland Records and in 2015 released two singles, ""Classic Ma is signed to Janelle Monáe's Wondaland Records label[11] and distributed through Epic Records. He has collaborated with numerous artists, including Roman GianArthur, St. Beauty, Deep Cotton and Janelle Monáe herself, recording a five-song compilation EP titled The Eephus. <a href=""https://www.last.fm/music/Jidenna"">Read more on Last.fm</a>","25gSVIBOWeUqXG8DnzpCCs","Long Live the Chief","https://p.scdn.co/mp3-preview/076ee403d9d8c4af2c8bfa305a4a605c58f34366","https://i.scdn.co/image/79a30da660150653dc4fd30f1970cfb8f1e9f918"
"98","3ZooCJzNMTLpmJaIRUEorI","Young Dro","crunk, deep trap, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap music","related",2,"D'Juan Hart (born January 15, 1979 in Bankhead, Atlanta), better known by his stage name Young Dro, is an American rapper signed to T.I.'s Grand Hustle Records. He released his debut album, I Got That Dro, independently in 2000 under the name Dro before signing with Grand Hustle in 2005. His major label debut, Best Thang Smokin', was released in 2006, and his second album, P.O.L.O (Playas Only Live Once) will be released sometime in 2010.


Born in the notorious Bankhead Court housing project <a href=""https://www.last.fm/music/Young+Dro"">Read more on Last.fm</a>","19fKNXNkmWhuAQyGbxyFXg","FDB","https://p.scdn.co/mp3-preview/ad7ca3b1be14ee97a5c92dcd0ea8a9604c51a9aa","https://i.scdn.co/image/d1c70ecae088fdf85c4305d65b50bbbd87653ee1"
"99","3Y365ZqTf6fJ4ZcRnLKPGt","Gorilla Zoe","crunk, dirty south rap, gangster rap, hip pop, pop rap, rap, southern hip hop, trap music","related",2,"Alonzo Mathis (born November 28, 1980 in Atlanta, Georgia), better known by his stage name Gorilla Zoe, is an American rapper and a member of the Southern rap group Boyz N Da Hood. Signed to Diddy's Bad Boy Entertainment, his debut solo album, Welcome to the Zoo was released in 2007, and his second album Don't Feed Da Animals was released in March of 2009. Gorilla Zoe appears to have a feud with rapper The Game, dissing him on the track ""1 Sluggg"". <a href=""https://www.last.fm/music/Gorilla+Zoe"">Read more on Last.fm</a>","7ytLGF9Ua5g5MylbwtxzZC","Echo","https://p.scdn.co/mp3-preview/1b887bb91c8e1a7e89fd4defd802e492665605de","https://i.scdn.co/image/8db99d441dba8c0f406129796a3c28f58f92360f"
