"dba","inspection.date","camis","boro","zipcode","cuisine.type","score","grade"
"100 FUN",2016-02-19,41111464,"BROOKLYN",11219,"Asian",10,"A"
"100 montaditos",2015-10-07,50003996,"MANHATTAN",10012,"Spanish",11,"A"
"100% SMOOTHIES & EMPANADAS",2016-08-02,50014039,"BRONX",10463,"American",15,"B"
"1001 NIGHTS CAFE",2015-11-06,41456477,"STATEN ISLAND",10314,"American",7,"A"
"101 CAFE",2016-09-19,41458716,"QUEENS",11416,"American",10,"A"
"101 DELI",2016-03-21,40591271,"QUEENS",11694,"Delicatessen",12,"A"
"101 MEAT SHOP",2016-09-01,50018149,"QUEENS",11419,"South Asian (Indian, Pakistani, Afghan, etc)",10,"A"
"1020 BAR",2016-05-23,40401104,"MANHATTAN",10025,"American",13,"A"
"1028 BAR & RESTAURANT EL SALVADORENO",2016-03-31,50016029,"BRONX",10472,"Spanish",2,"A"
"104-01 FOSTER AVENUE COFFEE SHOP(UPS)",2016-03-24,40639261,"BROOKLYN",11236,"Cafe/Coffee/Tea",12,"A"
"1061 CATERING",2015-12-10,50018436,"BROOKLYN",11230,"Jewish/Kosher",13,"A"
"107 WEST RESTAURANT",2016-03-22,40942485,"MANHATTAN",10025,"American",13,"A"
"1080 BREW",2016-06-10,50043863,"QUEENS",11385,"Cafe/Coffee/Tea",12,"A"
"10BELOW ICE CREAM",2016-06-27,50047025,"QUEENS",11354,"Juice/Smoothies/Ice Cream/Yogurt",8,"A"
"10TH AVENUE COOKSHOP",2016-06-09,41092609,"MANHATTAN",10011,"American",12,"A"
"10TH AVENUE PIZZA & CAFE",2016-03-21,40673117,"MANHATTAN",10001,"Pizza",12,"A"
"11 STREET CAFE",2015-10-15,41217083,"MANHATTAN",10014,"Cafe/Coffee/Tea",7,"A"
"111 RESTAURANT",2016-07-01,40884354,"QUEENS",11430,"American",14,"B"
"1174 FULTON CUISINE, HALAL FOOD",2016-08-22,50011784,"BROOKLYN",11216,"Other",7,"A"
"1178 CAFE LLC",2016-06-21,50045391,"BROOKLYN",11221,"Cafe/Coffee/Tea",5,"A"
"118 KITCHEN",2016-09-14,50041601,"MANHATTAN",10029,"American",12,"A"
"12 CHAIRS",2016-07-21,41006043,"MANHATTAN",10012,"American",13,"A"
"12 CHAIRS CAFE",2015-10-23,50018577,"BROOKLYN",11249,"Middle Eastern",10,"A"
"12 CORAZONES RESTAURANT & BAR",2016-09-13,41704440,"QUEENS",11372,"Spanish",25,"B"
"12 CORNERS",2016-03-10,41679424,"MANHATTAN",10002,"Cafe/Coffee/Tea",13,"A"
"12 CORNERS COFFEE",2016-02-22,50018154,"MANHATTAN",10013,"Cafe/Coffee/Tea",7,"A"
"12 STREET ALE HOUSE",2015-07-14,41299113,"MANHATTAN",10003,"American",7,"A"
"120 BAY CAFE",2016-06-10,41646201,"STATEN ISLAND",10301,"American",8,"A"
"121 FULTON STREET",2016-05-05,41628361,"MANHATTAN",10038,"American",5,"A"
"123 NIKKO",2015-10-15,41585586,"MANHATTAN",10027,"Asian",9,"A"
"124 COFFEE SHOP",2016-08-12,50017240,"MANHATTAN",10035,"American",23,"B"
"129 GOURMET DELI",2016-06-21,50038252,"MANHATTAN",10017,"Other",75,"C"
"12TH STREET BAR & GRILL",2016-02-22,41176026,"BROOKLYN",11215,"American",12,"A"
"13106 GRAND EVERGREEN CHINESE RESTAURANT",2016-06-29,50048304,"QUEENS",11420,"Chinese",12,"A"
"132 LOUNGE",2016-08-05,41721733,"BROOKLYN",11201,"American",13,"A"
"149 STEAM FISH",2016-04-07,50006404,"BRONX",10455,"Seafood",25,"B"
"15 CENTRAL PARK WEST RESTAURANT",2016-09-20,50000845,"MANHATTAN",10023,"American",2,"A"
"15 EAST RESTAURANT",2016-06-27,40698892,"MANHATTAN",10003,"Japanese",3,"A"
"15 FLAVORS",2016-06-20,50008676,"BRONX",10461,"Juice/Smoothies/Ice Cream/Yogurt",9,"A"
"16 HANDLES",2016-08-15,41346781,"MANHATTAN",10003,"Juice/Smoothies/Ice Cream/Yogurt",12,"A"
"161 HOT POT RICE",2015-12-23,50040476,"QUEENS",11354,"Asian",12,"A"
"1617-A NATIONAL BAKERY",2015-12-30,41337363,"BRONX",10472,"Bakery",9,"A"
"168 HI TEA",2016-03-15,41721691,"QUEENS",11366,"Chinese",13,"A"
"168 TEA LLC",2015-12-22,50015317,"QUEENS",11368,"Juice/Smoothies/Ice Cream/Yogurt",6,"A"
"169 BAR",2016-05-22,41171181,"MANHATTAN",10002,"American",27,"B"
"16TH AVENUE GLATT",2016-06-15,41406631,"BROOKLYN",11204,"Jewish/Kosher",3,"A"
"178 TACO HOUSE",2015-09-01,50019279,"MANHATTAN",10013,"American",8,"A"
"18 BAKERY",2016-01-13,41390570,"BROOKLYN",11204,"Bakery",6,"A"
"18 CHINESE CUISINE",2015-12-09,41554321,"BROOKLYN",11220,"Chinese",10,"A"
"18 EAST GUNHILL PIZZA",2016-02-08,50004437,"BRONX",10467,"Pizza",12,"A"
"18 HIPOT",2016-07-27,50004846,"BROOKLYN",11214,"Chinese",12,"A"
"18 RESTAURANT",2016-06-23,41478388,"MANHATTAN",10028,"Jewish/Kosher",10,"A"
"18 STARS KITCHEN",2016-09-19,50012606,"BROOKLYN",11214,"Chinese",31,"C"
"1818 SEAFOOD RESTAURANT",2016-06-22,41445737,"BROOKLYN",11229,"Chinese",12,"A"
"1876/BEERS OF BROOKLYN",2016-01-26,41688139,"BROOKLYN",11217,"Other",2,"A"
"19 CAFE",2016-06-02,50015841,"BROOKLYN",11206,"Cafe/Coffee/Tea",13,"A"
"196 LOVING TEA",2016-09-14,50055290,"MANHATTAN",10013,"Cafe/Coffee/Tea",56,"C"
"1A Store Inc",2015-10-20,50014090,"QUEENS",11355,"Cafe/Coffee/Tea",2,"A"
"1ST AVENUE GOURMET",2015-12-02,50000526,"MANHATTAN",10065,"American",9,"A"
"1ST BASE CONCESSION STAND",2016-06-22,41673023,"STATEN ISLAND",10301,"American",12,"A"
"1ST MAMA RESTAURANT",2016-08-18,41631068,"BRONX",10453,"Latin",20,"B"
"2 BACI PIZZERIA",2016-07-12,50035346,"BROOKLYN",11216,"Pizza",6,"A"
"2 BRO'S PIZZA",2015-10-27,50039491,"MANHATTAN",10011,"Pizza",12,"A"
"2 BROS PIZZA",2016-09-09,41722020,"BRONX",10458,"Pizza",12,"A"
"2 BROS PIZZA/JUICE SHOP",2016-09-13,50043752,"MANHATTAN",10035,"Delicatessen",2,"A"
"2 HARLEM BROS PIZZA",2015-09-17,50033988,"MANHATTAN",10039,"Pizza",10,"A"
"2 IN 1 RESTAURANT",2015-12-09,41305701,"BROOKLYN",11234,"Chinese",9,"A"
"2 PALMITAS MEXICAN DELI",2016-02-22,41645481,"QUEENS",11418,"Mexican",9,"A"
"2 WEST RESTAURANT",2016-09-12,41644326,"MANHATTAN",10004,"American",3,"A"
"200 FIFTH AVENUE RESTAURANT & SPORTS BAR",2016-02-11,40385555,"BROOKLYN",11217,"American",13,"A"
"21 BAR",2016-04-12,50044708,"MANHATTAN",10033,"American",7,"A"
"21 CLUB",2015-09-09,40364362,"MANHATTAN",10019,"American",6,"A"
"21 HOME'S KITCHEN",2016-09-15,41398041,"MANHATTAN",10010,"Chinese",26,"B"
"211 NEW TACO GRILL",2015-11-19,41554626,"MANHATTAN",10003,"American",12,"A"
"212 PIZZAMAN",2016-08-30,50049328,"MANHATTAN",10029,"Pizza",11,"A"
"212 SHAWARMA GRILL",2015-07-27,41662741,"BROOKLYN",11215,"Mediterranean",9,"A"
"212 STEAKHOUSE",2015-12-08,50010711,"MANHATTAN",10022,"American",10,"A"
"218 RESTAURANT",2016-06-28,41510846,"MANHATTAN",10013,"Chinese",11,"A"
"22 STR CONCESSION STAND",2016-09-09,50052209,"BROOKLYN",11224,"American",2,"A"
"22 THAI CUISINE",2016-03-15,41295927,"MANHATTAN",10038,"Southeast Asian (Thai, Viet, Malaysia, etc)",11,"A"
"224TH CORNER RESTAURANT & BAKERY",2016-09-08,41625825,"BRONX",10466,"Caribbean",5,"A"
"229 LINDEN RESTAURANT",2016-04-19,50007973,"QUEENS",11411,"Caribbean",10,"A"
"230 FIFTH",2016-06-01,41195733,"MANHATTAN",10001,"American",5,"A"
"234 CHINA CITY",2016-05-28,41241023,"BROOKLYN",11223,"Chinese",8,"A"
"24 HOUR FITNESS #288",2016-03-07,50043959,"QUEENS",11432,"Other",5,"A"
"24 HOUR FITNESS #290",2016-01-27,50043956,"QUEENS",11415,"Juice/Smoothies/Ice Cream/Yogurt",10,"A"
"24 HOUR FITNESS CLUB",2015-11-09,50042806,"BRONX",10463,"Juice/Smoothies/Ice Cream/Yogurt",3,"A"
"24 HOUR FITNESS CLUB #289",2016-08-25,50052395,"BROOKLYN",11223,"Juice/Smoothies/Ice Cream/Yogurt",17,"B"
"24 HOUR FITNESS CLUB 292",2016-08-11,50052389,"BROOKLYN",11226,"Juice/Smoothies/Ice Cream/Yogurt",8,"A"
"2419 CHINA STAR RESTAURANT",2016-08-13,50016875,"BROOKLYN",11210,"Chinese",2,"A"
"241ST CAFE RESTAURANT",2016-04-05,50007100,"BRONX",10470,"American",9,"A"
"242 CAFE BAKERY",2016-05-31,41642333,"MANHATTAN",10013,"Chinese",21,"B"
"25TH DELI",2016-04-12,41040655,"QUEENS",11103,"Delicatessen",4,"A"
"26 SEATS",2015-09-08,41541665,"MANHATTAN",10009,"French",11,"A"
"27 SHINJUKU SUSHI INC",2016-01-29,41666608,"MANHATTAN",10007,"Japanese",7,"A"
"27 SPORTS BAR & CAFE",2016-06-09,41255390,"BRONX",10452,"Latin",22,"B"
"28 MING'S CAFFE",2016-06-10,50039747,"MANHATTAN",10002,"Chinese",9,"A"
"28 NOODLES",2016-06-14,41117050,"MANHATTAN",10016,"Chinese",13,"A"
"2A",2016-08-17,40388784,"MANHATTAN",10009,"American",11,"A"
"2ND AVE BLUE 9 BURGER",2016-04-04,41553986,"MANHATTAN",10021,"American",11,"A"
"2ND AVE DELI",2016-07-25,41288201,"MANHATTAN",10016,"Jewish/Kosher",4,"A"
"2ND AVENUE DELI",2015-07-27,41588604,"MANHATTAN",10021,"Jewish/Kosher",10,"A"
"2ND CITY",2016-06-28,50046212,"MANHATTAN",10014,"Southeast Asian (Thai, Viet, Malaysia, etc)",10,"A"
"3-J RESTAURANT AND PIZZA",2016-03-14,50003350,"BRONX",10455,"Latin",13,"A"
"3 BLACK CATS CAFE/CAKERY",2016-07-13,50051296,"BROOKLYN",11212,"Cafe/Coffee/Tea",4,"A"
"3 BROS 99 CENT PIZZA",2016-09-02,50047029,"QUEENS",11102,"Pizza",0,"A"
"3 D'S LEGACY SALAD & GRILL",2016-07-27,50001890,"BRONX",10460,"Latin",39,"C"
"3 DELI & GRILL",2016-09-19,40592296,"MANHATTAN",10022,"American",12,"A"
"3 ESQUINAS RESTAURANT",2016-08-30,50005533,"BROOKLYN",11206,"Spanish",20,"B"
"3 GREEKS GRILL",2016-05-26,50044646,"QUEENS",11106,"Mediterranean",7,"A"
"3 GUYS",2016-07-26,40391339,"MANHATTAN",10029,"American",5,"A"
"3 GUYS RESTURANT",2016-04-21,40640495,"MANHATTAN",10128,"American",11,"A"
"3 GUYS SUSHI",2016-09-20,50037436,"STATEN ISLAND",10310,"Japanese",19,"B"
"3 IN 1 FS&H JAMAICAN RESTAURANT",2015-11-09,50017143,"QUEENS",11422,"Caribbean",13,"A"
"3 IN 1 KITCHEN",2016-06-29,50049907,"BROOKLYN",11219,"American",13,"A"
"3 ROOTS",2016-03-01,41708446,"BROOKLYN",11222,"Juice/Smoothies/Ice Cream/Yogurt",5,"A"
"3 SHEETS SALOON",2016-05-27,41509130,"MANHATTAN",10012,"American",13,"A"
"3 SISTERS' & SHANTA'S RESTAURANT & BAKERY",2016-05-12,40945190,"QUEENS",11417,"Caribbean",6,"A"
"3 STAR JUICE CENTER",2016-03-08,41063464,"BROOKLYN",11203,"Juice/Smoothies/Ice Cream/Yogurt",9,"A"
"3 WAY RESTAURANT",2016-09-13,50048598,"BRONX",10458,"Spanish",12,"A"
"301 CAFE JUICE AND SMOOTHIES",2016-04-18,50008105,"BRONX",10458,"Juice/Smoothies/Ice Cream/Yogurt",2,"A"
"302 BAR",2016-09-23,40972714,"BROOKLYN",11237,"Spanish",37,"C"
"310 - EXELSIOR",2016-06-07,41395514,"QUEENS",11368,"American",2,"A"
"310 BOWERY BAR",2016-02-02,50041799,"MANHATTAN",10012,"American",8,"A"
"310 DELI & CONVENIENCE",2016-04-13,50045575,"BROOKLYN",11238,"Delicatessen",13,"A"
"31ST AVENUE GYRO.",2016-04-05,50000074,"QUEENS",11103,"Mediterranean",10,"A"
"321 ICE CREAM SHOP",2015-12-03,50038523,"BROOKLYN",11211,"Juice/Smoothies/Ice Cream/Yogurt",2,"A"
"33 CAPTAIN'S CAFE",2016-04-01,50032946,"MANHATTAN",10016,"Cafe/Coffee/Tea",2,"A"
"33 Gourmet",2016-03-07,41325953,"MANHATTAN",10001,"Delicatessen",17,"B"
