"dba","inspection.date","camis","boro","zipcode","cuisine.type","score","grade"
"BONUS ROOM",2016-09-17,50044543,"QUEENS",11385,"American",37,"C"
"BONY'S BAGELS",2016-02-05,40942978,"BROOKLYN",11217,"Bakery",5,"A"
"BOOBIETRAP",2015-10-20,50008811,"BROOKLYN",11237,"American",8,"A"
"Boogatti",2016-06-17,50003658,"QUEENS",11103,"Middle Eastern",15,"B"
"BOOM BOOM ROOM, LE BAIN, THE STANDARD",2016-08-17,41449583,"MANHATTAN",10014,"American",13,"A"
"BOOMER AND CARTON",2016-01-26,41688109,"BROOKLYN",11217,"American",6,"A"
"BOOMERANG",2016-01-20,50041028,"QUEENS",11358,"Korean",13,"A"
"BOOMWICH",2016-01-20,50016433,"BROOKLYN",11201,"Delicatessen",10,"A"
"BOON BY MOLDOVA RESTAURANT",2016-07-15,50051529,"QUEENS",11104,"Other",9,"A"
"BOON CHU #2",2016-09-01,50005684,"QUEENS",11105,"Southeast Asian (Thai, Viet, Malaysia, etc)",10,"A"
"BOON CHU THAI RESTAURANT",2016-02-17,41321253,"QUEENS",11373,"Southeast Asian (Thai, Viet, Malaysia, etc)",9,"A"
"BOON THAI",2016-06-30,50040886,"BROOKLYN",11222,"Southeast Asian (Thai, Viet, Malaysia, etc)",10,"A"
"BOOTH THEATER",2015-11-10,40482586,"MANHATTAN",10036,"American",9,"A"
"BOOTLEG BAR",2015-11-14,50007742,"BROOKLYN",11237,"American",9,"A"
"BOOTLEG MANNINGS",2015-08-11,41374230,"STATEN ISLAND",10303,"American",9,"A"
"BOOTS AND SADDLE",2016-07-12,50035825,"MANHATTAN",10014,"Other",12,"A"
"Boqueria",2016-08-31,41233476,"MANHATTAN",10011,"Spanish",7,"A"
"BOQUERIA",2016-07-18,41383548,"MANHATTAN",10012,"Spanish",11,"A"
"BORDEAUX",2016-06-19,50035140,"BROOKLYN",11230,"American",9,"A"
"BORINQUENYA DELI RESTAURANT",2015-10-03,50037912,"BROOKLYN",11220,"Spanish",3,"A"
"BORN THAI",2015-12-05,41455608,"BROOKLYN",11217,"Southeast Asian (Thai, Viet, Malaysia, etc)",9,"A"
"BORNHOLM",2016-08-05,50053109,"BROOKLYN",11201,"Other",2,"A"
"BORO HOTEL",2015-09-18,50034819,"QUEENS",11101,"American",10,"A"
"BOROUGH RESTAURANT",2016-06-28,41184581,"BROOKLYN",11238,"American",5,"A"
"BOSA OF HARLEM",2016-07-15,50048760,"MANHATTAN",10035,"Pizza",12,"A"
"BOSIE BAKERY",2015-11-02,50013128,"MANHATTAN",10029,"Bakery",6,"A"
"BOSIE PATISSERIE",2016-08-25,50048998,"MANHATTAN",10019,"Cafe/Coffee/Tea",12,"A"
"BOSIE TEA PARLOR",2016-03-28,41568286,"MANHATTAN",10014,"Cafe/Coffee/Tea",2,"A"
"BOSNA EXPRESS",2016-04-29,41183438,"QUEENS",11385,"Other",12,"A"
"BOSS TWEED'S SALOON",2015-07-14,41114235,"MANHATTAN",10002,"American",12,"A"
"BOSSA NOVA CIVIC CLUB",2016-02-19,41703307,"BROOKLYN",11221,"Latin",7,"A"
"BOSTON JERK-CITY RESTAURANT",2016-08-08,40790556,"BROOKLYN",11203,"Caribbean",37,"C"
"BOSTON MARKET",2016-09-09,40786902,"QUEENS",11360,"American",9,"A"
"BOSTON PIZZA",2016-02-22,50042876,"QUEENS",11103,"Pizza",11,"A"
"BOSTON ROAD CHINA",2016-06-13,41598329,"BRONX",10469,"Chinese",7,"A"
"BOTANICA",2016-03-20,41389061,"BROOKLYN",11231,"American",32,"C"
"BOTANICA BAR",2016-03-04,40599004,"MANHATTAN",10012,"American",7,"A"
"BOTICA",2016-07-07,50036390,"BROOKLYN",11222,"Other",22,"B"
"BOTTEGA FALAI",2016-09-20,41586381,"MANHATTAN",10012,"Cafe/Coffee/Tea",20,"B"
"BOTTEGA RESTAURANT",2016-06-15,41639363,"MANHATTAN",10021,"Italian",7,"A"
"BOTTINO",2016-05-23,40617736,"MANHATTAN",10001,"Italian",12,"A"
"BOTTLE AND BINE",2016-01-14,50038068,"MANHATTAN",10022,"American",6,"A"
"BOTTOMS UP/VODKA SODA",2016-01-06,50043885,"MANHATTAN",10036,"American",7,"A"
"BOUCAN",2016-08-25,50054056,"BROOKLYN",11225,"American",4,"A"
"BOUCHON BAKERY",2016-06-23,41170720,"MANHATTAN",10019,"French",2,"A"
"BOUCHON BAKERY ROCKEFELLER",2016-05-10,41578960,"MANHATTAN",10020,"American",4,"A"
"BOULE & CHERIE",2016-02-09,50044140,"MANHATTAN",10023,"Cafe/Coffee/Tea",7,"A"
"BOULEVARD BISTRO",2016-07-21,41710873,"MANHATTAN",10027,"American",8,"A"
"BOULEVARD DELI & RESTAURANT",2016-08-22,40952325,"QUEENS",11101,"American",21,"B"
"BOULEVARD HERO'S",2016-08-08,50052625,"QUEENS",11434,"Other",12,"A"
"BOULEVARD TAVERN",2016-05-27,40849504,"STATEN ISLAND",10312,"American",9,"A"
"BOULEY",2016-05-04,41363296,"MANHATTAN",10013,"French",8,"A"
"Bouley Botanical",2016-03-25,50005224,"MANHATTAN",10013,"French",11,"A"
"BOULTON & WATT",2016-05-16,41707677,"MANHATTAN",10009,"American",23,"B"
"BOULUD SUD",2016-03-16,41578971,"MANHATTAN",10023,"Mediterranean",7,"A"
"BOUNCE",2016-05-05,41067651,"MANHATTAN",10010,"American",9,"A"
"BOURBON SPRINGS",2015-08-25,50040681,"BROOKLYN",11211,"Other",5,"A"
"BOURBON STREET",2016-07-27,40722737,"MANHATTAN",10024,"American",25,"B"
"BOURBON STREET BAR AND GRILLE",2016-06-17,41312094,"MANHATTAN",10036,"American",12,"A"
"Bourgeois Pig",2015-09-11,50016982,"MANHATTAN",10012,"French",12,"A"
"BOUTROS",2016-08-05,50052963,"BROOKLYN",11201,"American",4,"A"
"BOWERY BAY TAVERN",2016-03-10,40958138,"QUEENS",11369,"American",11,"A"
"BOWERY EATS (BOWERY KITCHEN APPLIANCE)",2016-03-18,41172104,"MANHATTAN",10011,"American",2,"A"
"BOWERY ELECTRIC",2016-07-21,40874688,"MANHATTAN",10003,"American",5,"A"
"BOWERY MEAT COMPANY",2016-05-07,50015343,"MANHATTAN",10003,"American",12,"A"
"BOWL 360",2016-09-22,50054023,"QUEENS",11417,"American",22,"B"
"BOWLER LAND",2016-06-24,40539772,"BRONX",10475,"American",4,"A"
"BOWLLIN'",2016-01-26,50043785,"MANHATTAN",10003,"Korean",9,"A"
"BOWLMOR CHELSEA PIERS",2016-05-02,40592285,"MANHATTAN",10011,"American",10,"A"
"BOWLMOR LANE",2016-01-19,41538728,"MANHATTAN",10036,"American",10,"A"
"BOX KITE CAFE",2016-03-07,41430361,"MANHATTAN",10009,"Cafe/Coffee/Tea",7,"A"
"BOX KITE COFFEE",2016-05-10,50032861,"MANHATTAN",10023,"Cafe/Coffee/Tea",7,"A"
"BOXERS NYC",2015-07-30,41486522,"MANHATTAN",10011,"American",13,"A"
"BOZU",2016-03-08,41015818,"BROOKLYN",11211,"Japanese",9,"A"
"BP SUB EXPRESS",2016-07-26,41710474,"BROOKLYN",11219,"Jewish/Kosher",23,"B"
"BRAAI",2016-08-09,50001737,"MANHATTAN",10019,"Other",35,"C"
"BRAD'S CAFE",2016-03-31,41432497,"MANHATTAN",10027,"American",22,"B"
"BRADO THIN CRUST PIZZA",2015-10-01,50037525,"BROOKLYN",11201,"Pizza",6,"A"
"BRADY'S BAR",2016-03-28,40368338,"MANHATTAN",10028,"American",10,"A"
"BRANCACCIO'S FOOD SHOP",2016-08-05,41451985,"BROOKLYN",11218,"Delicatessen",13,"A"
"BRANCH OFC",2015-10-15,50032974,"BROOKLYN",11225,"American",10,"A"
"BRANDED SALOON",2016-01-09,41489197,"BROOKLYN",11238,"American",11,"A"
"BRANDY'S PIANO BAR",2016-01-16,40383511,"MANHATTAN",10028,"American",12,"A"
"BRANDY LIBRARY LOUNGE",2016-01-07,41031832,"MANHATTAN",10013,"French",10,"A"
"BRANSON GOT JUICE",2016-05-04,41687515,"MANHATTAN",10031,"Juice/Smoothies/Ice Cream/Yogurt",5,"A"
"BRASS MONKEY",2016-06-30,41025084,"MANHATTAN",10014,"American",9,"A"
"BRASSERIE 8 1/2",2016-07-27,40949448,"MANHATTAN",10019,"American",8,"A"
"BRASSERIE ATHENEE",2016-09-22,40810174,"MANHATTAN",10036,"Mediterranean",47,"C"
"BRASSERIE COGNAC",2016-08-24,41326351,"MANHATTAN",10019,"French",9,"A"
"BRASSERIE COGNAC EAST",2016-08-09,50000972,"MANHATTAN",10021,"French",12,"A"
"BRASSERIE DU DRAGON",2016-04-27,41319107,"QUEENS",11354,"American",9,"A"
"BRASSERIE LES HALLES",2016-07-21,40870894,"MANHATTAN",10038,"French",12,"A"
"BRASSERIE MAGRITTE",2016-02-16,41697777,"MANHATTAN",10028,"French",11,"A"
"BRASSERIE RUHLMANN",2016-05-09,41149575,"MANHATTAN",10111,"French",9,"A"
"BRASSERIE SEOUL",2016-05-13,50047404,"BROOKLYN",11217,"French",9,"A"
"BRASSIERIE 1605/BROADWAY 49 BAR & LOUNGE (MAIN KITCHEN)",2016-04-19,50001713,"MANHATTAN",10019,"American",12,"A"
"BRAVEST",2016-05-10,41538244,"MANHATTAN",10016,"American",12,"A"
"BRAVO'S RESTAURANT &  CAFE",2016-06-23,40799021,"QUEENS",11385,"Spanish",7,"A"
"BRAVO AFRICAN RESTAURANT",2016-01-07,50011004,"BRONX",10472,"Other",5,"A"
"BRAVO KOSHER PIZZA/BRAVO KOSHER BURGER",2016-05-06,50000467,"MANHATTAN",10006,"Jewish/Kosher",12,"A"
"Bravo Pizza",2016-09-22,50017126,"MANHATTAN",10017,"Pizza",28,"C"
"BRAVO PIZZA",2016-07-27,41512813,"MANHATTAN",10011,"Pizza",33,"C"
"BRAZEN FOX KITCHEN AND BAR",2016-06-21,50000910,"MANHATTAN",10003,"American",12,"A"
"BRAZIL BRAZIL RESTUARANT",2016-02-26,50001124,"MANHATTAN",10036,"Other",8,"A"
"BRAZIL GRILL",2016-05-17,40660413,"MANHATTAN",10036,"Other",12,"A"
"BREAD",2016-09-13,50051332,"MANHATTAN",10012,"Italian",43,"C"
"BREAD & BUTTER",2016-09-23,41705745,"MANHATTAN",10017,"American",36,"C"
"BREAD & COMPANY",2016-05-10,40947348,"MANHATTAN",10017,"American",11,"A"
"BREAD & JOE",2016-04-13,50043911,"BROOKLYN",11215,"Cafe/Coffee/Tea",7,"A"
"BREAD & TULIPS",2016-05-10,41583421,"MANHATTAN",10016,"Italian",13,"A"
"BREAD AND BUTTER CAFE",2016-08-30,41707906,"BRONX",10461,"Cafe/Coffee/Tea",7,"A"
"BREAD AND SPREAD",2016-03-08,50017985,"BROOKLYN",11201,"American",12,"A"
"BREAD BROTHERS BAGEL CAFE",2016-07-20,50013417,"BROOKLYN",11222,"Bakery",10,"A"
"BREAD FACTORY CAFE",2016-09-21,50045578,"MANHATTAN",10036,"Other",30,"C"
"BREAD LOVE",2016-04-14,50044366,"BROOKLYN",11233,"Cafe/Coffee/Tea",13,"A"
"BREAD MARKET CAFE",2016-06-10,40573964,"MANHATTAN",10119,"American",10,"A"
"BREAD PLUS",2016-05-11,41418013,"BROOKLYN",11214,"Bakery",12,"A"
"BREAD TALK",2016-05-02,41583281,"MANHATTAN",10038,"Bakery",15,"B"
"BREAD TO GO",2015-07-30,41679879,"MANHATTAN",10014,"American",12,"A"
"BREADBOX CAFE",2016-06-17,41453626,"QUEENS",11101,"American",7,"A"
"BREADFRUIT TREE CAFE",2015-11-04,50011778,"BROOKLYN",11215,"Cafe/Coffee/Tea",11,"A"
"BREADS BAKERY",2016-06-29,50046273,"MANHATTAN",10023,"Bakery",7,"A"
"BREAK BAR & BILLARDS",2015-11-10,40971873,"QUEENS",11106,"American",9,"A"
"BREAK ROOM",2016-08-04,50003624,"MANHATTAN",10013,"American",9,"A"
"BREEZE CAFE",2015-12-21,41664289,"BROOKLYN",11220,"Juice/Smoothies/Ice Cream/Yogurt",10,"A"
"BREEZES RESTAURANT & LOUNGE",2016-06-01,50045144,"QUEENS",11417,"Italian",6,"A"
"BREEZYDOGS SHAKES AND MORE",2016-06-01,50006597,"QUEENS",11694,"American",7,"A"
"BREIFNE PUB",2016-04-28,41047455,"QUEENS",11358,"European (Irish, English, German, etc)",9,"A"
"BRENDAN'S",2016-03-24,40882849,"MANHATTAN",10001,"American",3,"A"
"BRENDAN'S BAR",2016-09-21,50010300,"QUEENS",11694,"Other",16,"B"
"BRENNAN & CARR",2015-11-19,40366487,"BROOKLYN",11229,"American",9,"A"
"BREUCKELEN COLONY",2016-08-20,41696147,"BROOKLYN",11215,"American",12,"A"
"BREUKELEN BRASSERIE",2016-06-12,50038638,"BROOKLYN",11216,"French",40,"C"
"BREW COFFEEHOUSE",2016-04-20,41670350,"BRONX",10465,"Cafe/Coffee/Tea",7,"A"
"BREWKLYN GRIND COFFEE",2016-08-01,50013522,"BROOKLYN",11205,"Cafe/Coffee/Tea",7,"A"
"BREWSHOT",2016-09-09,50046608,"BROOKLYN",11215,"Cafe/Coffee/Tea",23,"B"
"BREWSKI'S BAR & GRILL",2016-04-20,41653860,"BRONX",10465,"American",13,"A"
"BRGR",2016-08-22,41575026,"MANHATTAN",10065,"American",25,"B"
"BRIAN DEMPSEY'S ALE HOUSE",2016-08-02,41216872,"QUEENS",11361,"European (Irish, English, German, etc)",7,"A"
"BRIARWOOD CAFE",2016-08-31,50044423,"QUEENS",11435,"American",7,"A"
"BRICCO RESTAURANT",2016-06-20,40561162,"MANHATTAN",10019,"Italian",21,"B"
"BRICIOLA",2016-03-02,41638553,"MANHATTAN",10019,"Italian",13,"A"
"BRICK OVEN BREAD",2016-08-29,41686771,"BROOKLYN",11235,"Bakery",2,"A"
"BRICK OVEN BREAD BERIKONI",2016-09-06,50000062,"BROOKLYN",11235,"Other",12,"A"
"BRICK OVEN PIZZA 33",2016-04-27,40837605,"MANHATTAN",10016,"Pizza",12,"A"
"BRICK PIZZERIA, NATHAN'S FAMOUS HOT DOGS",2015-12-30,41420758,"BROOKLYN",11203,"Pizza",9,"A"
"BRICKHOUSE PIZZERIA",2016-06-15,50000885,"BROOKLYN",11211,"Italian",10,"A"
"BRICKLANE CURRY HOUSE",2016-02-29,50011919,"MANHATTAN",10003,"South Asian (Indian, Pakistani, Afghan, etc)",12,"A"
"BRICKTOWN BAGELS & CAFE",2016-09-16,50018356,"QUEENS",11101,"Bakery",12,"A"
"BRICKYARD GASTRO PUB",2016-09-22,41478393,"MANHATTAN",10019,"American",15,"B"
"BRICOLAGE",2016-05-26,50018819,"BROOKLYN",11217,"Southeast Asian (Thai, Viet, Malaysia, etc)",12,"A"
"BRIDGE COFFEE SHOP",2016-02-23,41161770,"BROOKLYN",11201,"Spanish",12,"A"
"BRIDGES BAR",2016-04-06,41251541,"BRONX",10465,"American",11,"A"
"BRIDGEVIEW DINER",2016-09-13,50042632,"BROOKLYN",11209,"American",20,"B"
"BRIDIES BAR AND GRILL",2016-04-30,41167181,"QUEENS",11374,"American",9,"A"
"Brigadeiro Bakery",2016-04-22,50017826,"MANHATTAN",10012,"Bakery",5,"A"
"BRIGHT STAR CHINESE FOOD",2016-01-04,40992677,"BRONX",10467,"Chinese",7,"A"
"BRIK BAR LOUNGE & KITCHEN",2016-01-14,50012102,"QUEENS",11103,"American",9,"A"
"BRINDLE ROOM",2016-03-14,41469996,"MANHATTAN",10009,"American",47,"C"
"BRINKLEY'S/SOUTHSIDE",2015-10-28,41217980,"MANHATTAN",10013,"American",4,"A"
"BRIOSO RISTORANTE",2016-05-04,40608702,"STATEN ISLAND",10306,"Italian",10,"A"
"BRISAS DEL CARIBE",2016-06-23,41415845,"BRONX",10462,"Latin",11,"A"
"BRISAS DEL MAR RESTAURANT",2016-08-03,41333749,"QUEENS",11694,"Latin",7,"A"
"BRISAS DEL MAR SEAFOOD MARKET",2016-05-20,41488795,"MANHATTAN",10029,"Seafood",13,"A"
"BRISAS EXPRESS RESTAURANT",2016-08-22,41438494,"BRONX",10462,"Latin",26,"B"
"BRITAIN INDIAN RESTAURANT",2016-06-21,40944839,"BROOKLYN",11201,"South Asian (Indian, Pakistani, Afghan, etc)",6,"A"
"BRITTANYA 54TH AT AMERITANIA HOTEL",2016-07-06,41696687,"MANHATTAN",10019,"American",9,"A"
"BROADHURST THEATER",2016-05-24,40482596,"MANHATTAN",10036,"American",10,"A"
"BROADWAY AU LAIT",2016-07-08,41085105,"MANHATTAN",10027,"Other",7,"A"
"BROADWAY BAGEL",2016-09-20,40586239,"MANHATTAN",10025,"Bakery",12,"A"
"BROADWAY BAKERY",2016-09-15,50011626,"QUEENS",11373,"Chinese",24,"B"
"BROADWAY BAKERY & PIZZA",2016-06-28,50049293,"QUEENS",11419,"Pizza",12,"A"
"BROADWAY BAKERY & PIZZERIA",2015-12-04,41480825,"QUEENS",11419,"American",12,"A"
"BROADWAY CAFE",2016-07-15,50001019,"MANHATTAN",10010,"Delicatessen",21,"B"
"BROADWAY CHINA STATION",2016-03-17,41655130,"QUEENS",11106,"Chinese",9,"A"
"BROADWAY CHINESE KITCHEN",2016-03-10,41618644,"BRONX",10471,"Chinese",24,"B"
"BROADWAY CHINESE SEAFOOD",2016-09-12,41687795,"QUEENS",11373,"Chinese",2,"A"
"BROADWAY COFFEE SHOP",2015-12-03,50036337,"BROOKLYN",11206,"American",9,"A"
"BROADWAY COMEDY CLUB",2016-02-26,41222832,"MANHATTAN",10019,"American",13,"A"
"BROADWAY DELI & BAGEL'S",2016-05-03,40931920,"MANHATTAN",10036,"Delicatessen",11,"A"
"BROADWAY DIVE",2016-05-02,40401422,"MANHATTAN",10025,"American",7,"A"
"BROADWAY FOOD MART",2016-02-17,50035606,"QUEENS",11373,"Cafe/Coffee/Tea",12,"A"
"BROADWAY GOURMET",2016-04-29,41345052,"MANHATTAN",10012,"American",9,"A"
"BROADWAY JOE'S PIZZA",2015-09-29,50011906,"BRONX",10471,"Pizza",7,"A"
"BROADWAY LOUNGE",2016-05-13,40750275,"MANHATTAN",10036,"American",4,"A"
"Broadway Pizza",2016-05-16,50035061,"MANHATTAN",10001,"Pizza",11,"A"
"BROADWAY PIZZA",2016-06-07,41244057,"BROOKLYN",11221,"Pizza",9,"A"
"BROADWAY PIZZA & PASTA",2016-05-03,40863575,"BRONX",10463,"Pizza",13,"A"
"BROADWAY RESTAURANT",2016-05-02,40378136,"MANHATTAN",10025,"American",12,"A"
"BROADWAY SNACKS",2016-04-22,50045323,"QUEENS",11373,"Chinese",12,"A"
"BROADWAY STATION",2015-12-23,40395480,"QUEENS",11106,"American",8,"A"
"BROADWAY THAI @TOM & TOON",2016-03-26,41490270,"MANHATTAN",10019,"Southeast Asian (Thai, Viet, Malaysia, etc)",7,"A"
"BROADWAY THEATRE",2016-05-05,40482597,"MANHATTAN",10019,"American",4,"A"
"BROCCOLINO",2016-04-14,41719935,"BROOKLYN",11217,"Italian",12,"A"
"BROKEN LAND",2015-09-10,50000267,"BROOKLYN",11222,"American",9,"A"
"BROKEN SPOKE ROTISSERIE",2015-08-13,50039059,"MANHATTAN",10016,"American",8,"A"
"BROMPTON CAFE",2016-04-07,50017560,"BROOKLYN",11249,"Cafe/Coffee/Tea",10,"A"
"BRONX ALEHOUSE",2016-09-22,41422704,"BRONX",10463,"American",12,"A"
"BRONX BBQ PIT & GASTROPUB",2016-06-22,41643105,"BRONX",10463,"American",12,"A"
"BRONX BURGER HOUSE",2016-03-02,41577394,"BRONX",10471,"American",13,"A"
"BRONX DRAFTHOUSE",2016-09-08,50048905,"BRONX",10452,"American",26,"B"
"BRONX GRILL",2016-08-22,40369601,"BRONX",10462,"American",27,"B"
"BRONX LALA PIZZA",2015-12-09,41611175,"BRONX",10451,"Pizza",12,"A"
"BRONX PIZZA",2016-05-03,50018854,"BRONX",10467,"Pizza",8,"A"
"BRONX UPTOWN",2016-06-07,41436121,"BRONX",10466,"Caribbean",13,"A"
"BRONX UPTOWN SEAFOOD MARKET",2015-10-28,41704910,"BRONX",10466,"Caribbean",10,"A"
"BROOK AVENUE DELI & PIZZA",2016-04-07,41179165,"BRONX",10454,"Pizza",12,"A"
"BROOKDALE",2016-03-10,40789156,"MANHATTAN",10282,"American",7,"A"
"BROOKFIELD PLACE CONFERENCE CENTER",2015-09-04,50039432,"MANHATTAN",10281,"American",0,"A"
"BROOKLYN  CAFE",2016-09-12,41587168,"BROOKLYN",11206,"American",18,"B"
"BROOKLYN ACADEMY OF MUSIC-HARVEY",2016-05-29,41533094,"BROOKLYN",11217,"American",7,"A"
"BROOKLYN ATE BAR",2016-05-21,50034669,"BROOKLYN",11222,"American",7,"A"
"BROOKLYN BABY CAKES",2016-01-19,41694691,"BROOKLYN",11216,"Bakery",12,"A"
"BROOKLYN BAGEL & COFFEE COMPANY",2016-02-29,40917525,"QUEENS",11106,"American",13,"A"
"BROOKLYN BAGELS",2016-04-13,50044832,"BROOKLYN",11217,"Bakery",20,"B"
"BROOKLYN BANGERS & DOGS",2016-01-26,41688149,"BROOKLYN",11217,"Delicatessen",9,"A"
"BROOKLYN BANH MI",2016-07-21,50039428,"BROOKLYN",11211,"Delicatessen",9,"A"
"BROOKLYN BARGE BAR",2016-06-14,50051156,"BROOKLYN",11222,"Other",0,"A"
"BROOKLYN BEER GARDEN",2015-11-05,50002433,"QUEENS",11430,"European (Irish, English, German, etc)",9,"A"
"BROOKLYN BEET COMPANY",2016-06-02,41721701,"BROOKLYN",11209,"Other",9,"A"
"BROOKLYN BITES",2016-06-07,50018111,"BROOKLYN",11225,"Pizza",9,"A"
"BROOKLYN BLEND",2016-03-03,50035492,"BROOKLYN",11206,"Juice/Smoothies/Ice Cream/Yogurt",10,"A"
"BROOKLYN BOWL",2016-02-16,41420128,"BROOKLYN",11249,"American",13,"A"
"BROOKLYN BREAD LAB",2016-02-04,50043803,"BROOKLYN",11206,"Bakery",12,"A"
"BROOKLYN BREWHOUSE",2016-01-20,50000410,"BROOKLYN",11201,"American",10,"A"
"BROOKLYN BRIDGE CAFE",2016-03-10,50017554,"BROOKLYN",11201,"American",11,"A"
"BROOKLYN BRIDGE GARDEN BAR",2016-04-18,41495616,"BROOKLYN",11201,"American",7,"A"
"BROOKLYN BURGER",2016-01-26,41688165,"BROOKLYN",11217,"American",12,"A"
"BROOKLYN BURGER & BEER RESTAURANT",2016-08-04,50033494,"BROOKLYN",11215,"American",9,"A"
"BROOKLYN BURGER SHACK",2016-06-21,50047663,"BROOKLYN",11223,"American",7,"A"
"BROOKLYN BUSCHENSCHANK",2016-07-13,41612015,"BROOKLYN",11231,"European (Irish, English, German, etc)",19,"B"
"BROOKLYN CAFE 1",2016-04-14,50037419,"BROOKLYN",11212,"Cafe/Coffee/Tea",10,"A"
"BROOKLYN COMFORT",2015-09-02,50004043,"BROOKLYN",11218,"American",9,"A"
"BROOKLYN COMMUNE",2016-04-08,41529889,"BROOKLYN",11218,"Delicatessen",10,"A"
"BROOKLYN CRAB",2016-05-24,41654607,"BROOKLYN",11231,"Seafood",5,"A"
"BROOKLYN CREPE AND JUICE",2016-02-11,41667382,"BROOKLYN",11217,"American",7,"A"
"BROOKLYN CUPCAKE",2016-08-16,41579178,"BROOKLYN",11211,"Bakery",10,"A"
"BROOKLYN CUPS",2016-07-27,50053211,"BROOKLYN",11212,"Cafe/Coffee/Tea",0,"A"
"BROOKLYN DELIGHT",2015-10-01,50036877,"BROOKLYN",11230,"Jewish/Kosher",8,"A"
"BROOKLYN DIAMOND COFFEE",2016-03-16,50043319,"MANHATTAN",10022,"Cafe/Coffee/Tea",13,"A"
"BROOKLYN DINER",2015-10-30,40401934,"MANHATTAN",10106,"American",2,"A"
"BROOKLYN EXPOSURE",2016-09-24,41046353,"BROOKLYN",11216,"American",20,"B"
"BROOKLYN FARE KITCHEN",2016-05-04,50000077,"BROOKLYN",11201,"American",3,"A"
"BROOKLYN FARMACY AND SODA FOUNTAIN",2016-09-08,41494987,"BROOKLYN",11231,"American",35,"C"
"BROOKLYN GREENERY",2016-04-07,50017438,"BROOKLYN",11225,"Juice/Smoothies/Ice Cream/Yogurt",4,"A"
"BROOKLYN HEIGHTS WINE BAR",2016-07-27,41388348,"BROOKLYN",11201,"American",7,"A"
"BROOKLYN ICE CREAM FACTORY",2016-05-24,40853290,"BROOKLYN",11201,"Juice/Smoothies/Ice Cream/Yogurt",2,"A"
"BROOKLYN ICE HOUSE",2016-05-26,41323299,"BROOKLYN",11231,"American",12,"A"
"BROOKLYN JAZZ & SPORTS CLUB",2016-09-12,50040930,"BROOKLYN",11203,"American",9,"A"
"BROOKLYN JUICE BAR",2016-08-22,50043259,"BROOKLYN",11239,"Juice/Smoothies/Ice Cream/Yogurt",5,"A"
"BROOKLYN KAVA",2016-05-24,50045793,"BROOKLYN",11237,"Cafe/Coffee/Tea",11,"A"
"BROOKLYN KETTLE",2016-07-12,50046011,"BROOKLYN",11216,"Cafe/Coffee/Tea",12,"A"
"BROOKLYN KOLACHE CO",2016-09-23,41652878,"BROOKLYN",11205,"Cafe/Coffee/Tea",7,"A"
"BROOKLYN LANTERN",2016-08-30,50035982,"BROOKLYN",11222,"American",10,"A"
"BROOKLYN MAC",2016-04-12,41619953,"BROOKLYN",11206,"American",9,"A"
"BROOKLYN MOON CAFE",2016-04-21,40534912,"BROOKLYN",11217,"Caribbean",12,"A"
"BROOKLYN NATIONAL DELI",2016-06-09,41107847,"QUEENS",11430,"Delicatessen",12,"A"
"BROOKLYN NIGHTS",2016-06-06,50036761,"BROOKLYN",11205,"American",33,"C"
"BROOKLYN OENOLOGY",2016-04-26,41536997,"BROOKLYN",11211,"American",4,"A"
"BROOKLYN PIZZERIA",2016-07-01,50045291,"BROOKLYN",11213,"Pizza",2,"A"
"BROOKLYN PUB",2016-04-23,41475295,"BROOKLYN",11215,"American",11,"A"
"BROOKLYN PUBLIC HOUSE",2016-06-11,50011572,"BROOKLYN",11205,"American",14,"B"
"BROOKLYN ROASTING WORKS",2016-04-22,50033668,"MANHATTAN",10010,"Cafe/Coffee/Tea",13,"A"
"BROOKLYN ROASTING WORKS LLC",2016-08-30,50051810,"BROOKLYN",11222,"Cafe/Coffee/Tea",30,"C"
"BROOKLYN ROTISSERIE CHICKEN",2016-06-20,50035886,"BROOKLYN",11212,"Other",12,"A"
"BROOKLYN SAFE HOUSE",2016-06-23,50005214,"BROOKLYN",11222,"American",17,"B"
"BROOKLYN SOCIAL",2015-10-01,41017876,"BROOKLYN",11231,"American",12,"A"
"BROOKLYN SODAWORKS",2016-05-04,50035080,"MANHATTAN",10011,"Other",9,"A"
"BROOKLYN SOUL FOOD",2016-03-06,50043567,"BROOKLYN",11226,"Caribbean",12,"A"
"BROOKLYN STEAK CO.",2016-03-16,50004901,"BROOKLYN",11230,"Jewish/Kosher",16,"B"
"BROOKLYN STOOPS",2016-08-26,41533453,"BROOKLYN",11205,"American",21,"B"
"BROOKLYN SWIRL",2015-10-27,41672700,"BROOKLYN",11216,"Juice/Smoothies/Ice Cream/Yogurt",13,"A"
"BROOKLYN TAP HOUSE",2016-06-25,41623893,"BROOKLYN",11205,"American",7,"A"
"BROOKLYN WINE YARD",2016-03-16,50005689,"BROOKLYN",11238,"American",13,"A"
"BROOKLYN WINERY",2016-03-03,41519403,"BROOKLYN",11211,"American",12,"A"
"BROOKLYN WRAP",2016-09-20,50037527,"BROOKLYN",11234,"Delicatessen",38,"C"
"BROOKLYNEER",2016-01-21,41530089,"MANHATTAN",10014,"American",12,"A"
"BROOKLYNS FINEST PIZZA & RESTAURANT",2016-08-23,41572685,"STATEN ISLAND",10305,"Pizza",23,"B"
