num_results,results,author
4,"Abraham Lincoln,Abraham Lincoln, (Top 10)
,Abraham Polonsky",Abraham Lincoln
1,Andrei Tarkovsky,Andrei Tarkovsky
4,"Aristotle,Aristotle, (Top 10)
,Aristotle Onassis",Aristotle
1,Andre Agassi,Andre Agassi
3,"Aldous Huxley,Aldous Huxley, (Top 10)
",Aldous Huxley
3,"Albert Einstein,Albert Einstein, (Top 10)
",Albert Einstein
3,"Arthur Schopenhauer,Arthur Schopenhauer, (Top 10)
",Arthur Schopenhauer
3,"Ayn Rand,Ayn Rand, (Top 10)
",Ayn Rand
1,Alexander the Great,Alexander the Great
3,"Alfred Hitchcock,Alfred Hitchcock, (Top 10)
",Alfred Hitchcock
3,"Andy Warhol,Andy Warhol, (Top 10)
",Andy Warhol
1,Alfred Nobel,Alfred Nobel
1,Alexander Graham Bell,Alexander Graham Bell
1,Akira Kurosawa,Akira Kurosawa
1,A. A. Milne,A. A. Milne
1,Melvil Dewey,Melvil Dewey
1,Albert Speer,Albert Speer
1,Anna Kournikova,Anna Kournikova
1,Ada Lovelace,Ada Lovelace
3,"Albert Camus,Albert Camus, (Top 10)
",Albert Camus
3,"Agatha Christie,Agatha Christie, (Top 10)
",Agatha Christie
1,Allen Ginsberg,Allen Ginsberg
5,"Hank Aaron,Aaron Rodgers,Aaron Copland,Aaron Carter,Aaron Johnson",Aaron
1,Anatoly Karpov,Anatoly Karpov
1,Aristophanes,Aristophanes
3,"Albert Schweitzer,Albert Schweitzer, (Top 10)
",Albert Schweitzer
1,Alexis Carrel,Alexis Carrel
3,"Anatole France,Anatole France, (Top 10)
",Anatole France
1,Avicenna,Avicenna
1,Aleister Crowley,Aleister Crowley
1,Alan Turing,Alan Turing
2,"Mackenzie Astin,Alexander Mackenzie",Alexander Mackenzie
8,"Frederick Douglass,Charles Lindbergh,Augustus,Augustus Hare,Tiberius,Augustus Baldwin Longstreet,Catfish Hunter,Augustus Y. Napier",Augustus
1,Alcuin,Alcuin
9,"Ambrose Bierce,Ambrose Bierce, (Top 10)
,Saint Ambrose,Rick James,Stephen Ambrose,Lauren Ambrose,John Ambrose Fleming,Ambrose Burnside",Ambrose
6,"Abraham Maslow,Abraham Joshua Heschel,Abraham Polonsky,Abraham A. Ribicoff,Abraham Clark,Abraham Flexner",Abraham
2,"Hirohito,Marton Csokas",Ashoka
1,Alfred Russel Wallace,Alfred Russel Wallace
2,"Duke,Prussia","Albert I, Duke of Prussia"
1,Albion W. Small,Alboin
1,Alcaeus,Alcaeus
2,"A. A. Milne,Alexander the Great",Alexander Balas
1,Alexander the Great,Alexander II of Russia
1,Alexander the Great,Alexander I of Scotland
2,"Russia,III",Alexander III of Russia
1,Alexander the Great,Alexander I of Serbia
1,Alexander the Great,Alexander II of Scotland
1,Alexander the Great,Alexander Severus
2,"Scotland,III",Alexander III of Scotland
5,"Andrew Jackson,Andrew Jackson, (Top 10)
,Andrew Young,Jack Whittaker",Andrew Jackson
1,Andrew Johnson,Andrew Johnson
3,"Aleksandr Solzhenitsyn,Aleksandr Solzhenitsyn, (Top 10)
",Aleksandr Solzhenitsyn
1,Alfred Lord Tennyson,Alfred the Great
1,Ananda Krishnan,Ananda
3,"Abu Bakr,Abu Bakr, (Top 10)
",Abu Bakr
1,Anaxagoras,Anaxagoras
1,Alexander the Great,Alexander Selkirk
1,Arnold Schwarzenegger,Arnold Schwarzenegger
1,Antoine Lavoisier,Antoine Lavoisier
3,"Adam Smith,Adam Smith, (Top 10)
",Adam Smith
1,Amitabh Bachchan,Amitabh Bachchan
1,Archimedes,Archimedes
1,Alfred Jarry,Alfred Jarry
1,Alexander Fleming,Alexander Fleming
1,Alessandro Del Piero,Alessandro Volta
3,"Andrew Carnegie,Andrew Carnegie, (Top 10)
",Andrew Carnegie
1,Alvar Aalto,Alvar Aalto
3,"Aeschylus,Aeschylus, (Top 10)
",Aeschylus
1,Andrew Wiles,Andrew Wiles
1,Alexander Grothendieck,Alexander Grothendieck
1,Saint Augustine,Augustine of Hippo
1,Auguste Rodin,Auguste Rodin
1,Adam Weishaupt,Adam Weishaupt
1,Joe Garagiola,Joseph Henry
1,Niels Bohr,Aage Niels Bohr
1,Arthur Eddington,Arthur Stanley Eddington
1,Paul Krugman,Paul Krugman
1,Akio Morita,Akio Morita
1,Alessandro Del Piero,Alessandro Scarlatti
1,Alban Berg,Alban Berg
1,Anthony Hopkins,Anthony Hopkins
1,Alberto Giacometti,Alberto Giacometti
3,"Anton Chekhov,Anton Chekhov, (Top 10)
",Anton Chekhov
1,Alexander the Great,Alexander Kerensky
1,A. R. Rahman,Abd ar-Rahman I
1,Andrei Sakharov,Andrei Sakharov
3,"Aung San Suu Kyi,Aung San Suu Kyi, (Top 10)
",Aung San Suu Kyi
2,"Charles,Duke","Archduke Charles, Duke of Teschen"
