"","country","population","natural.gas.consumption","coal.consumption","CO2.emission"
"127","Luxembourg","0.49178","0.04907","0.00303","10.57964"
"128","Macau","0.55985","0","0","2.42425"
"129","Macedonia","2.06672","0.00287","0.05559","7.37907"
"130","Madagascar","20.65356","0","0.00026","3.18225"
"131","Malawi","15.02876","0","0.00167","1.28248"
"132","Malaysia","27.81787","1.15799","0.41496","149.60402"
"133","Maldives","0.39633","0","0","0.91895"
"134","Mali","13.44323","0","0","0.74474"
"135","Malta","0.40517","0","0.00001","3.09631"
"136","Martinique","0.426","0","0","2.6068"
"137","Mauritania","3.12949","0","0","2.9026"
"138","Mauritius","1.28426","0","0.01256","4.5454"
"139","Mexico","111.21179","2.14732","0.3365","443.61223"
"141","Moldova","4.32075","0.08541","0.00335","7.04125"
"142","Mongolia","3.04114","0","0.05754","7.38733"
"143","Montenegro","0.67218","0","0.0131","1.9411"
"144","Montserrat","0.0051","0","0","0.1471"
"145","Morocco","31.28517","0.02071","0.11272","36.42155"
"146","Mozambique","21.66928","0.00555","0.00082","2.33321"
"147","Namibia","2.10866","0","0.00436","4.08023"
"148","Nauru","0.00921","0","0","0.20282"
"149","Nepal","28.56338","0","0.0081","3.42699"
"150","Netherlands","16.716","1.54748","0.30612","248.90677"
"151","Netherlands Antilles","0.22705","0","0","10.16299"
"152","New Caledonia","0.24841","0","0.00769","3.02664"
"153","New Zealand","4.21126","0.15389","0.08164","39.06708"
"154","Nicaragua","5.8912","0","0.00184","4.37078"
"155","Niger","15.30625","0","0.00461","1.33876"
"156","Nigeria","149.22909","0.15345","0.0002","78.18743"
"157","Niue","0.00216","0","0","0.0056"
"159","Norway","4.66054","0.24597","0.02338","39.58032"
"160","Oman","2.90963","0.54464","0","48.89456"
"161","Pakistan","181.45728","1.18659","0.19257","140.33217"
"162","Palestine","4.01313","0","0","3.14101"
"163","Panama","3.36047","0","0.0017","15.2399"
"164","Papua New Guinea","5.94078","0.0037","0","4.85538"
"165","Paraguay","6.29088","0","0.00001","3.96916"
"166","Peru","29.54696","0.14779","0.04483","35.62524"
"167","Philippines","97.9766","0.11425","0.23269","72.03971"
"168","Poland","38.48292","0.52655","2.30705","285.78523"
"169","Portugal","10.70792","0.18232","0.11907","56.54812"
"170","Puerto Rico","3.96729","0.02798","0.03844","33.26164"
"171","Qatar","0.83329","0.78017","0","63.64327"
"172","Reunion","0.76615","0","0","2.82325"
"173","Romania","22.01182","0.45132","0.30543","80.01236"
"174","Russia","140.04125","15.92811","3.7135","1556.66071"
"175","Rwanda","10.74631","0","0","0.72452"
"176","Saint Helena","0.00764","0","0","0.01506"
"177","Saint Kitts and Nevis","0.04948","0","0","0.30349"
"178","Saint Lucia","0.16027","0","0","0.43082"
"179","Saint Pierre and Miquelon","0.006","0","0","0.10685"
"180","Saint Vincent/Grenadines","0.10457","0","0","0.26605"
"181","Samoa","0.1909","0","0","0.14742"
"182","Sao Tome and Principe","0.1721","0","0","0.15025"
"183","Saudi Arabia","25.32887","2.90067","0","438.24683"
"184","Senegal","12.00807","0.00159","0.00651","6.19294"
"185","Serbia","9.18418","0.06194","0.36923","50.05296"
"186","Seychelles","0.08748","0","0","1.08967"
"187","Sierra Leone","5.13214","0","0","1.33469"
"188","Singapore","4.65754","0.29802","0.00016","156.35202"
"189","Slovakia","5.46305","0.19498","0.15213","35.75103"
"190","Slovenia","2.00569","0.03667","0.06793","17.38153"
"191","Solomon Islands","0.54649","0","0","0.28719"
"192","Somalia","9.83202","0","0","0.89746"
