"","country","population","natural.gas.consumption","coal.consumption"
"1","Afghanistan","18.28771","0.01109","0.00126"
"3","Albania","3.11116","0.00111","0.00161"
"4","Algeria","27.52148","0.81468","0.02457"
"5","American Samoa","0.05273","0","0"
"6","Angola","9.17228","0.01922","0"
"7","Antarctica",NA,"0","0"
"8","Antigua and Barbuda","0.06749","0","0"
"9","Argentina","34.84689","0.89493","0.04565"
"10","Armenia","3.12609","0.05916","0.001"
"11","Aruba","0.07785","0","0"
"13","Australia","17.78109","0.68776","1.49433"
"14","Austria","8.02754","0.25764","0.11531"
"15","Azerbaijan","7.49498","0.34756","0.00016"
"16","Bahamas, The","0.26151","0","0"
"17","Bahrain","0.55868","0.23996","0"
"18","Bangladesh","119.51509","0.23226","0.00117"
"19","Barbados","0.26663","0.00082","0"
"20","Belarus","10.23835","0.516","0.03071"
"21","Belgium","10.12291","0.42589","0.35726"
"22","Belize","0.21155","0","0"
"23","Benin","5.48815","0","0"
"24","Bermuda","0.05975","0","0"
"25","Bhutan","0.57472","0","0.00121"
"26","Bolivia","7.21481","0.03496","0"
"27","Bosnia and Herzegovina","3.78498","0.01451","0.01228"
"28","Botswana","1.43369","0","0.0221"
"29","Brazil","161.01706","0.15829","0.36686"
"30","Brunei","0.2805","0.02853","0"
"31","Bulgaria","8.35334","0.16642","0.23283"
"32","Burkina Faso","9.57065","0","0"
"33","Burma (Myanmar)","43.21759","0.05323","0.00137"
"34","Burundi","5.74968","0","0"
"35","Cambodia","10.97424","0","0"
"36","Cameroon","13.26417","0","0.00002"
"37","Canada","29.33081","2.83341","1.24492"
"38","Cape Verde","0.37592","0","0"
"39","Cayman Islands","0.0313","0","0"
"41","Central African Republic","3.46585","0","0"
"42","Chad","6.49669","0","0"
"43","Chile","14.00122","0.06851","0.0837"
"44","China","1203.80174","0.656","25.02784"
"45","Colombia","35.88762","0.15092","0.12965"
"46","Comoros","0.48226","0","0"
"47","Republic of the Congo","2.57029","0","0"
"48","Democratic Republic of the Congo","44.48648","0","0.00679"
"49","Cook Islands","0.01842","0","0"
"50","Costa Rica","3.3512","0","0"
"51","Cote dIvoire (IvoryCoast)","14.37992","0","0"
"52","Croatia","4.51119","0.0954","0.01284"
"53","Cuba","10.81326","0.00128","0.00307"
"54","Cyprus","0.82921","0","0.00087"
"55","Czech Republic","10.33016","0.241","0.79964"
"56","Denmark","5.2056","0.1184","0.3121"
"57","Djibouti","0.54689","0","0"
"58","Dominica","0.07092","0","0"
"59","Dominican Republic","7.62413","0","0.00178"
"60","Ecuador","11.01255","0.00459","0"
"61","Egypt","58.15695","0.44332","0.03635"
"62","El Salvador","5.3952","0","0.00003"
"63","Equatorial Guinea","0.41444","0","0"
"64","Eritrea","3.37969","0","0"
"65","Estonia","1.46754","0.02267","0.11696"
"66","Ethiopia","54.03425","0","0"
"67","Eurasia","291.05061","22.02476","7.47164"
"68","Europe","566.98518","13.95807","15.15753"
"69","Falkland Islands (Islas Malvinas)","0.002","0","0"
"70","Faroe Islands","0.0445","0","0"
"71","Fiji","0.76592","0","0.00065"
"72","Finland","5.08604","0.12094","0.20464"
"77","France","58.11596","1.24951","0.54515"
"78","French Guiana","0.14","0","0"
"79","French Polynesia","0.22207","0","0"
"80","Gabon","1.04081","0.0037","0"
"81","Gambia, The","1.10758","0","0"
"82","Georgia","5.12081","0.05916","0.00764"
"83","Germany","81.41416","2.65375","3.66443"
"86","Ghana","17.30185","0","0.0001"
"87","Gibraltar","0.02678","0","0"
"88","Greece","10.42983","0.00209","0.33819"
"89","Greenland","0.05592","0","0"
"90","Grenada","0.09675","0","0"
"91","Guadeloupe","0.42","0","0"
"92","Guam","0.14316","0","0"
"93","Guatemala","9.77911","0","0"
"94","Guinea","7.20949","0","0"
"95","Guinea-Bissau","1.11651","0","0"
"96","Guyana","0.76765","0","0"
"97","Haiti","7.39969","0","0"
"99","Honduras","5.38981","0","0.00003"
"100","Hong Kong","6.06729","0.01965","0.18502"
"101","Hungary","10.29655","0.37198","0.17272"
"102","Iceland","0.26608","0","0.00267"
"103","India","903.57929","0.68328","5.41989"
"104","Indonesia","195.3278","1.05201","0.33778"
"105","Iran","63.46037","1.18591","0.0514"
"106","Iraq","18.97609","0.1172","0"
"107","Ireland","3.59554","0.09671","0.07793"
"108","Israel","5.17486","0.0011","0.19384"
"109","Italy","57.20409","1.78659","0.41502"
"110","Jamaica","2.43644","0","0.00153"
"111","Japan","125.01405","2.4643","2.86921"
"112","Jordan","4.08473","0.01035","0"
"113","Kazakhstan","16.18215","0.55462","0.99789"
"114","Kenya","26.45452","0","0.004"
"115","Kiribati","0.07561","0","0"
"116","North Korea","21.32897","0","0.86"
"117","South Korea","44.7189","0.3022","1.09802"
"118","Kuwait","1.55165","0.22074","0"
"119","Kyrgyzstan","4.48619","0.06579","0.03903"
"120","Laos","4.71183","0","0.00002"
"121","Latvia","2.52353","0.02482","0.01195"
"122","Lebanon","3.62071","0","0.00319"
"123","Lesotho","1.8195","0","0"
"124","Liberia","1.91753","0","0"
"125","Libya","4.59332","0.18154","0.00016"
"126","Lithuania","3.67964","0.08203","0.01625"
"127","Luxembourg","0.40376","0.02152","0.03573"
"128","Macau","0.39294","0","0.00006"
"129","Macedonia","1.93503","0","0.06585"
"130","Madagascar","13.12841","0","0.00045"
"131","Malawi","10.32045","0","0.00055"
"132","Malaysia","19.83502","0.50723","0.06548"
"133","Maldives","0.25338","0","0"
"134","Mali","9.17522","0","0"
"135","Malta","0.37361","0","0.00498"
"136","Martinique","0.39","0","0"
"137","Mauritania","2.18334","0","0.00019"
"138","Mauritius","1.1113","0","0.00113"
"139","Mexico","91.3379","1.14013","0.1836"
"141","Moldova","4.44121","0.0526","0.05076"
"142","Mongolia","2.40065","0","0.06765"
"144","Montserrat","0.01034","0","0"
"145","Morocco","25.72317","0.00111","0.07223"
"146","Mozambique","14.78146","0","0.00164"
"147","Namibia","1.63833","0","0"
"148","Nauru","0.00982","0","0"
"149","Nepal","21.24674","0","0.00319"
"150","Netherlands","15.3822","1.47901","0.34134"
"151","Netherlands Antilles","0.19679","0","0"
"152","New Caledonia","0.18745","0","0.00376"
"153","New Zealand","3.5843","0.18019","0.05745"
"154","Nicaragua","4.26426","0","0"
"155","Niger","8.89259","0","0.00478"
"156","Nigeria","106.81404","0.16823","0.00088"
"157","Niue","0.002","0","0"
"159","Norway","4.33664","0.10338","0.03917"
"160","Oman","2.07679","0.15345","0"
"161","Pakistan","130.74625","0.5858","0.09907"
"163","Panama","2.58771","0","0.00143"
"164","Papua New Guinea","4.1031","0.00185","0.00003"
"165","Paraguay","4.69758","0","0"
"166","Peru","23.46919","0.03215","0.01326"
"167","Philippines","70.94455","0","0.07961"
"168","Poland","38.5483","0.3678","2.81099"
"169","Portugal","10.02769","0","0.1294"
"170","Puerto Rico","3.64924","0","0.00523"
"171","Qatar","0.50626","0.49915","0"
"172","Reunion","0.64","0","0"
"173","Romania","22.73302","0.85074","0.40619"
"174","Russia","148.44237","15.33541","4.45534"
"175","Rwanda","6.50553","0","0"
"176","Saint Helena","0.00689","0","0"
"177","Saint Kitts and Nevis","0.04261","0","0"
"178","Saint Lucia","0.14464","0","0"
"179","Saint Pierre and Miquelon","0.0064","0","0"
"180","Saint Vincent/Grenadines","0.10869","0","0"
"181","Samoa","0.16748","0","0"
"182","Sao Tome and Principe","0.12492","0","0"
"183","Saudi Arabia","18.20242","1.39394","0"
"184","Senegal","8.16615","0.00127","0"
"186","Seychelles","0.07413","0","0"
"187","Sierra Leone","3.97796","0","0"
"188","Singapore","3.42798","0.05546","0.00028"
"189","Slovakia","5.34526","0.20607","0.20825"
"190","Slovenia","2.00104","0.02777","0.06054"
"191","Solomon Islands","0.36385","0","0"
"192","Somalia","6.26444","0","0"
"193","South Africa","41.66156","0.0721","3.06829"
"194","Spain","39.70788","0.27303","0.76432"
"195","Sri Lanka","18.24706","0","0.00011"
"196","Sudan","29.16041","0","0"
"197","Suriname","0.39877","0","0"
"198","Swaziland","0.99492","0","0.00353"
"199","Sweden","8.83149","0.02937","0.10025"
"200","Switzerland","7.14508","0.0878","0.00681"
"201","Syria","14.06143","0.12909","0.00006"
"202","Taiwan","21.09325","0.14055","0.6598"
"203","Tajikistan","5.60449","0.05916","0.0015"
"204","Tanzania","28.79766","0","0.00124"
"205","Thailand","58.19106","0.34184","0.21659"
"207","Togo","3.98199","0","0"
"208","Tonga","0.09444","0","0"
"209","Trinidad and Tobago","1.26525","0.26092","0"
"210","Tunisia","8.8354","0.07871","0.00323"
"211","Turkey","60.86709","0.19771","0.60746"
"212","Turkmenistan","4.0039","0.15529","0.01292"
"213","Turks and Caicos Islands","0.01384","0","0"
"214","U.S. Pacific Islands","0.22598","0","0"
"215","Uganda","20.12759","0","0"
"216","Ukraine","51.63555","3.4431","1.66523"
"217","United Arab Emirates","2.31918","0.80125","0"
"218","United Kingdom","58.24043","2.65165","1.99885"
"219","United States","263.12582","21.72807","19.96779"
"220","Uruguay","3.19725","0","0.00012"
"221","Uzbekistan","22.60382","1.24739","0.06429"
"222","Vanuatu","0.16894","0","0"
"223","Venezuela","21.12604","1.04351","0.00201"
"224","Vietnam","72.55954","0.00915","0.08499"
"225","Virgin Islands,  U.S.","0.10732","0","0.00792"
"226","Virgin Islands, British","0.01769","0","0"
"228","Western Sahara","0.25244","0","0"
"230","Yemen","14.39475","0","0"
"231","Zambia","8.78912","0","0.00392"
"232","Zimbabwe","11.08648","0","0.12993"
