 Year VBISX Category 
 2016 N/A N/A 
 2015 0.85% 0.19% 
 2014 1.16% 1.07% 
 2013 0.07% 0.45% 
 2012 1.95% 3.67% 
 2011 2.96% 1.66% 
 2010 3.92% 4.11% 
 2009 4.28% 9.30% 
 2008 5.43% -4.23% 
 2007 7.22% 4.29% 
 2006 4.09% 4.05% 
 2005 1.31% 1.45% 
 2004 1.70% 1.63% 
 2003 3.37% 2.54% 
 2002 6.10% 5.47% 
 2001 8.88% 7.27% 
 2000 8.84% 7.59% 
 1999 2.08% 2.21% 
 1998 7.63% 6.27% 
 1997 7.04% 6.59% 
 1996 4.55% 4.56% 
 1995 12.89% 11.03% 
 1994 N/A -0.65% 
