 Year VFINX Category 
 2016 N/A N/A 
 2015 1.25% -1.07% 
 2014 13.51% 10.96% 
 2013 32.18% 31.50% 
 2012 15.82% 14.96% 
 2011 1.97% -1.27% 
 2010 14.91% 14.01% 
 2009 26.49% 28.17% 
 2008 -37.02% -37.79% 
 2007 5.39% 6.16% 
 2006 15.64% 14.17% 
 2005 4.77% 5.88% 
 2004 10.74% 10.02% 
 2003 28.50% 27.05% 
 2002 -22.15% -22.25% 
 2001 -12.02% -13.50% 
 2000 -9.06% -6.31% 
 1999 21.07% 20.16% 
 1998 28.62% 22.39% 
 1997 33.19% 28.37% 
 1996 22.88% 20.76% 
 1995 37.45% 32.35% 
 1994 1.18% -0.93% 
 1993 9.89% 10.21% 
 1992 7.42% 7.00% 
 1991 30.22% 30.90% 
 1990 -3.32% -3.13% 
 1989 31.36% 25.43% 
 1988 16.22% 14.20% 
 1987 4.71% 3.78% 
 1986 18.06% 16.30% 
 1985 31.23% 28.28% 
 1984 6.21% 2.28% 
 1983 21.29% 20.83% 
 1982 20.97% 25.29% 
 1981 -5.21% -0.24% 
 1980 31.92% 30.03% 
 1979 18.05% 25.65% 
 1978 5.87% 10.59% 
 1977 -7.84% -0.63% 
 1976 N/A 24.80% 
