 Year Q1 Q2 Q3 Q4 
 2016 4.04% 2.69% 0.35% N/A 
 2015 2.43% -1.94% 1.74% -0.96% 
 2014 2.48% 2.39% -0.02% 1.84% 
 2013 0.32% -3.97% 0.73% -0.60% 
 2012 0.61% 3.28% 2.43% 0.44% 
 2011 0.24% 3.32% 5.18% 1.55% 
 2010 2.19% 5.32% 4.71% -2.95% 
 2009 -0.76% 2.14% 5.39% -0.03% 
 2008 3.20% -2.21% -2.67% 6.83% 
 2007 1.52% -1.02% 3.37% 3.60% 
 2006 -1.35% -0.56% 4.62% 1.24% 
 2005 -1.28% 4.08% -1.29% 0.33% 
 2004 3.77% -3.88% 4.41% 1.04% 
 2003 1.82% 4.57% -0.74% -0.03% 
 2002 -0.67% 3.36% 5.77% 2.08% 
 2001 3.84% 0.35% 5.22% -0.33% 
 2000 2.35% 1.21% 3.54% 5.15% 
 1999 -1.32% -1.61% 0.45% -0.56% 
 1998 1.66% 2.37% 6.11% -0.30% 
 1997 -1.08% 3.80% 3.61% 2.84% 
 1996 -2.52% 0.10% 1.80% 3.24% 
 1995 5.45% 7.37% 1.85% 4.97% 
 1994 -1.30% 0.42% 0.09% N/A 
