 Year VSEQX Category 
 2016 N/A N/A 
 2015 -1.41% -4.75% 
 2014 13.68% 7.80% 
 2013 41.54% 34.10% 
 2012 18.90% 16.15% 
 2011 1.17% -3.81% 
 2010 21.38% 22.52% 
 2009 32.06% 37.39% 
 2008 -41.51% -39.18% 
 2007 -1.84% 4.85% 
 2006 13.43% 14.03% 
 2005 9.97% 9.25% 
 2004 20.49% 16.30% 
 2003 43.83% 36.28% 
 2002 -13.14% -16.55% 
 2001 5.42% -3.12% 
 2000 7.46% 6.36% 
 1999 19.25% 20.92% 
 1998 0.61% 10.36% 
 1997 26.22% 25.92% 
 1996 25.03% 19.23% 
 1995 N/A 30.17% 
