 Year Q1 Q2 Q3 Q4 
 2016 7.40% 6.60% 1.36% N/A 
 2015 3.35% -7.80% 2.32% -1.00% 
 2014 6.93% 4.80% 1.24% 5.52% 
 2013 -1.60% -6.26% -1.01% -0.48% 
 2012 -2.29% 7.63% 3.01% 0.14% 
 2011 -0.36% 3.35% 16.01% 2.17% 
 2010 1.54% 8.84% 5.54% -5.46% 
 2009 -6.16% 2.85% 8.59% -2.91% 
 2008 1.23% -1.52% -3.60% 13.03% 
 2007 0.79% -1.74% 3.47% 4.02% 
 2006 -3.42% -1.68% 6.81% 1.23% 
 2005 0.15% 7.14% -2.85% 1.03% 
 2004 5.10% -5.25% 6.53% 2.19% 
 2003 1.85% 6.10% -2.08% -0.30% 
 2002 -0.97% 3.70% 9.44% 1.74% 
 2001 2.81% -0.04% 5.21% 0.05% 
 2000 5.96% 0.40% 3.20% 6.24% 
 1999 -3.36% -2.86% -0.32% -1.53% 
 1998 1.34% 4.46% 6.09% -0.29% 
 1997 -2.83% 5.33% 5.64% 5.71% 
 1996 -6.17% -0.10% 1.64% 4.64% 
 1995 6.43% 10.26% 2.52% 7.82% 
 1994 -2.76% -0.50% 1.66% N/A 
