 Year VBIIX Category 
 2016 N/A N/A 
 2015 1.21% -0.26% 
 2014 6.85% 5.18% 
 2013 -3.54% -1.42% 
 2012 6.91% 7.01% 
 2011 10.61% 5.86% 
 2010 9.37% 7.72% 
 2009 6.79% 13.97% 
 2008 4.93% -4.70% 
 2007 7.61% 4.70% 
 2006 3.91% 4.15% 
 2005 1.75% 1.80% 
 2004 5.22% 3.91% 
 2003 5.65% 5.10% 
 2002 10.85% 8.04% 
 2001 9.28% 7.64% 
 2000 12.78% 9.44% 
 1999 -3.00% -1.35% 
 1998 10.09% 7.36% 
 1997 9.41% 8.81% 
 1996 2.55% 3.47% 
 1995 21.03% 17.71% 
 1994 N/A -4.01% 
