 Year VBLTX Category 
 2016 N/A N/A 
 2015 -3.47% -2.58% 
 2014 19.72% 11.34% 
 2013 -9.13% -5.31% 
 2012 8.49% 12.97% 
 2011 22.05% 11.47% 
 2010 10.27% 11.43% 
 2009 1.76% 15.90% 
 2008 8.64% -3.72% 
 2007 6.59% 3.10% 
 2006 2.67% 4.43% 
 2005 5.32% 2.23% 
 2004 8.40% 6.47% 
 2003 5.50% 8.79% 
 2002 14.35% 8.36% 
 2001 8.17% 7.85% 
 2000 16.63% 9.36% 
 1999 -7.85% -2.73% 
 1998 11.98% 7.19% 
 1997 14.30% 10.68% 
 1996 -0.30% 2.88% 
 1995 29.72% 22.08% 
 1994 N/A -5.98% 
