 Year Q1 Q2 Q3 Q4 
 2016 -1.27% 1.56% 5.35% N/A 
 2015 3.09% 0.72% -8.21% 5.69% 
 2014 1.96% 4.40% -0.43% 4.80% 
 2013 10.67% 3.61% 7.26% 10.07% 
 2012 15.15% -4.83% 5.77% 1.36% 
 2011 6.77% -0.09% -16.69% 11.40% 
 2010 5.81% -12.41% 11.56% 12.32% 
 2009 -8.21% 17.56% 16.74% 6.22% 
 2008 -11.43% -0.66% -10.89% -22.78% 
 2007 2.00% 6.13% 1.45% -4.99% 
 2006 5.03% -3.22% 3.56% 7.21% 
 2005 4.05% 3.30% N/A N/A 
