 Year Q1 Q2 Q3 Q4 
 2016 1.58% 0.91% 0.07% N/A 
 2015 0.99% -0.07% 0.61% -0.66% 
 2014 0.37% 0.56% -0.10% 0.32% 
 2013 0.18% -0.76% 0.55% 0.11% 
 2012 0.43% 0.56% 0.82% 0.12% 
 2011 0.09% 1.52% 0.92% 0.41% 
 2010 1.13% 1.81% 1.57% -0.62% 
 2009 0.51% 1.42% 2.04% 0.24% 
 2008 3.03% -1.08% -0.25% 3.71% 
 2007 1.54% 0.34% 2.61% 2.56% 
 2006 0.08% 0.46% 2.47% 1.04% 
 2005 -0.69% 1.65% -0.20% 0.56% 
 2004 1.66% -1.80% 1.76% 0.11% 
 2003 1.15% 1.77% 0.30% 0.12% 
 2002 -0.05% 1.92% 2.79% 1.33% 
 2001 3.24% 1.35% 3.89% 0.17% 
 2000 1.39% 1.64% 2.72% 2.82% 
 1999 0.35% 0.22% 1.08% 0.41% 
 1998 1.50% 1.66% 3.67% 0.61% 
 1997 0.37% 2.45% 2.23% 1.81% 
 1996 -0.12% 0.87% 1.61% 2.13% 
 1995 3.96% 3.92% 1.59% 2.86% 
 1994 -0.19% 0.82% -0.22% N/A 
