 Year VMRGX Category 
 2016 N/A N/A 
 2015 6.75% 3.60% 
 2014 10.95% 10.00% 
 2013 34.76% 33.92% 
 2012 15.09% 15.34% 
 2011 -2.56% -2.46% 
 2010 18.70% 15.53% 
 2009 36.10% 35.68% 
 2008 -41.43% -40.67% 
 2007 11.22% 13.35% 
 2006 11.09% 7.05% 
 2005 9.09% 6.71% 
 2004 10.47% 7.81% 
 2003 33.73% 28.66% 
 2002 -23.52% -27.64% 
 2001 -13.60% -22.30% 
 2000 -12.51% -13.05% 
 1999 34.10% 38.87% 
 1998 22.26% 34.55% 
 1997 30.81% 26.36% 
 1996 23.30% 19.76% 
 1995 35.98% 32.65% 
 1994 -1.67% -2.45% 
 1993 7.32% 8.69% 
 1992 9.54% 5.92% 
 1991 29.33% 40.07% 
 1990 -1.51% -3.78% 
 1989 22.66% 27.76% 
 1988 22.34% 12.55% 
 1987 5.02% 1.56% 
 1986 7.83% 14.05% 
 1985 30.29% 28.64% 
 1984 -6.06% -3.94% 
 1983 28.37% 18.56% 
 1982 27.67% 32.75% 
 1981 -4.80% -2.13% 
 1980 34.72% 40.60% 
 1979 18.89% 32.37% 
 1978 19.24% 15.06% 
 1977 7.49% 2.56% 
 1976 19.08% 22.23% 
 1975 43.10% 35.35% 
 1974 -32.22% -31.34% 
 1973 -19.19% -28.56% 
 1972 21.77% 19.23% 
 1971 28.18% 24.89% 
 1970 -5.15% -10.89% 
 1969 3.30% -9.80% 
