 Year VGSLX Category 
 2016 N/A N/A 
 2015 2.39% 2.41% 
 2014 30.32% 28.03% 
 2013 2.42% 1.55% 
 2012 17.69% 17.60% 
 2011 8.62% 7.51% 
 2010 28.49% 27.08% 
 2009 29.76% 31.26% 
 2008 -36.98% -39.55% 
 2007 -16.39% -14.66% 
 2006 35.16% 33.58% 
 2005 12.01% 11.51% 
 2004 30.81% 32.02% 
 2003 35.78% 36.80% 
 2002 3.73% 4.54% 
