Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Albania,ALB,1.61562395977292,0.978174680894664,1.32233485532238,1.48431113888781,1.49560019934969,1.57857358391855,1.80397241787674,1.62472196333623,1.66218482579198,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Austria,AUT,7.51324615615048,7.7554934952792,8.405092793226,8.28672332474834,7.55567020478531,8.11059300734486,7.77653815826055,7.38403220122062,7.36005578241321,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Belgium,BEL,10.6396716729644,11.2296676990611,9.74477719114976,9.75198480892529,9.28629759682149,9.88942935240014,8.95362211506711,8.28483788011157,8.37163927479096,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bosnia and Herzegovina,BIH,..,3.63521315476005,4.59661890971243,5.24873683149602,5.394822254394,5.54745834569669,6.23301298694521,5.81406841832098,5.72942825392118,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bulgaria,BGR,8.69022430892117,5.32803434248386,6.92543528202448,6.77208754122923,5.73119372396296,5.96539604161881,6.71488153495598,6.14204310276862,5.44564855477167,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Croatia,HRV,..,4.39194916403073,5.4029558160505,5.13023496631419,4.80866130603254,4.62755510062631,4.6858820984427,4.25598222683793,4.1618666213626,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Cyprus,CYP,5.70658521727447,7.34731847253275,7.70972399909693,7.96381927744403,7.43833850228247,6.98390754608425,6.6499931938917,6.12734491983108,5.20988357222691,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Denmark,DNK,9.77069869920651,9.61317555419716,9.20201511030611,8.54335109757298,8.05889560110771,8.40721667045503,7.29638320804399,6.5108659961814,6.77962386721691,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Czech Republic,CZE,..,12.0768890449527,11.9725152221204,11.23765713528,10.3079706731255,10.6525786177933,10.1854822482433,9.61268363875771,9.38349654640854,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Estonia,EST,..,10.6362516419289,13.9548840886714,13.0818344314893,10.9143201837372,13.5996890666366,14.0167329722872,13.3240003749917,15.110411480451,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Finland,FIN,10.3771689611267,10.1284741400511,12.0984818632864,10.6371591894379,9.95519427234709,11.5431470841369,10.5111276862044,9.01853833350788,8.51255384289531,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,France,FRA,6.41966818615165,5.9444382169321,5.76283348399044,5.68651390858468,5.43421975820747,5.42492025529133,5.07381469376202,5.07093102186285,5.05048299434835,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Germany,DEU,..,10.0956398829225,9.48803988827902,9.50632117752826,8.81465555054511,9.2756879599173,8.95037951752001,9.19232375153935,9.22059080376862,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Georgia,GEO,..,1.0266570853043,1.57298309652131,1.28208511166253,1.48689567621921,1.41505476311768,1.77624748387097,1.92313777777778,1.9888813559322,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Greece,GRC,7.28452164170849,8.47843382003456,8.89229344181771,8.66282428137396,8.27789234499236,7.50721122569661,7.2693446378936,7.24036725721686,6.30685109479425,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Hungary,HUN,6.71046930071637,5.46586020075858,5.57245952079302,5.46350118168737,4.8477947449028,5.02157825037002,4.78980972904693,4.48784500001109,4.18886318742734,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Iceland,ISL,7.84266519115004,7.69378211624971,7.414833454228,6.67748114449898,6.44749277077793,6.16852858593703,5.89682897929244,5.83123386422879,6.08214316600981,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Ireland,IRL,8.89102765131444,10.8347426425178,10.1475288830814,9.57764129274599,8.90275600143318,8.82462504015763,7.82787907867385,7.7874534788987,7.60387330605655,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Italy,ITA,7.36170458207832,7.912673166227,7.91734721623538,7.60176496973799,6.79565148637292,6.83837457020099,6.70255761383033,6.20504432360671,5.72380998502705,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Latvia,LVA,..,2.68262296466812,3.77978525899583,3.62940575624552,3.37649001783189,3.84959345523717,3.54467402919539,3.47174754795094,3.5182409036458,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Lithuania,LTU,..,3.47572906808217,4.69369608584053,4.69291649039735,3.95810005703598,4.34861630293916,4.55330131121176,4.62950967158482,4.27365723711993,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Luxembourg,LUX,26.1976587665314,18.8855122622049,22.9572827103729,22.3854722193799,20.8771251730172,21.6351358015437,21.1029696323119,20.0842194874808,18.7007821702002,..,..,..
