Region,Causes,Bothsexes(2012),Female(2012),Male(2012),Bothsexes(2000),Female(2000),Male(2000),Group
EastAsiaandPacific,Communicable&amp;otherGroupI,1457526,645118,812408,2074846,921356,1153490,LargeSubgroup
EastAsiaandPacific,Infectiousandparasiticdiseases,628189,240424,387765,936225,368881,567344,Subgroup
EastAsiaandPacific,Tuberculosis,206135,71814,134321,372319,137490,234829,Inf.Para
EastAsiaandPacific,STDsexcludingHIV,7592,4208,3384,12863,6708,6155,Inf.Para
EastAsiaandPacific,Syphilis,6209,2825,3384,11023,4868,6155,Inf.Para
EastAsiaandPacific,Chlamydia,325,325,0,434,434,0,Inf.Para
EastAsiaandPacific,Gonorrhoea,240,240,0,324,324,0,Inf.Para
EastAsiaandPacific,Trichomoniasis,0,0,0,0,0,0,Inf.Para
EastAsiaandPacific,OtherSTDs,818,818,0,1085,1085,0,Inf.Para
EastAsiaandPacific,HIV/AIDS,117197,32791,84406,90961,21097,69864,Inf.Para
EastAsiaandPacific,Diarrhoealdiseases,73286,38718,34568,168791,83770,85021,Inf.Para
EastAsiaandPacific,Childhood-clusterdiseases,21916,9335,12581,55498,24658,30840,Inf.Para
EastAsiaandPacific,Whoopingcough,7354,2415,4939,7473,2552,4921,Inf.Para
EastAsiaandPacific,Diphtheria,123,49,74,269,113,156,Inf.Para
EastAsiaandPacific,Measles,11842,5652,6190,39120,18290,20830,Inf.Para
EastAsiaandPacific,Tetanus,2599,1220,1379,8634,3702,4932,Inf.Para
EastAsiaandPacific,Meningitis,30850,14207,16643,49096,21131,27965,Inf.Para
EastAsiaandPacific,Encephalitis,2426,1083,1343,6862,2936,3926,Inf.Para
EastAsiaandPacific,AcutehepatitisB,43895,16294,27601,44937,15563,29374,Inf.Para
EastAsiaandPacific,AcutehepatitisC,2412,1129,1283,1187,424,763,Inf.Para
EastAsiaandPacific,Parasiticandvectordiseases,35286,14571,20715,36660,15077,21583,Inf.Para
EastAsiaandPacific,Malaria,16077,5004,11073,15544,6051,9493,Inf.Para
EastAsiaandPacific,Trypanosomiasis,0,0,0,0,0,0,Inf.Para
EastAsiaandPacific,Chagasdisease,244,132,112,0,0,0,Inf.Para
EastAsiaandPacific,Schistosomiasis,970,523,447,4018,1849,2169,Inf.Para
EastAsiaandPacific,Leishmaniasis,1665,813,852,3792,1456,2336,Inf.Para
EastAsiaandPacific,Lymphaticfilariasis,0,0,0,0,0,0,Inf.Para
EastAsiaandPacific,Onchocerciasis,0,0,0,0,0,0,Inf.Para
EastAsiaandPacific,Leprosy,1210,507,703,0,0,0,Inf.Para
EastAsiaandPacific,Dengue,9207,5029,4178,5957,2887,3070,Inf.Para
EastAsiaandPacific,Trachoma,0,0,0,0,0,0,Inf.Para
EastAsiaandPacific,Rabies,5912,2564,3348,7352,2835,4517,Inf.Para
EastAsiaandPacific,Intestinalnematodeinfections,546,271,275,795,369,426,Inf.Para
EastAsiaandPacific,Ascariasis,546,271,275,795,369,426,Inf.Para
EastAsiaandPacific,Trichuriasis,0,0,0,0,0,0,Inf.Para
EastAsiaandPacific,Hookwormdisease,0,0,0,0,0,0,Inf.Para
EastAsiaandPacific,Otherinfectiousdiseases,86655,36005,50650,96263,39662,56601,Inf.Para
EastAsiaandPacific,Respiratoryinfections,502462,249296,253166,604943,297182,307761,Inf.Para
EastAsiaandPacific,Lowerrespiratoryinfections,500536,248329,252207,602411,295798,306613,Inf.Para
EastAsiaandPacific,Upperrespiratoryinfections,1494,801,693,2131,1173,958,Inf.Para
EastAsiaandPacific,Otitismedia,435,166,269,405,213,192,Inf.Para
EastAsiaandPacific,Maternalconditions,23241,23241,0,36772,36772,0,Maternal
EastAsiaandPacific,Neonatalconditions,265938,111702,154236,451262,194151,257111,Subgroup
