"","Series.Name","Series.Code","Country.Name","Country.Code","X1990..YR1990.","X1991..YR1991.","X1992..YR1992.","X1993..YR1993.","X1994..YR1994.","X1995..YR1995.","X1996..YR1996.","X1997..YR1997.","X1998..YR1998.","X1999..YR1999.","X2000..YR2000.","X2001..YR2001.","X2002..YR2002.","X2003..YR2003.","X2004..YR2004.","X2005..YR2005.","X2006..YR2006.","X2007..YR2007.","X2008..YR2008.","X2009..YR2009.","X2010..YR2010.","X2011..YR2011.","X2012..YR2012.","X2013..YR2013.","X2014..YR2014.","Avg2000","Avg2012","AVG.GDP.P.CAP"
"1","GDP per capita (current US$)","NY.GDP.PCAP.CD","Afghanistan","AFG","..","..","..","..","..","..","..","..","..","..","..","119.8990371","192.1535283","203.6510409","224.9147122","257.1757947","280.2456441","380.4009552","384.1316813","458.9557816","569.9407288","622.3796544","690.842629","653.3474881","633.9478643","156.0262827","634.0916729","405.1418957"
"2","GDP per capita (current US$)","NY.GDP.PCAP.CD","Albania","ALB","639.4638993","348.7113178","218.4921659","380.5273711","619.0651634","760.5593758","1046.358511","749.584649","865.3021618","1098.425463","1175.788981","1326.970339","1453.642777","1890.681557","2416.588235","2709.142931","3005.012903","3603.013685","4370.539647","4114.136545","4094.358832","4437.811999","4247.839852","4412.345578","4588.64944","1184.025944","4356.20114","3189.76822"
"3","GDP per capita (current US$)","NY.GDP.PCAP.CD","Algeria","DZA","2394.420608","1721.582067","1766.065919","1797.541804","1499.984092","1444.907936","1596.006859","1611.961948","1588.421338","1580.957569","1757.011974","1732.958517","1774.292021","2094.893302","2600.00652","3102.037384","3467.54474","3939.559939","4912.251941","3875.822095","4473.486446","5447.403976","5583.61616","5491.614414","5484.066806","1686.728284","5296.03756","3715.771082"
"4","GDP per capita (current US$)","NY.GDP.PCAP.CD","Andorra","ADO","18876.72935","19530.8435","20541.7739","16508.87522","16226.97108","18460.00743","19038.79883","18405.3201","18969.97799","19323.89255","21432.96007","21897.66294","24175.37275","31742.99258","37235.45003","39990.33041","42417.22915","47253.5298","46735.99957","42701.44714","39639.38602","41630.05258","39666.36921","42806.52245","..","21159.97326","40935.58257","37094.66462"
"5","GDP per capita (current US$)","NY.GDP.PCAP.CD","Angola","AGO","901.1076018","1265.627309","872.767664","825.6981351","823.8855437","380.8719231","560.6755166","554.2522329","454.2965495","421.3767773","606.2722922","574.1941611","775.7655185","850.0756941","1135.604564","1576.162801","2253.83885","3151.022431","4242.363062","3678.947654","3886.479354","4744.987629","5086.848426","5327.148892","5232.690501","566.3810597","4855.63096","2874.826789"
"6","GDP per capita (current US$)","NY.GDP.PCAP.CD","Antigua and Barbuda","ATG","6325.240905","6575.480499","6680.37587","7037.939154","7514.48368","7230.320637","7702.670284","8027.631131","8355.618643","8572.373481","10094.75906","9797.968713","10027.85622","10382.6309","10993.36925","12079.8657","13599.90886","15276.06826","15786.17284","13979.26269","13017.31039","12817.84157","13525.61622","13342.085","13432.07921","9369.715224","13226.98648","12543.51966"
"7","GDP per capita (current US$)","NY.GDP.PCAP.CD","Argentina","ARG","4318.774568","5715.504052","6798.027167","6940.351375","7449.480605","7373.427403","7683.573848","8172.665235","8248.76472","7736.372578","7669.273709","7170.689698","2579.188199","3330.42866","4251.565347","5096.258332","5904.678132","7226.270295","8992.589619","8198.566111","10332.03237","12800.20186","13040.3064","13027.20482","12324.93879","6680.857781","12304.93685","8129.612822"
"8","GDP per capita (current US$)","NY.GDP.PCAP.CD","Armenia","ARM","636.68069","589.0029482","368.9168368","356.5073514","399.7512025","455.5502761","503.2319696","522.522072","608.3366487","596.5059963","621.4248263","692.3016309","779.8296261","924.4640098","1181.968445","1625.407769","2126.618661","3080.970959","3919.975474","2915.583906","3124.784018","3417.171836","3565.517575","3716.828923","3873.533566","659.6797457","3539.567183","2371.092082"
"9","GDP per capita (current US$)","NY.GDP.PCAP.CD","Aruba","ABW","..","..","..","..","17342.47194","16441.38126","16586.1923","17927.41203","19081.57029","19356.42087","20619.56585","20671.54574","20433.65411","20834.93971","22566.68216","23302.83199","24015.42061","25921.53823","27549.88942","24640.42124","24289.14152","25353.78754","..","..","..","20032.55137","24821.46453","23349.95151"
"10","GDP per capita (current US$)","NY.GDP.PCAP.CD","Australia","AUS","18221.69121","18836.78058","18591.22052","17657.24424","18079.26394","20360.18221","21917.71922","23522.77877","21340.06211","20536.41231","21665.11545","19495.14593","20059.45207","23440.00532","30440.85488","33982.95043","36084.85898","40957.83044","49628.11513","42715.13226","51845.65486","62216.54713","67646.10385","67652.68321","61995.8297","20619.23758","62271.36375","41988.41864"
