"Year.","firearms.","officer.","Population.","Total","Violent.","Property.","Murder.","Forcible.Rape.","Robbery.","Aggravated.assault.","Burglary.","Larceny..Theft.","Vehicle.Theft.","party"
1996,11453,354,265228572,13493863,1688540,11805300,19650,96250,535590,1037050,2506400,7904700,1394200,"Democratic"
1997,10729,363,267637000,13194571,1634770,11558175,18208,96153,498534,1023201,2460526,7743760,1354189,"Democratic"
1998,9257,367,270296000,12475634,1531044,10944590,16914,93103,446625,974402,2329950,7373886,1240754,"Democratic"
1999,8480,305,272690813,11634378,1426044,10208334,15522,89411,409371,911740,2100739,6955520,1152075,"Democratic"
2000,8661,308,281421906,11608072,1425486,10182586,15586,90178,408016,911706,2050992,6971590,1160002,"Democratic"
2001,8890,375,285317559,11876669,1439480,10437480,16037,90863,423557,909023,2116531,7092267,1228391,"Republican"
2002,9528,338,287973924,11878954,1423677,10455277,16229,95235,420806,891407,2151252,7057370,1246646,"Republican"
2003,9659,366,290690788,11826538,1383676,10442862,16528,93883,414235,859030,2154834,7026802,1261226,"Republican"
2004,9385,364,293656842,11679474,1360088,10319386,16148,95089,401470,847381,2144446,6937089,1237851,"Republican"
2005,10158,344,296507061,11565499,1390745,10174754,16740,94347,417438,862220,2155448,6783447,1235859,"Republican"
2006,10225,386,299398484,11401511,1418043,9983568,17030,92757,447403,860853,2183746,6607013,1192809,"Republican"
2007,10129,395,301621157,11251828,1408337,9843481,16929,90427,445125,855856,2176140,6568572,1095769,"Republican"
2008,9528,373,304374846,11160543,1392628,9767915,16442,90479,443574,842134,2228474,6588046,958629,"Republican"
2009,9199,411,307006550,10762956,1325896,9337060,15399,89241,408742,812514,2203313,6338095,795652,"Democratic"
2010,8874,396,309330219,10363873,1251248,9112625,14772,85593,369089,781844,2168457,6204601,739565,"Democratic"
2011,8653,401,311587816,10258774,1206031,9052743,14661,84175,354772,752423,2185140,6151095,716508,"Democratic"
2012,8897,423,313873685,10219059,1217067,9001992,14866,85141,355051,762009,2109932,6168874,723186,"Democratic"
2013,8454,467,316497531,9850445,1199684,8650761,14319,82109,345095,726575,1931835,6018632,700294,"Democratic"
2014,8312,451,318907401,9395195,1186185,8209010,14164,84864,322905,731089,1713153,5809054,686803,"Democratic"
2015,9616,441,321418820,9225197,1231566,7993631,15696,90185,327374,764449,1579527,5706346,707758,"Democratic"
