DATE,M2V
1959-01-01,1.776
1959-04-01,1.794
1959-07-01,1.774
1959-10-01,1.781
1960-01-01,1.819
1960-04-01,1.802
1960-07-01,1.782
1960-10-01,1.740
1961-01-01,1.726
1961-04-01,1.730
1961-07-01,1.735
1961-10-01,1.745
1962-01-01,1.749
1962-04-01,1.734
1962-07-01,1.728
1962-10-01,1.704
1963-01-01,1.692
1963-04-01,1.681
1963-07-01,1.682
1963-10-01,1.675
1964-01-01,1.688
1964-04-01,1.684
1964-07-01,1.676
1964-10-01,1.655
1965-01-01,1.671
1965-04-01,1.674
1965-07-01,1.682
1965-10-01,1.696
1966-01-01,1.716
1966-04-01,1.717
1966-07-01,1.735
1966-10-01,1.748
1967-01-01,1.743
1967-04-01,1.712
1967-07-01,1.697
1967-10-01,1.694
1968-01-01,1.718
1968-04-01,1.737
1968-07-01,1.733
1968-10-01,1.725
1969-01-01,1.741
1969-04-01,1.753
1969-07-01,1.778
1969-10-01,1.777
1970-01-01,1.792
1970-04-01,1.809
1970-07-01,1.799
1970-10-01,1.757
1971-01-01,1.774
1971-04-01,1.741
1971-07-01,1.721
1971-10-01,1.694
1972-01-01,1.700
1972-04-01,1.708
1972-07-01,1.683
1972-10-01,1.677
1973-01-01,1.698
1973-04-01,1.715
1973-07-01,1.714
1973-10-01,1.742
1974-01-01,1.729
1974-04-01,1.753
1974-07-01,1.768
1974-10-01,1.785
1975-01-01,1.770
1975-04-01,1.746
1975-07-01,1.743
1975-10-01,1.754
1976-01-01,1.756
1976-04-01,1.735
1976-07-01,1.721
1976-10-01,1.703
1977-01-01,1.693
1977-04-01,1.704
1977-07-01,1.716
1977-10-01,1.718
1978-01-01,1.718
1978-04-01,1.784
1978-07-01,1.798
1978-10-01,1.826
1979-01-01,1.836
1979-04-01,1.839
1979-07-01,1.848
1979-10-01,1.862
1980-01-01,1.874
1980-04-01,1.849
1980-07-01,1.833
1980-10-01,1.879
1981-01-01,1.932
1981-04-01,1.903
1981-07-01,1.925
1981-10-01,1.889
1982-01-01,1.842
1982-04-01,1.835
1982-07-01,1.825
1982-10-01,1.806
1983-01-01,1.748
1983-04-01,1.755
1983-07-01,1.780
1983-10-01,1.798
1984-01-01,1.814
1984-04-01,1.822
1984-07-01,1.831
1984-10-01,1.817
1985-01-01,1.802
1985-04-01,1.798
1985-07-01,1.799
1985-10-01,1.796
1986-01-01,1.795
1986-04-01,1.764
1986-07-01,1.745
1986-10-01,1.726
1987-01-01,1.723
1987-04-01,1.740
1987-07-01,1.757
1987-10-01,1.781
1988-01-01,1.774
1988-04-01,1.780
1988-07-01,1.795
1988-10-01,1.817
1989-01-01,1.845
1989-04-01,1.866
1989-07-01,1.858
1989-10-01,1.839
1990-01-01,1.852
1990-04-01,1.863
1990-07-01,1.860
1990-10-01,1.845
1991-01-01,1.832
1991-04-01,1.838
1991-07-01,1.853
1991-10-01,1.866
1992-01-01,1.880
1992-04-01,1.911
1992-07-01,1.937
1992-10-01,1.956
1993-01-01,1.976
1993-04-01,1.991
1993-07-01,2.004
1993-10-01,2.029
1994-01-01,2.053
1994-04-01,2.088
1994-07-01,2.110
1994-10-01,2.146
1995-01-01,2.163
1995-04-01,2.160
1995-07-01,2.151
1995-10-01,2.156
1996-01-01,2.155
1996-04-01,2.175
1996-07-01,2.181
1996-10-01,2.190
1997-01-01,2.192
1997-04-01,2.206
1997-07-01,2.208
1997-10-01,2.198
1998-01-01,2.183
1998-04-01,2.169
1998-07-01,2.169
1998-10-01,2.156
1999-01-01,2.146
1999-04-01,2.140
1999-07-01,2.143
1999-10-01,2.161
2000-01-01,2.150
2000-04-01,2.166
2000-07-01,2.157
2000-10-01,2.150
2001-01-01,2.102
2001-04-01,2.076
2001-07-01,2.030
2001-10-01,1.997
2002-01-01,1.987
2002-04-01,1.990
2002-07-01,1.971
2002-10-01,1.943
2003-01-01,1.934
2003-04-01,1.920
2003-07-01,1.923
2003-10-01,1.957
2004-01-01,1.971
2004-04-01,1.961
2004-07-01,1.969
2004-10-01,1.973
2005-01-01,2.002
2005-04-01,2.013
2005-07-01,2.020
2005-10-01,2.019
2006-01-01,2.033
2006-04-01,2.034
2006-07-01,2.022
2006-10-01,2.010
2007-01-01,2.005
2007-04-01,1.998
2007-07-01,1.988
2007-10-01,1.981
2008-01-01,1.942
2008-04-01,1.929
2008-07-01,1.910
2008-10-01,1.812
2009-01-01,1.736
2009-04-01,1.711
2009-07-01,1.711
2009-10-01,1.722
2010-01-01,1.735
2010-04-01,1.743
2010-07-01,1.746
2010-10-01,1.742
2011-01-01,1.721
2011-04-01,1.714
2011-07-01,1.653
2011-10-01,1.645
2012-01-01,1.638
2012-04-01,1.629
2012-07-01,1.606
2012-10-01,1.578
2013-01-01,1.574
2013-04-01,1.561
2013-07-01,1.556
2013-10-01,1.552
2014-01-01,1.533
2014-04-01,1.532
2014-07-01,1.535
2014-10-01,1.527
2015-01-01,1.509
2015-04-01,1.508
2015-07-01,1.500
2015-10-01,1.487
2016-01-01,1.463
2016-04-01,1.450
2016-07-01,1.437
