DATE,M1V
1959-01-01,3.668
1959-04-01,3.730
1959-07-01,3.711
1959-10-01,3.774
1960-01-01,3.883
1960-04-01,3.888
1960-07-01,3.875
1960-10-01,3.842
1961-01-01,3.857
1961-04-01,3.910
1961-07-01,3.962
1961-10-01,4.019
1962-01-01,4.087
1962-04-01,4.111
1962-07-01,4.162
1962-10-01,4.163
1963-01-01,4.185
1963-04-01,4.207
1963-07-01,4.252
1963-10-01,4.275
1964-01-01,4.353
1964-04-01,4.386
1964-07-01,4.391
1964-10-01,4.370
1965-01-01,4.466
1965-04-01,4.522
1965-07-01,4.579
1965-10-01,4.634
1966-01-01,4.697
1966-04-01,4.705
1966-07-01,4.799
1966-10-01,4.867
1967-01-01,4.884
1967-04-01,4.846
1967-07-01,4.828
1967-10-01,4.841
1968-01-01,4.929
1968-04-01,4.980
1968-07-01,4.969
1968-10-01,4.955
1969-01-01,4.994
1969-04-01,5.034
1969-07-01,5.113
1969-10-01,5.115
1970-01-01,5.123
1970-04-01,5.165
1970-07-01,5.186
1970-10-01,5.108
1971-01-01,5.238
1971-04-01,5.226
1971-07-01,5.230
1971-10-01,5.240
1972-01-01,5.313
1972-04-01,5.381
1972-07-01,5.369
1972-10-01,5.396
1973-01-01,5.483
1973-04-01,5.564
1973-07-01,5.575
1973-10-01,5.668
1974-01-01,5.635
1974-04-01,5.730
1974-07-01,5.788
1974-10-01,5.863
1975-01-01,5.887
1975-04-01,5.931
1975-07-01,6.024
1975-10-01,6.165
1976-01-01,6.278
1976-04-01,6.282
1976-07-01,6.331
1976-10-01,6.378
1977-01-01,6.402
1977-04-01,6.492
1977-07-01,6.584
1977-10-01,6.599
1978-01-01,6.582
1978-04-01,6.794
1978-07-01,6.858
1978-10-01,6.986
1979-01-01,7.026
1979-04-01,7.010
1979-07-01,7.056
1979-10-01,7.165
1980-01-01,7.206
1980-04-01,7.256
1980-07-01,7.162
1980-10-01,7.312
1981-01-01,7.546
1981-04-01,7.439
1981-07-01,7.639
1981-10-01,7.598
1982-01-01,7.400
1982-04-01,7.451
1982-07-01,7.448
1982-10-01,7.247
1983-01-01,7.190
1983-04-01,7.181
1983-07-01,7.235
1983-10-01,7.311
1984-01-01,7.411
1984-04-01,7.473
1984-07-01,7.546
1984-10-01,7.574
1985-01-01,7.534
1985-04-01,7.470
1985-07-01,7.371
1985-10-01,7.261
1986-01-01,7.206
1986-04-01,6.995
1986-07-01,6.806
1986-10-01,6.592
1987-01-01,6.474
1987-04-01,6.478
1987-07-01,6.576
1987-10-01,6.668
1988-01-01,6.711
1988-04-01,6.740
1988-07-01,6.770
1988-10-01,6.895
1989-01-01,7.049
1989-04-01,7.254
1989-07-01,7.328
1989-10-01,7.303
1990-01-01,7.379
1990-04-01,7.409
1990-07-01,7.395
1990-10-01,7.326
1991-01-01,7.270
1991-04-01,7.232
1991-07-01,7.180
1991-10-01,7.075
1992-01-01,6.905
1992-04-01,6.837
1992-07-01,6.755
1992-10-01,6.600
1993-01-01,6.526
1993-04-01,6.426
1993-07-01,6.309
1993-10-01,6.267
1994-01-01,6.282
1994-04-01,6.359
1994-07-01,6.387
1994-10-01,6.498
1995-01-01,6.570
1995-04-01,6.634
1995-07-01,6.735
1995-10-01,6.884
1996-01-01,7.038
1996-04-01,7.205
1996-07-01,7.394
1996-10-01,7.648
1997-01-01,7.798
1997-04-01,8.033
1997-07-01,8.129
1997-10-01,8.216
1998-01-01,8.260
1998-04-01,8.349
1998-07-01,8.493
1998-10-01,8.540
1999-01-01,8.611
1999-04-01,8.675
1999-07-01,8.843
1999-10-01,8.926
2000-01-01,9.017
2000-04-01,9.278
2000-07-01,9.404
2000-10-01,9.579
2001-01-01,9.537
2001-04-01,9.493
2001-07-01,9.131
2001-10-01,9.120
2002-01-01,9.098
2002-04-01,9.189
2002-07-01,9.240
2002-10-01,9.167
2003-01-01,9.100
2003-04-01,8.977
2003-07-01,8.986
2003-10-01,9.084
2004-01-01,9.096
2004-04-01,9.118
2004-07-01,9.147
2004-10-01,9.164
2005-01-01,9.356
2005-04-01,9.487
2005-07-01,9.611
2005-10-01,9.725
2006-01-01,9.883
2006-04-01,9.998
2006-07-01,10.169
2006-10-01,10.268
2007-01-01,10.401
2007-04-01,10.497
2007-07-01,10.622
2007-10-01,10.671
2008-01-01,10.597
2008-04-01,10.627
2008-07-01,10.403
2008-10-01,9.495
2009-01-01,9.109
2009-04-01,8.823
2009-07-01,8.673
2009-10-01,8.631
2010-01-01,8.646
2010-04-01,8.714
2010-07-01,8.638
2010-10-01,8.374
2011-01-01,8.130
2011-04-01,8.030
2011-07-01,7.498
2011-10-01,7.303
2012-01-01,7.215
2012-04-01,7.159
2012-07-01,6.916
2012-10-01,6.691
2013-01-01,6.672
2013-04-01,6.573
2013-07-01,6.544
2013-10-01,6.447
2014-01-01,6.266
2014-04-01,6.184
2014-07-01,6.191
2014-10-01,6.107
2015-01-01,5.990
2015-04-01,6.001
2015-07-01,5.961
2015-10-01,5.946
2016-01-01,5.872
2016-04-01,5.746
2016-07-01,5.677
