DATE,GPDI_PCH
2011-10-01,7.49484
2012-01-01,2.73881
2012-04-01,3.00715
2012-07-01,-0.19331
2012-10-01,-0.33993
2013-01-01,3.81946
2013-04-01,1.54722
2013-07-01,3.48745
2013-10-01,1.73768
2014-01-01,-0.87901
2014-04-01,3.15789
2014-07-01,2.73274
2014-10-01,1.04089
2015-01-01,2.49798
2015-04-01,0.17408
2015-07-01,0.72789
2015-10-01,-0.39712
2016-01-01,-0.75493
2016-04-01,-1.62342
2016-07-01,1.07113
