DATE,DDDM01USA156NWDB
1975-01-01,40.401920000000004
1976-01-01,42.215540000000004
1977-01-01,41.55405
1978-01-01,36.201859999999996
1979-01-01,35.39862
1980-01-01,41.31947
1981-01-01,41.35369
1982-01-01,40.930690000000006
1983-01-01,44.8798
1984-01-01,42.49913
1985-01-01,44.865829999999995
1986-01-01,52.556909999999995
1987-01-01,52.38115
1988-01-01,50.66703
1989-01-01,54.65947
1990-01-01,54.563190000000006
1991-01-01,58.76869
1992-01-01,66.73201999999999
1993-01-01,71.45634
1994-01-01,71.32224000000001
1995-01-01,79.14398
1996-01-01,95.61905
1997-01-01,112.1031
1998-01-01,130.5757
1999-01-01,143.673
2000-01-01,146.1932
2001-01-01,138.3317
2002-01-01,114.9018
2003-01-01,110.6848
2004-01-01,125.5537
2005-01-01,128.3915
2006-01-01,133.3858
2007-01-01,137.3609
2008-01-01,109.6976
2009-01-01,92.95730999999999
2010-01-01,108.3213
2011-01-01,107.3842
2012-01-01,106.9725
2013-01-01,128.1204
2014-01-01,146.2813
