DATE,EXPGSC1_PCH
1947-04-01,-1.31868
1947-07-01,-5.01114
1947-10-01,-11.37163
1948-01-01,-4.49735
1948-04-01,-9.41828
1948-07-01,2.44648
1948-10-01,-3.58209
1949-01-01,11.91950
1949-04-01,-0.82988
1949-07-01,-8.36820
1949-10-01,-13.39422
1950-01-01,-1.58172
1950-04-01,1.07143
1950-07-01,2.65018
1950-10-01,8.08950
1951-01-01,5.09554
1951-04-01,9.69697
1951-07-01,2.48619
1951-10-01,-0.94340
1952-01-01,5.30612
1952-04-01,-10.98191
1952-07-01,-7.83745
1952-10-01,0.62992
1953-01-01,-1.72144
1953-04-01,0.63694
1953-07-01,4.11392
1953-10-01,-3.34347
1954-01-01,-4.55975
1954-04-01,14.49753
1954-07-01,-3.30935
1954-10-01,4.61310
1955-01-01,3.84068
1955-04-01,-2.46575
1955-07-01,6.60112
1955-10-01,0.52701
1956-01-01,4.71822
1956-04-01,6.75845
1956-07-01,3.28253
1956-10-01,4.54030
1957-01-01,6.51466
1957-04-01,-2.95617
1957-07-01,-2.83613
1957-10-01,-3.02703
1958-01-01,-9.92196
1958-04-01,0.49505
1958-07-01,0.36946
1958-10-01,-0.36810
1959-01-01,6.65025
1959-04-01,3.34873
1959-07-01,3.12849
1959-10-01,-2.70856
1960-01-01,12.58352
1960-04-01,6.33037
1960-07-01,-2.51163
1960-10-01,2.00382
1961-01-01,-0.65482
1961-04-01,-1.41243
1961-07-01,-0.47755
1961-10-01,3.07102
1962-01-01,-0.27933
1962-04-01,9.61718
1962-07-01,-5.62181
1962-10-01,-2.16606
1963-01-01,2.39852
1963-04-01,11.71171
1963-07-01,-5.40323
1963-10-01,5.02984
1964-01-01,6.16883
1964-04-01,1.68196
1964-07-01,-0.82707
1964-10-01,3.03260
1965-01-01,-10.81678
1965-04-01,18.81188
1965-07-01,-5.76389
1965-10-01,7.22181
1966-01-01,-1.71821
1966-04-01,4.33566
1966-07-01,-3.75335
1966-10-01,3.27298
1967-01-01,1.95550
1967-04-01,-0.92593
1967-07-01,-2.40320
1967-10-01,2.87278
1968-01-01,2.85904
1968-04-01,2.00388
1968-07-01,5.89354
1968-10-01,-1.25673
1969-01-01,-12.00000
1969-04-01,22.45179
1969-07-01,-2.36220
1969-10-01,3.39862
1970-01-01,0.77994
1970-04-01,4.42233
1970-07-01,-0.31763
1970-10-01,0.95592
1971-01-01,0.36823
1971-04-01,-0.20964
1971-07-01,4.14916
1971-10-01,-8.37115
1972-01-01,10.84205
1972-04-01,-2.92949
1972-07-01,6.08696
1972-10-01,4.19479
1973-01-01,7.35770
1973-04-01,4.82759
1973-07-01,0.32895
1973-10-01,4.91803
1974-01-01,1.25000
1974-04-01,4.86111
1974-07-01,-5.37160
1974-10-01,2.60498
1975-01-01,0.71997
1975-04-01,-2.93454
1975-07-01,-1.66667
1975-10-01,5.63658
1976-01-01,-0.67164
1976-04-01,1.01427
1976-07-01,2.90071
1976-10-01,1.01193
1977-01-01,-1.61002
1977-04-01,2.69091
1977-07-01,0.77904
1977-10-01,-3.19747
1978-01-01,2.32305
1978-04-01,10.42923
1978-07-01,1.09219
1978-10-01,3.97204
1979-01-01,0.09169
1979-04-01,0.27481
1979-07-01,3.59318
1979-10-01,6.29042
1980-01-01,2.79314
1980-04-01,1.88324
1980-07-01,-0.21125
1980-10-01,-0.60863
1981-01-01,1.89031
1981-04-01,0.54873
1981-07-01,-2.13098
1981-10-01,0.47796
1982-01-01,-4.33404
1982-04-01,0.58011
1982-07-01,-4.42186
1982-10-01,-4.56897
1983-01-01,1.59590
1983-04-01,0.29638
1983-07-01,1.50709
1983-10-01,2.03785
1984-01-01,2.08274
1984-04-01,2.48742
1984-07-01,2.20889
1984-10-01,2.02775
1985-01-01,0.26151
1985-04-01,-0.23474
1985-07-01,-1.43791
1985-10-01,2.99735
1986-01-01,3.14190
1986-04-01,1.07366
1986-07-01,2.29743
1986-10-01,3.71891
1987-01-01,0.06985
1987-04-01,4.11819
1987-07-01,4.33520
1987-10-01,3.72671
1988-01-01,5.55441
1988-04-01,2.79734
1988-07-01,1.97907
1988-10-01,3.04161
1989-01-01,2.98805
1989-04-01,4.37841
1989-07-01,1.02763
1989-10-01,1.50075
