DATE,EXPGSC1_PCH
1990-01-01,4.35354
1990-04-01,1.24370
1990-07-01,0.76193
1990-10-01,0.87963
1991-01-01,0.61190
1991-04-01,3.63388
1991-07-01,2.37676
1991-10-01,2.24993
1992-01-01,1.80799
1992-04-01,0.04130
1992-07-01,2.11917
1992-10-01,0.51206
1993-01-01,0.22791
1993-04-01,1.19048
1993-07-01,-0.26438
1993-10-01,3.23393
1994-01-01,0.97574
1994-04-01,3.38207
1994-07-01,3.73878
1994-10-01,2.31180
1995-01-01,1.92352
1995-04-01,1.39836
1995-07-01,4.32784
1995-10-01,1.42934
1996-01-01,1.20788
1996-04-01,1.62270
1996-07-01,0.81385
1996-10-01,6.23339
1997-01-01,1.90458
1997-04-01,3.99283
1997-07-01,2.31460
1997-10-01,-0.13307
1998-01-01,0.46193
1998-04-01,-1.09647
1998-07-01,-0.46491
1998-10-01,3.70071
1999-01-01,-2.43395
1999-04-01,1.02095
1999-07-01,2.93523
1999-10-01,2.52711
2000-01-01,1.52386
2000-04-01,2.91175
2000-07-01,2.45477
2000-10-01,-0.87126
2001-01-01,-1.55379
2001-04-01,-3.30809
2001-07-01,-4.85573
2001-10-01,-3.12798
2002-01-01,2.04830
2002-04-01,2.73468
2002-07-01,0.71666
2002-10-01,-1.35536
2003-01-01,-0.59253
2003-04-01,-0.12094
2003-07-01,2.66390
2003-10-01,4.39764
2004-01-01,3.01808
2004-04-01,1.29250
2004-07-01,0.58000
2004-10-01,2.42196
2005-01-01,1.53892
2005-04-01,1.84829
2005-07-01,0.11614
2005-10-01,2.82048
2006-01-01,3.73034
2006-04-01,1.86948
2006-07-01,-0.20020
2006-10-01,4.45336
2007-01-01,1.63882
2007-04-01,1.76356
2007-07-01,3.08844
2007-10-01,3.06796
2008-01-01,1.23493
2008-04-01,2.99787
2008-07-01,-1.33520
2008-10-01,-5.48667
2009-01-01,-8.02181
2009-04-01,0.26705
2009-07-01,3.50136
2009-10-01,5.62355
2010-01-01,1.50336
2010-04-01,2.33579
2010-07-01,2.82593
2010-10-01,3.06537
2011-01-01,0.52359
2011-04-01,1.52500
2011-07-01,1.05252
2011-10-01,0.99969
2012-01-01,0.66850
2012-04-01,1.12221
2012-07-01,0.49379
2012-10-01,-0.12157
2013-01-01,0.98392
2013-04-01,1.22545
2013-07-01,0.76904
2013-10-01,2.83604
2014-01-01,-0.69424
2014-04-01,2.11658
2014-07-01,0.50519
2014-10-01,1.10866
2015-01-01,-1.47284
2015-04-01,0.70263
2015-07-01,-0.70709
2015-10-01,-0.68855
2016-01-01,-0.18045
2016-04-01,0.44244
2016-07-01,2.42031
